time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-18T04:26:00-05:00,265.5,265.5,265.5,265.5,,,,,,,,,265.6,265.7,264.32,264.79180000000105,264.5504500000014,1,88.05
2026-02-18T04:30:00-05:00,265.6,265.61,265.6,265.61,,,,,,,,,265.6,265.7,264.32,264.816800000001,264.5592000000014,39,55.1
2026-02-18T04:32:00-05:00,265.64,265.64,265.64,265.64,,,,,,,,,265.6,265.7,264.32,264.83760000000103,264.5686500000014,1,54.1
2026-02-18T04:33:00-05:00,265.7,265.7,265.7,265.7,,,,,,,,,265.6,265.7,264.32,264.86600000000107,264.5791000000014,1,52.15
2026-02-18T04:36:00-05:00,265.64,265.65,265.63,265.63,,,,,,,,,265.6,265.7,264.32,264.893200000001,264.5891000000014,32,52.45
2026-02-18T04:38:00-05:00,265.64,265.64,265.64,265.64,,,,,,,,,265.6,265.7,264.32,264.91840000000104,264.59870000000143,5,47.15
2026-02-18T04:39:00-05:00,265.65,265.68,265.65,265.65,,,,,,,,,265.6,265.7,264.32,264.94160000000096,264.6082000000014,8,47
2026-02-18T04:40:00-05:00,265.7,265.7,265.65,265.65,,,,,,,,,265.6,265.7,264.32,264.965800000001,264.6174750000014,7,42.6
2026-02-18T04:43:00-05:00,265.69,265.69,265.6,265.6,,,,,,,,,265.6,265.7,264.32,264.990000000001,264.6250750000014,5,41.75
2026-02-18T04:45:00-05:00,265.6,265.6,265.52,265.52,,,,,,,,,265.6,265.7,264.32,265.014600000001,264.6316250000014,3,39.95
2026-02-18T04:46:00-05:00,265.48,265.48,265.48,265.48,,,,,,,,,265.6,265.7,264.32,265.03560000000095,264.6376250000014,1,30.3
2026-02-18T04:47:00-05:00,265.47,265.47,265.47,265.47,,,,,,,,,265.6,265.7,264.32,265.05780000000095,264.6430750000014,5,15.85
2026-02-18T04:48:00-05:00,265.45,265.45,265.3,265.31,,,,,,,,,265.6,265.7,264.32,265.07340000000096,264.64787500000136,105,20.85
2026-02-18T04:49:00-05:00,265.42,265.42,265.42,265.42,,,,,,,,,265.6,265.7,264.32,265.091800000001,264.65367500000133,4,15.85
2026-02-18T04:50:00-05:00,265.35,265.4,265.31,265.31,,,,,,,,,265.6,265.7,264.32,265.11080000000095,264.65827500000137,200,25.75
2026-02-18T04:51:00-05:00,265.3,265.3,265.3,265.3,,,,,,,,,265.6,265.7,264.32,265.12820000000096,264.6647750000013,1,25.65
2026-02-18T04:53:00-05:00,265.3,265.3,265.29,265.29,,,,,,,,,265.6,265.7,264.32,265.146000000001,264.67512500000134,10,22.85
2026-02-18T04:54:00-05:00,265.27,265.3,265.27,265.3,,,,,,,,,265.6,265.7,264.32,265.1664000000009,264.6861250000013,124,28.25
2026-02-18T04:56:00-05:00,265.39,265.39,265.39,265.39,,,,,,,,,265.6,265.7,264.32,265.18760000000094,264.69692500000133,2,27.85
2026-02-18T04:57:00-05:00,265.3,265.34,265.3,265.34,,,,,,,,,265.6,265.7,264.32,265.2128000000009,264.70922500000137,2,27.8
2026-02-18T04:59:00-05:00,265.15,265.22,265.08,265.2,,,,,,,,,265.6,265.7,264.32,265.2330000000009,264.71932500000133,148,35.15
2026-02-18T05:00:00-05:00,265.08,265.1,265,265.1,,,,,,,,,265.6,265.7,264.32,265.25060000000093,264.7273250000014,18,34.1
2026-02-18T05:02:00-05:00,265.19,265.19,265.19,265.19,,,,,,,,,265.6,265.7,264.32,265.2674000000009,264.7363250000014,26,35.35
2026-02-18T05:03:00-05:00,265.2,265.28,265.2,265.28,,,,,,,,,265.6,265.7,264.32,265.2876000000009,264.7440750000014,164,43.5
2026-02-18T05:06:00-05:00,265.28,265.28,265.28,265.28,,,,,,,,,265.6,265.7,264.32,265.30460000000096,264.7516750000014,1,41.95
2026-02-18T05:08:00-05:00,265.28,265.28,265.22,265.22,,,,,,,,,265.6,265.7,264.32,265.32300000000095,264.7588000000014,31,43.25
2026-02-18T05:10:00-05:00,265.1,265.1,265.1,265.1,,,,,,,,,265.6,265.7,264.32,265.344800000001,264.7650000000014,4,43.05
2026-02-18T05:11:00-05:00,265.23,265.23,265.23,265.23,,,,,,,,,265.6,265.7,264.32,265.36360000000093,264.7717500000014,1,42.75
2026-02-18T05:13:00-05:00,265.18,265.18,265.18,265.18,,,,,,,,,265.6,265.7,264.32,265.38660000000095,264.77835000000135,1,42.55
2026-02-18T05:14:00-05:00,265.2,265.2,265.2,265.2,,,,,,,,,265.6,265.7,264.32,265.408600000001,264.78470000000135,1,42.45
2026-02-18T05:16:00-05:00,265.15,265.17,265.15,265.17,,,,,,,,,265.6,265.7,264.32,265.43160000000097,264.79055000000136,6,42.7
2026-02-18T05:17:00-05:00,265.1,265.1,265.1,265.1,,,,,,,,,265.6,265.7,264.32,265.423200000001,264.79575000000136,2,42.55
2026-02-18T05:18:00-05:00,265.09,265.09,265.09,265.09,,,,,,,,,265.6,265.7,264.32,265.414000000001,264.80150000000134,1,37.35
2026-02-18T05:20:00-05:00,265.13,265.13,265.13,265.13,,,,,,,,,265.6,265.7,264.32,265.405800000001,264.80715000000134,100,42.15
2026-02-18T05:21:00-05:00,265.08,265.08,265.08,265.08,,,,,,,,,265.6,265.7,264.32,265.395400000001,264.8124500000014,1,32.2
