time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-18T14:55:00-05:00,198.58,198.65,198.31,198.44,,,,,,,,,201,201.41,196.9,199.9583000000008,201.67827499999854,9181,6464.55
2026-02-18T14:56:00-05:00,198.45,198.51,198.15,198.15,,,,,,,,,201,201.41,196.9,199.90530000000084,201.65762499999852,6589,6461
2026-02-18T14:57:00-05:00,198.13,198.16,197.6,197.62,,,,,,,,,201,201.41,196.9,199.84490000000085,201.63362499999855,29562,7818.35
2026-02-18T14:58:00-05:00,197.635,197.97,197.61,197.8,,,,,,,,,201,201.41,196.9,199.78270000000083,201.6112249999985,8197,7813.05
2026-02-18T14:59:00-05:00,197.8,197.9,197.72,197.89,,,,,,,,,201,201.41,196.9,199.72330000000085,201.58802499999854,6084,7483.45
2026-02-18T15:00:00-05:00,197.89,198.37,197.89,198.21,,,,,,,,,201,201.41,196.9,199.67070000000086,201.56697499999848,16945,8094.4
2026-02-18T15:01:00-05:00,198.21,198.35,198.13,198.26,,,,,,,,,201,201.41,196.9,199.61590000000083,201.5453249999985,6263,7659.9
2026-02-18T15:02:00-05:00,198.23,198.64,198.21,198.54,,,,,,,,,201,201.41,196.9,199.56890000000087,201.52477499999853,9674,7732.95
2026-02-18T15:03:00-05:00,198.53,198.57,198.36,198.53,,,,,,,,,201,201.41,196.9,199.52070000000086,201.50472499999853,2939,7474.9
2026-02-18T15:04:00-05:00,198.53,198.53,198.16,198.17,,,,,,,,,201,201.41,196.9,199.46670000000086,201.48212499999855,11252,7926.45
2026-02-18T15:05:00-05:00,198.21,198.34,198.13,198.33,,,,,,,,,201,201.41,196.9,199.41830000000084,201.46012499999856,6057,8149.25
2026-02-18T15:06:00-05:00,198.35,198.35,198.07,198.12,,,,,,,,,201,201.41,196.9,199.36210000000085,201.43692499999852,1898,7968.45
2026-02-18T15:07:00-05:00,198.13,198.16,197.85,198.07,,,,,,,,,201,201.41,196.9,199.30750000000089,201.41327499999855,8806,8002.95
2026-02-18T15:08:00-05:00,198.08,198.1,197.85,197.92,,,,,,,,,201,201.41,196.9,199.2503000000009,201.38977499999856,2652,7946.7
2026-02-18T15:09:00-05:00,197.94,197.96,197.77,197.85,,,,,,,,,201,201.41,196.9,199.1939000000009,201.36827499999853,5128,8025.35
2026-02-18T15:10:00-05:00,197.84,197.91,197.62,197.91,,,,,,,,,201,201.41,196.9,199.14110000000088,201.34677499999856,6139,7927
2026-02-18T15:11:00-05:00,197.86,197.86,197.47,197.49,,,,,,,,,201,201.41,196.9,199.0767000000009,201.32397499999857,5196,7785.45
2026-02-18T15:12:00-05:00,197.47,197.71,197.47,197.48,,,,,,,,,201,201.41,196.9,199.0117000000009,201.30182499999856,9511,8085.05
2026-02-18T15:13:00-05:00,197.47,197.7,197.43,197.7,,,,,,,,,201,201.41,196.9,198.9495000000009,201.28037499999857,5020,8095.55
2026-02-18T15:14:00-05:00,197.68,197.89,197.62,197.67,,,,,,,,,201,201.41,196.9,198.89070000000092,201.25827499999855,4913,8100.3
2026-02-18T15:15:00-05:00,197.68,197.68,197.39,197.43,,,,,,,,,201,201.41,196.9,198.8259000000009,201.23494999999855,10246,8153.55
2026-02-18T15:16:00-05:00,197.42,197.55,197.38,197.49,,,,,,,,,201,201.41,196.9,198.7635000000009,201.21204999999856,2227,7935.45
2026-02-18T15:17:00-05:00,197.47,197.75,197.46,197.69,,,,,,,,,201,201.41,196.9,198.71030000000087,201.19124999999855,4755,6695.1
2026-02-18T15:18:00-05:00,197.72,198,197.71,197.99,,,,,,,,,201,201.41,196.9,198.6615000000009,201.17172499999856,5544,6562.45
2026-02-18T15:19:00-05:00,198.02,198.03,197.83,197.84,,,,,,,,,201,201.41,196.9,198.61190000000087,201.15212499999856,4391,6477.8
2026-02-18T15:20:00-05:00,197.81,197.83,197.6,197.625,,,,,,,,,201,201.41,196.9,198.56340000000083,201.13109999999855,4602,5860.65
2026-02-18T15:21:00-05:00,197.66,197.75,197.63,197.72,,,,,,,,,201,201.41,196.9,198.52060000000085,201.1090999999986,3149,5704.95
