time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-25T05:01:00-05:00,312.14,312.17,312.14,312.14,,,,,,,,,312.6,312.17,311.47,312.02119999999627,311.165850000002,7,24.2
2026-02-25T05:02:00-05:00,312.14,312.14,312.1,312.1,,,,,,,,,312.6,312.17,311.47,312.02699999999624,311.17340000000206,62,26.65
2026-02-25T05:03:00-05:00,312.06,312.13,312.04,312.13,,,,,,,,,312.6,312.17,311.47,312.03339999999616,311.18090000000205,57,27.6
2026-02-25T05:04:00-05:00,312.08,312.11,312.06,312.06,,,,,,,,,312.6,312.17,311.47,312.0373999999962,311.188150000002,21,27.85
2026-02-25T05:05:00-05:00,312.06,312.06,312.02,312.03,,,,,,,,,312.6,312.17,311.47,312.0447999999962,311.195300000002,70,28.25
2026-02-25T05:06:00-05:00,312.05,312.06,312.05,312.05,,,,,,,,,312.6,312.17,311.47,312.05219999999616,311.202550000002,27,29.55
2026-02-25T05:07:00-05:00,312.01,312.01,312,312,,,,,,,,,312.6,312.17,311.47,312.0563999999962,311.209550000002,53,31.5
2026-02-25T05:08:00-05:00,312.02,312.02,312,312,,,,,,,,,312.6,312.17,311.47,312.06239999999616,311.21630000000204,5,28.85
2026-02-25T05:09:00-05:00,312.01,312.01,312,312,,,,,,,,,312.6,312.17,311.47,312.06599999999617,311.22280000000205,9,26.9
2026-02-25T05:10:00-05:00,312.05,312.05,312.05,312.05,,,,,,,,,312.6,312.17,311.47,312.06879999999614,311.229700000002,2,26.9
2026-02-25T05:12:00-05:00,312.04,312.04,311.98,311.98,,,,,,,,,312.6,312.17,311.47,312.07019999999613,311.235950000002,83,31
2026-02-25T05:13:00-05:00,312,312,312,312,,,,,,,,,312.6,312.17,311.47,312.0711999999961,311.242050000002,11,31.45
2026-02-25T05:14:00-05:00,312.05,312.06,312.05,312.06,,,,,,,,,312.6,312.17,311.47,312.07239999999615,311.248500000002,30,32.8
2026-02-25T05:15:00-05:00,312.07,312.09,311.99,311.99,,,,,,,,,312.6,312.17,311.47,312.07179999999613,311.25495000000205,17,33.3
2026-02-25T05:17:00-05:00,312.08,312.08,312.08,312.08,,,,,,,,,312.6,312.17,311.47,312.07359999999613,311.261550000002,11,32.6
2026-02-25T05:18:00-05:00,312.09,312.09,312.08,312.08,,,,,,,,,312.6,312.17,311.47,312.0761999999961,311.268200000002,6,31.9
2026-02-25T05:19:00-05:00,312.02,312.02,312,312,,,,,,,,,312.6,312.17,311.47,312.07519999999613,311.274600000002,59,34.65
2026-02-25T05:21:00-05:00,312,312.05,312,312.05,,,,,,,,,312.6,312.17,311.47,312.0731999999961,311.281250000002,13,30.45
2026-02-25T05:22:00-05:00,312.03,312.06,312.03,312.06,,,,,,,,,312.6,312.17,311.47,312.0725999999961,311.287950000002,20,29.8
2026-02-25T05:24:00-05:00,312.08,312.08,312.07,312.08,,,,,,,,,312.6,312.17,311.47,312.07359999999613,311.294500000002,22,29.25
2026-02-25T05:25:00-05:00,312.12,312.12,312.12,312.12,,,,,,,,,312.6,312.17,311.47,312.0749999999961,311.301400000002,21,29.95
2026-02-25T05:26:00-05:00,312.12,312.12,312.12,312.12,,,,,,,,,312.6,312.17,311.47,312.07739999999615,311.308350000002,1,26.9
2026-02-25T05:27:00-05:00,312.14,312.17,312.08,312.17,,,,,,,,,312.6,312.17,311.47,312.0799999999961,311.31530000000197,183,33.2
2026-02-25T05:28:00-05:00,312.19,312.2,312.19,312.2,,,,,,,,,312.6,312.2,311.47,312.08299999999616,311.322400000002,21,33.2
