time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,9 EMA,Short Entry,Long Entry,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-26T07:38:00-05:00,400.03,400.16,399.85,399.89,,,,,,,,,400.08808793765434,0,0,401.4,401.13,398.69,399.86320000000177,399.45835000000125,689,228.75
2026-02-26T07:39:00-05:00,399.98,399.98,399.94,399.98,,,,,,,,,400.0664703501235,0,0,401.4,401.13,398.69,399.8772000000018,399.46000000000123,140,231.35
2026-02-26T07:40:00-05:00,399.98,399.99,399.97,399.97,,,,,,,,,400.0471762800988,0,0,401.4,401.13,398.69,399.8902000000018,399.4615500000011,84,201.1
2026-02-26T07:41:00-05:00,399.96,400.07,399.96,400.07,,,,,,,,,400.05174102407904,0,0,401.4,401.13,398.69,399.9024000000017,399.46340000000123,140,195.65
2026-02-26T07:42:00-05:00,400.08,400.18,400.05,400.18,,,,,,,,,400.07739281926325,0,0,401.4,401.13,398.69,399.9182000000017,399.4664500000012,211,197.6
2026-02-26T07:43:00-05:00,400.18,400.18,400.18,400.18,,,,,,,,,400.0979142554106,0,0,401.4,401.13,398.69,399.9340000000017,399.4698000000011,24,164
2026-02-26T07:44:00-05:00,400.21,400.21,400.18,400.19,,,,,,,,,400.1163314043285,0,0,401.4,401.13,398.69,399.9484000000017,399.4734000000012,45,162.4
2026-02-26T07:45:00-05:00,400.2,400.21,400.11,400.11,,,,,,,,,400.1150651234628,0,0,401.4,401.13,398.69,399.9626000000017,399.4766000000011,101,165.35
2026-02-26T07:46:00-05:00,400.07,400.1,400.07,400.09,,,,,,,,,400.1100520987702,0,0,401.4,401.13,398.69,399.9754000000017,399.4793000000011,11,165.2
2026-02-26T07:47:00-05:00,400.16,400.16,400.1,400.1,,,,,,,,,400.1080416790162,0,0,401.4,401.13,398.69,399.98820000000177,399.48190000000113,64,167.75
2026-02-26T07:48:00-05:00,400.1,400.13,400.07,400.12,,,,,,,,,400.11043334321295,0,0,401.4,401.13,398.69,399.99980000000176,399.48500000000115,91,171.6
2026-02-26T07:49:00-05:00,400.13,400.13,400.06,400.1,,,,,,,,,400.1083466745704,0,0,401.4,401.13,398.69,400.0108000000018,399.4881500000012,53,166.7
2026-02-26T07:50:00-05:00,400.08,400.12,400.02,400.12,,,,,,,,,400.1106773396563,0,0,401.4,401.13,398.69,400.02080000000177,399.49170000000123,213,160.15
2026-02-26T07:51:00-05:00,400.13,400.28,400.12,400.28,,,,,,,,,400.14454187172504,0,0,401.4,401.13,398.69,400.0330000000017,399.49600000000123,823,191.25
2026-02-26T07:52:00-05:00,400.29,400.33,400.07,400.07,,,,,,,,,400.12963349738004,0,0,401.4,401.13,398.69,400.04040000000174,399.4989500000011,2261,296.85
