time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-19T06:30:00-05:00,400.87,400.87,400.87,400.87,,,,,,,,,400.8,402.66,399.48,400.54820000000007,400.38421,1,99.15
2026-02-19T06:31:00-05:00,400.87,400.87,400.87,400.87,,,,,,,,,400.8,402.66,399.48,400.56559999999996,400.38570999999996,30,96.5
2026-02-19T06:32:00-05:00,400.87,400.88,400.78,400.78,,,,,,,,,400.8,402.66,399.48,400.5822,400.38820499999997,44,91.55
2026-02-19T06:33:00-05:00,400.77,400.82,400.75,400.78,,,,,,,,,400.8,402.66,399.48,400.60360000000003,400.389555,35,92.9
2026-02-19T06:34:00-05:00,400.65,400.65,400.37,400.37,,,,,,,,,400.8,402.66,399.48,400.6156,400.389055,27,88.1
2026-02-19T06:35:00-05:00,400.56,400.59,400.3,400.52,,,,,,,,,400.8,402.66,399.48,400.6243999999999,400.388505,59,56.95
2026-02-19T06:36:00-05:00,400.7,400.76,400.6,400.67,,,,,,,,,400.8,402.66,399.48,400.6366,400.389455,54,51.7
2026-02-19T06:37:00-05:00,400.54,400.72,400.54,400.72,,,,,,,,,400.8,402.66,399.48,400.6494,400.39105500000005,45,51.1
2026-02-19T06:38:00-05:00,400.61,400.66,400.45,400.66,,,,,,,,,400.8,402.66,399.48,400.66119999999995,400.3918550000001,5,48.3
2026-02-19T06:39:00-05:00,400.45,400.65,400.45,400.65,,,,,,,,,400.8,402.66,399.48,400.6706,400.39315500000004,15,45.95
2026-02-19T06:41:00-05:00,400.68,400.7,400.66,400.66,,,,,,,,,400.8,402.66,399.48,400.67900000000003,400.39395500000006,91,50.2
2026-02-19T06:43:00-05:00,400.73,400.88,400.73,400.88,,,,,,,,,400.8,402.66,399.48,400.6896,400.39560500000005,74,48.8
2026-02-19T06:44:00-05:00,400.8,400.8,400.71,400.71,,,,,,,,,400.8,402.66,399.48,400.69579999999996,400.3966550000001,50,49.65
2026-02-19T06:46:00-05:00,400.82,400.82,400.68,400.68,,,,,,,,,400.8,402.66,399.48,400.69939999999997,400.3972550000001,77,53.4
2026-02-19T06:47:00-05:00,400.75,400.75,400.75,400.75,,,,,,,,,400.8,402.66,399.48,400.70719999999994,400.3982050000001,1,48.4
2026-02-19T06:48:00-05:00,400.8,400.82,400.8,400.82,,,,,,,,,400.8,402.66,399.48,400.71399999999994,400.39895500000006,40,40.65
2026-02-19T06:49:00-05:00,400.74,400.78,400.74,400.76,,,,,,,,,400.8,402.66,399.48,400.7191999999999,400.398755,124,46.4
2026-02-19T06:50:00-05:00,400.8,400.8,400.5,400.5,,,,,,,,,400.8,402.66,399.48,400.72079999999994,400.398205,60,47.35
2026-02-19T06:51:00-05:00,400.45,400.5,400.3,400.3,,,,,,,,,400.8,402.66,399.48,400.7134,400.39620500000007,96,51.6
2026-02-19T06:52:00-05:00,400.46,400.46,400.46,400.46,,,,,,,,,400.8,402.66,399.48,400.7092,400.39575500000007,12,47
2026-02-19T06:53:00-05:00,400.73,400.8,400.73,400.8,,,,,,,,,400.8,402.66,399.48,400.7104,400.3980050000001,7,47.3
2026-02-19T06:54:00-05:00,400.86,400.86,400.84,400.84,,,,,,,,,400.8,402.66,399.48,400.713,400.3985550000001,91,50.35
2026-02-19T06:55:00-05:00,400.85,400.88,400.78,400.87,,,,,,,,,400.8,402.66,399.48,400.7172,400.4007050000001,240,60.15
2026-02-19T06:56:00-05:00,400.84,400.84,400.84,400.84,,,,,,,,,400.8,402.66,399.48,400.72520000000003,400.4022550000001,9,58.85
2026-02-19T06:58:00-05:00,400.84,400.84,400.84,400.84,,,,,,,,,400.8,402.66,399.48,400.73220000000003,400.4037050000001,1,57.55
2026-02-19T06:59:00-05:00,400.81,400.81,400.75,400.76,,,,,,,,,400.8,402.66,399.48,400.73740000000004,400.4048550000001,270,68.1
2026-02-19T07:00:00-05:00,400.78,400.78,400.35,400.35,,,,,,,,,400.8,402.66,399.48,400.73800000000006,400.4040550000001,552,93
2026-02-19T07:01:00-05:00,400.37,400.37,400.01,400.2,,,,,,,,,400.8,402.66,399.48,400.7340000000001,400.4030550000001,369,109.2
2026-02-19T07:02:00-05:00,400.18,400.28,399.99,400,,,,,,,,,400.8,402.66,399.48,400.7282000000001,400.4004550000001,492,133.55
2026-02-19T07:03:00-05:00,400.07,400.2,400.07,400.19,,,,,,,,,400.8,402.66,399.48,400.7244000000001,400.39850500000017,165,141.05
2026-02-19T07:04:00-05:00,400.36,400.36,400.36,400.36,,,,,,,,,400.8,402.66,399.48,400.72400000000016,400.3989550000001,5,136.75
2026-02-19T07:05:00-05:00,400.2,400.2,400.06,400.15,,,,,,,,,400.8,402.66,399.48,400.7170000000001,400.3984000000001,113,138.7
2026-02-19T07:06:00-05:00,400.39,400.4,400.31,400.31,,,,,,,,,400.8,402.66,399.48,400.71180000000015,400.3974500000001,35,137.95
