time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-24T17:11:00-05:00,607.61,607.62,607.61,607.62,,,,,,,,,607.8000000000002,,,607.6198000000035,607.5725749999991,2,510.8
2026-02-24T17:14:00-05:00,607.65,607.65,607.65,607.65,,,,,,,,,607.8000000000002,,,607.6214000000034,607.5719249999992,26,510.4
2026-02-24T17:15:00-05:00,607.67,607.68,607.63,607.63,,,,,,,,,607.8000000000002,,,607.6210000000035,607.5697249999992,154,472.95
2026-02-24T17:16:00-05:00,607.62,607.62,607.62,607.62,,,,,,,,,607.8000000000002,,,607.6202000000035,607.5681749999992,7,243
2026-02-24T17:18:00-05:00,607.64,607.64,607.64,607.64,,,,,,,,,607.8000000000002,,,607.6198000000035,607.5673249999991,2,242.8
2026-02-24T17:21:00-05:00,607.61,607.61,607.58,607.58,,,,,,,,,607.8000000000002,,,607.6166000000034,607.5655749999992,9,188.25
2026-02-24T17:23:00-05:00,607.59,607.6,607.59,607.6,,,,,,,,,607.8000000000002,,,607.6138000000034,607.5635249999991,113,169.9
2026-02-24T17:25:00-05:00,607.6,607.6,607.6,607.6,,,,,,,,,607.8000000000002,,,607.6114000000034,607.5617749999992,16,156.35
2026-02-24T17:26:00-05:00,607.58,607.6,607.58,607.6,,,,,,,,,607.8000000000002,,,607.6100000000033,607.5592499999991,19,49.4
2026-02-24T17:28:00-05:00,607.57,607.57,607.57,607.57,,,,,,,,,607.8000000000002,,,607.6080000000034,607.5567999999992,6,48.7
2026-02-24T17:30:00-05:00,607.6,607.6,607.6,607.6,,,,,,,,,607.8000000000002,,,607.6064000000034,607.5545249999992,40,50.65
2026-02-24T17:32:00-05:00,607.58,607.58,607.58,607.58,,,,,,,,,607.8000000000002,,,607.6036000000034,607.5534249999993,1,40.95
2026-02-24T17:33:00-05:00,607.6,607.6,607.6,607.6,,,,,,,,,607.8000000000002,,,607.6008000000035,607.5520249999993,33,40.1
2026-02-24T17:36:00-05:00,607.56,607.56,607.55,607.55,,,,,,,,,607.8000000000002,,,607.5978000000034,607.5505749999993,128,42.85
2026-02-24T17:38:00-05:00,607.59,607.59,607.59,607.59,,,,,,,,,607.8000000000002,,,607.5962000000034,607.5500749999993,1,39.95
2026-02-24T17:41:00-05:00,607.59,607.59,607.59,607.59,,,,,,,,,607.8000000000002,,,607.5954000000033,607.5491249999993,9,34.1
2026-02-24T17:42:00-05:00,607.59,607.59,607.56,607.57,,,,,,,,,607.8000000000002,,,607.5948000000034,607.5475749999994,107,38.95
2026-02-24T17:46:00-05:00,607.58,607.58,607.57,607.57,,,,,,,,,607.8000000000002,,,607.5934000000034,607.5465749999993,2,39
2026-02-24T17:48:00-05:00,607.55,607.55,607.55,607.55,,,,,,,,,607.8000000000002,,,607.5912000000035,607.5447249999993,1,38.8
2026-02-24T17:50:00-05:00,607.589,607.589,607.589,607.589,,,,,,,,,607.8000000000002,,,607.5893800000034,607.5439199999993,6,34.1
2026-02-24T17:52:00-05:00,607.55,607.55,607.55,607.55,,,,,,,,,607.8000000000002,,,607.5875800000034,607.5426699999992,1,34.05
2026-02-24T17:54:00-05:00,607.6,607.66,607.59,607.66,,,,,,,,,607.8000000000002,,,607.5887800000035,607.5428699999992,951,80.3
2026-02-24T17:57:00-05:00,607.6,607.6,607.6,607.6,,,,,,,,,607.8000000000002,,,607.5887800000033,607.5438199999993,23,73.75
2026-02-24T17:59:00-05:00,607.63,607.63,607.63,607.63,,,,,,,,,607.8000000000002,,,607.5889800000034,607.5452699999992,1,73.45
2026-02-24T18:00:00-05:00,607.55,607.62,607.4,607.4,,,,,,,,,607.8000000000002,,,607.5847800000034,607.5451699999992,2252,185.95
2026-02-24T18:01:00-05:00,607.489,607.489,607.44,607.44,,,,,,,,,607.8000000000002,,,607.5821800000034,607.5447699999992,107,190.85
2026-02-24T18:02:00-05:00,607.38,607.38,607.26,607.26,,,,,,,,,607.8000000000002,,,607.5751800000035,607.5439199999993,331,201.75
2026-02-24T18:03:00-05:00,607.28,607.28,607.19,607.2,,,,,,,,,607.8000000000002,,,607.5661800000034,607.5430699999993,588,230.35
2026-02-24T18:04:00-05:00,607.239,607.239,607.09,607.11,,,,,,,,,607.8000000000002,,,607.5555800000035,607.5429699999993,682,263.5
2026-02-24T18:05:00-05:00,607.09,607.12,607,607.12,,,,,,,,,607.8000000000002,,,607.5449800000035,607.5430199999993,308,278.6
2026-02-24T18:06:00-05:00,607.12,607.15,607.02,607.02,,,,,,,,,607.8000000000002,,,607.5327800000035,607.5419699999993,904,321.8
2026-02-24T18:07:00-05:00,607.05,607.09,607.04,607.06,,,,,,,,,607.8000000000002,,,607.5239800000035,607.5414199999993,3386,491.05
2026-02-24T18:08:00-05:00,607.01,607.01,607.01,607.01,,,,,,,,,607.8000000000002,,,607.5149800000034,607.5403699999993,721,525.45
2026-02-24T18:09:00-05:00,607.16,607.16,607.16,607.16,,,,,,,,,607.8000000000002,,,607.5079800000035,607.5411199999993,600,549.05
2026-02-24T18:10:00-05:00,607.24,607.42,607.24,607.36,,,,,,,,,607.8000000000002,,,607.5043800000035,607.5423199999993,205,559.25
2026-02-24T18:11:00-05:00,607.38,607.43,607.38,607.43,,,,,,,,,607.8000000000002,,,607.5025800000035,607.5435249999992,127,565.15
2026-02-24T18:12:00-05:00,607.37,607.44,607.37,607.44,,,,,,,,,607.8000000000002,,,607.4997800000034,607.5450249999993,19,560.75
2026-02-24T18:13:00-05:00,607.45,607.49,607.439,607.49,,,,,,,,,607.8000000000002,,,607.4975800000034,607.5470749999993,206,570.95
2026-02-24T18:14:00-05:00,607.5,607.69,607.46,607.65,,,,,,,,,607.8000000000002,,,607.4983800000034,607.5496249999993,750,608.4
2026-02-24T18:15:00-05:00,607.66,607.73,607.66,607.73,,,,,,,,,607.8000000000002,,,607.5011800000034,607.5515749999993,920,654.1
2026-02-24T18:16:00-05:00,607.73,607.73,607.6,607.6,,,,,,,,,607.8000000000002,,,607.5013800000035,607.5535249999992,150,661.55
