Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=12.7x
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H + Yest H vol=12.7x pos=^96 vwap=above ema=bull rs=+0% adx=30 body=56% ramp=21.8x rangeATR=3.6 ⚡ O690.49 H691.32 L689.93 C691.27 ATR=6.35 SL=690.63/690.32 rawVol=249161 volSMA=19565 buf=0.318 prices=690.48/690.96
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=12.7x pos=^96 vwap=above ema=bull rs=+0% adx=30 body=56% ramp=21.8x rangeATR=3.6 ⚡ O690.49 H691.32 L689.93 C691.27 ATR=6.35 SL=690.63/690.32 rawVol=249161 volSMA=19565 buf=0.318 prices=
2026-01-26T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK Week H + ORB H vol=8.1x pos=^60 vwap=above ema=bull rs=+0% adx=32 body=58% ramp=41.5x rangeATR=1.8 O691.28 H691.99 L691.27 C691.7 ATR=6.35 SL=691.06/690.75 rawVol=264145 volSMA=32655 buf=0.318 prices=691.13/691.32
2026-01-26T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-01-26T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=0.08 → HOLD
2026-01-26T15:55:00.000-05:00,[KLB] 15:55 ▼ RNG range break vol=4.3x
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ RNG range break vol=7.6x
2026-01-27T09:55:00.000-05:00,[KLB] 9:55 ▲ RNG range break vol=4.1x
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=15.1x
