Date,Message
2026-01-26T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ VWAP vol=0.6x pos=^73 vwap=above ema=bull rs=+0.2% adx=42 body=62% ramp=1.1x rangeATR=2.7 ⚡ O250.97 H251.8 L250.87 C251.55 ATR=4.87 SL=251.06/250.82 rawVol=2025 volSMA=3616 buf=0.244 prices=
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ RNG range break vol=5.5x
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK PM H + ORB H vol=5.5x pos=^94 vwap=above ema=bull rs=+0.3% adx=38 body=66% ramp=34.3x rangeATR=3.6 ⚡ O251.22 H252.72 L250.62 C252.6 ATR=4.87 SL=252.11/251.87 rawVol=97709 volSMA=17828 buf=0.244 prices=251.96/251.86
2026-01-26T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-01-26T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=0.02 → BAIL
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=15.5x
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=15.5x pos=^74 vwap=above ema=bull rs=+0.4% adx=54 body=51% ramp=64.4x rangeATR=5.3 ⚡ O259.13 H260.74 L258.66 C260.2 ATR=5.13 SL=259.69/259.43 rawVol=395145 volSMA=25549 buf=0.257 prices=259.8
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=15.5x pos=^74 vwap=above ema=bull rs=+0.4% adx=54 body=51% ramp=64.4x rangeATR=5.3 ⚡ O259.13 H260.74 L258.66 C260.2 ATR=5.13 SL=259.69/259.43 rawVol=395145 volSMA=25549 buf=0.257 prices=
2026-01-27T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-01-27T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▲ pnl=0.07 → HOLD
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ BRK ORB H vol=2.9x pos=^68 vwap=above ema=bull rs=+0.6% adx=56 body=36% ramp=1.3x rangeATR=1.6 O260.62 H261.15 L260.38 C260.9 ATR=5.13 SL=260.39/260.13 rawVol=147968 volSMA=50435 buf=0.257 prices=260.74
2026-01-27T09:50:00.000-05:00,[KLB] CONF 9:50 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-01-27T09:55:00.000-05:00,[KLB] 5m CHECK 9:55 ▲ pnl=0.14 → HOLD
2026-01-27T14:10:00.000-05:00,[KLB] 14:10 ▼ ~ ~ PM H vol=0.7x pos=v95 vwap=below ema=bear rs=-0.1% adx=31 body=70% ramp=1.6x rangeATR=1.1 O259.82 H259.91 L259.54 C259.56 ATR=5.13 SL=260.07/260.33 rawVol=14785 volSMA=21492 buf=0.257 prices=259.8
