Date,Message
2026-02-02T09:50:00.000-05:00,[KLB] 9:50 ▼ RNG range break vol=3.9x
2026-02-02T11:30:00.000-05:00,[KLB] 11:30 ▼ ~ ~ VWAP vol=0.7x pos=v88 vwap=below ema=bear rs=-4.3% adx=28 body=67% ramp=1x rangeATR=0.8 O71.85 H72.03 L71.19 C71.29 ATR=7.74 SL=72.06/72.45 rawVol=336613 volSMA=470071 buf=0.387 prices=
2026-02-02T15:00:00.000-05:00,[KLB] 15:00 ▲ ~ ~ ORB L vol=1.2x pos=^81 vwap=above ema=bull rs=-1.1% adx=21 body=36% ramp=1.2x rangeATR=1.1 O73.29 H73.75 L72.92 C73.59 ATR=7.74 SL=72.82/72.43 rawVol=224166 volSMA=190804 buf=0.387 prices=73.05
2026-02-02T15:10:00.000-05:00,[KLB] 15:10 ▲ ~ ~ ORB L vol=0.8x pos=^92 vwap=above ema=bull rs=-1.3% adx=24 body=50% ramp=0.7x rangeATR=1.1 O73.09 H73.6 L72.72 C73.53 ATR=7.74 SL=72.76/72.37 rawVol=146187 volSMA=172875 buf=0.387 prices=73.05
2026-02-02T15:30:00.000-05:00,[KLB] 15:30 ▲ ~ ~ VWAP vol=0.9x pos=^87 vwap=above ema=bull rs=-1.7% adx=24 body=80% ramp=0.8x rangeATR=1.2 ⚠ O72.49 H73.29 L72.43 C73.18 ATR=7.74 SL=72.41/72.02 rawVol=142889 volSMA=158907 buf=0.387 prices=
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=3.2x pos=^93 vwap=above ema=bull rs=+0.8% adx=24 body=70% ramp=3.8x rangeATR=2.2 ⚡ O78.59 H79.7 L78.26 C79.6 ATR=7.7 SL=78.83/78.44 rawVol=557912 volSMA=175059 buf=0.385 prices=79.31
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ ORB L vol=3.2x pos=^93 vwap=above ema=bull rs=+0.8% adx=24 body=70% ramp=3.8x rangeATR=2.2 ⚡ O78.59 H79.7 L78.26 C79.6 ATR=7.7 SL=78.83/78.44 rawVol=557912 volSMA=175059 buf=0.385 prices=78.27
2026-02-03T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-02-03T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=0.03 → BAIL
2026-02-03T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ VWAP vol=2.6x pos=^92 vwap=above ema=bull rs=+1.6% adx=21 body=56% ramp=1.5x rangeATR=1.1 O79.87 H80.33 L79.61 C80.27 ATR=7.7 SL=79.5/79.11 rawVol=448082 volSMA=192635 buf=0.385 prices=
2026-02-03T12:45:00.000-05:00,[KLB] 12:45 ▼ BRK PM L vol=2.5x pos=v87 vwap=below ema=bear rs=-2.7% adx=32 body=87% ramp=1.2x rangeATR=2.3 ⚡ ⚠ O77.53 H77.53 L75.73 C75.97 ATR=7.7 SL=76.74/77.13 rawVol=664929 volSMA=271223 buf=0.385 prices=77.41
2026-02-03T13:12:00.000-05:00,[KLB] 13:12 ▼ ◆ ◆²⁸ PM L 0.2x v5 vol= pos= vwap=below ema=bear rs=-1.9% adx=38 body=69% ramp=0.5x rangeATR=1.4 🔇 O75.84 H76.72 L75.55 C76.65 ATR=7.7 SL=77.42/77.81 rawVol=248242 volSMA=292984 buf=0.385 prices=
2026-02-04T09:40:00.000-05:00,[KLB] 9:40 ▼ RNG range break vol=5.8x
2026-02-04T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ ORB L vol=3.5x pos=^97 vwap=above ema=bull rs=-0.9% adx=26 body=59% ramp=2.1x rangeATR=1.7 O81.22 H81.94 L80.79 C81.9 ATR=7.74 SL=81.13/80.74 rawVol=421480 volSMA=161574 buf=0.387 prices=81.5
2026-02-04T10:10:00.000-05:00,[KLB] 10:10 ▲ ~ ~ ORB L vol=2x pos=^79 vwap=above ema=bull rs=-0.8% adx=27 body=79% ramp=0.8x rangeATR=0.9 O81.28 H81.9 L81.28 C81.77 ATR=7.74 SL=81/80.61 rawVol=230824 volSMA=216558 buf=0.387 prices=81.5
2026-02-04T10:35:00.000-05:00,[KLB] 10:35 ▼ BRK PM L vol=1.6x pos=v90 vwap=below ema=bear rs=-4.3% adx=33 body=79% ramp=1.8x rangeATR=2.2 ⚡ O80.25 H80.44 L78.62 C78.81 ATR=7.74 SL=79.58/79.97 rawVol=466478 volSMA=291616 buf=0.387 prices=79.9
2026-02-04T10:35:00.000-05:00,[KLB] 10:35 ▼ ~ ~ Yest H vol=1.6x pos=v90 vwap=below ema=bear rs=-4.3% adx=33 body=79% ramp=1.8x rangeATR=2.2 ⚡ O80.25 H80.44 L78.62 C78.81 ATR=7.74 SL=79.58/79.97 rawVol=466478 volSMA=291616 buf=0.387 prices=80.72
