Date,Message
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=13.6x
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=13.6x pos=^76 vwap=above ema=bull rs=+0.1% adx=23 body=75% ramp=13.6x rangeATR=4.5 ⚡ O618.7 H621.76 L618.66 C621.02 ATR=8.48 SL=620.17/619.75 rawVol=314344 volSMA=23101 buf=0.424 prices=618.8
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=13.6x pos=^76 vwap=above ema=bull rs=+0.1% adx=23 body=75% ramp=13.6x rangeATR=4.5 ⚡ O618.7 H621.76 L618.66 C621.02 ATR=8.48 SL=620.17/619.75 rawVol=314344 volSMA=23101 buf=0.424 prices=
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=10.1x pos=^76 vwap=above ema=bull rs=+0.3% adx=26 body=57% ramp=19.9x rangeATR=3 ⚡ O621.05 H623.02 L620.6 C622.43 ATR=8.48 SL=621.58/621.16 rawVol=169868 volSMA=31251 buf=0.424 prices=621.76
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ Yest L vol=10.1x pos=^76 vwap=above ema=bull rs=+0.3% adx=26 body=57% ramp=19.9x rangeATR=3 ⚡ O621.05 H623.02 L620.6 C622.43 ATR=8.48 SL=621.58/621.16 rawVol=169868 volSMA=31251 buf=0.424 prices=619.3
2026-02-02T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-02-02T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=0.06 → HOLD
2026-02-02T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK PD Mid vol=3x pos=^56 vwap=above ema=bull rs=+0.4% adx=36 body=56% ramp=0.7x rangeATR=1.5 O623.6 H624.91 L623.6 C624.33 ATR=8.48 SL=623.48/623.06 rawVol=144279 volSMA=47829 buf=0.424 prices=
2026-02-02T09:55:00.000-05:00,[KLB] CONF 9:55 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-02-02T10:00:00.000-05:00,[KLB] 5m CHECK 10:00 ▲ pnl=-0.08 → BAIL
2026-02-02T10:05:00.000-05:00,[KLB] 10:05 ▲ BRK PD Mid vol=2.1x pos=^100 vwap=above ema=bull rs=+0.4% adx=41 body=75% ramp=1x rangeATR=1.6 O623.72 H624.85 L623.34 C624.85 ATR=8.48 SL=624/623.58 rawVol=122605 volSMA=58798 buf=0.424 prices=
2026-02-02T10:05:00.000-05:00,[KLB] CONF 10:05 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-02-02T10:10:00.000-05:00,[KLB] 5m CHECK 10:10 ▲ pnl=0.1 → HOLD
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=14.3x
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14.3x pos=v69 vwap=below ema=bear rs=-0.2% adx=26 body=53% ramp=15.9x rangeATR=5.4 ⚡ O628.25 H628.68 L625.98 C626.83 ATR=8.57 SL=627.69/628.12 rawVol=177778 volSMA=12395 buf=0.429 prices=628.07
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=14.3x pos=v69 vwap=below ema=bear rs=-0.2% adx=26 body=53% ramp=15.9x rangeATR=5.4 ⚡ O628.25 H628.68 L625.98 C626.83 ATR=8.57 SL=627.69/628.12 rawVol=177778 volSMA=12395 buf=0.429 prices=
2026-02-03T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=9.4x pos=v88 vwap=below ema=bear rs=-0.4% adx=30 body=67% ramp=18.4x rangeATR=3.3 ⚡ O626.85 H627.26 L625.27 C625.51 ATR=8.57 SL=626.37/626.8 rawVol=133069 volSMA=18941 buf=0.429 prices=625.98
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Yest H vol=9.4x pos=v88 vwap=below ema=bear rs=-0.4% adx=30 body=67% ramp=18.4x rangeATR=3.3 ⚡ O626.85 H627.26 L625.27 C625.51 ATR=8.57 SL=626.37/626.8 rawVol=133069 volSMA=18941 buf=0.429 prices=628.49
2026-02-03T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-03T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK PD LH L vol=6.6x pos=v74 vwap=below ema=bear rs=-0.6% adx=34 body=59% ramp=24.4x rangeATR=3.6 ⚡ O625.51 H625.91 L623.19 C623.91 ATR=8.57 SL=624.77/625.2 rawVol=184777 volSMA=28099 buf=0.429 prices=
2026-02-03T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-03T09:50:00.000-05:00,[KLB] 5m CHECK 9:50 ▼ pnl=-0.13 → BAIL
2026-02-03T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK PD Mid vol=2.7x pos=v100 vwap=below ema=bear rs=-0.6% adx=41 body=99% ramp=1.3x rangeATR=2.1 ⚡ ⚠ O624.93 H624.94 L623.08 C623.08 ATR=8.57 SL=623.94/624.37 rawVol=104583 volSMA=39347 buf=0.429 prices=
2026-02-03T09:55:00.000-05:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-03T10:00:00.000-05:00,[KLB] 5m CHECK 10:00 ▼ pnl=0.25 → HOLD
2026-02-03T10:25:00.000-05:00,[KLB] 10:25 ▼ BRK Yest L + Week L vol=2x pos=v99 vwap=below ema=bear rs=-1% adx=60 body=76% ramp=0.9x rangeATR=2.3 ⚡ O619.59 H620.28 L617.25 C617.28 ATR=8.57 SL=618.14/618.57 rawVol=194708 volSMA=96176 buf=0.429 prices=618.66/618.27
2026-02-03T10:25:00.000-05:00,[KLB] CONF 10:25 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-03T10:30:00.000-05:00,[KLB] 5m CHECK 10:30 ▼ pnl=-0.19 → BAIL
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=14.1x
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14.1x pos=v65 vwap=below ema=bear rs=-0.3% adx=37 body=63% ramp=15.2x rangeATR=4.9 ⚡ O615.02 H615.07 L611.29 C612.62 ATR=9.32 SL=613.55/614.02 rawVol=286632 volSMA=20287 buf=0.466 prices=613.6
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=14.1x pos=v65 vwap=below ema=bear rs=-0.3% adx=37 body=63% ramp=15.2x rangeATR=4.9 ⚡ O615.02 H615.07 L611.29 C612.62 ATR=9.32 SL=613.55/614.02 rawVol=286632 volSMA=20287 buf=0.466 prices=
2026-02-04T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-04T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ PM L + ~ PD LH L vol=5.6x pos=^75 vwap=above ema=bear rs=-0.2% adx=38 body=57% ramp=25.2x rangeATR=3.1 ⚡ O612.62 H614.98 L612.12 C614.26 ATR=9.32 SL=613.33/612.86 rawVol=156942 volSMA=28086 buf=0.466 prices=613.6
2026-02-04T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.18 → BAIL
2026-02-04T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK PM L vol=3x pos=v48 vwap=below ema=bear rs=-0.3% adx=41 body=38% ramp=0.8x rangeATR=2.3 ⚡ O614.08 H614.36 L611.6 C613.04 ATR=9.32 SL=613.97/614.44 rawVol=135741 volSMA=45680 buf=0.466 prices=613.6
2026-02-04T09:55:00.000-05:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-04T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK Yest L + ORB L + PD LH L vol=2.7x pos=v93 vwap=below ema=bear rs=-0.4% adx=43 body=87% ramp=0.6x rangeATR=2.3 ⚡ ⚠ O613.05 H613.25 L610.21 C610.42 ATR=9.32 SL=611.35/611.82 rawVol=104044 volSMA=50703 buf=0.466 prices=610.96/611.29
2026-02-04T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-04T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=0.11 → HOLD
2026-02-04T10:20:00.000-05:00,[KLB] 10:20 ▼ BRK Yest L vol=1.6x pos=v79 vwap=below ema=bear rs=-0.5% adx=46 body=50% ramp=0.9x rangeATR=1 O611.07 H611.48 L610.07 C610.36 ATR=9.32 SL=611.29/611.76 rawVol=78360 volSMA=81413 buf=0.466 prices=610.96
2026-02-04T10:20:00.000-05:00,[KLB] CONF 10:20 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-04T10:25:00.000-05:00,[KLB] 5m CHECK 10:25 ▼ pnl=-0.18 → BAIL
2026-02-05T09:40:00.000-05:00,[KLB] 9:40 ▲ RNG range break vol=8.5x
2026-02-05T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ VWAP vol=8.5x pos=^98 vwap=above ema=bear rs=+0.3% adx=34 body=60% ramp=20.8x rangeATR=2.4 ⚡ O601.21 H603.39 L599.88 C603.33 ATR=9.8 SL=602.35/601.86 rawVol=317120 volSMA=53891 buf=0.49 prices=
2026-02-05T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK Yest L vol=2.1x pos=v89 vwap=below ema=bear rs=+0.1% adx=28 body=77% ramp=0.6x rangeATR=1.6 O602.43 H602.76 L599.95 C600.27 ATR=9.8 SL=601.25/601.74 rawVol=200734 volSMA=95741 buf=0.49 prices=600.47
2026-02-05T10:00:00.000-05:00,"[KLB] 10:00 ▼ ~ ~ ORB H
~ VWAP vol=2.1x pos=v89 vwap=below ema=bear rs=+0.1% adx=28 body=77% ramp=0.6x rangeATR=1.6 O602.43 H602.76 L599.95 C600.27 ATR=9.8 SL=601.25/601.74 rawVol=200734 volSMA=95741 buf=0.49 prices=601.25"
2026-02-05T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-05T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L vol=2.5x pos=v80 vwap=below ema=bear rs=0% adx=29 body=54% ramp=0.7x rangeATR=1.7 O600.26 H601.02 L598.04 C598.64 ATR=9.8 SL=599.62/600.11 rawVol=274371 volSMA=108975 buf=0.49 prices=598.74
2026-02-05T10:05:00.000-05:00,[KLB] 10:05 ▼ ~ ~ ORB H vol=2.5x pos=v80 vwap=below ema=bear rs=0% adx=29 body=54% ramp=0.7x rangeATR=1.7 O600.26 H601.02 L598.04 C598.64 ATR=9.8 SL=599.62/600.11 rawVol=274371 volSMA=108975 buf=0.49 prices=601.25
2026-02-05T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-05T10:10:00.000-05:00,[KLB] 5m CHECK 10:10 ▼ pnl=0.08 → HOLD
2026-02-05T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK ORB L vol=1.6x pos=v99 vwap=below ema=bear rs=-0.2% adx=32 body=79% ramp=1.1x rangeATR=1.8 O597.86 H598.53 L595.08 C595.13 ATR=9.8 SL=596.11/596.6 rawVol=196431 volSMA=126765 buf=0.49 prices=597.35
2026-02-05T10:15:00.000-05:00,[KLB] CONF 10:15 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-05T10:20:00.000-05:00,[KLB] 5m CHECK 10:20 ▼ pnl=-0.2 → BAIL
2026-02-06T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=12.6x
2026-02-09T09:40:00.000-05:00,[KLB] 9:40 ▲ RNG range break vol=7.2x
2026-02-10T09:40:00.000-05:00,[KLB] 9:40 ▼ RNG range break vol=10.3x
2026-02-10T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Yest H vol=10.3x pos=v68 vwap=below ema=bull rs=-0.1% adx=22 body=52% ramp=21.7x rangeATR=3.2 ⚡ O615.06 H615.37 L613.49 C614.09 ATR=10.29 SL=615.12/615.63 rawVol=191330 volSMA=31814 buf=0.515 prices=616.46
2026-02-10T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L vol=3x pos=v65 vwap=below ema=bear rs=-0.2% adx=28 body=58% ramp=1.2x rangeATR=1.9 O613.71 H613.8 L612.44 C612.92 ATR=10.29 SL=613.95/614.46 rawVol=117555 volSMA=43283 buf=0.515 prices=613.31
2026-02-10T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ VWAP vol=3x pos=v65 vwap=below ema=bear rs=-0.2% adx=28 body=58% ramp=1.2x rangeATR=1.9 O613.71 H613.8 L612.44 C612.92 ATR=10.29 SL=613.95/614.46 rawVol=117555 volSMA=43283 buf=0.515 prices=
2026-02-10T09:50:00.000-05:00,[KLB] CONF 9:50 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-10T09:55:00.000-05:00,[KLB] 5m CHECK 9:55 ▼ pnl=-0.21 → BAIL
2026-02-10T10:05:00.000-05:00,[KLB] 10:05 ▲ ~ ~ VWAP vol=1.7x pos=^90 vwap=above ema=bull rs=0% adx=24 body=43% ramp=0.7x rangeATR=0.7 O615.69 H616 L615.42 C615.94 ATR=10.29 SL=614.91/614.4 rawVol=69154 volSMA=57623 buf=0.515 prices=
2026-02-11T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Yest H vol=8x pos=v87 vwap=below ema=bull rs=-0.1% adx=37 body=49% ramp=14.6x rangeATR=2.3 ⚡ O615.63 H616.33 L614.5 C614.74 ATR=9.98 SL=615.74/616.24 rawVol=176746 volSMA=34242 buf=0.499 prices=617.02
2026-02-11T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ ORB L vol=3.5x pos=^86 vwap=above ema=bull rs=+0% adx=35 body=77% ramp=16.2x rangeATR=1.6 O614.71 H615.93 L614.6 C615.74 ATR=9.98 SL=614.74/614.24 rawVol=145370 volSMA=41358 buf=0.499 prices=615.17
2026-02-11T10:25:00.000-05:00,[KLB] 10:25 ▼ BRK PM L vol=1.6x pos=v87 vwap=below ema=bear rs=-0.4% adx=34 body=79% ramp=1.6x rangeATR=1.4 O609.53 H609.66 L607.87 C608.11 ATR=9.98 SL=609.11/609.61 rawVol=142085 volSMA=86113 buf=0.499 prices=609.88
2026-02-11T10:25:00.000-05:00,[KLB] CONF 10:25 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-11T10:30:00.000-05:00,[KLB] 5m CHECK 10:30 ▼ pnl=0 → BAIL
2026-02-11T11:05:00.000-05:00,[KLB] 11:05 ▼ ~ ~ VWAP vol=0.7x pos=v89 vwap=below ema=bear rs=-0.2% adx=30 body=57% ramp=0.9x rangeATR=1 O612.2 H612.67 L611.2 C611.36 ATR=9.98 SL=612.36/612.86 rawVol=54076 volSMA=115674 buf=0.499 prices=
2026-02-11T12:05:00.000-05:00,[KLB] 12:05 ▼ BRK Yest L + PD LH L vol=1.5x pos=v80 vwap=below ema=bear rs=-0.3% adx=22 body=72% ramp=1.8x rangeATR=0.8 O610.65 H610.73 L609.74 C609.94 ATR=9.98 SL=610.94/611.44 rawVol=93661 volSMA=62104 buf=0.499 prices=611.01
2026-02-11T12:07:00.000-05:00,[KLB] 12:07 ▼ ◆ ◆³ Yest L 0.1x v19 vol= pos= vwap=below ema=bear rs=-0.3% adx=22 body=72% ramp=1.8x rangeATR=0.8 O610.65 H610.73 L609.74 C609.94 ATR=9.98 SL=610.94/611.44 rawVol=93661 volSMA=62104 buf=0.499 prices=
2026-02-11T12:21:00.000-05:00,[KLB] CONF 12:21 ▼ BRK → ✗ (failed)
2026-02-11T12:25:00.000-05:00,[KLB] 12:25 ▲ FADE at 611.01
2026-02-12T09:45:00.000-05:00,[KLB] 9:45 ▼ RNG range break vol=5.7x
2026-02-12T09:45:00.000-05:00,"[KLB] 9:45 ▼ ~ ~ ORB H
~ VWAP vol=5.7x pos=v96 vwap=below ema=bull rs=-0.1% adx=23 body=62% ramp=26.6x rangeATR=3.1 ⚡ O615.05 H615.72 L613.72 C613.81 ATR=9.97 SL=614.81/615.31 rawVol=156822 volSMA=27626 buf=0.499 prices=615.45"
2026-02-12T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK PD Mid vol=2.8x pos=v77 vwap=below ema=bear rs=-0.3% adx=28 body=76% ramp=1.1x rangeATR=2.4 ⚡ O612.94 H612.97 L610.87 C611.35 ATR=9.97 SL=612.35/612.85 rawVol=144822 volSMA=51742 buf=0.499 prices=
2026-02-12T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA+morning)
