Date,Message
2026-01-26T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=3.2x
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=6.2x pos=^76 vwap=above ema=bull rs=+0% adx=28 body=37% ramp=14.8x rangeATR=1.3 O467.46 H468.02 L467.1 C467.8 ATR=7.52 SL=467.05/466.67 rawVol=130157 volSMA=20862 buf=0.376 prices=467.5
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ VWAP vol=6.2x pos=^76 vwap=above ema=bull rs=+0% adx=28 body=37% ramp=14.8x rangeATR=1.3 O467.46 H468.02 L467.1 C467.8 ATR=7.52 SL=467.05/466.67 rawVol=130157 volSMA=20862 buf=0.376 prices=
2026-01-26T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-01-26T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=-0.09 → BAIL
2026-01-26T14:00:00.000-05:00,[KLB] 14:00 ▼ ~ ~ VWAP vol=1x pos=v96 vwap=below ema=bear rs=-0.6% adx=23 body=95% ramp=0.7x rangeATR=1.2 ⚠ O467.01 H467.02 L465.88 C465.93 ATR=7.52 SL=466.68/467.06 rawVol=35956 volSMA=37648 buf=0.376 prices=
2026-01-26T14:05:00.000-05:00,[KLB] 14:05 ▼ BRK PM L vol=3.8x pos=v72 vwap=below ema=bear rs=-1.1% adx=25 body=68% ramp=1.2x rangeATR=2.8 ⚡ O465.9 H466 L462.91 C463.79 ATR=7.52 SL=464.54/464.92 rawVol=171684 volSMA=44756 buf=0.376 prices=464.63
2026-01-26T14:06:00.000-05:00,[KLB] 14:06 ▼ ◆ ◆² PM L 0.2x v5 vol= pos= vwap=below ema=bear rs=-1.1% adx=25 body=68% ramp=1.2x rangeATR=2.8 ⚡ O465.9 H466 L462.91 C463.79 ATR=7.52 SL=464.54/464.92 rawVol=171684 volSMA=44756 buf=0.376 prices=
2026-01-26T15:32:00.000-05:00,[KLB] CONF 15:32 ▼ BRK → ✗ (failed)
2026-01-26T15:35:00.000-05:00,[KLB] 15:35 ▲ FADE at 464.63
2026-01-27T09:50:00.000-05:00,"[KLB] 9:50 ▼ ~ ~ Yest H + ~ ORB H
~ VWAP vol=1.7x pos=v85 vwap=below ema=bear rs=+0.1% adx=25 body=83% ramp=1.5x rangeATR=1.7 ⚠ O466.9 H466.94 L465.33 C465.57 ATR=7.79 SL=466.35/466.74 rawVol=42906 volSMA=25293 buf=0.39 prices=469.28/466.33"
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK ORB L + PD Mid vol=2.3x pos=v79 vwap=below ema=bear rs=-0.3% adx=26 body=78% ramp=0.5x rangeATR=1.2 O465.41 H465.42 L464.25 C464.5 ATR=7.79 SL=465.28/465.67 rawVol=51644 volSMA=27864 buf=0.39 prices=465.01
2026-01-27T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-27T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=-0.11 → BAIL
2026-01-27T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK ORB L vol=2.4x pos=v68 vwap=below ema=bear rs=-0.2% adx=25 body=36% ramp=1.4x rangeATR=1.7 O465.48 H466.06 L464.27 C464.84 ATR=7.79 SL=465.62/466.01 rawVol=89035 volSMA=37351 buf=0.39 prices=465.01
2026-01-27T10:15:00.000-05:00,[KLB] CONF 10:15 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-27T10:20:00.000-05:00,[KLB] 5m CHECK 10:20 ▼ pnl=-0.17 → BAIL
2026-01-27T10:30:00.000-05:00,[KLB] 10:30 ▼ ~ ~ ORB H vol=0.8x pos=v85 vwap=below ema=bear rs=+0.1% adx=24 body=66% ramp=0.6x rangeATR=0.8 O466.54 H466.7 L465.84 C465.97 ATR=7.79 SL=466.75/467.14 rawVol=33440 volSMA=42633 buf=0.39 prices=466.33
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▲ RNG range break vol=5.3x
2026-01-28T10:10:00.000-05:00,[KLB] 10:10 ▼ RNG range break vol=7.5x
2026-01-29T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=3.5x
2026-01-29T10:05:00.000-05:00,[KLB] 10:05 ▼ RNG range break vol=4.3x
2026-01-29T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L vol=4.3x pos=v67 vwap=below ema=bear rs=-0.7% adx=21 body=67% ramp=1.2x rangeATR=2.6 ⚡ O504.99 H504.99 L499.87 C501.57 ATR=8.96 SL=502.47/502.91 rawVol=457889 volSMA=105690 buf=0.448 prices=502.81
2026-01-29T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-29T10:10:00.000-05:00,[KLB] 5m CHECK 10:10 ▼ pnl=0.45 → HOLD
2026-01-29T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK VW Band vol=3x pos=v73 vwap=below ema=bear rs=-1.9% adx=28 body=51% ramp=1.7x rangeATR=2.3 ⚡ O497.73 H499.03 L493.22 C494.77 ATR=8.96 SL=495.67/496.11 rawVol=298298 volSMA=140572 buf=0.448 prices=
2026-01-29T10:15:00.000-05:00,[KLB] CONF 10:15 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-29T10:20:00.000-05:00,[KLB] 10:20 ▼ ~ ~ Yest H vol=2.9x pos=v48 vwap=below ema=bear rs=-2.8% adx=32 body=47% ramp=1.3x rangeATR=3.4 ⚡ O494.88 H495.05 L484.8 C490.08 ATR=8.96 SL=490.98/491.42 rawVol=465367 volSMA=163119 buf=0.448 prices=495.88
2026-01-29T10:20:00.000-05:00,[KLB] 5m CHECK 10:20 ▼ pnl=0.52 → HOLD
2026-01-29T10:25:00.000-05:00,[KLB] 10:25 ▼ BRK PD Mid + PD LH L vol=2.7x pos=v99 vwap=below ema=bear rs=-3.6% adx=35 body=51% ramp=0.9x rangeATR=2 ⚡ O490.12 H493.31 L486.58 C486.66 ATR=8.96 SL=487.56/488 rawVol=252722 volSMA=174231 buf=0.448 prices=
2026-01-29T10:25:00.000-05:00,[KLB] CONF 10:25 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-29T10:30:00.000-05:00,[KLB] 10:30 ▼ BRK Yest L vol=2.9x pos=v59 vwap=below ema=bear rs=-5.3% adx=39 body=51% ramp=1.1x rangeATR=4.3 ⚡ O486.66 H488 L469.09 C476.93 ATR=8.96 SL=477.83/478.27 rawVol=583122 volSMA=202774 buf=0.448 prices=481.25
2026-01-29T10:30:00.000-05:00,[KLB] 5m CHECK 10:30 ▼ pnl=1.09 → HOLD
2026-01-29T10:30:00.000-05:00,[KLB] 10:30 ▼ ◆ ◆¹ Yest L 0.4x v34 vol= pos= vwap=below ema=bear rs=-5.3% adx=39 body=51% ramp=1.1x rangeATR=4.3 ⚡ O486.66 H488 L469.09 C476.93 ATR=8.96 SL=477.83/478.27 rawVol=583122 volSMA=202774 buf=0.448 prices=
2026-01-29T11:05:00.000-05:00,[KLB] CONF 11:05 ▼ BRK → ✗ (failed)
2026-01-29T11:10:00.000-05:00,[KLB] 11:10 ▲ FADE at 481.25
2026-01-29T12:25:00.000-05:00,[KLB] 12:25 ▼ ~ ~ VWAP vol=0.9x pos=v72 vwap=below ema=bear rs=-3.1% adx=33 body=37% ramp=1.2x rangeATR=0.5 O490.56 H491.26 L489.28 C489.83 ATR=8.96 SL=490.73/491.17 rawVol=118079 volSMA=128427 buf=0.448 prices=
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=6.1x
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=6.1x pos=^91 vwap=above ema=bear rs=+0.5% adx=30 body=60% ramp=4.5x rangeATR=2 ⚡ O466.29 H470 L464.66 C469.51 ATR=11.26 SL=468.38/467.82 rawVol=216480 volSMA=35426 buf=0.563 prices=
2026-01-30T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK Yest L vol=5.1x pos=v51 vwap=above ema=bear rs=+0.2% adx=30 body=39% ramp=7.4x rangeATR=1.2 O469.44 H469.82 L466.7 C468.22 ATR=11.26 SL=469.35/469.91 rawVol=228952 volSMA=45100 buf=0.563 prices=468.51
2026-01-30T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-30T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▼ pnl=0.1 → HOLD
2026-01-30T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK ORB L vol=2.9x pos=v93 vwap=below ema=bear rs=-0.5% adx=26 body=75% ramp=0.9x rangeATR=1.8 O467.8 H468.65 L463.7 C464.07 ATR=11.26 SL=465.2/465.76 rawVol=185307 volSMA=64887 buf=0.563 prices=464.66
2026-01-30T09:55:00.000-05:00,[KLB] 9:55 ▼ ~ ~ VWAP vol=2.9x pos=v93 vwap=below ema=bear rs=-0.5% adx=26 body=75% ramp=0.9x rangeATR=1.8 O467.8 H468.65 L463.7 C464.07 ATR=11.26 SL=465.2/465.76 rawVol=185307 volSMA=64887 buf=0.563 prices=
2026-01-30T09:55:00.000-05:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-30T10:00:00.000-05:00,[KLB] 5m CHECK 10:00 ▼ pnl=0.12 → HOLD
2026-01-30T10:05:00.000-05:00,[KLB] 10:05 ▼ RNG range break vol=3.3x
2026-01-30T10:05:00.000-05:00,[KLB] 10:05 ▼ ~ ~ Week H vol=3.3x pos=v94 vwap=below ema=bear rs=-1.7% adx=26 body=86% ramp=1.6x rangeATR=1.7 ⚠ O462.5 H462.89 L457.84 C458.16 ATR=11.26 SL=459.29/459.85 rawVol=311466 volSMA=93197 buf=0.563 prices=458.75
2026-01-30T11:50:00.000-05:00,[KLB] 11:50 ▼ ~ ~ Week H vol=1.1x pos=v78 vwap=below ema=bear rs=-1.7% adx=20 body=64% ramp=1x rangeATR=1.5 O460.47 H461 L456.98 C457.88 ATR=11.26 SL=459.01/459.57 rawVol=127049 volSMA=119087 buf=0.563 prices=458.75
2026-01-30T12:10:00.000-05:00,[KLB] 12:10 ▼ BRK PM L vol=1.7x pos=v94 vwap=below ema=bear rs=-2.4% adx=23 body=90% ramp=1.1x rangeATR=1.6 ⚠ O457.25 H457.41 L452.84 C453.12 ATR=11.26 SL=454.25/454.81 rawVol=208544 volSMA=124770 buf=0.563 prices=454
2026-01-30T12:11:00.000-05:00,[KLB] 12:11 ▼ ◆ ◆² PM L 0.2x v91 vol= pos= vwap=below ema=bear rs=-2.4% adx=23 body=90% ramp=1.1x rangeATR=1.6 ⚠ O457.25 H457.41 L452.84 C453.12 ATR=11.26 SL=454.25/454.81 rawVol=208544 volSMA=124770 buf=0.563 prices=
2026-01-30T13:25:00.000-05:00,[KLB] 13:25 ▼ BRK Week L vol=2x pos=v75 vwap=below ema=bear rs=-6.5% adx=48 body=53% ramp=1.8x rangeATR=1.7 O437.38 H438.93 L432.01 C433.72 ATR=11.26 SL=434.85/435.41 rawVol=393553 volSMA=192433 buf=0.563 prices=434.1
2026-01-30T13:25:00.000-05:00,[KLB] CONF 13:25 ▼ BRK → ✓ (auto-promote)
2026-01-30T13:28:00.000-05:00,[KLB] 13:28 ▼ ◆ ◆⁴ Week L 0.3x v96 vol= pos= vwap=below ema=bear rs=-6.5% adx=48 body=53% ramp=1.8x rangeATR=1.7 O437.38 H438.93 L432.01 C433.72 ATR=11.26 SL=434.85/435.41 rawVol=393553 volSMA=192433 buf=0.563 prices=
2026-01-30T13:30:00.000-05:00,[KLB] 5m CHECK 13:30 ▼ pnl=-0.22 → BAIL
2026-01-30T13:41:00.000-05:00,[KLB] CONF 13:41 ▼ BRK → ✗ (failed)
2026-01-30T13:45:00.000-05:00,[KLB] 13:45 ▲ FADE at 434.1
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=6.2x
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=6.2x pos=^95 vwap=above ema=bear rs=+0.6% adx=22 body=74% ramp=5.1x rangeATR=1.9 O434.01 H437.81 L432.97 C437.59 ATR=15.11 SL=436.08/435.32 rawVol=229129 volSMA=36849 buf=0.755 prices=
2026-02-02T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ ORB H vol=3.7x pos=v88 vwap=below ema=bear rs=-0.3% adx=21 body=62% ramp=2.4x rangeATR=1.2 O436.98 H437.87 L434.57 C434.95 ATR=15.11 SL=436.46/437.22 rawVol=195778 volSMA=64838 buf=0.755 prices=437.81
