Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ PM H + ~ Week H vol=12.9x pos=v97 vwap=below ema=bull rs=-0.4% adx=27 body=45% ramp=123.9x rangeATR=4 ⚡ O240.01 H240.94 L239.16 C239.21 ATR=5.46 SL=239.76/240.03 rawVol=85396 volSMA=6640 buf=0.273 prices=240.66/240.45
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▼ RNG range break vol=8.6x
2026-01-26T09:45:00.000-05:00,"[KLB] 9:45 ▼ ~ ~ Yest H
~ VWAP vol=8.6x pos=v85 vwap=below ema=bull rs=-1.1% adx=26 body=82% ramp=19.4x rangeATR=3.3 ⚡ ⚠ O239.34 H239.4 L237.54 C237.81 ATR=5.46 SL=238.36/238.63 rawVol=140603 volSMA=16374 buf=0.273 prices=240.45"
2026-01-26T10:20:00.000-05:00,[KLB] 10:20 ▲ ~ ~ ORB L vol=0.9x pos=^97 vwap=above ema=bull rs=-0.6% adx=23 body=84% ramp=0.6x rangeATR=1.1 ⚠ O238.79 H239.4 L238.7 C239.38 ATR=5.46 SL=238.83/238.56 rawVol=23485 volSMA=27189 buf=0.273 prices=239.16
2026-01-26T10:25:00.000-05:00,"[KLB] 10:25 ▲ ~ ~ ORB L
~ VWAP vol=1x pos=^73 vwap=above ema=bull rs=-0.6% adx=21 body=43% ramp=0.9x rangeATR=0.5 O239.36 H239.57 L239.27 C239.49 ATR=5.46 SL=238.94/238.67 rawVol=27792 volSMA=28378 buf=0.273 prices=239.16"
2026-01-26T10:35:00.000-05:00,[KLB] 10:35 ▲ ~ ~ ORB L vol=0.8x pos=^92 vwap=above ema=bull rs=-0.5% adx=20 body=89% ramp=1x rangeATR=1.1 ⚠ O238.94 H239.57 L238.92 C239.52 ATR=5.46 SL=238.97/238.7 rawVol=23720 volSMA=30491 buf=0.273 prices=239.16
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=14.5x
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=9.4x pos=v68 vwap=below ema=bull rs=-0.4% adx=20 body=68% ramp=60.8x rangeATR=3.3 ⚡ O239.34 H239.34 L238.08 C238.48 ATR=5.31 SL=239.01/239.28 rawVol=68675 volSMA=9469 buf=0.266 prices=
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ PM L + ~ ORB L vol=4.2x pos=^97 vwap=above ema=bull rs=0% adx=21 body=97% ramp=58x rangeATR=2.6 ⚡ ⚠ O238.49 H239.61 L238.49 C239.58 ATR=5.31 SL=239.04/238.78 rawVol=50332 volSMA=11977 buf=0.266 prices=239.2/238.81
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK PM L + PD Mid vol=2.3x pos=v96 vwap=below ema=bear rs=-0.5% adx=21 body=96% ramp=0.6x rangeATR=2.2 ⚡ ⚠ O239.82 H239.82 L238.72 C238.76 ATR=5.31 SL=239.29/239.56 rawVol=41619 volSMA=17837 buf=0.266 prices=239.2
2026-01-27T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-27T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=-0.11 → BAIL
2026-01-27T10:15:00.000-05:00,[KLB] 10:15 ▲ BRK ORB H vol=2.7x pos=^74 vwap=above ema=bull rs=+0.2% adx=21 body=73% ramp=1.3x rangeATR=1.3 O239.94 H240.67 L239.93 C240.48 ATR=5.31 SL=239.95/239.68 rawVol=69171 volSMA=25844 buf=0.266 prices=240.23
