Date,Message
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=13.7x
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H + PD Mid vol=13.7x pos=^100 vwap=above ema=bull rs=+2.2% adx=39 body=91% ramp=6x rangeATR=5.5 ⚡ ⚠ O235.62 H241.54 L235 C241.54 ATR=11.24 SL=240.42/239.85 rawVol=193437 volSMA=14097 buf=0.562 prices=237.67
2026-02-02T09:35:00.000-05:00,"[KLB] 9:35 ▲ ~ ~ Yest L
~ VWAP vol=13.7x pos=^100 vwap=above ema=bull rs=+2.2% adx=39 body=91% ramp=6x rangeATR=5.5 ⚡ ⚠ O235.62 H241.54 L235 C241.54 ATR=11.24 SL=240.42/239.85 rawVol=193437 volSMA=14097 buf=0.562 prices=234.55"
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=8.2x pos=^96 vwap=above ema=bull rs=+3.1% adx=42 body=59% ramp=20.6x rangeATR=2.9 ⚡ O241.52 H244.09 L239.97 C243.94 ATR=11.24 SL=242.82/242.25 rawVol=194579 volSMA=23736 buf=0.562 prices=241.54
2026-02-02T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-02-02T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=0.06 → HOLD
2026-02-02T10:05:00.000-05:00,[KLB] 10:05 ▲ BRK Yest H vol=2.7x pos=^100 vwap=above ema=bull rs=+3.7% adx=53 body=96% ramp=0.6x rangeATR=1 ⚠ O244.55 H245.9 L244.5 C245.9 ATR=11.24 SL=244.78/244.21 rawVol=127668 volSMA=47078 buf=0.562 prices=245.24
2026-02-02T10:05:00.000-05:00,[KLB] CONF 10:05 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-02-02T10:10:00.000-05:00,[KLB] 5m CHECK 10:10 ▲ pnl=0.2 → HOLD
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=14.7x
2026-02-03T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ Yest H vol=4.3x pos=v82 vwap=below ema=bear rs=-2% adx=22 body=60% ramp=29.3x rangeATR=2.7 ⚡ O247.89 H248.58 L245.54 C246.08 ATR=11.5 SL=247.23/247.81 rawVol=119092 volSMA=31736 buf=0.575 prices=249.97
