Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.4x
2026-01-26T10:20:00.000-05:00,[KLB] 10:20 ▲ ~ ~ VWAP vol=1.6x pos=^98 vwap=above ema=bull rs=+0.3% adx=37 body=82% ramp=1x rangeATR=1.1 ⚠ O667.75 H669.63 L667.39 C669.59 ATR=17.83 SL=667.81/666.92 rawVol=24596 volSMA=15518 buf=0.891 prices=
2026-01-26T10:30:00.000-05:00,[KLB] 10:30 ▲ BRK ORB H vol=1.9x pos=^94 vwap=above ema=bull rs=+0.6% adx=41 body=62% ramp=2.3x rangeATR=1.2 O669.25 H670.91 L668.45 C670.77 ATR=17.83 SL=668.99/668.1 rawVol=38324 volSMA=20056 buf=0.891 prices=669.84
2026-01-26T10:31:00.000-05:00,[KLB] 10:31 ▲ ◆ ◆² ORB H 0.2x ^15 vol= pos= vwap=above ema=bull rs=+0.6% adx=41 body=62% ramp=2.3x rangeATR=1.2 O669.25 H670.91 L668.45 C670.77 ATR=17.83 SL=668.99/668.1 rawVol=38324 volSMA=20056 buf=0.891 prices=
2026-01-26T10:45:00.000-05:00,[KLB] CONF 10:45 ▲ BRK → ✗ (failed)
2026-01-26T10:50:00.000-05:00,[KLB] 10:50 ▼ FADE at 669.84
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=15.7x
2026-01-27T15:20:00.000-05:00,[KLB] 15:20 ▲ ~ ~ PM L vol=2.5x pos=^73 vwap=above ema=bull rs=-0.4% adx=20 body=72% ramp=1.7x rangeATR=1.3 O672.92 H674 L672.91 C673.71 ATR=17.73 SL=671.94/671.05 rawVol=28474 volSMA=11388 buf=0.887 prices=672.54
2026-01-28T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ VWAP vol=0.6x pos=^57 vwap=above ema=bull rs=+0.3% adx=34 body=57% ramp=1.1x rangeATR=2.5 ⚡ O673.8 H675.8 L673.8 C674.94 ATR=17.33 SL=673.21/672.34 rawVol=967 volSMA=1577 buf=0.867 prices=
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▼ RNG range break vol=7.7x
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ Yest L + ~ ORB L vol=4.7x pos=^85 vwap=above ema=bull rs=0% adx=28 body=78% ramp=2.6x rangeATR=1.5 O672.98 H674.79 L672.85 C674.5 ATR=17.33 SL=672.77/671.9 rawVol=33374 volSMA=8397 buf=0.867 prices=664.66/672.6
