Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.3x
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ Yest L vol=7.3x pos=^79 vwap=above ema=bull rs=-0.3% adx=26 body=61% ramp=38.3x rangeATR=2.7 ⚡ O331.59 H333.11 L331.26 C332.72 ATR=9.78 SL=331.74/331.25 rawVol=42921 volSMA=5854 buf=0.489 prices=331.37
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ 🔇 QBS ramp=0.4x vol=1.8x pos=^95 vwap=above ema=bull adx=24 body=95% rangeATR=2.1 ⚡ O332.54 H334.16 L332.54 C334.08 ATR=9.78
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK ORB H vol=1.8x pos=^95 vwap=above ema=bull rs=+0.1% adx=24 body=95% ramp=0.4x rangeATR=2.1 ⚡ ⚠ 🔇 O332.54 H334.16 L332.54 C334.08 ATR=9.78 SL=333.1/332.61 rawVol=14325 volSMA=7817 buf=0.489 prices=332.9
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ ~ ~ VWAP vol=1.8x pos=^95 vwap=above ema=bull rs=+0.1% adx=24 body=95% ramp=0.4x rangeATR=2.1 ⚡ ⚠ 🔇 O332.54 H334.16 L332.54 C334.08 ATR=9.78 SL=333.1/332.61 rawVol=14325 volSMA=7817 buf=0.489 prices=
2026-01-26T10:00:00.000-05:00,[KLB] CONF 10:00 ▲ BRK → ✓ (auto-R1: EMA+morning)
2026-01-26T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▲ pnl=-0.06 → BAIL
2026-01-26T10:15:00.000-05:00,[KLB] CONF 10:15 ▲ QBS → ✗ (failed)
2026-01-26T13:35:00.000-05:00,[KLB] 13:35 ▲ BRK PM H vol=3.3x pos=^44 vwap=above ema=bull rs=+0.1% adx=31 body=34% ramp=2x rangeATR=0.8 O334.78 H335.1 L334.75 C334.9 ATR=9.78 SL=333.92/333.43 rawVol=21498 volSMA=6492 buf=0.489 prices=334.5
2026-01-26T13:35:00.000-05:00,[KLB] 13:35 ▲ ◆ ◆¹ PM H 0.3x ^28 vol= pos= vwap=above ema=bull rs=+0.1% adx=31 body=34% ramp=2x rangeATR=0.8 O334.78 H335.1 L334.75 C334.9 ATR=9.78 SL=333.92/333.43 rawVol=21498 volSMA=6492 buf=0.489 prices=
2026-01-26T14:21:00.000-05:00,[KLB] CONF 14:21 ▲ BRK → ✗ (failed)
2026-01-26T14:25:00.000-05:00,[KLB] 14:25 ▼ FADE at 334.5
2026-01-27T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ VWAP vol=2.7x pos=v100 vwap=below ema=bull rs=+0.2% adx=22 body=100% ramp=3.5x rangeATR=3 ⚡ ⚠ O338.04 H338.04 L336.5 C336.5 ATR=9.43 SL=337.44/337.91 rawVol=3593 volSMA=1308 buf=0.471 prices=
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.4x
2026-01-27T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L vol=2.3x pos=v85 vwap=below ema=bear rs=-0.2% adx=30 body=48% ramp=1.1x rangeATR=1.7 O336.88 H337.41 L335.96 C336.18 ATR=9.43 SL=337.12/337.59 rawVol=30232 volSMA=13051 buf=0.471 prices=336.46
