Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.5x
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK Yest L vol=13.5x pos=v78 vwap=below ema=bear rs=-1% adx=24 body=48% ramp=25.1x rangeATR=5.5 ⚡ O256.72 H258.2 L253.35 C254.4 ATR=10.58 SL=255.46/255.99 rawVol=148582 volSMA=11001 buf=0.529 prices=256.25
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=13.5x pos=v78 vwap=below ema=bear rs=-1% adx=24 body=48% ramp=25.1x rangeATR=5.5 ⚡ O256.72 H258.2 L253.35 C254.4 ATR=10.58 SL=255.46/255.99 rawVol=148582 volSMA=11001 buf=0.529 prices=
2026-01-26T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-26T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=0.08 → HOLD
2026-01-26T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L + ORB L vol=3.4x pos=v89 vwap=below ema=bear rs=-2% adx=31 body=64% ramp=1.8x rangeATR=2.2 ⚡ O253.73 H254.34 L251.9 C252.18 ATR=10.58 SL=253.24/253.77 rawVol=81447 volSMA=23734 buf=0.529 prices=253.33/253.35
2026-01-26T09:50:00.000-05:00,[KLB] CONF 9:50 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-26T09:55:00.000-05:00,[KLB] 5m CHECK 9:55 ▼ pnl=0 → BAIL
2026-01-26T10:10:00.000-05:00,[KLB] 10:10 ▼ BRK PM L + ORB L vol=2.3x pos=v70 vwap=below ema=bear rs=-1.7% adx=33 body=31% ramp=0.7x rangeATR=1 O253.22 H253.66 L252.51 C252.86 ATR=10.58 SL=253.92/254.45 rawVol=90252 volSMA=39412 buf=0.529 prices=253.33/253.35
2026-01-26T10:10:00.000-05:00,[KLB] CONF 10:10 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-26T10:15:00.000-05:00,[KLB] 5m CHECK 10:15 ▼ pnl=-0.04 → BAIL
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=15.4x
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + PD LH L vol=15.4x pos=v98 vwap=below ema=bear rs=-0.9% adx=34 body=71% ramp=22.7x rangeATR=5.4 ⚡ O252.16 H253.01 L249.81 C249.89 ATR=10.49 SL=250.94/251.46 rawVol=138627 volSMA=8992 buf=0.525 prices=251.5
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=15.4x pos=v98 vwap=below ema=bear rs=-0.9% adx=34 body=71% ramp=22.7x rangeATR=5.4 ⚡ O252.16 H253.01 L249.81 C249.89 ATR=10.49 SL=250.94/251.46 rawVol=138627 volSMA=8992 buf=0.525 prices=
2026-01-27T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-01-27T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=0.07 → HOLD
2026-01-27T10:45:00.000-05:00,[KLB] 10:45 ▲ ~ ~ VWAP vol=0.7x pos=^99 vwap=above ema=bull rs=+0.6% adx=25 body=65% ramp=1.1x rangeATR=1 O253.54 H254.25 L253.17 C254.24 ATR=10.49 SL=253.19/252.67 rawVol=35199 volSMA=47781 buf=0.525 prices=
2026-01-27T13:15:00.000-05:00,[KLB] 13:15 ▼ BRK PM L vol=2.5x pos=v84 vwap=below ema=bear rs=-0.7% adx=22 body=51% ramp=1.8x rangeATR=1.1 O251.27 H251.49 L250.82 C250.93 ATR=10.49 SL=251.98/252.5 rawVol=39141 volSMA=15750 buf=0.525 prices=251.5
2026-01-27T13:17:00.000-05:00,[KLB] 13:17 ▼ ◆ ◆³ PM L 0.1x v90 vol= pos= vwap=below ema=bear rs=-0.7% adx=22 body=51% ramp=1.8x rangeATR=1.1 O251.27 H251.49 L250.82 C250.93 ATR=10.49 SL=251.98/252.5 rawVol=39141 volSMA=15750 buf=0.525 prices=
