Date,Message
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=4.9x
2026-02-02T11:40:00.000-05:00,[KLB] 11:40 ▼ ~ ~ VWAP vol=0.9x pos=v98 vwap=below ema=bear rs=-2% adx=20 body=75% ramp=0.9x rangeATR=1.1 O426.02 H426.25 L425.23 C425.25 ATR=13.43 SL=426.59/427.26 rawVol=37111 volSMA=39515 buf=0.671 prices=
2026-02-02T11:50:00.000-05:00,[KLB] 11:50 ▼ BRK ORB L vol=1.8x pos=v46 vwap=below ema=bear rs=-2% adx=24 body=46% ramp=1.5x rangeATR=0.9 O425.2 H425.2 L424.4 C424.83 ATR=13.43 SL=426.17/426.84 rawVol=54445 volSMA=41799 buf=0.671 prices=425.28
2026-02-02T12:00:00.000-05:00,[KLB] 12:00 ▼ ◆ ◆¹¹ ORB L 0.3x v53 vol= pos= vwap=below ema=bear rs=-2.2% adx=27 body=56% ramp=0.9x rangeATR=0.6 O424.42 H424.74 L424.2 C424.72 ATR=13.43 SL=426.06/426.73 rawVol=39855 volSMA=41189 buf=0.671 prices=
2026-02-02T13:40:00.000-05:00,[KLB] 13:40 ▼ BRK PM L vol=1.5x pos=v54 vwap=below ema=bear rs=-2.3% adx=26 body=31% ramp=1.1x rangeATR=1 O424.55 H424.7 L424.05 C424.35 ATR=13.43 SL=425.69/426.36 rawVol=48042 volSMA=31880 buf=0.671 prices=425
2026-02-02T13:40:00.000-05:00,[KLB] CONF 13:40 ▼ BRK → ✓ (auto-promote)
2026-02-02T13:42:00.000-05:00,[KLB] 13:42 ▼ ◆ ◆³ PM L 0.3x v2 vol= pos= vwap=below ema=bear rs=-2.3% adx=26 body=31% ramp=1.1x rangeATR=1 O424.55 H424.7 L424.05 C424.35 ATR=13.43 SL=425.69/426.36 rawVol=48042 volSMA=31880 buf=0.671 prices=
2026-02-02T13:45:00.000-05:00,[KLB] 5m CHECK 13:45 ▼ pnl=-0.04 → BAIL
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=12.9x
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + Yest L + Week L vol=12.9x pos=v98 vwap=below ema=bear rs=-1.3% adx=44 body=97% ramp=20.5x rangeATR=6.9 ⚡ ⚠ O422 H422.06 L416.46 C416.57 ATR=13.07 SL=417.88/418.53 rawVol=248836 volSMA=19258 buf=0.654 prices=421.23/422.25/421.02
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=12.9x pos=v98 vwap=below ema=bear rs=-1.3% adx=44 body=97% ramp=20.5x rangeATR=6.9 ⚡ ⚠ O422 H422.06 L416.46 C416.57 ATR=13.07 SL=417.88/418.53 rawVol=248836 volSMA=19258 buf=0.654 prices=
2026-02-03T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA+morning)
2026-02-03T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.01 → BAIL
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=14.1x
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L vol=14.1x pos=^91 vwap=above ema=bear rs=+0.5% adx=32 body=58% ramp=18.4x rangeATR=3.2 ⚡ O410.98 H412.8 L410.1 C412.55 ATR=13.2 SL=411.23/410.57 rawVol=165709 volSMA=11789 buf=0.66 prices=408.56
