Date,Message
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=16.1x
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=16.1x pos=^74 vwap=above ema=bull rs=+0.6% adx=23 body=70% ramp=22.2x rangeATR=5.7 ⚡ O238.29 H241.03 L238.19 C240.28 ATR=5.54 SL=239.73/239.45 rawVol=102113 volSMA=6361 buf=0.277 prices=238.81
2026-02-02T09:35:00.000-05:00,"[KLB] 9:35 ▲ ~ ~ Yest L
~ VWAP vol=16.1x pos=^74 vwap=above ema=bull rs=+0.6% adx=23 body=70% ramp=22.2x rangeATR=5.7 ⚡ O238.29 H241.03 L238.19 C240.28 ATR=5.54 SL=239.73/239.45 rawVol=102113 volSMA=6361 buf=0.277 prices=237.64"
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=9.3x pos=^97 vwap=above ema=bull rs=+0.9% adx=26 body=72% ramp=39.2x rangeATR=2.7 ⚡ O240.27 H241.42 L239.9 C241.37 ATR=5.54 SL=240.82/240.54 rawVol=93276 volSMA=10990 buf=0.277 prices=241.03
2026-02-02T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=-0.09 SPY✓ → HOLD
2026-02-02T10:05:00.000-05:00,[KLB] 10:05 ▲ BRK Yest H vol=3.5x pos=^93 vwap=above ema=bull rs=+1.8% adx=41 body=55% ramp=1.1x rangeATR=1.9 O243.33 H244.21 L242.8 C244.11 ATR=5.54 SL=243.56/243.28 rawVol=100273 volSMA=28502 buf=0.277 prices=243.32
2026-02-02T10:05:00.000-05:00,[KLB] CONF 10:05 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T10:10:00.000-05:00,[KLB] 5m CHECK 10:10 ▲ pnl=0.03 SPY✓ → HOLD
2026-02-02T15:30:00.000-05:00,[KLB] 15:30 ▼ ~ ~ VWAP vol=1.2x pos=v84 vwap=below ema=bear rs=+1% adx=27 body=81% ramp=0.8x rangeATR=0.9 ⚠ O243.23 H243.24 L242.9 C242.96 ATR=5.54 SL=243.51/243.79 rawVol=34224 volSMA=29969 buf=0.277 prices=
2026-02-03T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=3.8x
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PM L vol=11.3x pos=v74 vwap=below ema=bear rs=-0.5% adx=30 body=51% ramp=36.4x rangeATR=3.6 ⚡ O244.65 H245.19 L242.89 C243.49 ATR=5.68 SL=244.06/244.34 rawVol=95474 volSMA=15203 buf=0.284 prices=243.55
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=11.3x pos=v74 vwap=below ema=bear rs=-0.5% adx=30 body=51% ramp=36.4x rangeATR=3.6 ⚡ O244.65 H245.19 L242.89 C243.49 ATR=5.68 SL=244.06/244.34 rawVol=95474 volSMA=15203 buf=0.284 prices=
2026-02-03T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▼ pnl=-0.02 SPY~ → HOLD
2026-02-03T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK PM L + ORB L vol=3x pos=v97 vwap=below ema=bear rs=-0.7% adx=29 body=92% ramp=1x rangeATR=2 ⚡ ⚠ O244.26 H244.34 L242.65 C242.7 ATR=5.68 SL=243.27/243.55 rawVol=84657 volSMA=28525 buf=0.284 prices=243.55/243.29
2026-02-03T09:55:00.000-05:00,[KLB] 9:55 ▼ ~ ~ Yest H vol=3x pos=v97 vwap=below ema=bear rs=-0.7% adx=29 body=92% ramp=1x rangeATR=2 ⚡ ⚠ O244.26 H244.34 L242.65 C242.7 ATR=5.68 SL=243.27/243.55 rawVol=84657 volSMA=28525 buf=0.284 prices=245.63
2026-02-03T09:55:00.000-05:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:00:00.000-05:00,[KLB] 10:00 ▼ RNG range break vol=3.1x
2026-02-03T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK PD LH L vol=3.1x pos=v88 vwap=below ema=bear rs=-1.2% adx=29 body=85% ramp=0.7x rangeATR=2.1 ⚡ ⚠ O242.68 H242.75 L240.84 C241.06 ATR=5.68 SL=241.63/241.91 rawVol=102769 volSMA=33594 buf=0.284 prices=
2026-02-03T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=0.16 SPY✓ → HOLD
2026-02-03T10:25:00.000-05:00,[KLB] 10:25 ▼ BRK Yest L vol=1.9x pos=v98 vwap=below ema=bear rs=-2.2% adx=35 body=88% ramp=1.4x rangeATR=2.1 ⚡ ⚠ O239.78 H240 L237.76 C237.81 ATR=5.68 SL=238.38/238.66 rawVol=111518 volSMA=59064 buf=0.284 prices=238.17
2026-02-03T10:25:00.000-05:00,[KLB] CONF 10:25 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:30:00.000-05:00,[KLB] 5m CHECK 10:30 ▼ pnl=-0.24 SPY✓ → HOLD
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=15x
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=15x pos=v69 vwap=below ema=bear rs=-0.7% adx=22 body=68% ramp=14.7x rangeATR=4.9 ⚡ O238.83 H238.86 L236.14 C236.98 ATR=6.05 SL=237.59/237.89 rawVol=109756 volSMA=7330 buf=0.303 prices=238.44
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=15x pos=v69 vwap=below ema=bear rs=-0.7% adx=22 body=68% ramp=14.7x rangeATR=4.9 ⚡ O238.83 H238.86 L236.14 C236.98 ATR=6.05 SL=237.59/237.89 rawVol=109756 volSMA=7330 buf=0.303 prices=
2026-02-04T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
