Date,Message
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=17.6x
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ Yest H + ~ Today O vol=17.6x pos=v76 vwap=below ema=bear rs=-0.2% adx=22 body=36% ramp=35x rangeATR=5.6 ⚡ O748.98 H750.85 L746.12 C747.26 ATR=16.14 SL=748.87/749.68 rawVol=56408 volSMA=3197 buf=0.807 prices=751.93
2025-09-29T10:20:00.000-04:00,[KLB] 10:20 ▼ ~ ~ VWAP vol=1.2x pos=v97 vwap=below ema=bear rs=-0.3% adx=30 body=87% ramp=0.8x rangeATR=1.7 ⚠ O748.25 H748.5 L746.09 C746.16 ATR=16.14 SL=747.77/748.58 rawVol=16267 volSMA=13112 buf=0.807 prices=
2025-09-29T13:30:00.000-04:00,[KLB] 13:30 ▼ BRK PM L vol=2.5x pos=v72 vwap=below ema=bear rs=-0.3% adx=21 body=46% ramp=1x rangeATR=1 O744.65 H744.91 L743.89 C744.18 ATR=16.14 SL=745.79/746.6 rawVol=15675 volSMA=6264 buf=0.807 prices=745.35
2025-09-29T13:30:00.000-04:00,[KLB] CONF 13:30 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-29T13:35:00.000-04:00,[KLB] 5m CHECK 13:35 ▼ pnl=-0.02 SPY~ → HOLD
2025-09-29T13:45:00.000-04:00,[KLB] 13:45 ▼ ~ ~ PD Cls vol=1.3x pos=v74 vwap=below ema=bear rs=-0.4% adx=24 body=36% ramp=0.8x rangeATR=0.7 O743.82 H744.07 L743.41 C743.58 ATR=16.14 SL=745.19/746 rawVol=5737 volSMA=6618 buf=0.807 prices=
2025-09-30T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ Today O + ~ PD Cls vol=1.8x pos=v97 vwap=above ema=bull rs=-0.2% adx=30 body=89% ramp=1.4x rangeATR=4.7 ⚡ ⚠ O744.61 H744.86 L741.5 C741.61 ATR=15.82 SL=743.19/743.98 rawVol=833 volSMA=456 buf=0.791 prices=
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=17.3x
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + Yest L + Week L + PD LH L vol=17.3x pos=v79 vwap=below ema=bear rs=-0.8% adx=33 body=66% ramp=97.8x rangeATR=7 ⚡ O741.7 H742.98 L733.67 C735.6 ATR=15.82 SL=737.18/737.97 rawVol=57672 volSMA=3337 buf=0.791 prices=741.12/739.15/737.35
2025-09-30T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK ORB L vol=9.9x pos=v75 vwap=below ema=bear rs=-1.4% adx=35 body=66% ramp=199.4x rangeATR=3.9 ⚡ O735.75 H736.32 L729.75 C731.4 ATR=15.82 SL=732.98/733.77 rawVol=65737 volSMA=6623 buf=0.791 prices=733.67
