Date,Message
2025-09-29T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=4x
2025-09-29T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ PD Cls vol=4x pos=v73 vwap=above ema=bull rs=+0.4% adx=24 body=64% ramp=1.1x rangeATR=4.6 ⚡ O255.44 H255.57 L254.25 C254.6 ATR=5.06 SL=255.11/255.36 rawVol=9132 volSMA=2309 buf=0.253 prices=
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ Today O vol=15.8x pos=v93 vwap=below ema=bull rs=-0.4% adx=26 body=78% ramp=66.4x rangeATR=3.7 ⚡ O254.65 H254.84 L253.5 C253.6 ATR=5.06 SL=254.11/254.36 rawVol=161993 volSMA=10280 buf=0.253 prices=
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK PM L + ORB L vol=9.9x pos=v55 vwap=below ema=bear rs=-0.4% adx=28 body=45% ramp=145.8x rangeATR=1.7 O253.61 H253.68 L253.01 C253.31 ATR=5.06 SL=253.82/254.07 rawVol=126692 volSMA=16413 buf=0.253 prices=253.66/253.5
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=9.9x pos=v55 vwap=below ema=bear rs=-0.4% adx=28 body=45% ramp=145.8x rangeATR=1.7 O253.61 H253.68 L253.01 C253.31 ATR=5.06 SL=253.82/254.07 rawVol=126692 volSMA=16413 buf=0.253 prices=
2025-09-29T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ PM L vol=4.1x pos=^88 vwap=above ema=bear rs=-0.2% adx=29 body=80% ramp=37.2x rangeATR=2 ⚠ O253.32 H254.07 L253.26 C253.97 ATR=5.06 SL=253.46/253.21 rawVol=84077 volSMA=20451 buf=0.253 prices=253.66
2025-09-29T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=-0.13 SPY~ → BAIL
2025-09-29T10:05:00.000-04:00,[KLB] 10:05 ▼ FADE at 253.66
2025-09-29T10:05:00.000-04:00,[KLB] 10:05 ▼ BRK PM L + Yest L vol=2.1x pos=v59 vwap=below ema=bear rs=-0.4% adx=32 body=34% ramp=0.7x rangeATR=1.4 O253.73 H253.88 L253.27 C253.52 ATR=5.06 SL=254.03/254.28 rawVol=74060 volSMA=35837 buf=0.253 prices=253.66/253.78
2025-09-29T10:05:00.000-04:00,[KLB] CONF 10:05 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-29T10:10:00.000-04:00,[KLB] 5m CHECK 10:10 ▼ pnl=-0.13 SPY~ → BAIL
2025-09-29T12:50:00.000-04:00,[KLB] 12:50 ▼ BRK PM L + Yest L vol=1.5x pos=v68 vwap=below ema=bear rs=-0.3% adx=27 body=53% ramp=1.4x rangeATR=0.7 O253.54 H253.57 L253.38 C253.44 ATR=5.06 SL=253.95/254.2 rawVol=45515 volSMA=29506 buf=0.253 prices=253.66/253.78
2025-09-29T12:50:00.000-04:00,[KLB] CONF 12:50 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-29T12:55:00.000-04:00,[KLB] 5m CHECK 12:55 ▼ pnl=0.03 SPY~ → HOLD
2025-09-29T13:45:00.000-04:00,[KLB] 13:45 ▼ BRK ORB L vol=1.1x pos=v92 vwap=below ema=bear rs=-0.3% adx=26 body=85% ramp=1x rangeATR=1.3 ⚠ O253.46 H253.48 L253.19 C253.21 ATR=5.06 SL=253.72/253.97 rawVol=28836 volSMA=26446 buf=0.253 prices=253.5
2025-09-29T13:45:00.000-04:00,[KLB] CONF 13:45 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-29T13:50:00.000-04:00,[KLB] 5m CHECK 13:50 ▼ pnl=-0.01 SPY~ → HOLD
2025-09-30T09:30:00.000-04:00,[KLB] 9:30 ▲ RNG range break vol=3.3x
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▲ ~ ~ PM H + ~ Yest H vol=18.7x pos=^68 vwap=above ema=bull rs=+0.2% adx=20 body=35% ramp=54.6x rangeATR=4.4 ⚡ O254.88 H255.57 L254.54 C255.24 ATR=4.87 SL=254.75/254.51 rawVol=120509 volSMA=6437 buf=0.244 prices=
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ PM H + ~ Yest H vol=10.6x pos=v91 vwap=below ema=bull rs=-0.1% adx=22 body=84% ramp=156.3x rangeATR=3.7 ⚡ ⚠ O255.22 H255.29 L254.21 C254.31 ATR=4.87 SL=254.8/255.04 rawVol=145916 volSMA=13712 buf=0.244 prices=254.92/255
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▼ ~ x~ Yest H vol=8.3x pos=v59 vwap=below ema=bull rs=-0.2% adx=23 body=2% ramp=119.8x rangeATR=2.4 ⚡ O254.32 H254.77 L253.97 C254.3 ATR=4.87 SL=254.79/255.03 rawVol=75460 volSMA=17478 buf=0.244 prices=255
2025-09-30T09:50:00.000-04:00,[KLB] 9:50 ▲ FADE at 255
2025-09-30T09:50:00.000-04:00,[KLB] 9:50 ▲ ~ ~ Yest L + ~ PM H + ~ Yest H vol=3.3x pos=^98 vwap=above ema=bull rs=+0.2% adx=25 body=87% ramp=2.4x rangeATR=2.7 ⚡ ⚠ O254.33 H255.22 L254.22 C255.2 ATR=4.87 SL=254.71/254.47 rawVol=69290 volSMA=20938 buf=0.244 prices=253.01
2025-09-30T10:00:00.000-04:00,[KLB] 10:00 ▲ ~ ~ VWAP + ~ PM H + ~ ORB H vol=2.8x pos=^83 vwap=above ema=bull rs=+0.2% adx=29 body=77% ramp=0.7x rangeATR=2 O254.81 H255.63 L254.76 C255.48 ATR=4.87 SL=254.99/254.75 rawVol=81495 volSMA=28953 buf=0.244 prices=
2025-09-30T10:45:00.000-04:00,[KLB] 10:45 ▲ ~ ~ PM H vol=0.9x pos=^92 vwap=above ema=bull rs=+0.3% adx=28 body=76% ramp=1x rangeATR=1.4 O254.87 H255.39 L254.77 C255.34 ATR=4.87 SL=254.85/254.61 rawVol=43470 volSMA=50186 buf=0.244 prices=
2025-09-30T11:00:00.000-04:00,[KLB] 11:00 ▲ ~ ~ ORB H vol=0.6x pos=^100 vwap=above ema=bull rs=+0.2% adx=29 body=96% ramp=0.9x rangeATR=1 ⚠ O255.07 H255.51 L255.05 C255.51 ATR=4.87 SL=255.02/254.78 rawVol=31554 volSMA=55546 buf=0.244 prices=
2025-09-30T11:45:00.000-04:00,[KLB] 11:45 ▼ ~ x~ PM H + x~ Yest H vol=0.6x pos=v81 vwap=below ema=bull rs=+0% adx=20 body=27% ramp=0.6x rangeATR=0.9 O254.65 H254.85 L254.48 C254.55 ATR=4.87 SL=255.04/255.28 rawVol=21651 volSMA=36697 buf=0.244 prices=254.92/255
2025-09-30T11:50:00.000-04:00,[KLB] 11:50 ▼ ~ x~ Yest H vol=0.6x pos=v38 vwap=below ema=bull rs=-0.1% adx=19 body=8% ramp=0.5x rangeATR=0.6 O254.55 H254.63 L254.37 C254.53 ATR=4.87 SL=255.02/255.26 rawVol=21713 volSMA=35290 buf=0.244 prices=255
2025-09-30T12:05:00.000-04:00,[KLB] 12:05 ▼ ~ x~ PM H vol=0.3x pos=v61 vwap=below ema=bull rs=-0.1% adx=16 body=20% ramp=0.9x rangeATR=0.7 O254.67 H254.78 L254.51 C254.62 ATR=4.87 SL=255.1/255.35 rawVol=9423 volSMA=30620 buf=0.244 prices=254.92
2025-09-30T12:45:00.000-04:00,[KLB] 12:45 ▼ ~ x~ Yest H vol=0.8x pos=v40 vwap=below ema=bull rs=-0.3% adx=11 body=20% ramp=0.8x rangeATR=0.6 O254.52 H254.56 L254.36 C254.48 ATR=4.87 SL=254.97/255.21 rawVol=19132 volSMA=23417 buf=0.244 prices=255
2025-10-01T09:30:00.000-04:00,[KLB] 9:30 ▲ ~ ~ Today O + ~ PD Cls vol=4.1x pos=^94 vwap=below ema=bull rs=-0.4% adx=48 body=33% ramp=4.6x rangeATR=2.7 ⚡ O254.83 H255.15 L254.32 C255.1 ATR=4.73 SL=254.63/254.39 rawVol=13614 volSMA=3353 buf=0.236 prices=
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=16.4x
