Date,Message
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=9.8x
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▲ ~ ~ ORB H vol=6.7x pos=^97 vwap=above ema=bull rs=+0.2% adx=23 body=38% ramp=33.5x rangeATR=1.5 O351.98 H352.19 L351.67 C352.18 ATR=3.83 SL=351.79/351.6 rawVol=68510 volSMA=10537 buf=0.192 prices=
2025-09-29T10:00:00.000-04:00,[KLB] 10:00 ▼ ~ x~ ORB H vol=2.9x pos=v59 vwap=below ema=bull rs=0% adx=19 body=23% ramp=0.9x rangeATR=1.2 O351.82 H351.98 L351.54 C351.72 ATR=3.83 SL=352.1/352.3 rawVol=71200 volSMA=24973 buf=0.192 prices=352.05
2025-09-29T10:05:00.000-04:00,[KLB] 10:05 ▲ FADE at 352.05
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▲ RNG range break vol=9.4x
2025-09-30T10:25:00.000-04:00,[KLB] 10:25 ▲ ~ ~ PM H vol=2.6x pos=^93 vwap=above ema=bull rs=+1% adx=21 body=37% ramp=1.7x rangeATR=1.4 O354.26 H354.58 L353.86 C354.53 ATR=3.99 SL=354.13/353.93 rawVol=93557 volSMA=50758 buf=0.2 prices=
2025-09-30T10:40:00.000-04:00,[KLB] 10:40 ▲ ~ ~ PM H vol=0.5x pos=^63 vwap=above ema=bull rs=+1% adx=26 body=63% ramp=0.3x rangeATR=0.8 🔇 O353.76 H354.17 L353.76 C354.02 ATR=3.99 SL=353.62/353.42 rawVol=26655 volSMA=56583 buf=0.2 prices=
2025-09-30T10:45:00.000-04:00,[KLB] 10:45 ▲ ~ ~ PM H vol=0.5x pos=^100 vwap=above ema=bull rs=+1% adx=28 body=78% ramp=0.3x rangeATR=0.9 🔇 O354.04 H354.39 L353.94 C354.39 ATR=3.99 SL=353.99/353.79 rawVol=14638 volSMA=57261 buf=0.2 prices=
2025-10-01T09:30:00.000-04:00,[KLB] 9:30 ▲ ~ ~ Today O vol=0.4x pos=^86 vwap=below ema=bear rs=-0.4% adx=29 body=78% ramp=0.4x rangeATR=1 🔇 O355.89 H356.23 L355.86 C356.18 ATR=4.05 SL=355.78/355.57 rawVol=1617 volSMA=3627 buf=0.202 prices=
2025-10-01T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=2.8x pos=v59 vwap=below ema=bear rs=-0.2% adx=26 body=43% ramp=10.2x rangeATR=1.4 O356.57 H356.66 L356.1 C356.33 ATR=4.05 SL=356.73/356.94 rawVol=23538 volSMA=8541 buf=0.202 prices=
