Date,Message
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=13.6x
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▲ BRK Week O + Month O vol=13.6x pos=^80 vwap=above ema=bull rs=+1.2% adx=22 body=57% ramp=13.6x rangeATR=6.1 ⚡ O440.82 H447.09 L438.98 C445.44 ATR=18.42 SL=443.6/442.68 rawVol=502120 volSMA=36835 buf=0.921 prices=
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▲ ~ ~ VWAP + ~ PM H + ~ Yest H vol=13.6x pos=^80 vwap=above ema=bull rs=+1.2% adx=22 body=57% ramp=13.6x rangeATR=6.1 ⚡ O440.82 H447.09 L438.98 C445.44 ATR=18.42 SL=443.6/442.68 rawVol=502120 volSMA=36835 buf=0.921 prices=
2025-10-06T09:35:00.000-04:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA)
2025-10-06T09:40:00.000-04:00,[KLB] 5m CHECK 9:40 ▲ pnl=-0.06 SPY~ → HOLD
2025-10-06T10:20:00.000-04:00,[KLB] 10:20 ▲ ~ ~ Yest H vol=2.1x pos=^82 vwap=above ema=bull rs=+0.9% adx=21 body=80% ramp=0.9x rangeATR=1.3 ⚠ O441.44 H444.33 L441.41 C443.79 ATR=18.42 SL=441.95/441.03 rawVol=245449 volSMA=117497 buf=0.921 prices=
2025-10-06T10:35:00.000-04:00,[KLB] 10:35 ▲ ~ ~ Yest H vol=0.7x pos=^74 vwap=above ema=bull rs=+0.8% adx=24 body=45% ramp=0.9x rangeATR=0.6 O443 H444.01 L442.59 C443.65 ATR=18.42 SL=441.8/440.88 rawVol=75534 volSMA=135749 buf=0.921 prices=
2025-10-06T11:35:00.000-04:00,[KLB] 11:35 ▲ ~ ~ ORB H vol=0.7x pos=^69 vwap=above ema=bull rs=+1.4% adx=31 body=60% ramp=0.9x rangeATR=0.6 O446.1 H447.16 L446 C446.8 ATR=18.42 SL=444.96/444.04 rawVol=83436 volSMA=121116 buf=0.921 prices=
2025-10-06T11:50:00.000-04:00,[KLB] 11:50 ▲ ~ ~ ORB H vol=0.6x pos=^86 vwap=above ema=bull rs=+1.5% adx=32 body=76% ramp=1.1x rangeATR=0.9 O446.04 H447.45 L445.89 C447.23 ATR=18.42 SL=445.39/444.47 rawVol=67600 volSMA=112165 buf=0.921 prices=
2025-10-06T12:15:00.000-04:00,[KLB] 12:15 ▲ ~ ~ ORB H vol=0.6x pos=^97 vwap=above ema=bull rs=+1.4% adx=29 body=93% ramp=1x rangeATR=1 ⚠ O444.96 H446.63 L444.9 C446.57 ATR=18.42 SL=444.73/443.81 rawVol=54771 volSMA=89217 buf=0.921 prices=
2025-10-07T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ Today O vol=0.8x pos=v48 vwap=below ema=bear rs=+0.1% adx=41 body=39% ramp=0.6x rangeATR=1.3 O448.35 H448.47 L447.1 C447.81 ATR=18.79 SL=449.69/450.63 rawVol=10863 volSMA=13851 buf=0.94 prices=
2025-10-07T09:40:00.000-04:00,[KLB] 9:40 ▲ RNG range break vol=4.7x
2025-10-07T09:40:00.000-04:00,[KLB] 9:40 ▲ ~ ~ VWAP + ~ PD LH L + ~ ORB H vol=4.7x pos=^94 vwap=above ema=bear rs=+0.6% adx=44 body=64% ramp=17.9x rangeATR=2.8 ⚡ O447.66 H450.8 L446.31 C450.55 ATR=18.79 SL=448.67/447.73 rawVol=189440 volSMA=40220 buf=0.94 prices=
2025-10-07T09:45:00.000-04:00,[KLB] 9:45 ▼ FADE at 449.83
2025-10-07T10:25:00.000-04:00,"[KLB] 10:25 ▼ ~ ~ ORB H
~ VWAP vol=1.3x pos=v97 vwap=below ema=bear rs=-0.1% adx=40 body=90% ramp=0.8x rangeATR=1.4 ⚠ O449.19 H449.36 L446.63 C446.72 ATR=18.79 SL=448.6/449.54 rawVol=124523 volSMA=95095 buf=0.94 prices=448.07"
2025-10-07T10:35:00.000-04:00,[KLB] 10:35 ▼ ~ x~ ORB H vol=1x pos=v90 vwap=below ema=bear rs=0% adx=41 body=20% ramp=1.1x rangeATR=0.9 O447.43 H448.66 L446.91 C447.08 ATR=18.79 SL=448.96/449.9 rawVol=102502 volSMA=101077 buf=0.94 prices=448.07
2025-10-07T11:00:00.000-04:00,[KLB] 11:00 ▼ ~ ~ ORB H vol=0.6x pos=v44 vwap=below ema=bear rs=+0.2% adx=39 body=44% ramp=0.7x rangeATR=0.6 O447.94 H447.94 L446.85 C447.46 ATR=18.79 SL=449.34/450.28 rawVol=77448 volSMA=119265 buf=0.94 prices=448.07
2025-10-07T11:05:00.000-04:00,[KLB] 11:05 ▼ ~ ~ ORB H vol=0.7x pos=v85 vwap=below ema=bear rs=-0.2% adx=40 body=64% ramp=0.7x rangeATR=1.6 O447.51 H448.15 L445.05 C445.52 ATR=18.79 SL=447.4/448.34 rawVol=87122 volSMA=123201 buf=0.94 prices=448.07
2025-10-07T11:10:00.000-04:00,[KLB] 11:10 ▼ BRK PM L + ORB L + Week O + Month O vol=2.1x pos=v85 vwap=below ema=bear rs=-1.1% adx=41 body=82% ramp=2.2x rangeATR=2.6 ⚡ ⚠ O445.48 H445.64 L439.8 C440.67 ATR=18.79 SL=442.55/443.49 rawVol=295182 volSMA=137417 buf=0.94 prices=445.2/442.29
2025-10-07T11:10:00.000-04:00,[KLB] CONF 11:10 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-07T11:15:00.000-04:00,[KLB] 5m CHECK 11:15 ▼ pnl=-0.13 SPY✓ → HOLD
2025-10-07T11:50:00.000-04:00,[KLB] 11:50 ▼ BRK ORB L vol=1.4x pos=v99 vwap=below ema=bear rs=-1.4% adx=46 body=98% ramp=1.2x rangeATR=1.5 ⚠ O441.83 H441.86 L438.51 C438.56 ATR=18.79 SL=440.44/441.38 rawVol=151363 volSMA=111096 buf=0.94 prices=442.29
2025-10-07T11:50:00.000-04:00,[KLB] CONF 11:50 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-07T11:55:00.000-04:00,[KLB] 5m CHECK 11:55 ▼ pnl=0 SPY✓ → HOLD
2025-10-07T14:40:00.000-04:00,[KLB] 14:40 ▼ BRK ORB L vol=2.6x pos=v50 vwap=below ema=bear rs=-0.8% adx=21 body=33% ramp=1.8x rangeATR=1.3 O442.59 H443.08 L440.2 C441.64 ATR=18.79 SL=443.52/444.46 rawVol=153367 volSMA=89880 buf=0.94 prices=442.29
2025-10-07T14:40:00.000-04:00,[KLB] CONF 14:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-07T14:45:00.000-04:00,[KLB] 5m CHECK 14:45 ▼ pnl=0.14 SPY✓ → HOLD
2025-10-07T15:15:00.000-04:00,[KLB] 15:15 ▼ BRK Yest L vol=2.5x pos=v86 vwap=below ema=bear rs=-2.3% adx=30 body=84% ramp=2x rangeATR=1.6 ⚠ O438.28 H438.36 L434.5 C435.03 ATR=18.79 SL=436.91/437.85 rawVol=314126 volSMA=126398 buf=0.94 prices=436.69
2025-10-07T15:15:00.000-04:00,[KLB] CONF 15:15 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-07T15:20:00.000-04:00,[KLB] 5m CHECK 15:20 ▼ pnl=0.05 SPY✓ → HOLD
2025-10-08T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=15.3x
2025-10-08T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + Yest L + PD LH L vol=15.3x pos=v96 vwap=below ema=bear rs=-2% adx=27 body=94% ramp=27.5x rangeATR=7.2 ⚡ ⚠ O437.57 H437.77 L428.07 C428.46 ATR=18.94 SL=430.35/431.3 rawVol=470379 volSMA=30833 buf=0.947 prices=434.08/432.45
2025-10-08T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ VWAP + ~ PD Cls vol=15.3x pos=v96 vwap=below ema=bear rs=-2% adx=27 body=94% ramp=27.5x rangeATR=7.2 ⚡ ⚠ O437.57 H437.77 L428.07 C428.46 ATR=18.94 SL=430.35/431.3 rawVol=470379 volSMA=30833 buf=0.947 prices=
2025-10-08T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-08T09:40:00.000-04:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.04 SPY~ → HOLD
2025-10-08T14:40:00.000-04:00,[KLB] 14:40 ▲ ~ ~ PM H vol=0.6x pos=^65 vwap=above ema=bull rs=-0.1% adx=26 body=62% ramp=0.5x rangeATR=0.9 🔇 O438.11 H439.31 L438.07 C438.88 ATR=18.94 SL=436.99/436.04 rawVol=37148 volSMA=60115 buf=0.947 prices=
