Date,Message
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK Yest L vol=7.4x pos=v63 vwap=below ema=bear rs=-0.5% adx=24 body=40% ramp=2.9x rangeATR=3.5 ⚡ O185.49 H186.15 L183.33 C184.36 ATR=5.21 SL=184.88/185.14 rawVol=688120 volSMA=92434 buf=0.261 prices=185.38
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ VWAP + ~ Today O vol=7.4x pos=v63 vwap=below ema=bear rs=-0.5% adx=24 body=40% ramp=2.9x rangeATR=3.5 ⚡ O185.49 H186.15 L183.33 C184.36 ATR=5.21 SL=184.88/185.14 rawVol=688120 volSMA=92434 buf=0.261 prices=
2025-10-06T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-06T09:40:00.000-04:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.22 SPY~ → BAIL
2025-10-06T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ VWAP + ~ ORB H vol=4x pos=^91 vwap=above ema=bear rs=+0.6% adx=21 body=69% ramp=14.5x rangeATR=1.4 O185.49 H186.44 L185.22 C186.33 ATR=5.21 SL=185.81/185.55 rawVol=548443 volSMA=141894 buf=0.261 prices=
2025-10-06T09:50:00.000-04:00,[KLB] 9:50 ▲ RNG range break vol=3.3x
2025-10-07T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ PM H vol=3.9x pos=v99 vwap=below ema=bull rs=+0.2% adx=30 body=72% ramp=1.3x rangeATR=3.2 ⚡ O186.78 H186.96 L186.27 C186.28 ATR=5.15 SL=186.79/187.05 rawVol=58735 volSMA=15233 buf=0.257 prices=186.96
2025-10-07T09:45:00.000-04:00,[KLB] 9:45 ▲ FADE at 186.96
2025-10-07T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ PM H + ~ ORB H vol=5.7x pos=^79 vwap=above ema=bull rs=+0.5% adx=31 body=47% ramp=10.8x rangeATR=2 ⚡ O186.85 H187.34 L186.61 C187.19 ATR=5.15 SL=186.68/186.42 rawVol=263425 volSMA=62459 buf=0.257 prices=
2025-10-07T09:50:00.000-04:00,[KLB] 9:50 ▲ RNG range break vol=4.8x
