Date,Message
2025-09-29T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=5.1x
2025-09-29T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ Today O vol=5.1x pos=v64 vwap=below ema=bear rs=+0.4% adx=21 body=64% ramp=1.9x rangeATR=5.3 ⚡ O248.68 H248.68 L247.25 C247.76 ATR=5.35 SL=248.29/248.56 rawVol=4148 volSMA=819 buf=0.267 prices=
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▲ ~ ~ ORB H vol=10.4x pos=^98 vwap=above ema=bear rs=+0.4% adx=24 body=77% ramp=54.8x rangeATR=2.6 ⚡ O247.94 H248.69 L247.74 C248.67 ATR=5.35 SL=248.14/247.87 rawVol=45082 volSMA=6378 buf=0.267 prices=
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ RNG range break vol=5.5x
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ PM H vol=5.5x pos=^100 vwap=above ema=bear rs=+0.7% adx=22 body=100% ramp=24.9x rangeATR=2.2 ⚡ ⚠ O248.6 H249.48 L248.6 C249.48 ATR=5.35 SL=248.95/248.68 rawVol=37913 volSMA=8214 buf=0.267 prices=
2025-09-29T09:50:00.000-04:00,[KLB] 9:50 ▲ ~ ~ VWAP vol=6.6x pos=^99 vwap=above ema=bull rs=+1.1% adx=23 body=89% ramp=2.3x rangeATR=2.8 ⚡ ⚠ O249.54 H250.72 L249.41 C250.71 ATR=5.35 SL=250.18/249.91 rawVol=81114 volSMA=12232 buf=0.267 prices=
2025-09-29T11:10:00.000-04:00,[KLB] 11:10 ▼ ~ ~ ORB H vol=0.4x pos=v90 vwap=below ema=bear rs=+0% adx=21 body=45% ramp=0.8x rangeATR=0.8 O248.04 H248.23 L247.81 C247.85 ATR=5.35 SL=248.38/248.65 rawVol=15394 volSMA=36908 buf=0.267 prices=248.23
2025-09-29T11:30:00.000-04:00,[KLB] 11:30 ▼ ~ ~ ORB H vol=0.5x pos=v53 vwap=below ema=bear rs=+0.2% adx=22 body=47% ramp=0.9x rangeATR=0.9 O248.15 H248.18 L247.71 C247.93 ATR=5.35 SL=248.46/248.73 rawVol=15815 volSMA=29857 buf=0.267 prices=248.23
2025-09-29T13:20:00.000-04:00,[KLB] 13:20 ▼ BRK Yest L vol=2x pos=v61 vwap=below ema=bear rs=-0.6% adx=29 body=46% ramp=0.9x rangeATR=1.1 O246.02 H246.12 L245.43 C245.7 ATR=5.35 SL=246.23/246.5 rawVol=52923 volSMA=26562 buf=0.267 prices=245.97
2025-09-29T13:20:00.000-04:00,[KLB] CONF 13:20 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-29T13:25:00.000-04:00,[KLB] 5m CHECK 13:25 ▼ pnl=0.01 SPY~ → HOLD
2025-09-30T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=5.8x
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK Week L + ORB L vol=10.4x pos=v83 vwap=below ema=bear rs=-1.2% adx=24 body=64% ramp=121.1x rangeATR=3.8 ⚡ O241.1 H241.53 L239.25 C239.63 ATR=5.57 SL=240.19/240.46 rawVol=174347 volSMA=16716 buf=0.278 prices=240.74/240.81
