Date,Message
2025-10-06T09:30:00.000-04:00,[KLB] 9:30 ▲ ~ ~ Today O vol=1.2x pos=^96 vwap=above ema=bull rs=+0.4% adx=32 body=91% ramp=0.8x rangeATR=1.4 ⚠ O608.06 H608.5 L608.04 C608.48 ATR=5.86 SL=607.89/607.6 rawVol=14832 volSMA=12360 buf=0.293 prices=
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=8.5x
2025-10-06T09:45:00.000-04:00,[KLB] 9:45 ▼ ~ ~ Week H vol=4.5x pos=v64 vwap=below ema=bull rs=-0.1% adx=29 body=33% ramp=14.4x rangeATR=2.9 ⚡ O607.2 H607.7 L606.09 C606.67 ATR=5.86 SL=607.26/607.55 rawVol=137114 volSMA=33970 buf=0.293 prices=607.33
2025-10-06T10:05:00.000-04:00,[KLB] 10:05 ▲ FADE at 607.33
2025-10-06T10:25:00.000-04:00,[KLB] 10:25 ▼ ~ x~ Week H vol=0.8x pos=v93 vwap=below ema=bull rs=0% adx=25 body=19% ramp=0.5x rangeATR=1.1 O607.22 H607.73 L607.04 C607.09 ATR=5.86 SL=607.68/607.97 rawVol=49249 volSMA=59640 buf=0.293 prices=607.33
2025-10-06T10:45:00.000-04:00,[KLB] 10:45 ▼ BRK ORB L vol=1.3x pos=v45 vwap=below ema=bear rs=-0.2% adx=25 body=40% ramp=1.3x rangeATR=1.3 O606.76 H606.8 L605.98 C606.43 ATR=5.86 SL=607.02/607.31 rawVol=91748 volSMA=69253 buf=0.293 prices=607.04
2025-10-06T10:45:00.000-04:00,"[KLB] 10:45 ▼ ~ ~ Yest H
~ VWAP vol=1.3x pos=v45 vwap=below ema=bear rs=-0.2% adx=25 body=40% ramp=1.3x rangeATR=1.3 O606.76 H606.8 L605.98 C606.43 ATR=5.86 SL=607.02/607.31 rawVol=91748 volSMA=69253 buf=0.293 prices=607.33"
2025-10-06T10:45:00.000-04:00,[KLB] CONF 10:45 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-06T10:50:00.000-04:00,[KLB] 5m CHECK 10:50 ▼ pnl=-0.11 SPY~ → BAIL
2025-10-07T11:05:00.000-04:00,[KLB] 11:05 ▼ BRK PD LH L vol=1.7x pos=v91 vwap=below ema=bear rs=0% adx=28 body=83% ramp=0.8x rangeATR=2.3 ⚡ ⚠ O607.86 H607.96 L606.73 C606.84 ATR=5.88 SL=607.43/607.72 rawVol=136855 volSMA=80591 buf=0.294 prices=
2025-10-07T11:05:00.000-04:00,"[KLB] 11:05 ▼ ~ ~ Week H
~ VWAP + ~ PD Cls vol=1.7x pos=v91 vwap=below ema=bear rs=0% adx=28 body=83% ramp=0.8x rangeATR=2.3 ⚡ ⚠ O607.86 H607.96 L606.73 C606.84 ATR=5.88 SL=607.43/607.72 rawVol=136855 volSMA=80591 buf=0.294 prices=607.33"
2025-10-07T11:05:00.000-04:00,[KLB] CONF 11:05 ▼ BRK → ✓ (auto-R1: EMA)
