Date,Message
2025-09-29T10:10:00.000-04:00,[KLB] 10:10 ▲ ~ ~ VWAP vol=1.9x pos=^90 vwap=above ema=bull rs=+0.5% adx=21 body=72% ramp=0.8x rangeATR=1.7 O277.23 H278.3 L276.99 C278.17 ATR=7.21 SL=277.45/277.09 rawVol=24658 volSMA=12702 buf=0.361 prices=
2025-09-29T11:05:00.000-04:00,[KLB] 11:05 ▼ ~ x~ ORB H vol=0.4x pos=v58 vwap=below ema=bull rs=+0.4% adx=20 body=23% ramp=1.1x rangeATR=0.6 O277.64 H277.79 L277.36 C277.54 ATR=7.21 SL=278.26/278.62 rawVol=7639 volSMA=20541 buf=0.361 prices=277.89
2025-09-30T09:30:00.000-04:00,[KLB] 9:30 ▲ RNG range break vol=5.6x
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ x~ PM H vol=13.4x pos=v60 vwap=below ema=bull rs=-0.2% adx=23 body=28% ramp=10.3x rangeATR=4.7 ⚡ O275.25 H275.92 L273.84 C274.67 ATR=7.17 SL=275.39/275.75 rawVol=42761 volSMA=3195 buf=0.358 prices=276.06
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ FADE at 276.06
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ VWAP vol=5x pos=^100 vwap=above ema=bull rs=+0.6% adx=27 body=91% ramp=14.8x rangeATR=3.5 ⚡ ⚠ O275.05 H277 L274.85 C277 ATR=7.17 SL=276.28/275.92 rawVol=29597 volSMA=5918 buf=0.358 prices=
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=16.2x
2025-10-01T09:55:00.000-04:00,[KLB] 9:55 ▲ ~ ~ VWAP vol=2.6x pos=^89 vwap=above ema=bull rs=+1.3% adx=21 body=80% ramp=0.7x rangeATR=1.8 ⚠ O281.13 H282.44 L281 C282.29 ATR=7.1 SL=281.57/281.22 rawVol=34178 volSMA=13150 buf=0.355 prices=
2025-10-02T09:30:00.000-04:00,[KLB] 9:30 ▲ RNG range break vol=5.8x
2025-10-02T09:30:00.000-04:00,[KLB] 9:30 ▲ ~ ~ Today O vol=5.8x pos=^81 vwap=above ema=bull rs=+0.3% adx=68 body=79% ramp=1.6x rangeATR=2.5 ⚡ O295.76 H296.8 L295.73 C296.6 ATR=7.55 SL=295.85/295.47 rawVol=12500 volSMA=2151 buf=0.377 prices=
2025-10-02T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=12.5x
