Date,Message
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=17.8x
2025-09-29T09:50:00.000-04:00,[KLB] 9:50 ▲ ~ ~ VWAP vol=5.5x pos=^90 vwap=above ema=bull rs=+1.8% adx=24 body=80% ramp=3.2x rangeATR=3.5 ⚡ O162.07 H163.23 L161.94 C163.1 ATR=5.91 SL=162.51/162.21 rawVol=169116 volSMA=32445 buf=0.296 prices=
2025-09-30T09:30:00.000-04:00,[KLB] 9:30 ▲ ~ ~ Today O vol=1x pos=^100 vwap=above ema=bear rs=0% adx=21 body=53% ramp=3.5x rangeATR=1.5 O160.7 H160.9 L160.52 C160.9 ATR=5.84 SL=160.32/160.02 rawVol=2067 volSMA=2129 buf=0.292 prices=
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ FADE at 160.8
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=15.2x
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + Yest L + PD LH L vol=15.2x pos=v88 vwap=below ema=bear rs=-0.6% adx=24 body=78% ramp=18.4x rangeATR=4.1 ⚡ O160.8 H160.93 L159.59 C159.75 ATR=5.84 SL=160.33/160.63 rawVol=133887 volSMA=8791 buf=0.292 prices=160.26/159.9
2025-09-30T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-30T09:40:00.000-04:00,[KLB] 5m CHECK 9:40 ▼ pnl=0.02 SPY~ → HOLD
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ Yest L vol=4.6x pos=^88 vwap=above ema=bear rs=-0.4% adx=28 body=58% ramp=21.4x rangeATR=2.6 ⚡ O159.66 H160.38 L159.34 C160.26 ATR=5.84 SL=159.68/159.38 rawVol=83144 volSMA=18110 buf=0.292 prices=159.9
2025-09-30T09:50:00.000-04:00,[KLB] 9:50 ▼ FADE at 159.9
2025-09-30T10:25:00.000-04:00,[KLB] 10:25 ▲ ~ ~ PD Cls vol=2.1x pos=^61 vwap=above ema=bear rs=+0.4% adx=23 body=61% ramp=0.9x rangeATR=1.3 O161.06 H161.76 L161.06 C161.49 ATR=5.84 SL=160.91/160.61 rawVol=89428 volSMA=42178 buf=0.292 prices=
2025-09-30T10:40:00.000-04:00,[KLB] 10:40 ▼ FADE at 161.36
2025-09-30T10:45:00.000-04:00,[KLB] 10:45 ▲ ~ ~ VWAP vol=0.3x pos=^57 vwap=above ema=bull rs=+0.3% adx=25 body=57% ramp=0.5x rangeATR=0.8 O160.93 H161.35 L160.93 C161.17 ATR=5.84 SL=160.59/160.29 rawVol=16754 volSMA=48717 buf=0.292 prices=
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=15.6x
2025-10-01T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ PM H + ~ Yest H + ~ ORB H vol=9.1x pos=v84 vwap=below ema=bull rs=-0.2% adx=21 body=56% ramp=59.6x rangeATR=3.6 ⚡ O161.96 H162.36 L160.89 C161.13 ATR=5.63 SL=161.69/161.97 rawVol=81213 volSMA=8935 buf=0.281 prices=162.26/162.28/162.36
2025-10-01T09:45:00.000-04:00,[KLB] 9:45 ▲ FADE at 162.26
2025-10-01T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ VWAP vol=4.9x pos=^97 vwap=above ema=bull rs=+0.7% adx=23 body=92% ramp=114.1x rangeATR=3.1 ⚡ ⚠ O161.13 H162.56 L161.06 C162.51 ATR=5.63 SL=161.95/161.67 rawVol=57428 volSMA=11769 buf=0.281 prices=
2025-10-01T12:20:00.000-04:00,[KLB] 12:20 ▼ ~ x~ PM H + x~ ORB H vol=0.8x pos=v75 vwap=below ema=bull rs=+0.1% adx=16 body=22% ramp=1.2x rangeATR=0.7 O162.12 H162.29 L161.97 C162.05 ATR=5.63 SL=162.61/162.89 rawVol=23369 volSMA=29659 buf=0.281 prices=162.26/162.36
2025-10-01T12:30:00.000-04:00,[KLB] 12:30 ▼ ~ x~ PM H vol=0.9x pos=v77 vwap=below ema=bull rs=+0% adx=15 body=27% ramp=1.2x rangeATR=0.9 O161.95 H162.14 L161.77 C161.85 ATR=5.63 SL=162.41/162.69 rawVol=23691 volSMA=27748 buf=0.281 prices=162.26
2025-10-01T15:05:00.000-04:00,[KLB] 15:05 ▼ ~ x~ ORB H vol=1.3x pos=v50 vwap=below ema=bull rs=-0.2% adx=30 body=28% ramp=1.6x rangeATR=0.9 O162.27 H162.36 L161.96 C162.16 ATR=5.63 SL=162.72/163 rawVol=49534 volSMA=39015 buf=0.281 prices=162.36
2025-10-01T15:30:00.000-04:00,[KLB] 15:30 ▲ FADE at 162.36
2025-10-02T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ PM H + ~ ORB H vol=9.9x pos=v95 vwap=below ema=bull rs=-0.4% adx=27 body=48% ramp=29.2x rangeATR=4.6 ⚡ O169.03 H170.26 L167.65 C167.77 ATR=5.49 SL=168.32/168.59 rawVol=335616 volSMA=33837 buf=0.275 prices=169.98/169.18
2025-10-02T09:45:00.000-04:00,[KLB] 9:45 ▼ RNG range break vol=7.9x
2025-10-02T09:45:00.000-04:00,[KLB] 9:45 ▼ ~ ~ VWAP vol=7.9x pos=v94 vwap=below ema=bull rs=-1.1% adx=27 body=88% ramp=40.9x rangeATR=2.4 ⚡ ⚠ O167.75 H167.84 L166.3 C166.39 ATR=5.49 SL=166.94/167.21 rawVol=180120 volSMA=42681 buf=0.275 prices=
2025-10-02T10:00:00.000-04:00,[KLB] 10:00 ▲ 🔇 QBS ramp=0.5x vol=1.8x pos=^97 vwap=above ema=bull adx=26 body=72% rangeATR=1.6 O167.77 H168.69 L167.47 C168.65 ATR=5.49
2025-10-02T10:05:00.000-04:00,[KLB] 10:05 ▲ ~ ~ VWAP vol=2.2x pos=^93 vwap=above ema=bull rs=+0.5% adx=25 body=61% ramp=0.5x rangeATR=1.4 O168.62 H169.39 L168.26 C169.31 ATR=5.49 SL=168.76/168.49 rawVol=148164 volSMA=67235 buf=0.275 prices=
2025-10-02T10:05:00.000-04:00,[KLB] CONF 10:05 ▲ QBS → ✓ (auto-promote)
2025-10-02T10:10:00.000-04:00,[KLB] 5m CHECK 10:10 ▲ pnl=-0.19 SPY~ → BAIL
2025-10-03T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ Today O vol=12.9x pos=v45 vwap=below ema=bear rs=-0.4% adx=21 body=42% ramp=25.4x rangeATR=3.4 ⚡ O170.64 H170.68 L169.6 C170.19 ATR=5.6 SL=170.75/171.03 rawVol=130208 volSMA=10064 buf=0.28 prices=
2025-10-03T09:45:00.000-04:00,[KLB] 9:45 ▼ RNG range break vol=5.1x
2025-10-03T09:45:00.000-04:00,[KLB] 9:45 ▼ BRK ORB L vol=5.1x pos=v59 vwap=below ema=bear rs=-0.9% adx=21 body=45% ramp=12.1x rangeATR=2.5 ⚡ O169.75 H169.89 L168.89 C169.3 ATR=5.6 SL=169.86/170.14 rawVol=100548 volSMA=19710 buf=0.28 prices=169.6
2025-10-03T09:45:00.000-04:00,"[KLB] 9:45 ▼ ~ ~ Yest H
~ VWAP + ~ PD Cls vol=5.1x pos=v59 vwap=below ema=bear rs=-0.9% adx=21 body=45% ramp=12.1x rangeATR=2.5 ⚡ O169.75 H169.89 L168.89 C169.3 ATR=5.6 SL=169.86/170.14 rawVol=100548 volSMA=19710 buf=0.28 prices=171.06"
2025-10-03T09:45:00.000-04:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T09:50:00.000-04:00,[KLB] 5m CHECK 9:50 ▼ pnl=-0.11 SPY~ → BAIL
2025-10-03T09:55:00.000-04:00,[KLB] 9:55 ▼ BRK ORB L vol=2x pos=v71 vwap=below ema=bear rs=-1% adx=22 body=67% ramp=1x rangeATR=1.7 O169.89 H169.92 L169.14 C169.37 ATR=5.6 SL=169.93/170.21 rawVol=52994 volSMA=27021 buf=0.28 prices=169.6
2025-10-03T09:55:00.000-04:00,[KLB] 9:55 ▼ ~ ~ Yest H vol=2x pos=v71 vwap=below ema=bear rs=-1% adx=22 body=67% ramp=1x rangeATR=1.7 O169.89 H169.92 L169.14 C169.37 ATR=5.6 SL=169.93/170.21 rawVol=52994 volSMA=27021 buf=0.28 prices=171.06
2025-10-03T09:55:00.000-04:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T10:00:00.000-04:00,[KLB] 5m CHECK 10:00 ▼ pnl=0.06 SPY~ → HOLD
2025-10-03T12:40:00.000-04:00,[KLB] 12:40 ▼ BRK PD LH L vol=1.4x pos=v95 vwap=below ema=bear rs=-2% adx=21 body=95% ramp=1.4x rangeATR=0.9 ⚠ O168.22 H168.22 L167.85 C167.87 ATR=5.6 SL=168.43/168.71 rawVol=31533 volSMA=22083 buf=0.28 prices=
2025-10-03T12:40:00.000-04:00,[KLB] CONF 12:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T12:45:00.000-04:00,[KLB] 5m CHECK 12:45 ▼ pnl=0.02 SPY✗ → BAIL
2025-10-03T13:25:00.000-04:00,[KLB] 13:25 ▼ BRK Yest L vol=2.3x pos=v46 vwap=below ema=bear rs=-2.8% adx=34 body=44% ramp=0.8x rangeATR=1.3 O166.26 H166.27 L165.64 C165.98 ATR=5.6 SL=166.54/166.82 rawVol=62880 volSMA=27841 buf=0.28 prices=166.12
2025-10-03T13:25:00.000-04:00,[KLB] CONF 13:25 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T13:30:00.000-04:00,[KLB] 5m CHECK 13:30 ▼ pnl=0.03 SPY~ → HOLD
2025-10-03T13:50:00.000-04:00,[KLB] 13:50 ▼ ~ ~ Week H vol=1.8x pos=v78 vwap=below ema=bear rs=-3.6% adx=40 body=67% ramp=1.2x rangeATR=1.6 O165.03 H165.13 L164.22 C164.42 ATR=5.6 SL=164.98/165.26 rawVol=62770 volSMA=34993 buf=0.28 prices=165.1
2025-10-03T15:15:00.000-04:00,[KLB] 15:15 ▼ ~ x~ Week H vol=0.9x pos=v94 vwap=below ema=bear rs=-3.4% adx=41 body=3% ramp=1.5x rangeATR=0.6 O164.84 H165.13 L164.81 C164.83 ATR=5.6 SL=165.39/165.67 rawVol=34424 volSMA=36964 buf=0.28 prices=165.1
2025-10-03T15:30:00.000-04:00,[KLB] 15:30 ▼ ~ x~ Week H vol=0.8x pos=v89 vwap=below ema=bear rs=-3.4% adx=37 body=22% ramp=0.8x rangeATR=0.4 O164.82 H164.94 L164.76 C164.78 ATR=5.6 SL=165.34/165.62 rawVol=26462 volSMA=32339 buf=0.28 prices=165.1
2025-10-03T15:40:00.000-04:00,[KLB] 15:40 ▼ ~ ~ Week H vol=1.2x pos=v83 vwap=below ema=bear rs=-3.4% adx=35 body=71% ramp=1.1x rangeATR=0.6 O164.99 H165.02 L164.78 C164.82 ATR=5.6 SL=165.38/165.66 rawVol=35430 volSMA=30169 buf=0.28 prices=165.1
2025-10-03T15:45:00.000-04:00,[KLB] 15:45 ▼ ~ x~ Week H vol=1.2x pos=v60 vwap=below ema=bear rs=-3.4% adx=34 body=13% ramp=1.4x rangeATR=0.7 O164.81 H164.95 L164.65 C164.77 ATR=5.6 SL=165.33/165.61 rawVol=36113 volSMA=30215 buf=0.28 prices=165.1
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=6.6x
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ Today O vol=6.6x pos=v95 vwap=below ema=bull rs=-4.5% adx=75 body=94% ramp=5.2x rangeATR=3.2 ⚡ ⚠ O226.49 H226.66 L215.5 C216.05 ATR=5.74 SL=216.62/216.91 rawVol=2140031 volSMA=322178 buf=0.287 prices=
2025-10-06T09:40:00.000-04:00,[KLB] 9:40 ▲ ~ ~ VWAP vol=3x pos=^49 vwap=above ema=bull rs=-3.5% adx=71 body=48% ramp=6.4x rangeATR=1.3 O215.98 H220.48 L215.93 C218.17 ATR=5.74 SL=217.6/217.31 rawVol=1105128 volSMA=368848 buf=0.287 prices=
