Date,Message
2025-09-29T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=10.3x
2025-09-29T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ VWAP + ~ Today O vol=10.3x pos=v100 vwap=below ema=bear rs=+0.4% adx=26 body=89% ramp=5.8x rangeATR=7.2 ⚡ ⚠ O221.55 H221.75 L220.01 C220.01 ATR=4.87 SL=220.5/220.74 rawVol=23607 volSMA=2292 buf=0.243 prices=
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▲ ~ ~ PM L vol=10.2x pos=^86 vwap=above ema=bear rs=+0.3% adx=32 body=60% ramp=153.8x rangeATR=3 ⚡ O220.06 H220.85 L219.78 C220.7 ATR=4.87 SL=220.21/219.97 rawVol=121614 volSMA=16835 buf=0.243 prices=220.01
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=17.6x
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + PD LH L vol=17.6x pos=v91 vwap=below ema=bear rs=-0.7% adx=21 body=82% ramp=32.3x rangeATR=8.1 ⚡ ⚠ O222.04 H222.24 L220.05 C220.24 ATR=4.76 SL=220.72/220.95 rawVol=131084 volSMA=7437 buf=0.238 prices=221.54
2025-09-30T09:35:00.000-04:00,"[KLB] 9:35 ▼ ~ ~ Yest H
~ VWAP + ~ PD Cls vol=17.6x pos=v91 vwap=below ema=bear rs=-0.7% adx=21 body=82% ramp=32.3x rangeATR=8.1 ⚡ ⚠ O222.04 H222.24 L220.05 C220.24 ATR=4.76 SL=220.72/220.95 rawVol=131084 volSMA=7437 buf=0.238 prices=222.6"
2025-09-30T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK ORB L vol=9.7x pos=v86 vwap=below ema=bear rs=-0.9% adx=25 body=62% ramp=73.1x rangeATR=2.5 ⚡ O220.26 H220.44 L219.69 C219.79 ATR=4.76 SL=220.27/220.5 rawVol=138926 volSMA=14379 buf=0.238 prices=220.05
2025-09-30T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-30T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=-0.01 SPY~ → HOLD
2025-09-30T09:55:00.000-04:00,[KLB] 9:55 ▼ BRK Yest L vol=4.4x pos=v91 vwap=below ema=bear rs=-1.5% adx=36 body=90% ramp=1.4x rangeATR=2.2 ⚡ ⚠ O219.38 H219.39 L218.47 C218.55 ATR=4.76 SL=219.03/219.26 rawVol=146361 volSMA=33280 buf=0.238 prices=219.3
2025-09-30T09:55:00.000-04:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-30T10:00:00.000-04:00,[KLB] 5m CHECK 10:00 ▼ pnl=0.02 SPY~ → HOLD
2025-10-01T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=8x
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=16.3x
2025-10-01T09:35:00.000-04:00,"[KLB] 9:35 ▲ ~ ~ PM L + ~ Week L
~ VWAP vol=16.3x pos=^95 vwap=above ema=bear rs=+0.7% adx=23 body=70% ramp=37.8x rangeATR=6.1 ⚡ O217.29 H219.36 L216.61 C219.22 ATR=4.73 SL=218.75/218.51 rawVol=194972 volSMA=11961 buf=0.236 prices=217.27/216.47"
2025-10-01T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ PD LH L vol=3.5x pos=^83 vwap=above ema=bull rs=+0.6% adx=24 body=36% ramp=17.8x rangeATR=0.8 O219.14 H219.35 L218.96 C219.28 ATR=4.73 SL=218.81/218.57 rawVol=74435 volSMA=21530 buf=0.236 prices=
2025-10-01T10:05:00.000-04:00,[KLB] 10:05 ▲ ~ ~ Yest L + ~ PD LH L vol=2x pos=^98 vwap=above ema=bull rs=+0.9% adx=26 body=87% ramp=0.6x rangeATR=1.9 ⚠ O218.79 H219.78 L218.67 C219.76 ATR=4.73 SL=219.29/219.05 rawVol=73828 volSMA=36648 buf=0.236 prices=217.89
2025-10-02T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=3.7x
2025-10-02T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + PD LH L vol=16.2x pos=v98 vwap=below ema=bear rs=-0.6% adx=25 body=88% ramp=47.7x rangeATR=5.6 ⚡ ⚠ O221.02 H221.19 L219.51 C219.55 ATR=4.79 SL=220.03/220.27 rawVol=186815 volSMA=11506 buf=0.239 prices=221
2025-10-02T09:35:00.000-04:00,"[KLB] 9:35 ▼ ~ ~ Yest H
~ VWAP + ~ Today O + ~ PD Cls vol=16.2x pos=v98 vwap=below ema=bear rs=-0.6% adx=25 body=88% ramp=47.7x rangeATR=5.6 ⚡ ⚠ O221.02 H221.19 L219.51 C219.55 ATR=4.79 SL=220.03/220.27 rawVol=186815 volSMA=11506 buf=0.239 prices=222.15"
2025-10-02T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-02T09:40:00.000-04:00,[KLB] 5m CHECK 9:40 ▼ pnl=0.04 SPY~ → HOLD
2025-10-02T12:30:00.000-04:00,[KLB] 12:30 ▲ BRK PD LH H vol=1.6x pos=^85 vwap=above ema=bull rs=+0.9% adx=26 body=82% ramp=1.9x rangeATR=1 ⚠ O221.99 H222.35 L221.98 C222.3 ATR=4.79 SL=221.82/221.58 rawVol=73907 volSMA=45870 buf=0.239 prices=
2025-10-02T12:30:00.000-04:00,[KLB] CONF 12:30 ▲ BRK → ✓ (auto-R1: EMA)
2025-10-02T12:35:00.000-04:00,[KLB] 5m CHECK 12:35 ▲ pnl=0.01 SPY✗ → HOLD
2025-10-02T13:15:00.000-04:00,[KLB] 13:15 ▲ BRK PD LH H vol=1.4x pos=^94 vwap=above ema=bull rs=+1% adx=32 body=94% ramp=1.6x rangeATR=1.7 ⚠ O222.13 H222.71 L222.13 C222.67 ATR=4.79 SL=222.19/221.95 rawVol=63127 volSMA=44861 buf=0.239 prices=
2025-10-02T13:15:00.000-04:00,[KLB] CONF 13:15 ▲ BRK → ✓ (auto-R1: EMA)
2025-10-02T13:20:00.000-04:00,[KLB] 5m CHECK 13:20 ▲ pnl=-0.08 SPY✗ → BAIL
2025-10-02T15:55:00.000-04:00,[KLB] 15:55 ▲ ~ ~ VWAP vol=3.3x pos=^97 vwap=above ema=bull rs=+0.7% adx=21 body=53% ramp=2x rangeATR=3.1 ⚡ O221.7 H222.14 L221.35 C222.12 ATR=4.79 SL=221.64/221.4 rawVol=133146 volSMA=40923 buf=0.239 prices=
2025-10-03T09:45:00.000-04:00,[KLB] 9:45 ▼ RNG range break vol=5.2x
2025-10-03T09:45:00.000-04:00,[KLB] 9:45 ▼ BRK ORB L vol=5.2x pos=v68 vwap=below ema=bear rs=-0.5% adx=27 body=68% ramp=44.4x rangeATR=2.9 ⚡ O223.37 H223.37 L222.39 C222.7 ATR=4.72 SL=223.17/223.41 rawVol=93039 volSMA=17932 buf=0.236 prices=223.16
2025-10-03T09:45:00.000-04:00,[KLB] 9:45 ▼ ~ ~ VWAP vol=5.2x pos=v68 vwap=below ema=bear rs=-0.5% adx=27 body=68% ramp=44.4x rangeATR=2.9 ⚡ O223.37 H223.37 L222.39 C222.7 ATR=4.72 SL=223.17/223.41 rawVol=93039 volSMA=17932 buf=0.236 prices=
2025-10-03T09:45:00.000-04:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T09:50:00.000-04:00,[KLB] 5m CHECK 9:50 ▼ pnl=-0.06 SPY~ → HOLD
