Date,Message
2025-07-14T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=3.2x
2025-07-14T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ Today O vol=3.2x pos=v100 vwap=above ema=bear rs=-0.1% adx=na body=71% ramp=1.6x rangeATR=1 O44.5 H44.51 L44.48 C44.48 ATR=0.77 SL=44.55/44.59 rawVol=5688 volSMA=1755 buf=0.039 prices=
2025-07-14T14:50:00.000-04:00,[KLB] 14:50 ▼ BRK ORB L vol=1.1x pos=v100 vwap=below ema=bear rs=-1.1% adx=21 body=95% ramp=0.7x rangeATR=1 ⚠ O44.17 H44.17 L44.12 C44.12 ATR=0.77 SL=44.2/44.24 rawVol=26958 volSMA=23460 buf=0.039 prices=44.19
2025-07-14T14:50:00.000-04:00,[KLB] CONF 14:50 ▼ BRK → ✓ (auto-R1: EMA)
2025-07-14T14:55:00.000-04:00,[KLB] 14:55 ▼ BRK Yest L vol=1.1x pos=v100 vwap=below ema=bear rs=-1.1% adx=21 body=58% ramp=0.6x rangeATR=0.6 O44.12 H44.13 L44.1 C44.1 ATR=0.77 SL=44.18/44.22 rawVol=18526 volSMA=23557 buf=0.039 prices=44.16
2025-07-14T14:55:00.000-04:00,[KLB] CONF 14:55 ▼ BRK → ✓ (auto-R1: EMA)
2025-07-14T15:00:00.000-04:00,[KLB] 5m CHECK 15:00 ▼ pnl=-0.01 SPY~ → HOLD
2025-07-14T15:30:00.000-04:00,[KLB] 15:30 ▼ ~ ~ VWAP vol=1.9x pos=v98 vwap=below ema=bear rs=-1.3% adx=21 body=63% ramp=2x rangeATR=2.1 ⚡ O44.09 H44.13 L44.02 C44.03 ATR=0.77 SL=44.1/44.14 rawVol=44702 volSMA=24033 buf=0.039 prices=
2025-07-15T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=4x
2025-07-15T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=19.7x
2025-07-15T10:55:00.000-04:00,[KLB] 10:55 ▼ ~ ~ VWAP vol=1.9x pos=v94 vwap=below ema=bear rs=-0.3% adx=21 body=92% ramp=1.1x rangeATR=2.1 ⚡ ⚠ O43.8 H43.81 L43.65 C43.66 ATR=0.77 SL=43.74/43.78 rawVol=168484 volSMA=88936 buf=0.038 prices=
2025-07-16T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=18.6x
2025-07-16T11:20:00.000-04:00,[KLB] 11:20 ▼ ~ ~ VWAP vol=2.4x pos=v95 vwap=below ema=bear rs=-0.4% adx=24 body=95% ramp=0.9x rangeATR=2.1 ⚡ ⚠ O43.17 H43.17 L42.98 C42.99 ATR=0.77 SL=43.06/43.1 rawVol=188990 volSMA=77987 buf=0.039 prices=
2025-07-16T12:50:00.000-04:00,[KLB] 12:50 ▲ ~ ~ ORB L vol=0.9x pos=^80 vwap=above ema=bear rs=+0.2% adx=20 body=55% ramp=1.2x rangeATR=0.6 O43.34 H43.38 L43.33 C43.37 ATR=0.77 SL=43.29/43.25 rawVol=56682 volSMA=63664 buf=0.039 prices=43.34
2025-07-16T13:10:00.000-04:00,[KLB] 13:10 ▲ ~ ~ PM L + ~ ORB L vol=0.3x pos=^95 vwap=above ema=bull rs=+0.1% adx=21 body=90% ramp=0.7x rangeATR=0.8 ⚠ O43.34 H43.39 L43.33 C43.38 ATR=0.77 SL=43.31/43.27 rawVol=18122 volSMA=54707 buf=0.039 prices=43.33/43.34
2025-07-17T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=14.6x
2025-07-17T09:35:00.000-04:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ Today O vol=18.9x pos=^94 vwap=above ema=bear rs=+0.2% adx=30 body=47% ramp=139.8x rangeATR=4.6 ⚡ O42.85 H42.98 L42.74 C42.96 ATR=0.77 SL=42.88/42.84 rawVol=240872 volSMA=12753 buf=0.038 prices=42.85
2025-07-17T09:45:00.000-04:00,"[KLB] 9:45 ▲ ~ ~ Yest L
~ VWAP + ~ PD LH L + ~ PD Cls vol=3.7x pos=^86 vwap=above ema=bear rs=+0.4% adx=32 body=82% ramp=32.5x rangeATR=2.2 ⚡ ⚠ O42.97 H43.1 L42.97 C43.08 ATR=0.77 SL=43/42.96 rawVol=74442 volSMA=20165 buf=0.038 prices=42.91"
2025-07-17T11:15:00.000-04:00,[KLB] 11:15 ▼ ~ ~ PM H vol=0.7x pos=v97 vwap=below ema=bear rs=+0.1% adx=21 body=87% ramp=0.9x rangeATR=1.1 ⚠ O43.08 H43.09 L43.01 C43.01 ATR=0.77 SL=43.09/43.13 rawVol=36084 volSMA=49971 buf=0.038 prices=43.11
2025-07-17T15:40:00.000-04:00,[KLB] 15:40 ▲ BRK PD LH H vol=3.1x pos=^56 vwap=above ema=bull rs=+0.6% adx=20 body=56% ramp=2.6x rangeATR=0.9 O43.35 H43.39 L43.35 C43.37 ATR=0.77 SL=43.29/43.25 rawVol=78806 volSMA=25580 buf=0.038 prices=
2025-07-17T15:40:00.000-04:00,[KLB] CONF 15:40 ▲ BRK → ✓ (auto-R1: EMA)
2025-07-17T15:45:00.000-04:00,[KLB] 5m CHECK 15:45 ▲ pnl=-0.02 SPY✓ → HOLD
2025-07-18T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=19x
2025-07-18T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ x~ PM H vol=19x pos=v81 vwap=below ema=bull rs=-0.1% adx=33 body=24% ramp=473.2x rangeATR=5.3 ⚡ O43.67 H43.88 L43.52 C43.59 ATR=0.76 SL=43.66/43.7 rawVol=439072 volSMA=23142 buf=0.038 prices=43.88
2025-07-18T09:45:00.000-04:00,[KLB] 9:45 ▼ ~ ~ VWAP vol=6.5x pos=v100 vwap=below ema=bull rs=-0.5% adx=34 body=65% ramp=647.1x rangeATR=1.6 O43.51 H43.55 L43.42 C43.42 ATR=0.76 SL=43.5/43.53 rawVol=345196 volSMA=59811 buf=0.038 prices=
2025-07-18T10:10:00.000-04:00,[KLB] 10:10 ▲ 🔇 QBS ramp=0.4x vol=1.3x pos=^95 vwap=above ema=bull adx=30 body=75% rangeATR=1.8 O43.59 H43.71 L43.56 C43.7 ATR=0.76
2025-07-18T10:10:00.000-04:00,[KLB] 10:10 ▲ ~ ~ VWAP vol=1.3x pos=^95 vwap=above ema=bull rs=+0.2% adx=30 body=75% ramp=0.4x rangeATR=1.8 🔇 O43.59 H43.71 L43.56 C43.7 ATR=0.76 SL=43.62/43.59 rawVol=77964 volSMA=104747 buf=0.038 prices=
2025-07-18T10:25:00.000-04:00,[KLB] CONF 10:25 ▲ QBS → ✗ (failed)
2025-07-18T11:15:00.000-04:00,[KLB] 11:15 ▼ BRK PM L + PD LH L + Week O vol=1.2x pos=v74 vwap=below ema=bear rs=-0.9% adx=27 body=73% ramp=1.4x rangeATR=2.4 ⚡ O43.33 H43.34 L43.09 C43.15 ATR=0.76 SL=43.23/43.26 rawVol=185308 volSMA=152721 buf=0.038 prices=43.3
2025-07-18T11:15:00.000-04:00,[KLB] 11:15 ▼ ~ ~ Yest H + ~ PD Cls vol=1.2x pos=v74 vwap=below ema=bear rs=-0.9% adx=27 body=73% ramp=1.4x rangeATR=2.4 ⚡ O43.33 H43.34 L43.09 C43.15 ATR=0.76 SL=43.23/43.26 rawVol=185308 volSMA=152721 buf=0.038 prices=43.39
2025-07-18T11:15:00.000-04:00,[KLB] CONF 11:15 ▼ BRK → ✓ (auto-R1: EMA)
2025-07-18T11:20:00.000-04:00,[KLB] 5m CHECK 11:20 ▼ pnl=0.08 SPY✓ → HOLD
2025-07-21T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=18.1x
2025-07-21T10:10:00.000-04:00,[KLB] 10:10 ▼ BRK Yest L + Week L + PD LH L vol=1.9x pos=v98 vwap=below ema=bear rs=-1.1% adx=26 body=96% ramp=1x rangeATR=3 ⚡ ⚠ O42.9 H42.91 L42.68 C42.68 ATR=0.78 SL=42.76/42.8 rawVol=62912 volSMA=33444 buf=0.039 prices=42.81/42.74
2025-07-21T10:10:00.000-04:00,[KLB] 10:10 ▼ ~ ~ VWAP vol=1.9x pos=v98 vwap=below ema=bear rs=-1.1% adx=26 body=96% ramp=1x rangeATR=3 ⚡ ⚠ O42.9 H42.91 L42.68 C42.68 ATR=0.78 SL=42.76/42.8 rawVol=62912 volSMA=33444 buf=0.039 prices=
2025-07-21T10:10:00.000-04:00,[KLB] CONF 10:10 ▼ BRK → ✓ (auto-R1: EMA)
2025-07-21T10:15:00.000-04:00,[KLB] 5m CHECK 10:15 ▼ pnl=-0.12 SPY~ → BAIL
2025-07-21T10:20:00.000-04:00,[KLB] 10:20 ▼ BRK Week L vol=1.4x pos=v55 vwap=below ema=bear rs=-1% adx=31 body=50% ramp=1x rangeATR=1.4 O42.78 H42.79 L42.68 C42.73 ATR=0.78 SL=42.8/42.84 rawVol=56870 volSMA=39508 buf=0.039 prices=42.74
2025-07-21T10:20:00.000-04:00,[KLB] CONF 10:20 ▼ BRK → ✓ (auto-R1: EMA)
2025-07-21T10:25:00.000-04:00,[KLB] 5m CHECK 10:25 ▼ pnl=-0.18 SPY✗ → BAIL
2025-07-22T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=19.6x
2025-07-22T09:35:00.000-04:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ Yest L + ~ PD LH L + ~ Today O + ~ PD Cls vol=19.6x pos=^92 vwap=above ema=bear rs=+0.5% adx=20 body=82% ramp=359.1x rangeATR=5.7 ⚡ ⚠ O42.47 H42.69 L42.44 C42.67 ATR=0.77 SL=42.59/42.55 rawVol=134216 volSMA=6836 buf=0.039 prices=42.45/42.45
