Date,Message
2025-10-06T09:40:00.000-04:00,[KLB] 9:40 ▼ RNG range break vol=9.5x
2025-10-06T10:00:00.000-04:00,[KLB] 10:00 ▼ ~ ~ VWAP vol=2.6x pos=v69 vwap=below ema=bear rs=+0% adx=25 body=67% ramp=0.8x rangeATR=1 O670.27 H670.28 L669.89 C670.01 ATR=4.94 SL=670.5/670.75 rawVol=295059 volSMA=112090 buf=0.247 prices=
2025-10-06T10:10:00.000-04:00,[KLB] 10:10 ▼ ~ ~ Yest H vol=1.5x pos=v93 vwap=below ema=bear rs=+0% adx=29 body=84% ramp=0.8x rangeATR=1.3 ⚠ O670.05 H670.1 L669.55 C669.59 ATR=4.94 SL=670.08/670.33 rawVol=203929 volSMA=140358 buf=0.247 prices=672.68
2025-10-07T09:55:00.000-04:00,[KLB] 9:55 ▲ BRK PD LH H vol=3.2x pos=^91 vwap=below ema=bull rs=+0% adx=33 body=31% ramp=1.1x rangeATR=1.5 O672.34 H672.52 L672.07 C672.48 ATR=4.83 SL=672/671.76 rawVol=220200 volSMA=68702 buf=0.241 prices=
2025-10-07T09:55:00.000-04:00,[KLB] CONF 9:55 ▲ BRK → ✓ (auto-R1: EMA)
2025-10-07T10:00:00.000-04:00,[KLB] 5m CHECK 10:00 ▲ pnl=-0.05 SPY~ → HOLD
2025-10-07T10:30:00.000-04:00,[KLB] 10:30 ▼ ~ ~ PD Cls vol=1.6x pos=v98 vwap=below ema=bull rs=+0% adx=24 body=94% ramp=1x rangeATR=1.5 ⚠ O671.75 H671.77 L671.26 C671.27 ATR=4.83 SL=671.75/671.99 rawVol=211997 volSMA=131105 buf=0.241 prices=
2025-10-07T11:05:00.000-04:00,[KLB] 11:05 ▼ ~ ~ VWAP vol=1.2x pos=v85 vwap=below ema=bear rs=+0% adx=31 body=66% ramp=0.9x rangeATR=2 O670.93 H671.09 L670.24 C670.37 ATR=4.83 SL=670.85/671.09 rawVol=233792 volSMA=197367 buf=0.241 prices=
2025-10-07T11:10:00.000-04:00,[KLB] 11:10 ▼ BRK PM L + Yest L vol=2.9x pos=v94 vwap=below ema=bear rs=+0% adx=34 body=92% ramp=2x rangeATR=3.1 ⚡ ⚠ O670.35 H670.38 L668.81 C668.91 ATR=4.83 SL=669.39/669.63 rawVol=661286 volSMA=230220 buf=0.241 prices=670.34/669.46
2025-10-07T11:10:00.000-04:00,[KLB] CONF 11:10 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-07T11:15:00.000-04:00,[KLB] 5m CHECK 11:15 ▼ pnl=-0.13 SPY✓ → HOLD
2025-10-07T11:30:00.000-04:00,[KLB] 11:30 ▼ BRK Yest L vol=1.2x pos=v70 vwap=below ema=bear rs=+0% adx=41 body=52% ramp=0.7x rangeATR=1.5 O669.74 H669.9 L669.02 C669.28 ATR=4.83 SL=669.76/670 rawVol=294709 volSMA=256047 buf=0.241 prices=669.46
2025-10-07T11:30:00.000-04:00,[KLB] CONF 11:30 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-07T11:35:00.000-04:00,[KLB] 5m CHECK 11:35 ▼ pnl=0.06 SPY✓ → HOLD
2025-10-08T11:00:00.000-04:00,[KLB] 11:00 ▲ ~ ~ VWAP vol=0.6x pos=^92 vwap=above ema=bull rs=+0% adx=26 body=39% ramp=0.8x rangeATR=1.1 O671.58 H671.79 L671.34 C671.75 ATR=4.86 SL=671.26/671.02 rawVol=123223 volSMA=196372 buf=0.243 prices=
2025-10-09T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ x~ PM H vol=17x pos=v84 vwap=below ema=bull rs=+0% adx=13 body=27% ramp=35.1x rangeATR=3.1 ⚡ O673.53 H673.93 L673.23 C673.34 ATR=4.81 SL=673.82/674.06 rawVol=411988 volSMA=24206 buf=0.24 prices=673.59
2025-10-09T09:45:00.000-04:00,[KLB] 9:45 ▼ RNG range break vol=6.5x
2025-10-09T11:25:00.000-04:00,[KLB] 11:25 ▼ ~ ~ VWAP vol=0.7x pos=v83 vwap=below ema=bear rs=+0% adx=38 body=77% ramp=0.9x rangeATR=1.4 O671.61 H671.65 L670.99 C671.1 ATR=4.81 SL=671.58/671.82 rawVol=127912 volSMA=194105 buf=0.24 prices=
2025-10-10T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=16.1x
2025-10-10T09:35:00.000-04:00,[KLB] 9:35 ▲ ~ ~ Today O vol=16.1x pos=^66 vwap=below ema=bull rs=+0% adx=20 body=36% ramp=23.5x rangeATR=3.3 ⚡ O672.15 H672.79 L671.88 C672.48 ATR=4.8 SL=672/671.76 rawVol=378251 volSMA=23498 buf=0.24 prices=
2025-10-10T09:40:00.000-04:00,[KLB] 9:40 ▲ ~ ~ VWAP vol=10.3x pos=^89 vwap=above ema=bull rs=+0% adx=23 body=83% ramp=27.3x rangeATR=3.4 ⚡ ⚠ O672.51 H673.58 L672.44 C673.46 ATR=4.8 SL=672.98/672.74 rawVol=268609 volSMA=36847 buf=0.24 prices=
2025-10-10T10:30:00.000-04:00,[KLB] 10:30 ▼ ~ x~ ORB H vol=1.5x pos=v86 vwap=below ema=bull rs=+0% adx=26 body=12% ramp=1.1x rangeATR=1.2 O672.64 H673.13 L672.47 C672.56 ATR=4.8 SL=673.04/673.28 rawVol=213186 volSMA=145616 buf=0.24 prices=672.79
2025-10-10T10:40:00.000-04:00,[KLB] 10:40 ▼ ~ x~ ORB H vol=0.8x pos=v48 vwap=below ema=bull rs=+0% adx=24 body=22% ramp=0.9x rangeATR=1.1 O672.67 H672.82 L672.24 C672.54 ATR=4.8 SL=673.02/673.26 rawVol=127362 volSMA=159245 buf=0.24 prices=672.79
2025-10-10T10:50:00.000-04:00,[KLB] 10:50 ▲ FADE at 672.79
2025-10-10T11:00:00.000-04:00,[KLB] 11:00 ▼ ~ ~ PD Cls vol=3.5x pos=v72 vwap=below ema=bull rs=+0% adx=25 body=69% ramp=2.5x rangeATR=6.1 ⚡ O672.86 H673.01 L667.68 C669.16 ATR=4.8 SL=669.64/669.88 rawVol=723565 volSMA=208666 buf=0.24 prices=
2025-10-10T11:25:00.000-04:00,[KLB] 11:25 ▼ BRK VW Band + Week O + Month O vol=1.5x pos=v97 vwap=below ema=bear rs=+0% adx=38 body=82% ramp=0.5x rangeATR=2.1 ⚡ ⚠ O665.59 H666.09 L662.73 C662.82 ATR=4.8 SL=663.3/663.54 rawVol=459117 volSMA=304901 buf=0.24 prices=
2025-10-10T11:25:00.000-04:00,[KLB] CONF 11:25 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-10T11:30:00.000-04:00,[KLB] 5m CHECK 11:30 ▼ pnl=0.08 SPY✓ → HOLD
2025-10-10T11:35:00.000-04:00,[KLB] 11:35 ▼ BRK Week L vol=1.6x pos=v66 vwap=below ema=bear rs=+0% adx=43 body=63% ramp=1.1x rangeATR=1.7 O662.42 H662.49 L659.61 C660.6 ATR=4.8 SL=661.08/661.32 rawVol=515848 volSMA=326485 buf=0.24 prices=661.61
2025-10-10T11:35:00.000-04:00,[KLB] CONF 11:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-10T11:40:00.000-04:00,[KLB] 5m CHECK 11:40 ▼ pnl=0.04 SPY✓ → HOLD
2025-10-13T13:55:00.000-04:00,[KLB] 13:55 ▲ ~ ~ VWAP vol=0.7x pos=^98 vwap=above ema=bull rs=+0% adx=21 body=30% ramp=1.2x rangeATR=0.9 O662.73 H662.9 L662.37 C662.89 ATR=5.96 SL=662.29/662 rawVol=105218 volSMA=143942 buf=0.298 prices=
2025-10-14T09:40:00.000-04:00,[KLB] 9:40 ▼ RNG range break vol=9.6x
2025-10-14T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK ORB L vol=9.6x pos=v45 vwap=below ema=bear rs=+0% adx=23 body=43% ramp=35.5x rangeATR=2.3 ⚡ O655.92 H655.95 L654.38 C655.25 ATR=6.4 SL=655.89/656.21 rawVol=434814 volSMA=67576 buf=0.32 prices=655.89
2025-10-14T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-14T09:45:00.000-04:00,[KLB] 9:45 ▼ BRK PM L vol=5.2x pos=v79 vwap=below ema=bear rs=+0% adx=26 body=69% ramp=34.5x rangeATR=2.7 ⚡ O655.25 H655.46 L653.3 C653.76 ATR=6.4 SL=654.4/654.72 rawVol=468654 volSMA=90495 buf=0.32 prices=654.5
2025-10-14T09:45:00.000-04:00,[KLB] 9:45 ▼ ~ ~ VWAP vol=5.2x pos=v79 vwap=below ema=bear rs=+0% adx=26 body=69% ramp=34.5x rangeATR=2.7 ⚡ O655.25 H655.46 L653.3 C653.76 ATR=6.4 SL=654.4/654.72 rawVol=468654 volSMA=90495 buf=0.32 prices=
2025-10-14T09:45:00.000-04:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-R1: EMA)
