Date,Message
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=17.6x
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ Yest H + ~ Today O vol=17.6x pos=v76 vwap=below ema=bear rs=-0.2% adx=22 body=36% ramp=35x rangeATR=5.6 ⚡ O748.98 H750.85 L746.12 C747.26 ATR=16.14 SL=748.55/748.87 rawVol=56408 volSMA=3197 buf=0.807 prices=751.93
2025-09-29T10:20:00.000-04:00,[KLB] 10:20 ▼ ~ ~ VWAP vol=1.2x pos=v97 vwap=below ema=bear rs=-0.3% adx=30 body=87% ramp=0.8x rangeATR=1.7 ⚠ O748.25 H748.5 L746.09 C746.16 ATR=16.14 SL=747.45/747.77 rawVol=16267 volSMA=13112 buf=0.807 prices=
2025-09-29T13:30:00.000-04:00,[KLB] 13:30 ▼ BRK PM L vol=2.5x pos=v72 vwap=below ema=bear rs=-0.3% adx=21 body=46% ramp=1x rangeATR=1 O744.65 H744.91 L743.89 C744.18 ATR=16.14 SL=747.41/748.22 rawVol=15675 volSMA=6264 buf=0.807 prices=745.35
2025-09-29T13:30:00.000-04:00,[KLB] CONF 13:30 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-29T13:35:00.000-04:00,[KLB] 5m CHECK 13:35 ▼ pnl=-0.02 SPY~ → HOLD
2025-09-29T13:45:00.000-04:00,[KLB] 13:45 ▼ ~ ~ PD Cls vol=1.3x pos=v74 vwap=below ema=bear rs=-0.4% adx=24 body=36% ramp=0.8x rangeATR=0.7 O743.82 H744.07 L743.41 C743.58 ATR=16.14 SL=746.81/747.62 rawVol=5737 volSMA=6618 buf=0.807 prices=
2025-09-30T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ Today O + ~ PD Cls vol=1.8x pos=v97 vwap=above ema=bull rs=-0.2% adx=30 body=89% ramp=1.4x rangeATR=4.7 ⚡ ⚠ O744.61 H744.86 L741.5 C741.61 ATR=15.82 SL=742.88/743.19 rawVol=833 volSMA=456 buf=0.791 prices=
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=17.3x
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + Yest L + Week L + PD LH L vol=17.3x pos=v79 vwap=below ema=bear rs=-0.8% adx=33 body=66% ramp=97.8x rangeATR=7 ⚡ O741.7 H742.98 L733.67 C735.6 ATR=15.82 SL=736.87/737.18 rawVol=57672 volSMA=3337 buf=0.791 prices=741.12/739.15/737.35
2025-09-30T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK ORB L vol=9.9x pos=v75 vwap=below ema=bear rs=-1.4% adx=35 body=66% ramp=199.4x rangeATR=3.9 ⚡ O735.75 H736.32 L729.75 C731.4 ATR=15.82 SL=732.67/732.98 rawVol=65737 volSMA=6623 buf=0.791 prices=733.67
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=9.9x pos=v75 vwap=below ema=bear rs=-1.4% adx=35 body=66% ramp=199.4x rangeATR=3.9 ⚡ O735.75 H736.32 L729.75 C731.4 ATR=15.82 SL=732.67/732.98 rawVol=65737 volSMA=6623 buf=0.791 prices=
2025-09-30T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-30T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=-0.1 SPY~ → HOLD
2025-09-30T11:00:00.000-04:00,[KLB] 11:00 ▲ ~ ~ ORB L vol=1.3x pos=^82 vwap=above ema=bear rs=-1.1% adx=37 body=57% ramp=0.9x rangeATR=1.3 O732.88 H734.73 L732.26 C734.28 ATR=15.82 SL=731.12/730.33 rawVol=42670 volSMA=32094 buf=0.791 prices=733.67
2025-09-30T11:15:00.000-04:00,[KLB] 11:15 ▼ FADE at 733.67
2025-09-30T11:50:00.000-04:00,[KLB] 11:50 ▲ ~ ~ ORB L vol=0.7x pos=^99 vwap=above ema=bear rs=-0.9% adx=22 body=89% ramp=1.1x rangeATR=1.3 ⚠ O733.66 H735.56 L733.45 C735.54 ATR=15.82 SL=732.38/731.59 rawVol=13796 volSMA=21027 buf=0.791 prices=733.67
2025-09-30T12:15:00.000-04:00,[KLB] 12:15 ▼ FADE at 733.67
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=15.6x
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + Month O vol=15.6x pos=v83 vwap=below ema=bear rs=-0.9% adx=44 body=80% ramp=34.9x rangeATR=3.7 ⚡ O721.55 H721.77 L715.47 C716.53 ATR=15.91 SL=717.8/718.12 rawVol=141896 volSMA=9117 buf=0.796 prices=721.56
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ VWAP + ~ Today O vol=15.6x pos=v83 vwap=below ema=bear rs=-0.9% adx=44 body=80% ramp=34.9x rangeATR=3.7 ⚡ O721.55 H721.77 L715.47 C716.53 ATR=15.91 SL=717.8/718.12 rawVol=141896 volSMA=9117 buf=0.796 prices=
2025-10-01T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-01T09:40:00.000-04:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.12 SPY~ → BAIL
2025-10-01T09:50:00.000-04:00,[KLB] 9:50 ▼ BRK ORB L vol=4.3x pos=v98 vwap=below ema=bear rs=-1% adx=47 body=98% ramp=1.6x rangeATR=2.3 ⚡ ⚠ O719.32 H719.32 L714.37 C714.48 ATR=15.91 SL=715.75/716.07 rawVol=90033 volSMA=20940 buf=0.796 prices=715.47
2025-10-01T09:50:00.000-04:00,[KLB] CONF 9:50 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-01T09:55:00.000-04:00,[KLB] 5m CHECK 9:55 ▼ pnl=0.04 SPY~ → HOLD
2025-10-01T10:10:00.000-04:00,[KLB] 10:10 ▼ BRK ORB L vol=1.5x pos=v87 vwap=below ema=bear rs=-1.2% adx=49 body=73% ramp=0.8x rangeATR=1.4 O717 H717.48 L714 C714.46 ATR=15.91 SL=715.73/716.05 rawVol=50875 volSMA=34954 buf=0.796 prices=715.47
2025-10-01T10:10:00.000-04:00,[KLB] CONF 10:10 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-01T10:15:00.000-04:00,[KLB] 5m CHECK 10:15 ▼ pnl=0.19 SPY~ → HOLD
2025-10-01T11:35:00.000-04:00,[KLB] 11:35 ▲ ~ ~ ORB L vol=1x pos=^81 vwap=above ema=bear rs=-1.1% adx=35 body=79% ramp=1.6x rangeATR=1.1 O715.48 H717.4 L715.44 C717.03 ATR=15.91 SL=713.85/713.05 rawVol=39161 volSMA=37918 buf=0.796 prices=715.47
2025-10-01T11:50:00.000-04:00,[KLB] 11:50 ▲ ~ ~ ORB L vol=1x pos=^96 vwap=above ema=bear rs=-1.3% adx=31 body=39% ramp=0.7x rangeATR=0.7 O716 H716.5 L715.34 C716.45 ATR=15.91 SL=713.27/712.47 rawVol=30182 volSMA=31617 buf=0.796 prices=715.47
2025-10-01T12:00:00.000-04:00,[KLB] 12:00 ▼ FADE at 715.47
2025-10-01T12:10:00.000-04:00,[KLB] 12:10 ▲ ~ ~ ORB L vol=1x pos=^91 vwap=above ema=bear rs=-1.1% adx=26 body=90% ramp=1.7x rangeATR=1.6 ⚠ O714.86 H717.69 L714.82 C717.44 ATR=15.91 SL=714.26/713.46 rawVol=27181 volSMA=27403 buf=0.796 prices=715.47
2025-10-02T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=16.1x
2025-10-02T09:45:00.000-04:00,[KLB] 9:45 ▲ RNG range break vol=5.2x
2025-10-02T10:15:00.000-04:00,[KLB] 10:15 ▼ ~ x~ ORB H vol=1.1x pos=v31 vwap=below ema=bull rs=+0.3% adx=17 body=12% ramp=0.5x rangeATR=1 O722.88 H723.16 L721.66 C722.7 ATR=16.5 SL=724.02/724.35 rawVol=14376 volSMA=20987 buf=0.825 prices=723.64
2025-10-02T11:25:00.000-04:00,[KLB] 11:25 ▼ ~ x~ Yest H vol=0.5x pos=v99 vwap=below ema=bear rs=+0.1% adx=22 body=28% ramp=0.8x rangeATR=1.1 O720.76 H721.95 L720.27 C720.29 ATR=16.5 SL=723.59/724.42 rawVol=9736 volSMA=20171 buf=0.825 prices=721.85
2025-10-02T11:40:00.000-04:00,[KLB] 11:40 ▼ BRK ORB L vol=1.1x pos=v51 vwap=below ema=bear rs=0% adx=24 body=44% ramp=1.1x rangeATR=0.9 O719.66 H719.74 L718.48 C719.1 ATR=16.5 SL=722.4/723.23 rawVol=18821 volSMA=16625 buf=0.825 prices=720.24
2025-10-02T11:40:00.000-04:00,[KLB] CONF 11:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-02T11:45:00.000-04:00,[KLB] 5m CHECK 11:45 ▼ pnl=0.04 SPY✓ → HOLD
2025-10-02T12:05:00.000-04:00,[KLB] 12:05 ▼ ~ ~ VWAP vol=1x pos=v70 vwap=below ema=bear rs=+0% adx=22 body=65% ramp=0.8x rangeATR=0.6 O720.82 H720.86 L720 C720.26 ATR=16.5 SL=723.56/724.39 rawVol=14768 volSMA=15011 buf=0.825 prices=
2025-10-02T13:25:00.000-04:00,[KLB] 13:25 ▲ ~ ~ VWAP vol=0.6x pos=^78 vwap=above ema=bull rs=+0.5% adx=21 body=65% ramp=0.9x rangeATR=0.8 O723.51 H724.27 L723.39 C724.08 ATR=16.5 SL=720.78/719.95 rawVol=6214 volSMA=10970 buf=0.825 prices=
2025-10-03T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=16.4x
2025-10-03T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + PD LH L + Month O vol=16.4x pos=v94 vwap=below ema=bear rs=-1.3% adx=36 body=84% ramp=140.9x rangeATR=8.6 ⚡ ⚠ O729.89 H731 L720.01 C720.69 ATR=16.07 SL=721.98/722.3 rawVol=74459 volSMA=4539 buf=0.803 prices=727.54
2025-10-03T09:35:00.000-04:00,"[KLB] 9:35 ▼ ~ ~ Yest H
~ VWAP + ~ Today O + ~ PD Cls vol=16.4x pos=v94 vwap=below ema=bear rs=-1.3% adx=36 body=84% ramp=140.9x rangeATR=8.6 ⚡ ⚠ O729.89 H731 L720.01 C720.69 ATR=16.07 SL=721.98/722.3 rawVol=74459 volSMA=4539 buf=0.803 prices=727.77"
2025-10-03T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T09:40:00.000-04:00,[KLB] 5m CHECK 9:40 ▼ pnl=0 SPY~ → HOLD
2025-10-03T09:45:00.000-04:00,[KLB] 9:45 ▼ BRK Yest L + ORB L vol=6.5x pos=v71 vwap=below ema=bear rs=-1.8% adx=42 body=64% ramp=317.3x rangeATR=2.9 ⚡ O720.4 H720.74 L715.85 C717.25 ATR=16.07 SL=718.54/718.86 rawVol=82044 volSMA=12651 buf=0.803 prices=718.14/720.01
2025-10-03T09:45:00.000-04:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T09:50:00.000-04:00,[KLB] 5m CHECK 9:50 ▼ pnl=-0.09 SPY~ → HOLD
2025-10-03T11:45:00.000-04:00,[KLB] 11:45 ▼ BRK Yest L vol=3.7x pos=v61 vwap=below ema=bear rs=-2.1% adx=38 body=58% ramp=3.8x rangeATR=2 ⚡ O718.16 H718.25 L715.04 C716.3 ATR=16.07 SL=719.51/720.32 rawVol=100754 volSMA=27534 buf=0.803 prices=718.14
2025-10-03T11:45:00.000-04:00,[KLB] CONF 11:45 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T11:50:00.000-04:00,[KLB] 5m CHECK 11:50 ▼ pnl=0.02 SPY~ → HOLD
2025-10-03T13:05:00.000-04:00,[KLB] 13:05 ▼ BRK Yest L vol=1.5x pos=v73 vwap=below ema=bear rs=-1.9% adx=24 body=73% ramp=1x rangeATR=2.4 ⚡ O719 H719 L715.72 C716.59 ATR=16.07 SL=719.8/720.61 rawVol=38168 volSMA=25966 buf=0.803 prices=718.14
2025-10-03T13:05:00.000-04:00,[KLB] CONF 13:05 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-03T13:10:00.000-04:00,[KLB] 5m CHECK 13:10 ▼ pnl=-0.02 SPY~ → HOLD
2025-10-03T13:55:00.000-04:00,[KLB] 13:55 ▼ 🔇 QBS ramp=0.4x vol=1.6x pos=v80 vwap=below ema=bear adx=39 body=75% rangeATR=1.7 O714.87 H715 L712.5 C713 ATR=16.07
2025-10-03T14:10:00.000-04:00,[KLB] CONF 14:10 ▼ QBS → ✗ (failed)
2025-10-06T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=3.1x
2025-10-06T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ Today O vol=3.1x pos=v79 vwap=above ema=bear rs=+0.3% adx=59 body=65% ramp=1.5x rangeATR=5 ⚡ O708.71 H709.5 L703.72 C704.96 ATR=16.41 SL=706.27/706.6 rawVol=8556 volSMA=2780 buf=0.82 prices=
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L vol=14.5x pos=v90 vwap=below ema=bear rs=-1.1% adx=62 body=89% ramp=14.6x rangeATR=5.4 ⚡ ⚠ O705.04 H705.19 L695.8 C696.71 ATR=16.41 SL=698.02/698.35 rawVol=145395 volSMA=10027 buf=0.82 prices=703.72
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=14.5x pos=v90 vwap=below ema=bear rs=-1.1% adx=62 body=89% ramp=14.6x rangeATR=5.4 ⚡ ⚠ O705.04 H705.19 L695.8 C696.71 ATR=16.41 SL=698.02/698.35 rawVol=145395 volSMA=10027 buf=0.82 prices=
2025-10-06T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-06T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK ORB L vol=8.6x pos=v87 vwap=below ema=bear rs=-1.4% adx=64 body=80% ramp=28.7x rangeATR=1.8 O696.84 H697.08 L693.7 C694.14 ATR=16.41 SL=695.45/695.78 rawVol=137260 volSMA=16883 buf=0.82 prices=695.8
2025-10-06T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-06T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=0.14 SPY~ → HOLD
2025-10-06T10:10:00.000-04:00,[KLB] 10:10 ▼ BRK PM L vol=1x pos=v96 vwap=above ema=bear rs=-0.1% adx=55 body=70% ramp=0.6x rangeATR=1.6 O705.36 H706.59 L701.96 C702.13 ATR=16.41 SL=703.44/703.77 rawVol=39512 volSMA=38690 buf=0.82 prices=703.72
2025-10-06T10:10:00.000-04:00,[KLB] CONF 10:10 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-06T10:15:00.000-04:00,[KLB] 5m CHECK 10:15 ▼ pnl=0.1 SPY~ → HOLD
2025-10-07T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=4.2x
2025-10-07T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ x~ Yest H vol=10.8x pos=v52 vwap=below ema=bull rs=-0.5% adx=18 body=18% ramp=72.1x rangeATR=2.8 ⚡ O714.62 H715.8 L712.37 C714 ATR=17.12 SL=715.37/715.71 rawVol=35774 volSMA=5329 buf=0.856 prices=716.88
2025-10-07T09:50:00.000-04:00,[KLB] 9:50 ▼ ~ ~ VWAP vol=4.3x pos=v69 vwap=below ema=bear rs=-0.8% adx=21 body=48% ramp=1.6x rangeATR=1.4 O713.01 H713.41 L711.5 C712.1 ATR=17.12 SL=713.47/713.81 rawVol=36193 volSMA=8392 buf=0.856 prices=
2025-10-07T10:00:00.000-04:00,[KLB] 10:00 ▼ BRK PM L + ORB L + PD LH L vol=3.6x pos=v97 vwap=below ema=bear rs=-1% adx=25 body=75% ramp=0.9x rangeATR=2.3 ⚡ O712.5 H713.29 L709.81 C709.9 ATR=17.12 SL=711.27/711.61 rawVol=41933 volSMA=11701 buf=0.856 prices=711.33/712.3
2025-10-07T10:00:00.000-04:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
