Date,Message
2025-10-06T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ VWAP vol=1.1x pos=v93 vwap=below ema=bull rs=+0.4% adx=30 body=76% ramp=1.1x rangeATR=1.6 O195.93 H196.14 L194.93 C195.01 ATR=6.78 SL=195.55/195.69 rawVol=8449 volSMA=7646 buf=0.339 prices=
2025-10-06T09:40:00.000-04:00,[KLB] 9:40 ▲ RNG range break vol=7.3x
2025-10-06T09:40:00.000-04:00,[KLB] 9:40 ▲ ~ ~ VWAP vol=7.3x pos=^88 vwap=above ema=bull rs=+2.9% adx=28 body=80% ramp=27.9x rangeATR=4.1 ⚡ O196.37 H200.97 L195.95 C200.37 ATR=6.78 SL=199.83/199.69 rawVol=172336 volSMA=23543 buf=0.339 prices=
2025-10-06T10:35:00.000-04:00,[KLB] 10:35 ▼ BRK PM L vol=1x pos=v71 vwap=below ema=bear rs=-1.6% adx=29 body=57% ramp=0.7x rangeATR=1.1 O192.5 H192.72 L191.13 C191.59 ATR=6.78 SL=192.13/192.27 rawVol=67260 volSMA=64947 buf=0.339 prices=192.55
2025-10-06T10:35:00.000-04:00,[KLB] 10:35 ▼ ~ ~ Week H vol=1x pos=v71 vwap=below ema=bear rs=-1.6% adx=29 body=57% ramp=0.7x rangeATR=1.1 O192.5 H192.72 L191.13 C191.59 ATR=6.78 SL=192.13/192.27 rawVol=67260 volSMA=64947 buf=0.339 prices=191.85
2025-10-06T10:35:00.000-04:00,[KLB] CONF 10:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-06T10:40:00.000-04:00,[KLB] 10:40 ▼ ~ ~ Week H vol=1x pos=v57 vwap=below ema=bear rs=-1.8% adx=29 body=38% ramp=0.9x rangeATR=0.7 O191.59 H191.79 L190.75 C191.2 ATR=6.78 SL=191.74/191.88 rawVol=56298 volSMA=67495 buf=0.339 prices=191.85
2025-10-06T10:40:00.000-04:00,[KLB] 5m CHECK 10:40 ▼ pnl=0.06 SPY~ → HOLD
2025-10-06T14:40:00.000-04:00,[KLB] 14:40 ▼ BRK PM L vol=1.2x pos=v90 vwap=below ema=bear rs=-1.7% adx=22 body=76% ramp=1.1x rangeATR=1.1 O192.28 H192.37 L191.75 C191.81 ATR=6.78 SL=192.49/192.83 rawVol=11731 volSMA=14120 buf=0.339 prices=192.55
2025-10-06T14:40:00.000-04:00,[KLB] CONF 14:40 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-06T14:45:00.000-04:00,[KLB] 5m CHECK 14:45 ▼ pnl=0.02 SPY~ → HOLD
2025-10-06T15:20:00.000-04:00,[KLB] 15:20 ▼ ~ ~ Week H vol=1.4x pos=v53 vwap=below ema=bear rs=-1.8% adx=31 body=35% ramp=1.5x rangeATR=0.9 O191.72 H191.81 L191.32 C191.55 ATR=6.78 SL=192.23/192.57 rawVol=18552 volSMA=13427 buf=0.339 prices=191.85
2025-10-06T15:25:00.000-04:00,[KLB] 15:25 ▼ ~ ~ Week H vol=2.3x pos=v64 vwap=below ema=bear rs=-1.9% adx=32 body=49% ramp=1.7x rangeATR=1.3 O191.57 H191.67 L191 C191.24 ATR=6.78 SL=191.92/192.26 rawVol=34595 volSMA=14786 buf=0.339 prices=191.85
2025-10-07T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=16.1x
2025-10-07T09:35:00.000-04:00,"[KLB] 9:35 ▼ ~ ~ Yest H
~ VWAP + ~ Today O vol=16.1x pos=v89 vwap=below ema=bull rs=-1.1% adx=25 body=80% ramp=33.3x rangeATR=4.3 ⚡ ⚠ O195 H195.24 L192.58 C192.87 ATR=7.23 SL=193.45/193.59 rawVol=168583 volSMA=10444 buf=0.362 prices=201"
2025-10-07T10:05:00.000-04:00,[KLB] 10:05 ▼ BRK PM L + ORB L vol=2.8x pos=v86 vwap=below ema=bear rs=-1.3% adx=30 body=85% ramp=0.7x rangeATR=2.6 ⚡ ⚠ O194.18 H194.21 L191.77 C192.1 ATR=7.23 SL=192.68/192.82 rawVol=63181 volSMA=22920 buf=0.362 prices=192.49/192.58
