Date,Message
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=4.9x
2026-02-02T11:40:00.000-05:00,[KLB] 11:40 ▼ ~ ~ VWAP vol=0.9x pos=v98 vwap=below ema=bear rs=-2% adx=20 body=75% ramp=0.9x rangeATR=1.1 O426.02 H426.25 L425.23 C425.25 ATR=13.43 SL=427.94/428.61 rawVol=37111 volSMA=39515 buf=0.671 prices=
2026-02-02T11:50:00.000-05:00,[KLB] 11:50 ▼ BRK ORB L vol=1.8x pos=v46 vwap=below ema=bear rs=-2% adx=24 body=46% ramp=1.5x rangeATR=0.9 O425.2 H425.2 L424.4 C424.83 ATR=13.43 SL=427.52/428.19 rawVol=54445 volSMA=41799 buf=0.671 prices=425.28
2026-02-02T11:50:00.000-05:00,[KLB] CONF 11:50 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-02T11:55:00.000-05:00,[KLB] 11:55 ▼ BRK PM L vol=1.3x pos=v68 vwap=below ema=bear rs=-2.2% adx=26 body=68% ramp=1.4x rangeATR=0.7 O424.84 H424.84 L424.24 C424.43 ATR=13.43 SL=427.12/427.79 rawVol=41160 volSMA=41873 buf=0.671 prices=425
2026-02-02T11:55:00.000-05:00,[KLB] CONF 11:55 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-02T12:00:00.000-05:00,[KLB] 5m CHECK 12:00 ▼ pnl=-0.02 SPY✗ → BAIL
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=12.9x
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + Yest L + Week L vol=12.9x pos=v98 vwap=below ema=bear rs=-1.3% adx=44 body=97% ramp=20.5x rangeATR=6.9 ⚡ ⚠ O422 H422.06 L416.46 C416.57 ATR=13.07 SL=417.62/417.88 rawVol=248836 volSMA=19258 buf=0.654 prices=421.23/422.25/421.02
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=12.9x pos=v98 vwap=below ema=bear rs=-1.3% adx=44 body=97% ramp=20.5x rangeATR=6.9 ⚡ ⚠ O422 H422.06 L416.46 C416.57 ATR=13.07 SL=417.62/417.88 rawVol=248836 volSMA=19258 buf=0.654 prices=
2026-02-03T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.01 SPY~ → HOLD
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=14.1x
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L + ~ Today O + ~ PD Cls vol=14.1x pos=^91 vwap=above ema=bear rs=+0.5% adx=32 body=58% ramp=18.4x rangeATR=3.2 ⚡ O410.98 H412.8 L410.1 C412.55 ATR=13.2 SL=411.49/411.23 rawVol=165709 volSMA=11789 buf=0.66 prices=408.56
2026-02-04T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ VWAP vol=8.9x pos=^67 vwap=above ema=bear rs=+0.6% adx=33 body=50% ramp=23.9x rangeATR=2.5 ⚡ O412.59 H414.6 L412.18 C413.8 ATR=13.2 SL=412.74/412.48 rawVol=136880 volSMA=18594 buf=0.66 prices=
2026-02-04T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ ORB H vol=5.6x pos=v82 vwap=below ema=bear rs=+0.1% adx=32 body=71% ramp=2.1x rangeATR=1.8 O413.18 H413.41 L411.33 C411.71 ATR=13.2 SL=412.77/413.03 rawVol=87585 volSMA=31600 buf=0.66 prices=412.8
2026-02-04T09:55:00.000-05:00,[KLB] 9:55 ▼ ~ ~ VWAP vol=2.7x pos=v64 vwap=below ema=bear rs=-0.1% adx=30 body=54% ramp=1.1x rangeATR=1.8 O411.71 H411.93 L409.74 C410.53 ATR=13.2 SL=411.59/411.85 rawVol=98361 volSMA=36413 buf=0.66 prices=
2026-02-05T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ VWAP + ~ Today O vol=2.3x pos=^100 vwap=above ema=bear rs=-0.6% adx=42 body=100% ramp=1x rangeATR=2.2 ⚡ ⚠ O405.5 H408.02 L405.5 C408.02 ATR=13.01 SL=406.98/406.72 rawVol=14250 volSMA=6075 buf=0.651 prices=
2026-02-05T09:35:00.000-05:00,[KLB] 9:35 ▼ FADE at 407.44
2026-02-05T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK PM L vol=2.1x pos=v85 vwap=below ema=bear rs=-1.4% adx=39 body=51% ramp=1.1x rangeATR=1.7 O403.97 H405.09 L401.81 C402.29 ATR=13.01 SL=403.33/403.59 rawVol=71778 volSMA=33547 buf=0.651 prices=403.6
2026-02-05T09:55:00.000-05:00,[KLB] 9:55 ▼ ~ ~ VWAP vol=2.1x pos=v85 vwap=below ema=bear rs=-1.4% adx=39 body=51% ramp=1.1x rangeATR=1.7 O403.97 H405.09 L401.81 C402.29 ATR=13.01 SL=403.33/403.59 rawVol=71778 volSMA=33547 buf=0.651 prices=
2026-02-05T09:55:00.000-05:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-05T10:00:00.000-05:00,[KLB] 10:00 ▼ RNG range break vol=4.1x
2026-02-05T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK ORB L vol=4.1x pos=v79 vwap=below ema=bear rs=-1.6% adx=39 body=52% ramp=0.8x rangeATR=1.4 O402.21 H402.94 L400.18 C400.77 ATR=13.01 SL=401.81/402.07 rawVol=169145 volSMA=41222 buf=0.651 prices=401.96
2026-02-05T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-05T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=0.12 SPY~ → HOLD
2026-02-05T11:25:00.000-05:00,[KLB] 11:25 ▲ ~ ~ ORB L vol=0.6x pos=^63 vwap=above ema=bear rs=-0.7% adx=31 body=63% ramp=0.9x rangeATR=1.2 O402.14 H404.28 L402.14 C403.48 ATR=13.01 SL=400.88/400.23 rawVol=51611 volSMA=80261 buf=0.651 prices=401.96
2026-02-05T13:20:00.000-05:00,[KLB] 13:20 ▼ BRK ORB L vol=1.5x pos=v52 vwap=below ema=bear rs=-1.3% adx=22 body=51% ramp=1.4x rangeATR=0.8 O401.87 H401.88 L401.04 C401.44 ATR=13.01 SL=404.04/404.69 rawVol=40642 volSMA=27381 buf=0.651 prices=401.96
2026-02-05T13:20:00.000-05:00,[KLB] CONF 13:20 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-05T13:25:00.000-05:00,[KLB] 5m CHECK 13:25 ▼ pnl=0.04 SPY~ → HOLD
2026-02-06T09:30:00.000-05:00,[KLB] 9:30 ▼ RNG range break vol=4x
2026-02-06T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Today O vol=4x pos=v97 vwap=above ema=bull rs=+0.5% adx=25 body=90% ramp=2.1x rangeATR=3.4 ⚡ ⚠ O402.19 H402.45 L398.91 C399 ATR=13.64 SL=400.09/400.36 rawVol=18032 volSMA=4476 buf=0.682 prices=
2026-02-06T10:15:00.000-05:00,[KLB] 10:15 ▼ ~ ~ VWAP vol=1.6x pos=v97 vwap=below ema=bear rs=-1.4% adx=37 body=42% ramp=0.9x rangeATR=1.2 O395.93 H397.05 L395.01 C395.07 ATR=13.64 SL=396.16/396.43 rawVol=91662 volSMA=57819 buf=0.682 prices=
2026-02-06T10:55:00.000-05:00,[KLB] 10:55 ▼ ~ ~ PD Cls vol=0.8x pos=v96 vwap=below ema=bear rs=-2% adx=40 body=96% ramp=1.4x rangeATR=1.4 ⚠ O395.26 H395.26 L393.07 C393.15 ATR=13.64 SL=394.24/394.51 rawVol=69011 volSMA=83099 buf=0.682 prices=
2026-02-09T09:40:00.000-05:00,[KLB] 9:40 ▲ RNG range break vol=8.4x
2026-02-10T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=3.6x
2026-02-10T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ Today O vol=3.6x pos=^61 vwap=above ema=bull rs=+0.2% adx=30 body=33% ramp=2.2x rangeATR=3.1 ⚡ O418.98 H420.61 L418.36 C419.73 ATR=13.35 SL=418.66/418.39 rawVol=14354 volSMA=3986 buf=0.668 prices=
2026-02-10T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ VWAP vol=3.9x pos=^79 vwap=above ema=bull rs=-0.1% adx=25 body=77% ramp=1.8x rangeATR=1.3 O417.43 H418.9 L417.4 C418.58 ATR=13.35 SL=417.51/417.24 rawVol=100503 volSMA=25827 buf=0.668 prices=
2026-02-10T14:40:00.000-05:00,[KLB] 14:40 ▼ BRK ORB L vol=1.1x pos=v100 vwap=below ema=bear rs=-0.8% adx=34 body=95% ramp=1.5x rangeATR=1.1 ⚠ O416.38 H416.42 L415.66 C415.66 ATR=13.35 SL=417/417.66 rawVol=22435 volSMA=20642 buf=0.668 prices=416.38
2026-02-10T14:40:00.000-05:00,[KLB] CONF 14:40 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-10T14:45:00.000-05:00,[KLB] 5m CHECK 14:45 ▼ pnl=0.04 SPY~ → HOLD
2026-02-10T15:15:00.000-05:00,[KLB] 15:15 ▼ ~ ~ Yest H + ~ PD Cls vol=3.5x pos=v87 vwap=below ema=bear rs=-1.2% adx=36 body=78% ramp=3.3x rangeATR=1.7 O414.49 H414.59 L413.39 C413.55 ATR=13.35 SL=414.89/415.55 rawVol=77332 volSMA=21899 buf=0.668 prices=414.89
2026-02-10T15:55:00.000-05:00,[KLB] 15:55 ▼ BRK PM L vol=2.6x pos=v72 vwap=below ema=bear rs=-1.1% adx=40 body=65% ramp=1.4x rangeATR=1.5 O414.02 H414.1 L413.01 C413.31 ATR=13.35 SL=414.65/415.31 rawVol=84089 volSMA=32769 buf=0.668 prices=414
2026-02-10T15:55:00.000-05:00,[KLB] 15:55 ▼ ~ ~ Yest H vol=2.6x pos=v72 vwap=below ema=bear rs=-1.1% adx=40 body=65% ramp=1.4x rangeATR=1.5 O414.02 H414.1 L413.01 C413.31 ATR=13.35 SL=414.65/415.31 rawVol=84089 volSMA=32769 buf=0.668 prices=414.89
2026-02-10T15:55:00.000-05:00,[KLB] CONF 15:55 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-10T16:00:00.000-05:00,[KLB] 5m CHECK 16:00 ▼ pnl=0 SPY✓ → HOLD
2026-02-11T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.2x
2026-02-11T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP + ~ PD Cls vol=13.2x pos=v98 vwap=below ema=bull rs=-0.9% adx=31 body=96% ramp=17x rangeATR=4.1 ⚡ ⚠ O416.27 H416.36 L412.27 C412.34 ATR=13.18 SL=413.39/413.66 rawVol=109595 volSMA=8287 buf=0.659 prices=
2026-02-12T09:30:00.000-05:00,[KLB] 9:30 ▼ RNG range break vol=5x
2026-02-12T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14.6x pos=v95 vwap=below ema=bear rs=-0.6% adx=25 body=82% ramp=49.8x rangeATR=3.9 ⚡ ⚠ O405 H405.34 L402.77 C402.9 ATR=13.35 SL=403.97/404.23 rawVol=105522 volSMA=7237 buf=0.667 prices=405
2026-02-12T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP + ~ Today O + ~ PD Cls vol=14.6x pos=v95 vwap=below ema=bear rs=-0.6% adx=25 body=82% ramp=49.8x rangeATR=3.9 ⚡ ⚠ O405 H405.34 L402.77 C402.9 ATR=13.35 SL=403.97/404.23 rawVol=105522 volSMA=7237 buf=0.667 prices=
2026-02-12T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-12T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.04 SPY~ → HOLD
2026-02-12T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK ORB L + PD LH L vol=5.5x pos=v93 vwap=below ema=bear rs=-0.9% adx=30 body=77% ramp=18.3x rangeATR=2.9 ⚡ O403.46 H403.87 L401.16 C401.36 ATR=13.35 SL=402.43/402.69 rawVol=78032 volSMA=14137 buf=0.667 prices=402.77
2026-02-12T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-12T09:50:00.000-05:00,[KLB] 5m CHECK 9:50 ▼ pnl=0.03 SPY~ → HOLD
2026-02-12T11:00:00.000-05:00,[KLB] 11:00 ▼ BRK Yest L vol=2.1x pos=v80 vwap=below ema=bear rs=-0.4% adx=25 body=75% ramp=1.5x rangeATR=1 O400.82 H400.88 L399.69 C399.93 ATR=13.35 SL=402.6/403.27 rawVol=102701 volSMA=48144 buf=0.667 prices=401.01
2026-02-12T11:00:00.000-05:00,[KLB] CONF 11:00 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-12T11:05:00.000-05:00,[KLB] 5m CHECK 11:05 ▼ pnl=0.02 SPY✓ → HOLD
2026-02-12T12:35:00.000-05:00,[KLB] 12:35 ▲ ~ ~ ORB L vol=0.9x pos=^87 vwap=above ema=bear rs=+1% adx=22 body=82% ramp=1.9x rangeATR=1.1 ⚠ O402.41 H403.44 L402.35 C403.3 ATR=13.35 SL=400.63/399.96 rawVol=28830 volSMA=32615 buf=0.667 prices=402.77
2026-02-12T12:45:00.000-05:00,[KLB] 12:45 ▲ ~ ~ ORB L vol=0.7x pos=^84 vwap=above ema=bear rs=+1% adx=24 body=58% ramp=1.2x rangeATR=1.2 O402.96 H403.88 L402.63 C403.68 ATR=13.35 SL=401.01/400.34 rawVol=19065 volSMA=25586 buf=0.667 prices=402.77
2026-02-12T13:00:00.000-05:00,[KLB] 13:00 ▲ ~ ~ ORB L vol=1x pos=^100 vwap=above ema=bear rs=+1.2% adx=26 body=78% ramp=0.9x rangeATR=0.5 O402.92 H403.27 L402.82 C403.27 ATR=13.35 SL=400.6/399.93 rawVol=20826 volSMA=21265 buf=0.667 prices=402.77
2026-02-12T13:05:00.000-05:00,[KLB] 13:05 ▼ FADE at 402.77
2026-02-12T13:15:00.000-05:00,[KLB] 13:15 ▲ ~ ~ ORB L vol=1.4x pos=^96 vwap=above ema=bear rs=+1.4% adx=30 body=90% ramp=1.3x rangeATR=1.5 ⚠ O402.94 H404.31 L402.86 C404.25 ATR=13.35 SL=401.58/400.91 rawVol=28065 volSMA=20439 buf=0.667 prices=402.77
2026-02-12T13:45:00.000-05:00,[KLB] 13:45 ▲ ~ ~ Yest L vol=1.6x pos=^96 vwap=above ema=bull rs=+1.4% adx=39 body=78% ramp=0.8x rangeATR=1 O404.32 H405.12 L404.14 C405.08 ATR=13.35 SL=402.41/401.74 rawVol=35914 volSMA=21924 buf=0.667 prices=401.01
2026-02-12T13:55:00.000-05:00,[KLB] 13:55 ▲ ~ ~ PM L vol=1x pos=^90 vwap=above ema=bull rs=+1.5% adx=42 body=80% ramp=1.6x rangeATR=1.3 ⚠ O404.62 H405.82 L404.49 C405.69 ATR=13.35 SL=403.02/402.35 rawVol=25214 volSMA=24325 buf=0.667 prices=405
