Date,Message
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Today O vol=3.5x pos=v70 vwap=above ema=bull rs=-0.4% adx=30 body=63% ramp=0.9x rangeATR=2.3 ⚡ O336.7 H336.78 L335.55 C335.92 ATR=8.05 SL=336.56/336.73 rawVol=9579 volSMA=2717 buf=0.403 prices=
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ FADE at 336.22
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=15.4x
2026-02-02T09:35:00.000-05:00,"[KLB] 9:35 ▲ ~ ~ Yest L
~ VWAP + ~ PD Cls vol=15.4x pos=^94 vwap=above ema=bull rs=+0.5% adx=31 body=85% ramp=19.3x rangeATR=4.5 ⚡ ⚠ O335.92 H338.86 L335.61 C338.68 ATR=8.05 SL=338.04/337.87 rawVol=181777 volSMA=11779 buf=0.403 prices=332.29"
2026-02-02T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ PM H vol=6.3x pos=v92 vwap=below ema=bull rs=-0.2% adx=32 body=65% ramp=28.4x rangeATR=1.5 O337.78 H338.14 L336.78 C336.89 ATR=8.05 SL=337.53/337.7 rawVol=47673 volSMA=20157 buf=0.403 prices=337.19
2026-02-02T09:50:00.000-05:00,[KLB] 9:50 ▲ FADE at 337.19
2026-02-02T09:55:00.000-05:00,[KLB] 9:55 ▲ 🔇 QBS ramp=0.4x vol=1.9x pos=^97 vwap=above ema=bull adx=35 body=94% rangeATR=2.6 ⚡ O337.39 H340.25 L337.32 C340.15 ATR=8.05
2026-02-02T09:55:00.000-05:00,[KLB] 9:55 ▲ ~ ~ Yest L vol=1.9x pos=^97 vwap=above ema=bull rs=+0.6% adx=35 body=94% ramp=0.4x rangeATR=2.6 ⚡ ⚠ 🔇 O337.39 H340.25 L337.32 C340.15 ATR=8.05 SL=339.51/339.34 rawVol=47021 volSMA=24644 buf=0.403 prices=332.29
2026-02-02T10:00:00.000-05:00,[KLB] CONF 10:00 ▲ QBS → ✓ (auto-promote)
2026-02-02T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▲ pnl=0.03 SPY✓ → HOLD
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ x~ PM H vol=14.5x pos=v49 vwap=below ema=bear rs=0% adx=31 body=9% ramp=17.2x rangeATR=5.4 ⚡ O347.47 H349 L345.23 C347.14 ATR=8.13 SL=347.79/347.95 rawVol=143649 volSMA=9881 buf=0.407 prices=349
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ RNG range break vol=10.6x
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PM L + ORB L vol=10.6x pos=v91 vwap=below ema=bear rs=-0.7% adx=34 body=79% ramp=26.6x rangeATR=3.5 ⚡ O347.06 H347.42 L344.38 C344.65 ATR=8.13 SL=345.3/345.46 rawVol=75971 volSMA=13545 buf=0.407 prices=346.89/345.23
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=10.6x pos=v91 vwap=below ema=bear rs=-0.7% adx=34 body=79% ramp=26.6x rangeATR=3.5 ⚡ O347.06 H347.42 L344.38 C344.65 ATR=8.13 SL=345.3/345.46 rawVol=75971 volSMA=13545 buf=0.407 prices=
2026-02-03T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▼ pnl=0.1 SPY~ → HOLD
2026-02-03T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ PD Cls vol=3.1x pos=^73 vwap=below ema=bear rs=-0.7% adx=39 body=51% ramp=1.3x rangeATR=1.8 O343.9 H345.36 L343.5 C344.85 ATR=8.13 SL=344.2/344.04 rawVol=58508 volSMA=19112 buf=0.407 prices=
2026-02-03T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK ORB L vol=2x pos=v97 vwap=below ema=bear rs=-0.5% adx=38 body=92% ramp=0.6x rangeATR=1.7 ⚠ O346.12 H346.22 L344.01 C344.09 ATR=8.13 SL=344.74/344.9 rawVol=50180 volSMA=24993 buf=0.407 prices=345.23
2026-02-03T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PD LH L vol=2.9x pos=v62 vwap=below ema=bear rs=-0.9% adx=39 body=61% ramp=1x rangeATR=1.8 O344.05 H344.08 L341.63 C342.57 ATR=8.13 SL=343.22/343.38 rawVol=84464 volSMA=29151 buf=0.407 prices=
2026-02-03T10:05:00.000-05:00,[KLB] 10:05 ▼ ~ ~ Yest H vol=2.9x pos=v62 vwap=below ema=bear rs=-0.9% adx=39 body=61% ramp=1x rangeATR=1.8 O344.05 H344.08 L341.63 C342.57 ATR=8.13 SL=343.22/343.38 rawVol=84464 volSMA=29151 buf=0.407 prices=344.83
2026-02-03T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:10:00.000-05:00,[KLB] 5m CHECK 10:10 ▼ pnl=-0.15 SPY✓ → HOLD
2026-02-03T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK PD LH L vol=1.1x pos=v82 vwap=below ema=bear rs=-0.8% adx=41 body=63% ramp=0.9x rangeATR=1.4 O343.74 H344.14 L342.06 C342.44 ATR=8.13 SL=343.09/343.25 rawVol=36489 volSMA=32473 buf=0.407 prices=
