Date,Message
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=13.6x
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK Month O vol=13.6x pos=^76 vwap=above ema=bull rs=+0.1% adx=23 body=75% ramp=13.6x rangeATR=4.5 ⚡ O618.7 H621.76 L618.66 C621.02 ATR=8.48 SL=620.34/620.17 rawVol=314344 volSMA=23101 buf=0.424 prices=
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=13.6x pos=^76 vwap=above ema=bull rs=+0.1% adx=23 body=75% ramp=13.6x rangeATR=4.5 ⚡ O618.7 H621.76 L618.66 C621.02 ATR=8.48 SL=620.34/620.17 rawVol=314344 volSMA=23101 buf=0.424 prices=
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ Yest L + ~ PD Cls vol=10.1x pos=^76 vwap=above ema=bull rs=+0.3% adx=26 body=57% ramp=19.9x rangeATR=3 ⚡ O621.05 H623.02 L620.6 C622.43 ATR=8.48 SL=621.75/621.58 rawVol=169868 volSMA=31251 buf=0.424 prices=619.3
2026-02-02T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▲ pnl=0.17 SPY✓ → HOLD
2026-02-02T09:50:00.000-05:00,[KLB] 9:50 ▲ BRK Week O vol=2.7x pos=^90 vwap=above ema=bull rs=+0.3% adx=33 body=50% ramp=1.2x rangeATR=1.4 O622.97 H623.73 L622.48 C623.6 ATR=8.48 SL=622.92/622.75 rawVol=111776 volSMA=41038 buf=0.424 prices=
2026-02-02T09:50:00.000-05:00,[KLB] CONF 9:50 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T09:55:00.000-05:00,[KLB] 5m CHECK 9:55 ▲ pnl=0.09 SPY✓ → HOLD
2026-02-03T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Today O vol=2x pos=v79 vwap=below ema=bear rs=+0.1% adx=22 body=43% ramp=2.1x rangeATR=1.7 O628.5 H628.71 L628.13 C628.25 ATR=8.57 SL=628.94/629.11 rawVol=7006 volSMA=3554 buf=0.429 prices=
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=14.3x
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14.3x pos=v69 vwap=below ema=bear rs=-0.2% adx=26 body=53% ramp=15.9x rangeATR=5.4 ⚡ O628.25 H628.68 L625.98 C626.83 ATR=8.57 SL=627.52/627.69 rawVol=177778 volSMA=12395 buf=0.429 prices=628.07
