Date,Message
2026-01-26T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Today O vol=0.7x pos=v97 vwap=above ema=bull rs=+0.1% adx=25 body=38% ramp=1.6x rangeATR=1 O332.79 H332.99 L332.65 C332.66 ATR=9.78 SL=333.44/333.64 rawVol=515 volSMA=742 buf=0.489 prices=
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.3x
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ Yest L vol=7.3x pos=^79 vwap=above ema=bull rs=-0.3% adx=26 body=61% ramp=38.3x rangeATR=2.7 ⚡ O331.59 H333.11 L331.26 C332.72 ATR=9.78 SL=331.94/331.74 rawVol=42921 volSMA=5854 buf=0.489 prices=331.37
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ 🔇 QBS ramp=0.4x vol=1.8x pos=^95 vwap=above ema=bull adx=24 body=95% rangeATR=2.1 ⚡ O332.54 H334.16 L332.54 C334.08 ATR=9.78
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ ~ ~ VWAP vol=1.8x pos=^95 vwap=above ema=bull rs=+0.1% adx=24 body=95% ramp=0.4x rangeATR=2.1 ⚡ ⚠ 🔇 O332.54 H334.16 L332.54 C334.08 ATR=9.78 SL=333.29/333.1 rawVol=14325 volSMA=7817 buf=0.489 prices=
2026-01-26T10:15:00.000-05:00,[KLB] CONF 10:15 ▲ QBS → ✗ (failed)
2026-01-26T11:50:00.000-05:00,[KLB] 11:50 ▼ ~ x~ ORB H vol=0.7x pos=v68 vwap=below ema=bull rs=-0.4% adx=10 body=20% ramp=1.3x rangeATR=0.7 O332.61 H332.8 L332.4 C332.53 ATR=9.78 SL=334.49/334.97 rawVol=6560 volSMA=9526 buf=0.489 prices=332.9
2026-01-27T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ VWAP vol=2.7x pos=v100 vwap=below ema=bull rs=+0.2% adx=22 body=100% ramp=3.5x rangeATR=3 ⚡ ⚠ O338.04 H338.04 L336.5 C336.5 ATR=9.43 SL=337.25/337.44 rawVol=3593 volSMA=1308 buf=0.471 prices=
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.4x
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ Today O vol=13.4x pos=v61 vwap=below ema=bull rs=-0.1% adx=24 body=35% ramp=42.2x rangeATR=3.3 ⚡ O336.75 H337.3 L335.22 C336.03 ATR=9.43 SL=336.78/336.97 rawVol=51995 volSMA=3880 buf=0.471 prices=
2026-01-27T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L vol=2.3x pos=v85 vwap=below ema=bear rs=-0.2% adx=30 body=48% ramp=1.1x rangeATR=1.7 O336.88 H337.41 L335.96 C336.18 ATR=9.43 SL=336.93/337.12 rawVol=30232 volSMA=13051 buf=0.471 prices=336.46
2026-01-27T10:05:00.000-05:00,[KLB] 10:05 ▼ ~ ~ ORB H vol=2.3x pos=v85 vwap=below ema=bear rs=-0.2% adx=30 body=48% ramp=1.1x rangeATR=1.7 O336.88 H337.41 L335.96 C336.18 ATR=9.43 SL=336.93/337.12 rawVol=30232 volSMA=13051 buf=0.471 prices=337.3
2026-01-27T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✓ (auto-R1: EMA)
2026-01-27T10:10:00.000-05:00,[KLB] 5m CHECK 10:10 ▼ pnl=0.02 SPY~ → HOLD
2026-01-27T10:25:00.000-05:00,[KLB] 10:25 ▼ ~ x~ ORB H vol=0.9x pos=v57 vwap=below ema=bear rs=-0.2% adx=26 body=17% ramp=0.6x rangeATR=0.9 O336.58 H336.89 L336.12 C336.45 ATR=9.43 SL=337.2/337.39 rawVol=14860 volSMA=17035 buf=0.471 prices=337.3
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=10.8x
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + Week O vol=10.8x pos=v70 vwap=below ema=bear rs=-0.7% adx=21 body=68% ramp=24.9x rangeATR=4.5 ⚡ O343.02 H343.09 L339.75 C340.74 ATR=9.36 SL=341.49/341.68 rawVol=49826 volSMA=4625 buf=0.468 prices=343.11
2026-01-28T09:35:00.000-05:00,"[KLB] 9:35 ▼ ~ ~ Week H
~ VWAP + ~ Today O vol=10.8x pos=v70 vwap=below ema=bear rs=-0.7% adx=21 body=68% ramp=24.9x rangeATR=4.5 ⚡ O343.02 H343.09 L339.75 C340.74 ATR=9.36 SL=341.49/341.68 rawVol=49826 volSMA=4625 buf=0.468 prices=342.15"
2026-01-28T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2026-01-28T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.19 SPY~ → BAIL
2026-01-28T09:45:00.000-05:00,"[KLB] 9:45 ▲ ~ ~ PM L
~ VWAP vol=4.3x pos=^99 vwap=above ema=bear rs=+0.4% adx=23 body=85% ramp=7.8x rangeATR=2.7 ⚡ ⚠ O342.52 H344.75 L342.14 C344.73 ATR=9.36 SL=343.98/343.79 rawVol=34044 volSMA=7905 buf=0.468 prices=343.11"
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ FADE at 343.11
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L vol=3.8x pos=v91 vwap=below ema=bear rs=-0.2% adx=22 body=67% ramp=1.6x rangeATR=2.8 ⚡ O344.7 H345.5 L342.24 C342.53 ATR=9.36 SL=343.28/343.47 rawVol=37110 volSMA=9749 buf=0.468 prices=343.11
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ ORB H vol=3.8x pos=v91 vwap=below ema=bear rs=-0.2% adx=22 body=67% ramp=1.6x rangeATR=2.8 ⚡ O344.7 H345.5 L342.24 C342.53 ATR=9.36 SL=343.28/343.47 rawVol=37110 volSMA=9749 buf=0.468 prices=343.09
2026-01-28T09:50:00.000-05:00,[KLB] CONF 9:50 ▼ BRK → ✓ (auto-R1: EMA)
2026-01-28T09:55:00.000-05:00,[KLB] 5m CHECK 9:55 ▼ pnl=-0.03 SPY~ → HOLD
2026-01-28T10:00:00.000-05:00,[KLB] 10:00 ▼ ~ ~ Week H + ~ ORB H vol=2.4x pos=v88 vwap=below ema=bear rs=-0.5% adx=22 body=87% ramp=0.7x rangeATR=1.4 ⚠ O342.9 H342.91 L341.24 C341.44 ATR=9.36 SL=342.19/342.38 rawVol=26881 volSMA=11401 buf=0.468 prices=342.15/343.09
2026-01-28T10:05:00.000-05:00,[KLB] 10:05 ▼ ~ ~ Week H vol=2.2x pos=v96 vwap=below ema=bear rs=-0.6% adx=22 body=54% ramp=0.6x rangeATR=0.9 O341.46 H341.93 L340.81 C340.85 ATR=9.36 SL=341.6/341.79 rawVol=13695 volSMA=12069 buf=0.468 prices=342.15
2026-01-28T10:35:00.000-05:00,[KLB] 10:35 ▼ BRK ORB L vol=1.2x pos=v96 vwap=below ema=bear rs=-1.1% adx=26 body=56% ramp=1.1x rangeATR=0.8 O339.32 H339.72 L338.71 C338.75 ATR=9.36 SL=339.5/339.69 rawVol=18887 volSMA=16241 buf=0.468 prices=339.75
2026-01-28T10:35:00.000-05:00,[KLB] CONF 10:35 ▼ BRK → ✓ (auto-R1: EMA)
2026-01-28T10:40:00.000-05:00,[KLB] 5m CHECK 10:40 ▼ pnl=-0.12 SPY~ → BAIL
2026-01-28T11:15:00.000-05:00,[KLB] 11:15 ▼ ~ ~ Week H vol=0.5x pos=v62 vwap=below ema=bear rs=-0.3% adx=24 body=31% ramp=0.9x rangeATR=0.6 O341.81 H342 L341.39 C341.62 ATR=9.36 SL=343.49/343.96 rawVol=8658 volSMA=16698 buf=0.468 prices=342.15
2026-01-28T11:20:00.000-05:00,[KLB] 11:20 ▼ ~ x~ Week H vol=0.6x pos=v91 vwap=below ema=bear rs=-0.2% adx=22 body=8% ramp=1.1x rangeATR=0.8 O341.67 H342.33 L341.54 C341.61 ATR=9.36 SL=343.48/343.95 rawVol=10121 volSMA=15576 buf=0.468 prices=342.15
2026-01-28T11:25:00.000-05:00,[KLB] 11:25 ▼ ~ x~ Week H vol=0.7x pos=v31 vwap=below ema=bear rs=-0.2% adx=21 body=2% ramp=0.9x rangeATR=0.5 O341.59 H341.73 L341.25 C341.58 ATR=9.36 SL=343.45/343.92 rawVol=8465 volSMA=14297 buf=0.468 prices=342.15
2026-01-28T11:55:00.000-05:00,[KLB] 11:55 ▼ ~ x~ Week H vol=1.1x pos=v72 vwap=below ema=bear rs=-0.2% adx=15 body=15% ramp=1.5x rangeATR=0.7 O341.29 H341.68 L341 C341.19 ATR=9.36 SL=343.06/343.53 rawVol=12272 volSMA=11258 buf=0.468 prices=342.15
2026-01-28T12:45:00.000-05:00,[KLB] 12:45 ▼ ~ x~ Week H vol=1.1x pos=v23 vwap=below ema=bear rs=0% adx=9 body=23% ramp=1.2x rangeATR=0.6 O341.93 H341.93 L341.46 C341.82 ATR=9.36 SL=343.69/344.16 rawVol=10058 volSMA=9553 buf=0.468 prices=342.15
2026-01-28T14:05:00.000-05:00,[KLB] 14:05 ▼ ~ x~ Week H vol=1.1x pos=v66 vwap=below ema=bear rs=-0.1% adx=11 body=28% ramp=1.2x rangeATR=1.9 O341.89 H342.37 L341.08 C341.52 ATR=9.36 SL=342.46/342.92 rawVol=8036 volSMA=7616 buf=0.468 prices=342.15
2026-01-29T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Today O vol=0.5x pos=v98 vwap=above ema=bear rs=+0.1% adx=23 body=98% ramp=0.5x rangeATR=1.9 ⚠ O340.34 H340.34 L339.5 C339.52 ATR=9.21 SL=340.26/340.44 rawVol=611 volSMA=1342 buf=0.46 prices=
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▲ RNG range break vol=8x
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK Week O vol=8x pos=^98 vwap=above ema=bull rs=+0.9% adx=23 body=73% ramp=19.2x rangeATR=4.5 ⚡ O339.84 H342.59 L338.95 C342.5 ATR=9.21 SL=341.76/341.58 rawVol=43449 volSMA=5405 buf=0.46 prices=
2026-01-29T09:40:00.000-05:00,"[KLB] 9:40 ▲ ~ ~ Yest L
~ VWAP + ~ PD LH L + ~ PD Cls vol=8x pos=^98 vwap=above ema=bull rs=+0.9% adx=23 body=73% ramp=19.2x rangeATR=4.5 ⚡ O339.84 H342.59 L338.95 C342.5 ATR=9.21 SL=341.76/341.58 rawVol=43449 volSMA=5405 buf=0.46 prices=338.66"
2026-01-29T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA)
2026-01-29T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=0.02 SPY✗ → HOLD
2026-01-29T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ Yest L vol=5x pos=^70 vwap=above ema=bull rs=+1.4% adx=25 body=44% ramp=2.4x rangeATR=1.8 O342.56 H343.75 L342.14 C343.27 ATR=9.21 SL=342.53/342.35 rawVol=20325 volSMA=8309 buf=0.46 prices=338.66
2026-01-29T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK ORB L vol=2.7x pos=v100 vwap=below ema=bear rs=-0.3% adx=24 body=77% ramp=1.4x rangeATR=2.4 ⚡ O337.54 H338.26 L335.11 C335.11 ATR=9.21 SL=335.85/336.03 rawVol=39296 volSMA=14450 buf=0.46 prices=337.75
2026-01-29T10:15:00.000-05:00,[KLB] CONF 10:15 ▼ BRK → ✓ (auto-R1: EMA)
2026-01-29T10:20:00.000-05:00,[KLB] 5m CHECK 10:20 ▼ pnl=0.07 SPY✓ → HOLD
2026-01-29T12:40:00.000-05:00,[KLB] 12:40 ▲ ~ ~ ORB L vol=0.5x pos=^79 vwap=above ema=bear rs=+0.3% adx=23 body=78% ramp=0.8x rangeATR=0.8 O337.5 H338.34 L337.49 C338.16 ATR=9.21 SL=336.32/335.86 rawVol=7890 volSMA=17243 buf=0.46 prices=337.75
2026-01-29T13:15:00.000-05:00,[KLB] 13:15 ▲ ~ ~ ORB L vol=0.8x pos=^77 vwap=above ema=bull rs=+0.4% adx=21 body=77% ramp=1.2x rangeATR=0.5 O337.94 H338.5 L337.94 C338.37 ATR=9.21 SL=336.53/336.07 rawVol=4212 volSMA=10103 buf=0.46 prices=337.75
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=13.6x
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP + ~ PD LH L vol=13.6x pos=^85 vwap=above ema=bull rs=+0.5% adx=21 body=85% ramp=27.5x rangeATR=3.5 ⚡ ⚠ O334.9 H338.37 L334.9 C337.84 ATR=9.66 SL=337.07/336.87 rawVol=69160 volSMA=5084 buf=0.483 prices=
2026-01-30T10:10:00.000-05:00,[KLB] 10:10 ▲ ~ ~ PD LH L vol=1.8x pos=^95 vwap=above ema=bull rs=+0.3% adx=26 body=94% ramp=1x rangeATR=1.6 ⚠ O335.09 H337.28 L335.07 C337.16 ATR=9.66 SL=336.39/336.19 rawVol=23387 volSMA=13297 buf=0.483 prices=
2026-01-30T13:20:00.000-05:00,[KLB] 13:20 ▼ BRK PM L vol=1.4x pos=v85 vwap=below ema=bear rs=-0.9% adx=25 body=75% ramp=1.3x rangeATR=1.3 O331.29 H331.4 L330.3 C330.46 ATR=9.66 SL=332.39/332.87 rawVol=12029 volSMA=8319 buf=0.483 prices=331.16
2026-01-30T13:20:00.000-05:00,[KLB] CONF 13:20 ▼ BRK → ✓ (auto-R1: EMA)
