Date,Message
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Today O + ~ PD Cls vol=1.7x pos=v83 vwap=below ema=bull rs=-0.3% adx=22 body=80% ramp=1.6x rangeATR=2.9 ⚡ ⚠ O417 H417.2 L411.15 C412.15 ATR=21.89 SL=413.9/414.34 rawVol=11560 volSMA=6977 buf=1.095 prices=
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ FADE at 412.18
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=12.8x
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK Month O vol=12.8x pos=^62 vwap=above ema=bull rs=+1.9% adx=22 body=49% ramp=18.9x rangeATR=5.6 ⚡ O412.22 H427.66 L410 C420.88 ATR=21.89 SL=419.13/418.69 rawVol=225644 volSMA=17587 buf=1.095 prices=
2026-02-02T09:35:00.000-05:00,"[KLB] 9:35 ▲ ~ ~ Yest L
~ VWAP vol=12.8x pos=^62 vwap=above ema=bull rs=+1.9% adx=22 body=49% ramp=18.9x rangeATR=5.6 ⚡ O412.22 H427.66 L410 C420.88 ATR=21.89 SL=419.13/418.69 rawVol=225644 volSMA=17587 buf=1.095 prices=407.13"
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▲ pnl=0.28 SPY✓ → HOLD
2026-02-02T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ PM H + ~ ORB H vol=3.4x pos=v99 vwap=below ema=bull rs=+1.3% adx=23 body=99% ramp=26.6x rangeATR=1.9 ⚠ O426.8 H426.8 L419.04 C419.14 ATR=21.89 SL=420.89/421.33 rawVol=103921 volSMA=31012 buf=1.095 prices=420.43/427.66
2026-02-02T09:50:00.000-05:00,[KLB] 9:50 ▲ FADE at 420.43
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.7x
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PD LH L vol=10.1x pos=v93 vwap=below ema=bear rs=-2.2% adx=20 body=30% ramp=28.5x rangeATR=3.2 ⚡ O434.19 H438.73 L431.53 C432.02 ATR=22.64 SL=433.83/434.28 rawVol=134350 volSMA=25151 buf=1.132 prices=
