Date,Message
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ VWAP vol=2.2x pos=v90 vwap=below ema=bear rs=-0.3% adx=21 body=90% ramp=1.3x rangeATR=3.1 ⚡ ⚠ O188.18 H188.18 L187.1 C187.21 ATR=5.18 SL=187.62/187.73 rawVol=39885 volSMA=17751 buf=0.259 prices=
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.1x
2026-02-02T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ ORB H vol=3.8x pos=v95 vwap=below ema=bear rs=-0.5% adx=27 body=54% ramp=22.4x rangeATR=1.6 O187.55 H187.88 L187.08 C187.12 ATR=5.18 SL=187.53/187.64 rawVol=310180 volSMA=82610 buf=0.259 prices=187.95
2026-02-02T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK PM L vol=2.6x pos=v83 vwap=below ema=bear rs=-0.8% adx=29 body=79% ramp=0.7x rangeATR=1.5 O187.3 H187.34 L186.5 C186.64 ATR=5.18 SL=187.05/187.16 rawVol=327023 volSMA=126367 buf=0.259 prices=186.96
2026-02-02T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-02T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=-0.13 SPY✗ → BAIL
2026-02-02T15:00:00.000-05:00,[KLB] 15:00 ▼ ~ ~ ORB H vol=1.9x pos=v97 vwap=below ema=bear rs=-0.7% adx=25 body=79% ramp=1.8x rangeATR=2.2 ⚡ O188.14 H188.29 L187.41 C187.44 ATR=5.18 SL=187.96/188.22 rawVol=162507 volSMA=90909 buf=0.259 prices=187.95
2026-02-02T15:15:00.000-05:00,[KLB] 15:15 ▼ ~ x~ ORB H vol=1.4x pos=v90 vwap=below ema=bear rs=-1% adx=32 body=18% ramp=1.5x rangeATR=1.4 O187.2 H187.64 L187.03 C187.09 ATR=5.18 SL=187.61/187.87 rawVol=166708 volSMA=119497 buf=0.259 prices=187.95
2026-02-02T15:30:00.000-05:00,[KLB] 15:30 ▼ BRK PM L + ORB L vol=2.7x pos=v87 vwap=below ema=bear rs=-1.4% adx=37 body=87% ramp=1x rangeATR=1.6 ⚠ O186.81 H186.81 L186.09 C186.18 ATR=5.18 SL=186.7/186.96 rawVol=384316 volSMA=145018 buf=0.259 prices=186.96/186.73
2026-02-02T15:30:00.000-05:00,[KLB] CONF 15:30 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-02T15:35:00.000-05:00,[KLB] 5m CHECK 15:35 ▼ pnl=0.01 SPY✗ → HOLD
2026-02-03T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ PM H + ~ Today O vol=1.2x pos=v97 vwap=below ema=bull rs=+0.1% adx=21 body=83% ramp=0.7x rangeATR=3.1 ⚡ ⚠ O186.84 H186.95 L186.2 C186.22 ATR=5.26 SL=186.64/186.75 rawVol=13429 volSMA=10835 buf=0.263 prices=187.21
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=14.8x
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + Yest L + Week L + PD LH L vol=14.8x pos=v93 vwap=below ema=bear rs=-1.1% adx=25 body=91% ramp=16.7x rangeATR=5.8 ⚡ ⚠ O186.21 H186.26 L184.02 C184.17 ATR=5.26 SL=184.59/184.7 rawVol=604054 volSMA=40868 buf=0.263 prices=186/184.88/185.7
