Date,Message
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=15.9x
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK Week O + Month O vol=15.9x pos=^100 vwap=above ema=bull rs=+0% adx=23 body=92% ramp=23.5x rangeATR=3.6 ⚡ ⚠ O689.58 H691.23 L689.43 C691.23 ATR=6.42 SL=690.72/690.59 rawVol=458739 volSMA=28830 buf=0.321 prices=
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP + ~ Today O vol=15.9x pos=^100 vwap=above ema=bull rs=+0% adx=23 body=92% ramp=23.5x rangeATR=3.6 ⚡ ⚠ O689.58 H691.23 L689.43 C691.23 ATR=6.42 SL=690.72/690.59 rawVol=458739 volSMA=28830 buf=0.321 prices=
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ Yest L vol=10.1x pos=^78 vwap=above ema=bull rs=+0% adx=26 body=54% ramp=38.5x rangeATR=2.3 ⚡ O691.24 H692.23 L690.94 C691.94 ATR=6.42 SL=691.43/691.3 rawVol=338824 volSMA=45464 buf=0.321 prices=687.12
2026-02-02T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▲ pnl=0.11 SPY✓ → HOLD
2026-02-02T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ Yest L + ~ PD Cls vol=6.2x pos=^87 vwap=above ema=bull rs=+0% adx=29 body=49% ramp=52.5x rangeATR=2 O692 H692.73 L691.54 C692.58 ATR=6.42 SL=692.07/691.94 rawVol=199071 volSMA=54998 buf=0.321 prices=687.12
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PM L vol=10x pos=v72 vwap=below ema=bear rs=+0% adx=23 body=34% ramp=35.1x rangeATR=2.9 ⚡ O696.1 H696.51 L695.42 C695.73 ATR=6.5 SL=696.25/696.38 rawVol=281153 volSMA=35675 buf=0.325 prices=696.05
2026-02-03T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T09:45:00.000-05:00,[KLB] 9:45 ▼ RNG range break vol=6x
