Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=13.4x
2026-01-26T10:20:00.000-05:00,[KLB] 10:20 ▲ ~ ~ VWAP vol=1.6x pos=^98 vwap=above ema=bull rs=+0.3% adx=37 body=82% ramp=1x rangeATR=1.1 ⚠ O667.75 H669.63 L667.39 C669.59 ATR=17.83 SL=668.16/667.81 rawVol=24596 volSMA=15518 buf=0.891 prices=
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=15.7x
2026-01-27T15:20:00.000-05:00,[KLB] 15:20 ▲ ~ ~ PM L vol=2.5x pos=^73 vwap=above ema=bull rs=-0.4% adx=20 body=72% ramp=1.7x rangeATR=1.3 O672.92 H674 L672.91 C673.71 ATR=17.73 SL=671.94/671.05 rawVol=28474 volSMA=11388 buf=0.887 prices=672.54
2026-01-28T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ VWAP + ~ Today O vol=0.6x pos=^57 vwap=above ema=bull rs=+0.3% adx=34 body=57% ramp=1.1x rangeATR=2.5 ⚡ O673.8 H675.8 L673.8 C674.94 ATR=17.33 SL=673.55/673.21 rawVol=967 volSMA=1577 buf=0.867 prices=
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▼ RNG range break vol=7.7x
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Yest H + ~ PD Cls vol=7.7x pos=v73 vwap=below ema=bull rs=-0.3% adx=31 body=63% ramp=14.7x rangeATR=2.7 ⚡ O674.13 H674.44 L671.5 C672.29 ATR=17.33 SL=673.68/674.02 rawVol=32982 volSMA=5078 buf=0.867 prices=676.82
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ Yest L vol=4.7x pos=^85 vwap=above ema=bull rs=0% adx=28 body=78% ramp=2.6x rangeATR=1.5 O672.98 H674.79 L672.85 C674.5 ATR=17.33 SL=673.11/672.77 rawVol=33374 volSMA=8397 buf=0.867 prices=664.66
2026-01-28T10:05:00.000-05:00,[KLB] 10:05 ▲ RNG range break vol=3.5x
2026-01-28T10:05:00.000-05:00,[KLB] 10:05 ▲ BRK PD LH H vol=3.5x pos=^85 vwap=above ema=bull rs=+0.4% adx=28 body=50% ramp=1.2x rangeATR=2.4 ⚡ O675.4 H677.6 L674.2 C677.1 ATR=17.33 SL=675.71/675.37 rawVol=50474 volSMA=14345 buf=0.867 prices=
