Date,Message
2026-01-20T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ x~ PM H vol=2.1x pos=v90 vwap=below ema=bull rs=-1.8% adx=22 body=20% ramp=2.8x rangeATR=2.6 ⚡ O47.95 H48.02 L47.92 C47.93 ATR=0.85 SL=48/48.02 rawVol=1788 volSMA=869 buf=0.043 prices=48.02
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=19.1x
2026-01-20T09:35:00.000-05:00,"[KLB] 9:35 ▼ ~ ~ PM H
~ VWAP + ~ Today O vol=19.1x pos=v100 vwap=below ema=bull rs=-0.8% adx=25 body=58% ramp=199.2x rangeATR=7.2 ⚡ O48.09 H48.31 L47.78 C47.78 ATR=0.85 SL=47.85/47.87 rawVol=352954 volSMA=18501 buf=0.043 prices=48.02"
2026-01-20T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ PD Cls vol=8.9x pos=^90 vwap=below ema=bull rs=-0.6% adx=27 body=41% ramp=340x rangeATR=2.4 ⚡ O47.78 H47.88 L47.69 C47.86 ATR=0.85 SL=47.79/47.77 rawVol=293885 volSMA=33187 buf=0.043 prices=
2026-01-20T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~> VWAP vol=7.1x pos=^78 vwap=above ema=bull rs=-0.6% adx=28 body=67% ramp=265.8x rangeATR=1.6 O47.85 H47.97 L47.84 C47.94 ATR=0.85 SL=47.87/47.85 rawVol=165332 volSMA=41439 buf=0.043 prices=
2026-01-20T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ x~ PM H vol=3.7x pos=v86 vwap=below ema=bull rs=-0.6% adx=30 body=29% ramp=1.8x rangeATR=2.2 ⚡ O47.94 H48.06 L47.85 C47.88 ATR=0.85 SL=47.95/47.97 rawVol=184067 volSMA=50184 buf=0.043 prices=48.02
2026-01-20T14:35:00.000-05:00,[KLB] 14:35 ▼ ~ ~ Yest H vol=3.4x pos=v97 vwap=below ema=bear rs=-0.6% adx=30 body=97% ramp=2.5x rangeATR=2.4 ⚡ ⚠ O47.68 H47.68 L47.53 C47.54 ATR=0.85 SL=47.62/47.66 rawVol=148544 volSMA=43352 buf=0.043 prices=47.81
2026-01-21T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=7.2x
2026-01-21T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ Today O vol=7.2x pos=^100 vwap=below ema=bull rs=+0.4% adx=46 body=78% ramp=2.6x rangeATR=2.1 ⚡ O48.27 H48.34 L48.25 C48.34 ATR=0.85 SL=48.27/48.25 rawVol=5619 volSMA=782 buf=0.043 prices=
2026-01-21T09:35:00.000-05:00,"[KLB] 9:35 ▲ ~ ~ VWAP
~> VWAP vol=19.1x pos=^100 vwap=above ema=bull rs=+1% adx=49 body=100% ramp=148.4x rangeATR=6.4 ⚡ ⚠ O48.29 H48.76 L48.29 C48.76 ATR=0.85 SL=48.69/48.67 rawVol=340805 volSMA=17822 buf=0.043 prices="
2026-01-21T10:00:00.000-05:00,[KLB] 10:00 ▼ ~ ~> VWAP vol=2.5x pos=v83 vwap=below ema=bull rs=+0.5% adx=60 body=67% ramp=0.5x rangeATR=0.8 O48.79 H48.81 L48.72 C48.73 ATR=0.85 SL=48.8/48.82 rawVol=139990 volSMA=69501 buf=0.043 prices=
2026-01-21T10:15:00.000-05:00,[KLB] 10:15 ▼ ~ x~ ORB H vol=1.4x pos=v95 vwap=below ema=bull rs=+0.5% adx=65 body=25% ramp=0.7x rangeATR=0.9 O48.75 H48.82 L48.72 C48.73 ATR=0.85 SL=48.79/48.81 rawVol=116660 volSMA=85808 buf=0.043 prices=48.76
2026-01-21T10:20:00.000-05:00,[KLB] 10:20 ▲ FADE at 48.76
2026-01-21T10:30:00.000-05:00,[KLB] 10:30 ▼ ~ x~ Week H vol=0.9x pos=v17 vwap=below ema=bull rs=+0.1% adx=63 body=17% ramp=0.7x rangeATR=1.1 O48.61 H48.61 L48.49 C48.59 ATR=0.85 SL=48.66/48.68 rawVol=87445 volSMA=97572 buf=0.043 prices=48.65
2026-01-21T10:35:00.000-05:00,[KLB] 10:35 ▲ FADE at 48.65
2026-01-21T14:40:00.000-05:00,[KLB] 14:40 ▼ ~ x~ ORB H vol=4.5x pos=v30 vwap=below ema=bull rs=-0.2% adx=18 body=13% ramp=2.9x rangeATR=3.3 ⚡ O48.72 H48.77 L48.47 C48.68 ATR=0.85 SL=48.77/48.81 rawVol=299121 volSMA=66794 buf=0.043 prices=48.76
2026-01-22T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=17.9x
