Date,Message
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=6.2x
2026-02-02T09:35:00.000-05:00,"[KLB] 9:35 ▲ ~ ~ VWAP
~> VWAP + ~ Today O vol=6.2x pos=^95 vwap=above ema=bear rs=+0.6% adx=22 body=74% ramp=5.1x rangeATR=1.9 O434.01 H437.81 L432.97 C437.59 ATR=15.11 SL=436.38/436.08 rawVol=229129 volSMA=36849 buf=0.755 prices="
2026-02-02T09:50:00.000-05:00,"[KLB] 9:50 ▼ ~ ~ ORB H
~> VWAP vol=3.7x pos=v88 vwap=below ema=bear rs=-0.3% adx=21 body=62% ramp=2.4x rangeATR=1.2 O436.98 H437.87 L434.57 C434.95 ATR=15.11 SL=436.16/436.46 rawVol=195778 volSMA=64838 buf=0.755 prices=437.81"
2026-02-03T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ x~ ORB H vol=2x pos=v58 vwap=below ema=bull rs=+0% adx=17 body=4% ramp=7.3x rangeATR=0.9 O452.08 H452.8 L451.48 C452.03 ATR=15.63 SL=453.28/453.59 rawVol=66174 volSMA=32311 buf=0.782 prices=453
2026-02-03T14:05:00.000-05:00,[KLB] 14:05 ▼ BRK ORB L vol=1.1x pos=v83 vwap=below ema=bear rs=+0.9% adx=26 body=80% ramp=0.8x rangeATR=1.2 ⚠ O451.02 H451.08 L448.98 C449.33 ATR=15.63 SL=450.89/451.67 rawVol=77660 volSMA=68790 buf=0.782 prices=450.06
2026-02-03T14:05:00.000-05:00,[KLB] CONF 14:05 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T14:10:00.000-05:00,[KLB] 5m CHECK 14:10 ▼ pnl=0.05 SPY✓ → HOLD
2026-02-03T14:25:00.000-05:00,[KLB] 14:25 ▼ ~ x~ ORB H vol=0.9x pos=v62 vwap=below ema=bear rs=+1.3% adx=24 body=23% ramp=1x rangeATR=0.7 O452.64 H453.14 L451.87 C452.35 ATR=15.63 SL=453.91/454.69 rawVol=60833 volSMA=69777 buf=0.782 prices=453
2026-02-03T14:30:00.000-05:00,[KLB] 14:30 ▲ ~ ~> VWAP vol=0.9x pos=^79 vwap=above ema=bear rs=+1.5% adx=23 body=42% ramp=0.9x rangeATR=0.9 O452.43 H453.46 L451.81 C453.12 ATR=15.63 SL=451.56/450.78 rawVol=61122 volSMA=69654 buf=0.782 prices=
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=6.9x
2026-02-04T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK ORB L vol=1.2x pos=v77 vwap=below ema=bear rs=-0.6% adx=26 body=73% ramp=0.6x rangeATR=1.8 O460.59 H460.73 L457.44 C458.2 ATR=16.79 SL=459.54/459.88 rawVol=48157 volSMA=41404 buf=0.84 prices=459.88
2026-02-04T10:00:00.000-05:00,[KLB] 10:00 ▼ ~ ~ VWAP vol=1.2x pos=v77 vwap=below ema=bear rs=-0.6% adx=26 body=73% ramp=0.6x rangeATR=1.8 O460.59 H460.73 L457.44 C458.2 ATR=16.79 SL=459.54/459.88 rawVol=48157 volSMA=41404 buf=0.84 prices=
2026-02-04T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-04T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=-0.03 SPY✓ → HOLD
