Date,Message
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=7.7x
2026-02-02T09:30:00.000-05:00,"[KLB] 9:30 ▲ ~ ~ VWAP
~> VWAP + ~ PD Cls vol=7.7x pos=^97 vwap=above ema=bear rs=-0.4% adx=23 body=97% ramp=6.7x rangeATR=5.8 ⚡ ⚠ O256.99 H260.06 L256.99 C259.96 ATR=5.5 SL=259.52/259.41 rawVol=32868 volSMA=4287 buf=0.275 prices="
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK Month O vol=16.4x pos=^71 vwap=above ema=bull rs=+0.8% adx=26 body=65% ramp=66.8x rangeATR=5.4 ⚡ O259.95 H263.97 L259.67 C262.74 ATR=5.5 SL=262.3/262.19 rawVol=376780 volSMA=23032 buf=0.275 prices=
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Today O vol=16.4x pos=^71 vwap=above ema=bull rs=+0.8% adx=26 body=65% ramp=66.8x rangeATR=5.4 ⚡ O259.95 H263.97 L259.67 C262.74 ATR=5.5 SL=262.3/262.19 rawVol=376780 volSMA=23032 buf=0.275 prices=
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T09:40:00.000-05:00,"[KLB] 9:40 ▼ ~ ~ PM H + ~ Yest H + ~ Week H
~ VWAP vol=5.6x pos=v98 vwap=below ema=bull rs=-0.6% adx=29 body=97% ramp=66.7x rangeATR=3.5 ⚡ ⚠ O262.7 H262.75 L259.28 C259.34 ATR=5.5 SL=259.78/259.89 rawVol=173196 volSMA=31141 buf=0.275 prices=260.06/261.9/261.95"
2026-02-02T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▲ pnl=-0.62 SPY✓ → HOLD
2026-02-02T09:45:00.000-05:00,[KLB] 9:45 ▲ FADE at 260.06
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=15.5x
2026-02-03T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ x~ PM H vol=3.9x pos=v58 vwap=below ema=bull rs=-0.2% adx=19 body=27% ramp=39.1x rangeATR=2.4 ⚡ O268.62 H269.05 L267.65 C268.24 ATR=5.91 SL=268.71/268.83 rawVol=80813 volSMA=20746 buf=0.296 prices=269.27
2026-02-03T09:50:00.000-05:00,[KLB] 9:50 ▲ FADE at 269.27
2026-02-03T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK PD LH H vol=4.4x pos=^96 vwap=above ema=bull rs=+0.8% adx=21 body=75% ramp=1.1x rangeATR=2.1 ⚡ O269.74 H270.97 L269.42 C270.91 ATR=5.91 SL=270.44/270.32 rawVol=139431 volSMA=31600 buf=0.296 prices=
2026-02-03T09:55:00.000-05:00,[KLB] 9:55 ▲ ~ ~ VWAP + ~ PD Cls vol=4.4x pos=^96 vwap=above ema=bull rs=+0.8% adx=21 body=75% ramp=1.1x rangeATR=2.1 ⚡ O269.74 H270.97 L269.42 C270.91 ATR=5.91 SL=270.44/270.32 rawVol=139431 volSMA=31600 buf=0.296 prices=
2026-02-03T09:55:00.000-05:00,[KLB] CONF 9:55 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:00:00.000-05:00,[KLB] 5m CHECK 10:00 ▲ pnl=-0.09 SPY✗ → BAIL
2026-02-03T10:10:00.000-05:00,[KLB] 10:10 ▼ ~ x~ Yest H vol=2.3x pos=v50 vwap=below ema=bull rs=+0.6% adx=24 body=18% ramp=1.1x rangeATR=1.1 O269.65 H269.93 L269.05 C269.49 ATR=5.91 SL=269.96/270.08 rawVol=63814 volSMA=48649 buf=0.296 prices=270.49
2026-02-03T10:25:00.000-05:00,[KLB] 10:25 ▼ ~ x~ PM H vol=1.2x pos=v77 vwap=below ema=bull rs=+0.6% adx=21 body=3% ramp=0.6x rangeATR=1.1 O268.69 H269.37 L268.45 C268.66 ATR=5.91 SL=269.13/269.25 rawVol=60550 volSMA=58529 buf=0.296 prices=269.27
2026-02-03T10:30:00.000-05:00,[KLB] 10:30 ▲ FADE at 269.27
2026-02-03T11:25:00.000-05:00,[KLB] 11:25 ▼ ~ ~> VWAP vol=0.3x pos=v84 vwap=below ema=bull rs=+0.9% adx=20 body=68% ramp=1.1x rangeATR=1.4 O270.38 H270.59 L269.25 C269.47 ATR=5.91 SL=270.65/270.95 rawVol=28165 volSMA=83209 buf=0.296 prices=
