Date,Message
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=16.1x
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK Week O + Month O vol=16.1x pos=^74 vwap=above ema=bull rs=+0.6% adx=23 body=70% ramp=22.2x rangeATR=5.7 ⚡ O238.29 H241.03 L238.19 C240.28 ATR=5.54 SL=239.84/239.73 rawVol=102113 volSMA=6361 buf=0.277 prices=
2026-02-02T09:35:00.000-05:00,"[KLB] 9:35 ▲ ~ ~ Yest L
~ VWAP
~> VWAP + ~ Today O + ~ PD Cls vol=16.1x pos=^74 vwap=above ema=bull rs=+0.6% adx=23 body=70% ramp=22.2x rangeATR=5.7 ⚡ O238.29 H241.03 L238.19 C240.28 ATR=5.54 SL=239.84/239.73 rawVol=102113 volSMA=6361 buf=0.277 prices=237.64"
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-02T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▲ pnl=0.2 SPY✓ → HOLD
2026-02-02T14:05:00.000-05:00,[KLB] 14:05 ▼ ~ ~> VWAP vol=0.9x pos=v72 vwap=below ema=bull rs=+1.2% adx=25 body=72% ramp=1.2x rangeATR=0.8 O243.74 H243.74 L243.45 C243.53 ATR=5.54 SL=244.08/244.36 rawVol=20704 volSMA=22325 buf=0.277 prices=
2026-02-03T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=3.8x
2026-02-03T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~> VWAP + ~ Today O vol=3.8x pos=^100 vwap=below ema=bear rs=+0.1% adx=28 body=89% ramp=2.6x rangeATR=4.9 ⚡ ⚠ O243.71 H245.05 L243.55 C245.05 ATR=5.68 SL=244.6/244.48 rawVol=7506 volSMA=1958 buf=0.284 prices=
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ FADE at 244.98
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ x~ PM H vol=16.4x pos=v56 vwap=below ema=bear rs=-0.1% adx=30 body=7% ramp=26.1x rangeATR=6.1 ⚡ O244.86 H246.35 L243.29 C244.65 ATR=5.68 SL=245.1/245.22 rawVol=171791 volSMA=10495 buf=0.284 prices=245.65
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PM L vol=11.3x pos=v74 vwap=below ema=bear rs=-0.5% adx=30 body=51% ramp=36.4x rangeATR=3.6 ⚡ O244.65 H245.19 L242.89 C243.49 ATR=5.68 SL=243.94/244.06 rawVol=95474 volSMA=15203 buf=0.284 prices=243.55
2026-02-03T09:40:00.000-05:00,"[KLB] 9:40 ▼ ~ ~ VWAP
~> VWAP vol=11.3x pos=v74 vwap=below ema=bear rs=-0.5% adx=30 body=51% ramp=36.4x rangeATR=3.6 ⚡ O244.65 H245.19 L242.89 C243.49 ATR=5.68 SL=243.94/244.06 rawVol=95474 volSMA=15203 buf=0.284 prices="
2026-02-03T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▼ pnl=-0.02 SPY~ → HOLD
2026-02-03T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK PM L + ORB L vol=3x pos=v97 vwap=below ema=bear rs=-0.7% adx=29 body=92% ramp=1x rangeATR=2 ⚡ ⚠ O244.26 H244.34 L242.65 C242.7 ATR=5.68 SL=243.15/243.27 rawVol=84657 volSMA=28525 buf=0.284 prices=243.55/243.29
2026-02-03T09:55:00.000-05:00,[KLB] 9:55 ▼ ~ ~ Yest H + ~ PD Cls vol=3x pos=v97 vwap=below ema=bear rs=-0.7% adx=29 body=92% ramp=1x rangeATR=2 ⚡ ⚠ O244.26 H244.34 L242.65 C242.7 ATR=5.68 SL=243.15/243.27 rawVol=84657 volSMA=28525 buf=0.284 prices=245.63
2026-02-03T09:55:00.000-05:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:00:00.000-05:00,[KLB] 10:00 ▼ RNG range break vol=3.1x
2026-02-03T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK PD LH L vol=3.1x pos=v88 vwap=below ema=bear rs=-1.2% adx=29 body=85% ramp=0.7x rangeATR=2.1 ⚡ ⚠ O242.68 H242.75 L240.84 C241.06 ATR=5.68 SL=241.51/241.63 rawVol=102769 volSMA=33594 buf=0.284 prices=
2026-02-03T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=0.16 SPY✓ → HOLD
2026-02-03T10:10:00.000-05:00,[KLB] 10:10 ▼ BRK Week O vol=2.1x pos=v88 vwap=below ema=bear rs=-1.8% adx=31 body=58% ramp=1x rangeATR=1.4 O240.12 H240.51 L239.22 C239.37 ATR=5.68 SL=239.82/239.94 rawVol=85586 volSMA=41467 buf=0.284 prices=
2026-02-03T10:10:00.000-05:00,[KLB] CONF 10:10 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:15:00.000-05:00,[KLB] 5m CHECK 10:15 ▼ pnl=0.05 SPY✓ → HOLD
2026-02-03T10:25:00.000-05:00,[KLB] 10:25 ▼ BRK Yest L + Month O vol=1.9x pos=v98 vwap=below ema=bear rs=-2.2% adx=35 body=88% ramp=1.4x rangeATR=2.1 ⚡ ⚠ O239.78 H240 L237.76 C237.81 ATR=5.68 SL=238.26/238.38 rawVol=111518 volSMA=59064 buf=0.284 prices=238.17
2026-02-03T10:25:00.000-05:00,[KLB] CONF 10:25 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T10:30:00.000-05:00,[KLB] 5m CHECK 10:30 ▼ pnl=-0.24 SPY✓ → HOLD
2026-02-03T13:45:00.000-05:00,[KLB] 13:45 ▼ BRK Week L vol=1.4x pos=v39 vwap=below ema=bear rs=-2% adx=36 body=39% ramp=1.4x rangeATR=0.7 O236.52 H236.52 L236 C236.32 ATR=5.68 SL=237.45/237.74 rawVol=44880 volSMA=32181 buf=0.284 prices=236.74
2026-02-03T13:45:00.000-05:00,[KLB] CONF 13:45 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-03T13:50:00.000-05:00,[KLB] 5m CHECK 13:50 ▼ pnl=0.03 SPY✓ → HOLD
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=15x
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + Month O vol=15x pos=v69 vwap=below ema=bear rs=-0.7% adx=22 body=68% ramp=14.7x rangeATR=4.9 ⚡ O238.83 H238.86 L236.14 C236.98 ATR=6.05 SL=237.46/237.59 rawVol=109756 volSMA=7330 buf=0.303 prices=238.44
2026-02-04T09:35:00.000-05:00,"[KLB] 9:35 ▼ ~ ~ VWAP
~> VWAP + ~ Today O + ~ PD Cls vol=15x pos=v69 vwap=below ema=bear rs=-0.7% adx=22 body=68% ramp=14.7x rangeATR=4.9 ⚡ O238.83 H238.86 L236.14 C236.98 ATR=6.05 SL=237.46/237.59 rawVol=109756 volSMA=7330 buf=0.303 prices="
2026-02-04T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-04T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ Week L vol=7.8x pos=^90 vwap=above ema=bear rs=-0.4% adx=24 body=80% ramp=43.4x rangeATR=2.2 ⚡ ⚠ O236.95 H238.17 L236.81 C238.04 ATR=6.05 SL=237.56/237.43 rawVol=94210 volSMA=12014 buf=0.303 prices=236.74
2026-02-04T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.18 SPY~ → BAIL
2026-02-04T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ x~ ORB H vol=4.7x pos=v67 vwap=below ema=bear rs=-0.5% adx=25 body=20% ramp=40.6x rangeATR=1.6 O238.02 H238.5 L237.47 C237.81 ATR=6.05 SL=238.29/238.42 rawVol=73263 volSMA=15631 buf=0.303 prices=238.86
2026-02-04T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK Yest L + Week L + ORB L + PD LH L vol=2.8x pos=v91 vwap=below ema=bear rs=-1.2% adx=30 body=89% ramp=1.1x rangeATR=3 ⚡ ⚠ O237.57 H237.62 L235.11 C235.33 ATR=6.05 SL=235.81/235.94 rawVol=85285 volSMA=30300 buf=0.303 prices=235.45/236.74/236.14
2026-02-04T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-04T10:05:00.000-05:00,[KLB] 5m CHECK 10:05 ▼ pnl=0.11 SPY✓ → HOLD
2026-02-04T10:15:00.000-05:00,[KLB] 10:15 ▲ ~ ~> VWAP vol=1.7x pos=^91 vwap=above ema=bear rs=-0.5% adx=32 body=80% ramp=0.8x rangeATR=1.6 O235.88 H237.18 L235.71 C237.05 ATR=6.05 SL=236.57/236.44 rawVol=53397 volSMA=41783 buf=0.303 prices=
2026-02-05T09:30:00.000-05:00,[KLB] 9:30 ▼ RNG range break vol=5.1x
2026-02-05T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ VWAP vol=5.1x pos=v73 vwap=below ema=bear rs=-0.8% adx=47 body=64% ramp=4.2x rangeATR=4.3 ⚡ O227.76 H228.14 L223.71 C224.91 ATR=6.12 SL=225.4/225.52 rawVol=51244 volSMA=9953 buf=0.306 prices=
2026-02-05T09:55:00.000-05:00,[KLB] 9:55 ▲ ~ ~> VWAP vol=1.7x pos=^46 vwap=above ema=bear rs=+0.2% adx=55 body=42% ramp=0.5x rangeATR=0.8 O225.29 H226.3 L225.24 C225.73 ATR=6.12 SL=225.24/225.12 rawVol=110424 volSMA=72091 buf=0.306 prices=
2026-02-05T10:00:00.000-05:00,[KLB] 10:00 ▼ 🔇 QBS ramp=0.4x vol=1.8x pos=v77 vwap=below ema=bear adx=56 body=74% rangeATR=1.8 O225.75 H225.81 L223.42 C223.98 ATR=6.12
2026-02-05T10:00:00.000-05:00,[KLB] 10:00 ▼ ~ ~ ORB H vol=1.8x pos=v77 vwap=below ema=bear rs=-0.4% adx=56 body=74% ramp=0.4x rangeATR=1.8 🔇 O225.75 H225.81 L223.42 C223.98 ATR=6.12 SL=224.47/224.59 rawVol=143848 volSMA=79183 buf=0.306 prices=226.17
2026-02-05T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L vol=1.8x pos=v85 vwap=below ema=bear rs=-0.9% adx=57 body=72% ramp=0.7x rangeATR=1.6 O223.98 H224.29 L222 C222.34 ATR=6.12 SL=222.83/222.95 rawVol=153116 volSMA=86725 buf=0.306 prices=223.71
2026-02-05T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-05T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ QBS → ✓ (auto-promote)
2026-02-05T10:10:00.000-05:00,[KLB] 5m CHECK 10:10 ▼ pnl=0.01 SPY✓ → HOLD
2026-02-05T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK ORB L vol=1.8x pos=v97 vwap=below ema=bear rs=-1.3% adx=59 body=86% ramp=1.3x rangeATR=1.3 ⚠ O222.25 H222.45 L220.68 C220.73 ATR=6.12 SL=221.22/221.34 rawVol=189041 volSMA=102503 buf=0.306 prices=221.55
2026-02-05T10:15:00.000-05:00,[KLB] CONF 10:15 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-05T10:20:00.000-05:00,[KLB] 5m CHECK 10:20 ▼ pnl=-0.28 SPY✓ → HOLD
2026-02-05T14:30:00.000-05:00,[KLB] 14:30 ▼ BRK PM L vol=1.5x pos=v90 vwap=below ema=bear rs=-0.7% adx=21 body=87% ramp=1.3x rangeATR=1.1 ⚠ O223.8 H223.82 L223.11 C223.18 ATR=6.12 SL=223.79/224.1 rawVol=72886 volSMA=49891 buf=0.306 prices=223.71
2026-02-05T14:30:00.000-05:00,[KLB] CONF 14:30 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-05T14:35:00.000-05:00,[KLB] 5m CHECK 14:35 ▼ pnl=0.14 SPY~ → HOLD
2026-02-06T09:55:00.000-05:00,[KLB] 9:55 ▼ ~ x~ ORB H vol=2.7x pos=v73 vwap=below ema=bear rs=-0.4% adx=16 body=16% ramp=0.9x rangeATR=1.1 O203.34 H204.32 L202.6 C203.07 ATR=6.59 SL=203.6/203.73 rawVol=466656 volSMA=193463 buf=0.329 prices=204.7
2026-02-09T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ PM L vol=1.7x pos=^45 vwap=above ema=bear rs=-0.2% adx=30 body=45% ramp=1.5x rangeATR=3.1 ⚡ O208.2 H209.7 L208.2 C208.88 ATR=7.71 SL=208.26/208.11 rawVol=11391 volSMA=6521 buf=0.386 prices=208
2026-02-09T09:35:00.000-05:00,[KLB] 9:35 ▼ FADE at 208
2026-02-09T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=16.7x
2026-02-09T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + PD LH L vol=16.7x pos=v94 vwap=below ema=bear rs=-2.4% adx=33 body=90% ramp=31.4x rangeATR=6.4 ⚡ ⚠ O208.89 H209.14 L203.72 C204.03 ATR=7.71 SL=204.65/204.8 rawVol=659560 volSMA=39417 buf=0.386 prices=208
2026-02-09T09:35:00.000-05:00,"[KLB] 9:35 ▼ ~ ~ VWAP
~> VWAP + ~ Today O vol=16.7x pos=v94 vwap=below ema=bear rs=-2.4% adx=33 body=90% ramp=31.4x rangeATR=6.4 ⚡ ⚠ O208.89 H209.14 L203.72 C204.03 ATR=7.71 SL=204.65/204.8 rawVol=659560 volSMA=39417 buf=0.386 prices="
2026-02-09T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-09T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ PD LH L vol=7.9x pos=^100 vwap=above ema=bear rs=-1.7% adx=35 body=73% ramp=56.6x rangeATR=2.7 ⚡ O204.03 H205.95 L203.35 C205.94 ATR=7.71 SL=205.32/205.17 rawVol=512293 volSMA=64930 buf=0.386 prices=
2026-02-09T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.25 SPY~ → BAIL
2026-02-09T09:45:00.000-05:00,"[KLB] 9:45 ▲ ~ ~ VWAP
~> VWAP vol=6.5x pos=^87 vwap=above ema=bear rs=-1.3% adx=36 body=58% ramp=49.2x rangeATR=1.5 O205.93 H207 L205.51 C206.8 ATR=7.71 SL=206.18/206.03 rawVol=281702 volSMA=78699 buf=0.386 prices="
2026-02-09T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK PD LH L vol=2.6x pos=v82 vwap=below ema=bear rs=-2.3% adx=38 body=78% ramp=0.7x rangeATR=1.5 O205.69 H205.75 L204.09 C204.39 ATR=7.71 SL=205.01/205.16 rawVol=272670 volSMA=105279 buf=0.386 prices=
2026-02-09T09:55:00.000-05:00,[KLB] CONF 9:55 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-09T10:00:00.000-05:00,[KLB] 5m CHECK 10:00 ▼ pnl=-0.05 SPY~ → HOLD
2026-02-09T11:55:00.000-05:00,[KLB] 11:55 ▲ ~ ~ PD Cls vol=1.5x pos=^80 vwap=above ema=bull rs=+0.1% adx=23 body=68% ramp=2x rangeATR=1.5 O210.27 H211.28 L210.13 C211.05 ATR=7.71 SL=209.51/209.12 rawVol=208154 volSMA=141976 buf=0.386 prices=
2026-02-09T12:00:00.000-05:00,[KLB] 12:00 ▲ BRK PD LH H vol=1.5x pos=^76 vwap=above ema=bull rs=+0.5% adx=25 body=74% ramp=2.1x rangeATR=1.3 O211.06 H212.09 L211.03 C211.84 ATR=7.71 SL=210.3/209.91 rawVol=181694 volSMA=139345 buf=0.386 prices=
2026-02-09T12:00:00.000-05:00,[KLB] CONF 12:00 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-09T12:05:00.000-05:00,[KLB] 5m CHECK 12:05 ▲ pnl=0.07 SPY✓ → HOLD
2026-02-10T09:30:00.000-05:00,[KLB] 9:30 ▼ RNG range break vol=5.5x
2026-02-10T09:30:00.000-05:00,"[KLB] 9:30 ▼ ~ ~ PM H + ~ Yest H
~> VWAP + ~ Today O vol=5.5x pos=v94 vwap=below ema=bull rs=+0.1% adx=21 body=82% ramp=2.7x rangeATR=4.7 ⚡ ⚠ O210.39 H210.62 L208.6 C208.73 ATR=7.84 SL=209.36/209.51 rawVol=21768 volSMA=3936 buf=0.392 prices=210.62/212.81"
2026-02-10T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PM L + PD LH L vol=8.7x pos=v65 vwap=below ema=bear rs=-0.4% adx=26 body=64% ramp=31.3x rangeATR=3.2 ⚡ O209.14 H209.15 L206.93 C207.71 ATR=7.84 SL=208.34/208.49 rawVol=204968 volSMA=23456 buf=0.392 prices=208.6
2026-02-10T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Yest H vol=8.7x pos=v65 vwap=below ema=bear rs=-0.4% adx=26 body=64% ramp=31.3x rangeATR=3.2 ⚡ O209.14 H209.15 L206.93 C207.71 ATR=7.84 SL=208.34/208.49 rawVol=204968 volSMA=23456 buf=0.392 prices=212.81
2026-02-10T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-10T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK ORB L vol=6.1x pos=v93 vwap=below ema=bear rs=-0.9% adx=29 body=84% ramp=19.2x rangeATR=1.7 ⚠ O207.66 H207.77 L206.58 C206.66 ATR=7.84 SL=207.29/207.44 rawVol=207205 volSMA=33735 buf=0.392 prices=207.4
2026-02-10T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-R1: EMA)
2026-02-10T09:50:00.000-05:00,[KLB] 5m CHECK 9:50 ▼ pnl=-0.07 SPY~ → HOLD
2026-02-10T09:55:00.000-05:00,[KLB] 9:55 ▲ ~ ~> VWAP vol=3.9x pos=^98 vwap=above ema=bear rs=-0.1% adx=30 body=98% ramp=1.3x rangeATR=2.1 ⚡ ⚠ O207.15 H208.79 L207.15 C208.75 ATR=7.84 SL=208.12/207.97 rawVol=124112 volSMA=49329 buf=0.392 prices=
2026-02-10T12:45:00.000-05:00,[KLB] 12:45 ▼ ~ x~ PM H vol=0.7x pos=v93 vwap=below ema=bear rs=+0.5% adx=11 body=20% ramp=0.8x rangeATR=0.9 O210.01 H210.34 L209.89 C209.92 ATR=7.84 SL=211.49/211.88 rawVol=29047 volSMA=44144 buf=0.392 prices=210.62
2026-02-10T13:05:00.000-05:00,[KLB] 13:05 ▼ ~ x~ ORB H vol=1.8x pos=v68 vwap=below ema=bear rs=+0.1% adx=12 body=5% ramp=1.8x rangeATR=0.9 O209.18 H209.46 L209.02 C209.16 ATR=7.84 SL=210.73/211.12 rawVol=39515 volSMA=40170 buf=0.392 prices=209.76
2026-02-10T14:05:00.000-05:00,[KLB] 14:05 ▼ ~ ~ Yest H vol=0.7x pos=v92 vwap=below ema=bear rs=0% adx=26 body=67% ramp=0.7x rangeATR=1 O208.65 H208.78 L208.26 C208.3 ATR=7.84 SL=209.08/209.48 rawVol=34893 volSMA=53437 buf=0.392 prices=212.81
2026-02-11T09:30:00.000-05:00,"[KLB] 9:30 ▼ ~ ~ PM H + ~ Yest H
~> VWAP vol=1x pos=v91 vwap=below ema=bull rs=+0.6% adx=24 body=60% ramp=0.7x rangeATR=2.7 ⚡ O208.69 H208.99 L208.02 C208.11 ATR=7.73 SL=208.73/208.88 rawVol=4263 volSMA=4153 buf=0.386 prices=209.15/212.65"
2026-02-11T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=14.2x
2026-02-11T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ Today O + ~ PD Cls vol=14.2x pos=v98 vwap=below ema=bull rs=-0.7% adx=25 body=73% ramp=16.9x rangeATR=4.3 ⚡ O208.05 H208.56 L206.55 C206.59 ATR=7.73 SL=207.21/207.36 rawVol=200724 volSMA=14133 buf=0.386 prices=
2026-02-11T10:05:00.000-05:00,[KLB] 10:05 ▲ ~ ~> VWAP vol=1.2x pos=^74 vwap=below ema=bear rs=-0.6% adx=36 body=56% ramp=0.5x rangeATR=1.2 🔇 O205.6 H206.26 L205.45 C206.05 ATR=7.73 SL=205.43/205.28 rawVol=96147 volSMA=78418 buf=0.386 prices=
2026-02-12T09:30:00.000-05:00,[KLB] 9:30 ▼ RNG range break vol=4.1x
2026-02-12T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Today O + ~ PD Cls vol=4.1x pos=v94 vwap=above ema=bear rs=+0.3% adx=34 body=94% ramp=4x rangeATR=2.2 ⚡ ⚠ O204.32 H204.32 L203.91 C203.94 ATR=7.61 SL=204.54/204.7 rawVol=9374 volSMA=2315 buf=0.38 prices=
2026-02-12T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + PD LH L vol=17.1x pos=v91 vwap=below ema=bear rs=-0.8% adx=37 body=91% ramp=67.6x rangeATR=5.4 ⚡ ⚠ O203.96 H203.96 L202.45 C202.58 ATR=7.61 SL=203.19/203.34 rawVol=260733 volSMA=15291 buf=0.38 prices=203.91
