Date,Message
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▲ RNG range break vol=6.5x
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ VWAP vol=6.5x pos=^94 vwap=above ema=bull rs=-0.4% adx=24 body=90% ramp=2.8x rangeATR=3.7 ⚡ ⚠ O709.65 H714.6 L709.47 C714.28 ATR=20.96 SL=712.6/712.18 rawVol=12494 volSMA=1916 buf=1.048 prices=
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ x~ PM H vol=12.9x pos=v87 vwap=below ema=bull rs=-0.6% adx=27 body=25% ramp=32.9x rangeATR=5.3 ⚡ O714.54 H721.24 L710.35 C711.79 ATR=20.96 SL=713.47/713.89 rawVol=66492 volSMA=5141 buf=1.048 prices=714.6
2026-02-02T09:40:00.000-05:00,"[KLB] 9:40 ▼ ~ ~ PM H
~ VWAP
~> VWAP vol=8.2x pos=v81 vwap=below ema=bull rs=-1.1% adx=29 body=52% ramp=50.4x rangeATR=2.6 ⚡ O711.95 H713.68 L707.7 C708.85 ATR=20.96 SL=710.53/710.95 rawVol=59351 volSMA=8070 buf=1.048 prices=714.6"
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▲ RNG range break vol=16.3x
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK PD LH H vol=9.1x pos=^94 vwap=above ema=bull rs=+1% adx=27 body=74% ramp=46.9x rangeATR=5.8 ⚡ O708.1 H714.47 L706.5 C713.96 ATR=20.73 SL=712.3/711.89 rawVol=56218 volSMA=6158 buf=1.037 prices=
2026-02-03T09:40:00.000-05:00,"[KLB] 9:40 ▲ ~ ~ VWAP
~> VWAP vol=9.1x pos=^94 vwap=above ema=bull rs=+1% adx=27 body=74% ramp=46.9x rangeATR=5.8 ⚡ O708.1 H714.47 L706.5 C713.96 ATR=20.73 SL=712.3/711.89 rawVol=56218 volSMA=6158 buf=1.037 prices="
2026-02-03T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-R1: EMA)
2026-02-03T09:45:00.000-05:00,"[KLB] 9:45 ▼ ~ ~ PM H + ~ Yest H + ~ ORB H
~ VWAP vol=5.2x pos=v99 vwap=below ema=bull rs=+0.2% adx=30 body=84% ramp=62.8x rangeATR=4.1 ⚡ ⚠ O713.88 H715 L707.61 C707.65 ATR=20.73 SL=709.31/709.72 rawVol=42861 volSMA=8292 buf=1.037 prices=711.64/721.3/710.5"
2026-02-03T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=-0.3 SPY~ → BAIL
2026-02-03T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ x~ ORB H vol=4.4x pos=v65 vwap=below ema=bull rs=+0.1% adx=32 body=6% ramp=2.3x rangeATR=1.4 O708.04 H709.55 L707 C707.9 ATR=20.73 SL=709.56/709.97 rawVol=31064 volSMA=9836 buf=1.037 prices=710.5
2026-02-03T10:00:00.000-05:00,[KLB] 10:00 ▼ RNG range break vol=3.6x
2026-02-04T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~> VWAP + ~ PD LH L + ~ Today O vol=3.6x pos=^71 vwap=above ema=bear rs=+0.2% adx=45 body=58% ramp=1.1x rangeATR=2.9 ⚡ O685.27 H689.25 L684.68 C687.93 ATR=21.44 SL=686.21/685.79 rawVol=5030 volSMA=1400 buf=1.072 prices=
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ FADE at 686.6
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ RNG range break vol=15.1x
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + Yest L + PD LH L vol=15.1x pos=v82 vwap=below ema=bear rs=-1% adx=44 body=71% ramp=11.2x rangeATR=4.7 ⚡ O687.74 H688.83 L678.57 C680.41 ATR=21.44 SL=682.13/682.55 rawVol=83968 volSMA=5554 buf=1.072 prices=681.4/686.41
