Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=12.3x pos=^76 O187.18 H188.31 L187.02 C188 ATR=5.33 rawVol=316409 volSMA=25651 buf=0.267 prices=187.23
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L + ~ ORB L vol=12.3x pos=^76 O187.18 H188.31 L187.02 C188 ATR=5.33 rawVol=316409 volSMA=25651 buf=0.267 prices=186.82/187.02
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=8.6x pos=^43 O188.02 H189.06 L187.88 C188.39 ATR=5.33 rawVol=379758 volSMA=44406 buf=0.267 prices=188.31
2026-01-26T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-promote)
2026-01-26T09:46:00.000-05:00,[KLB] CONF 9:46 ▲ BRK → ✗ (failed)
2026-01-26T09:50:00.000-05:00,[KLB] 9:50 ▼ ~~ ~ Yest H + ~ Week H + ~~ ORB H vol=2.8x pos=v98 O188.7 H188.77 L187.53 C187.56 ATR=5.33 rawVol=187082 volSMA=67893 buf=0.267 prices=189.6/189.6/188.31
2026-01-26T11:05:00.000-05:00,[KLB] 11:05 ▼ BRK Yest L + ORB L vol=2.8x pos=v43 O187.27 H187.28 L186.01 C186.73 ATR=5.33 rawVol=464706 volSMA=164234 buf=0.267 prices=186.82/187.02
2026-01-26T11:05:00.000-05:00,[KLB] 11:05 ▼ ~~ ~~ PM H vol=2.8x pos=v43 O187.27 H187.28 L186.01 C186.73 ATR=5.33 rawVol=464706 volSMA=164234 buf=0.267 prices=187.23
2026-01-26T11:15:00.000-05:00,[KLB] CONF 11:15 ▼ BRK → ✗ (failed)
2026-01-26T15:55:00.000-05:00,[KLB] 15:55 ▼ BRK Yest L vol=2.8x pos=v29 O186.56 H186.63 L186.32 C186.54 ATR=5.33 rawVol=151957 volSMA=54863 buf=0.267 prices=186.82
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=13.5x pos=v94 O187.24 H187.41 L186.31 C186.38 ATR=5.17 rawVol=287547 volSMA=21279 buf=0.259 prices=187.03
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ Yest H + ~ ORB H vol=13.5x pos=v94 O187.24 H187.41 L186.31 C186.38 ATR=5.17 rawVol=287547 volSMA=21279 buf=0.259 prices=189.12/187.41
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=8.8x pos=v99 O186.41 H186.7 L186.03 C186.04 ATR=5.17 rawVol=233682 volSMA=32723 buf=0.259 prices=186.31
2026-01-27T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-promote)
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK Yest L vol=6.3x pos=v54 O186.04 H186.23 L185.71 C185.95 ATR=5.17 rawVol=293166 volSMA=46819 buf=0.259 prices=185.99
2026-01-27T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-promote)
2026-01-27T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✗ (failed)
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ ~~ ~~ Yest L + ~~ ORB L vol=3.4x pos=^91 O185.96 H186.73 L185.92 C186.66 ATR=5.17 rawVol=190305 volSMA=56091 buf=0.259 prices=185.99/186.31
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK ORB H vol=5.2x pos=^86 O186.77 H187.79 L186.75 C187.64 ATR=5.17 rawVol=450760 volSMA=86965 buf=0.259 prices=187.41
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▲ ~~ ~~ PM L vol=5.2x pos=^86 O186.77 H187.79 L186.75 C187.64 ATR=5.17 rawVol=450760 volSMA=86965 buf=0.259 prices=187.03
2026-01-27T10:10:00.000-05:00,[KLB] 10:10 ▲ BRK PM H vol=2.9x pos=^96 O188.07 H188.54 L187.74 C188.51 ATR=5.17 rawVol=349548 volSMA=120277 buf=0.259 prices=187.96
2026-01-27T10:10:00.000-05:00,[KLB] CONF 10:10 ▲ BRK → ✓ (auto-promote)
2026-01-27T10:20:00.000-05:00,[KLB] 10:20 ▲ BRK Yest H vol=2.8x pos=^65 O189.05 H189.5 L188.79 C189.25 ATR=5.17 rawVol=255697 volSMA=154449 buf=0.259 prices=189.12
2026-01-27T10:20:00.000-05:00,[KLB] CONF 10:20 ▲ BRK → ✓ (auto-promote)
2026-01-27T10:21:00.000-05:00,[KLB] CONF 10:21 ▲ BRK → ✗ (failed)
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=14x pos=^64 O191.25 H191.96 L190.12 C191.3 ATR=5.11 rawVol=617854 volSMA=44237 buf=0.256 prices=190.78/190.12
2026-01-28T09:45:00.000-05:00,[KLB] 9:45 ▲ BRK ORB H vol=5.9x pos=^80 O191.78 H192.32 L191.47 C192.15 ATR=5.11 rawVol=486017 volSMA=81706 buf=0.256 prices=191.96
2026-01-28T09:46:00.000-05:00,[KLB] CONF 9:46 ▲ BRK → ✗ (failed)
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ~~ ~~ ORB H vol=3.7x pos=v93 O192.14 H192.2 L191.21 C191.28 ATR=5.11 rawVol=372922 volSMA=99776 buf=0.256 prices=191.96
2026-01-28T14:35:00.000-05:00,[KLB] 14:35 ▲ ~ ~ PM L vol=2.6x pos=^67 O191.51 H191.92 L190.91 C191.58 ATR=5.11 rawVol=201481 volSMA=76241 buf=0.256 prices=190.78
2026-01-28T14:50:00.000-05:00,[KLB] 14:50 ▲ BRK ORB H vol=1.7x pos=^67 O191.67 H192.26 L191.65 C192.06 ATR=5.11 rawVol=149281 volSMA=87671 buf=0.256 prices=191.96
2026-01-28T14:59:00.000-05:00,[KLB] CONF 14:59 ▲ BRK → ✗ (failed)
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H + Yest H vol=14.4x pos=^73 O191.34 H193.48 L191.2 C192.86 ATR=5.02 rawVol=506517 volSMA=35222 buf=0.251 prices=191.78/192.35
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L + ~ ORB L vol=14.4x pos=^73 O191.34 H193.48 L191.2 C192.86 ATR=5.02 rawVol=506517 volSMA=35222 buf=0.251 prices=189.84/191.2
2026-01-29T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✗ (failed)
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=7.3x pos=v88 O192.83 H192.89 L190.72 C190.99 ATR=5.02 rawVol=398849 volSMA=54431 buf=0.251 prices=191.2
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▼ ~~ ~~ PM H + ~~ Yest H vol=7.3x pos=v88 O192.83 H192.89 L190.72 C190.99 ATR=5.02 rawVol=398849 volSMA=54431 buf=0.251 prices=191.78/192.35
2026-01-29T09:47:00.000-05:00,[KLB] CONF 9:47 ▼ BRK → ✗ (failed)
2026-01-29T09:50:00.000-05:00,[KLB] 9:50 ▲ ~~ ~~ ORB L vol=3.7x pos=^85 O190.61 H191.94 L190.37 C191.7 ATR=5.02 rawVol=329849 volSMA=87993 buf=0.251 prices=191.2
2026-01-29T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK ORB L vol=2.1x pos=v87 O191.67 H192.08 L190.93 C191.08 ATR=5.02 rawVol=204784 volSMA=98108 buf=0.251 prices=191.2
2026-01-29T09:58:00.000-05:00,[KLB] CONF 9:58 ▼ BRK → ✗ (failed)
2026-01-29T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L + Yest L vol=3.8x pos=v65 O190.8 H190.85 L188.82 C189.53 ATR=5.02 rawVol=495535 volSMA=130813 buf=0.251 prices=190.2/189.84
2026-01-29T12:23:00.000-05:00,[KLB] 12:23 ▼ ◆ ◆²⁷ Yest L 1.3x v14 vol= pos= O188.73 H189.29 L188.73 C189.21 ATR=5.02 rawVol=216310 volSMA=160251 buf=0.251 prices=
2026-01-29T13:08:00.000-05:00,"[KLB] 13:08 ▼ ◆ ◆³⁶ PM L 1.2x v10
◆²⁷ Yest L 1.3x v14 vol= pos= O189.33 H190.34 L189.33 C190.24 ATR=5.02 rawVol=128148 volSMA=108209 buf=0.251 prices="
2026-01-29T13:11:00.000-05:00,[KLB] CONF 13:11 ▼ BRK → ✗ (failed)
2026-01-29T13:15:00.000-05:00,[KLB] 13:15 ▲ ~~ ~~ PM L vol=1.6x pos=^85 O190.22 H190.69 L190.21 C190.62 ATR=5.02 rawVol=166976 volSMA=105658 buf=0.251 prices=190.2
2026-01-29T15:20:00.000-05:00,[KLB] 15:20 ▲ ~~ ~~ Yest L vol=2.2x pos=^69 O191.11 H191.45 L191.1 C191.34 ATR=5.02 rawVol=153633 volSMA=73579 buf=0.251 prices=189.84
2026-01-29T15:40:00.000-05:00,[KLB] 15:40 ▲ ~~ ~~ ORB L vol=1.8x pos=^64 O191.21 H191.67 L191.08 C191.46 ATR=5.02 rawVol=152398 volSMA=84391 buf=0.251 prices=191.2
2026-01-29T15:45:00.000-05:00,[KLB] 15:45 ▼ BRK ORB L vol=1.5x pos=v89 O191.45 H191.59 L190.93 C191 ATR=5.02 rawVol=135029 volSMA=87600 buf=0.251 prices=191.2
2026-01-29T15:50:00.000-05:00,[KLB] CONF 15:50 ▼ BRK → ✗ (failed)
2026-01-29T15:55:00.000-05:00,[KLB] 15:55 ▲ ~~ ~~ ORB L vol=3.6x pos=^83 O191.13 H192 L191.13 C191.85 ATR=5.02 rawVol=389966 volSMA=107186 buf=0.251 prices=191.2
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=12.9x pos=^90 O191.26 H192.54 L190.92 C192.38 ATR=5.19 rawVol=489675 volSMA=37869 buf=0.26 prices=191.6
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L + ~ ORB L vol=12.9x pos=^90 O191.26 H192.54 L190.92 C192.38 ATR=5.19 rawVol=489675 volSMA=37869 buf=0.26 prices=186.06/190.92
2026-01-30T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ Yest H + ~ ORB H vol=4.8x pos=v67 O192.47 H192.98 L192.06 C192.36 ATR=5.19 rawVol=334620 volSMA=69040 buf=0.26 prices=193.48/192.54
2026-01-30T09:46:00.000-05:00,[KLB] 9:46 ▲ ◆ ◆² PM H 4.8x ^33 vol= pos= O192.47 H192.98 L192.06 C192.36 ATR=5.19 rawVol=334620 volSMA=69040 buf=0.26 prices=
2026-01-30T10:20:00.000-05:00,[KLB] 10:20 ▲ BRK ORB H vol=3x pos=^74 O192.25 H193.27 L192.18 C192.99 ATR=5.19 rawVol=455012 volSMA=153592 buf=0.26 prices=192.54
2026-01-30T10:20:00.000-05:00,[KLB] CONF 10:20 ▲ BRK → ✓ (auto-promote)
2026-01-30T10:26:00.000-05:00,[KLB] CONF 10:26 ▲ BRK → ✗ (failed)
2026-01-30T10:50:00.000-05:00,[KLB] 10:50 ▲ BRK Yest H vol=2.9x pos=^93 O193.21 H194.49 L192.99 C194.38 ATR=5.19 rawVol=709871 volSMA=246356 buf=0.26 prices=193.48
2026-01-30T11:00:00.000-05:00,[KLB] 11:00 ▲ ◆ ◆² Yest H 0.8x ^57 vol= pos= O193.73 H193.96 L193.33 C193.69 ATR=5.19 rawVol=215761 volSMA=266409 buf=0.26 prices=
2026-01-30T11:03:00.000-05:00,[KLB] CONF 11:03 ▲ BRK → ✗ (failed)
2026-01-30T15:35:00.000-05:00,[KLB] 15:35 ▲ BRK Week H vol=1.8x pos=^77 O189.83 H190.26 L189.79 C190.15 ATR=5.19 rawVol=208883 volSMA=117167 buf=0.26 prices=189.6
