Date,Message
2026-02-02T09:30:00.000-05:00,[KLB] 9:30 ▼ BRK Yest L vol=3.3x pos=v61 vwap=below ema=bear rs=-0.4% adx=20 body=61% ramp=1.8x rangeATR=3.4 ⚡ O422.9 H422.9 L419.82 C421.01 ATR=15.52 SL=422.56/423.34 rawVol=19222 volSMA=5825 buf=0.776 prices=422.7
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=16.4x pos=v89 vwap=below ema=bear rs=-1.7% adx=24 body=81% ramp=37.9x rangeATR=5.3 ⚡ ⚠ 🔊 O421.13 H421.68 L414.51 C415.32 ATR=15.52 SL=416.87/417.65 rawVol=506177 volSMA=30921 buf=0.776 prices=419.21
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=16.4x pos=v89 vwap=below ema=bear rs=-1.7% adx=24 body=81% ramp=37.9x rangeATR=5.3 ⚡ ⚠ 🔊 O421.13 H421.68 L414.51 C415.32 ATR=15.52 SL=416.87/417.65 rawVol=506177 volSMA=30921 buf=0.776 prices=
2026-02-02T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✓★ (auto-promote)
2026-02-02T09:40:00.000-05:00,[KLB] 5m CHECK 9:40 ▼ pnl=-0.13 → BAIL
2026-02-02T09:44:00.000-05:00,[KLB] 9:44 ▼ ◆ ◆¹⁰ PM L 1x v4 vol= pos= vwap=below ema=bear rs=-1.3% adx=28 body=68% ramp=53.3x rangeATR=2 🔊 O415.3 H417.95 L415 C417.3 ATR=15.52 SL=418.85/419.63 rawVol=269978 volSMA=44123 buf=0.776 prices=
2026-02-02T09:49:00.000-05:00,[KLB] CONF 9:49 ▼ BRK → ✗ (failed)
2026-02-02T09:50:00.000-05:00,"[KLB] 9:50 ▲ ~~ ~~ PM L
~ VWAP vol=3.5x pos=^95 vwap=above ema=bear rs=-0.8% adx=31 body=52% ramp=1.3x rangeATR=1.2 O418.82 H419.9 L417.98 C419.81 ATR=15.52 SL=418.26/417.48 rawVol=194419 volSMA=64534 buf=0.776 prices=419.21"
2026-02-02T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK PM L vol=2.1x pos=v96 vwap=below ema=bear rs=-1.4% adx=32 body=93% ramp=0.5x rangeATR=1.5 ⚠ O419.66 H419.75 L417.25 C417.34 ATR=15.52 SL=418.89/419.67 rawVol=168224 volSMA=79686 buf=0.776 prices=419.21
2026-02-02T10:02:00.000-05:00,[KLB] 10:02 ▼ ◆ ◆³ PM L 0.4x v11 vol= pos= vwap=below ema=bear rs=-1.4% adx=32 body=93% ramp=0.5x rangeATR=1.5 ⚠ O419.66 H419.75 L417.25 C417.34 ATR=15.52 SL=418.89/419.67 rawVol=168224 volSMA=79686 buf=0.776 prices=
2026-02-02T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✗ (failed)
2026-02-02T10:25:00.000-05:00,[KLB] 10:25 ▲ ~~ ~~ PM L vol=0.9x pos=^87 vwap=above ema=bear rs=-1.2% adx=36 body=67% ramp=0.6x rangeATR=0.7 O419.09 H420 L418.87 C419.85 ATR=15.52 SL=418.3/417.52 rawVol=70883 volSMA=104260 buf=0.776 prices=419.21
2026-02-02T10:40:00.000-05:00,[KLB] 10:40 ▲ ~~ ~~ PM L vol=0.9x pos=^90 vwap=above ema=bear rs=-0.8% adx=37 body=86% ramp=1x rangeATR=1.2 ⚠ O419.62 H421.67 L419.53 C421.46 ATR=15.52 SL=419.91/419.13 rawVol=103905 volSMA=116219 buf=0.776 prices=419.21
2026-02-02T11:10:00.000-05:00,[KLB] 11:10 ▲ ~~ ~~ PM L vol=0.6x pos=^96 vwap=above ema=bear rs=-1.1% adx=34 body=39% ramp=1.2x rangeATR=0.9 O419.4 H420.03 L418.56 C419.97 ATR=15.52 SL=418.42/417.64 rawVol=89884 volSMA=138287 buf=0.776 prices=419.21
