Date,Message
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▲ 🔊 MC ramp=54.8x vol=10.4x pos=^98 vwap=above ema=bear adx=24 body=77% rangeATR=2.6 ⚡ O247.94 H248.69 L247.74 C248.67 ATR=5.35
2025-09-29T09:45:00.000-04:00,[KLB] CONF 9:45 ▲ QBS/MC → ✓★ (auto-promote)
2025-09-29T09:50:00.000-04:00,[KLB] 9:50 ▲ BRK PM H + Yest H vol=6.6x pos=^99 vwap=above ema=bull rs=+1.1% adx=23 body=89% ramp=2.3x rangeATR=2.8 ⚡ ⚠ O249.54 H250.72 L249.41 C250.71 ATR=5.35 SL=250.18/249.91 rawVol=81114 volSMA=12232 buf=0.267 prices=249.49/249.42
2025-09-29T09:50:00.000-04:00,[KLB] 9:50 ▲ ~ ~ VWAP vol=6.6x pos=^99 vwap=above ema=bull rs=+1.1% adx=23 body=89% ramp=2.3x rangeATR=2.8 ⚡ ⚠ O249.54 H250.72 L249.41 C250.71 ATR=5.35 SL=250.18/249.91 rawVol=81114 volSMA=12232 buf=0.267 prices=
2025-09-29T09:50:00.000-04:00,[KLB] 5m CHECK 9:50 ▲ pnl=0.23 → HOLD
2025-09-29T10:00:00.000-04:00,"[KLB] 10:00 ▲ ◆ ◆³ PM H 3.4x ^36
◆³ Yest H 3.4x ^36 vol= pos= vwap=above ema=bull rs=+0.8% adx=23 body=95% ramp=1.4x rangeATR=2.1 ⚡ ⚠ O250.86 H250.89 L249.77 C249.8 ATR=5.35 SL=249.27/249 rawVol=58144 volSMA=18439 buf=0.267 prices="
2025-09-29T10:15:00.000-04:00,[KLB] CONF 10:15 ▲ BRK → ✗ (failed)
2025-09-29T10:20:00.000-04:00,[KLB] 10:20 ▼ ~~ ~~ PM H vol=1.2x pos=v91 vwap=below ema=bull rs=+0.6% adx=21 body=73% ramp=0.6x rangeATR=2.6 ⚡ O250.45 H250.77 L249.02 C249.17 ATR=5.35 SL=249.7/249.97 rawVol=31529 volSMA=27110 buf=0.267 prices=249.49
2025-09-29T11:10:00.000-04:00,[KLB] 11:10 ▼ ~~ ~~ ORB H vol=0.4x pos=v90 vwap=below ema=bear rs=+0% adx=21 body=45% ramp=0.8x rangeATR=0.8 O248.04 H248.23 L247.81 C247.85 ATR=5.35 SL=248.38/248.65 rawVol=15394 volSMA=36908 buf=0.267 prices=248.23
2025-09-29T11:30:00.000-04:00,[KLB] 11:30 ▼ ~~ ~~ ORB H vol=0.5x pos=v53 vwap=below ema=bear rs=+0.2% adx=22 body=47% ramp=0.9x rangeATR=0.9 O248.15 H248.18 L247.71 C247.93 ATR=5.35 SL=248.46/248.73 rawVol=15815 volSMA=29857 buf=0.267 prices=248.23
2025-09-29T13:20:00.000-04:00,[KLB] 13:20 ▼ BRK Yest L vol=2x pos=v61 vwap=below ema=bear rs=-0.6% adx=29 body=46% ramp=0.9x rangeATR=1.1 O246.02 H246.12 L245.43 C245.7 ATR=5.35 SL=246.23/246.5 rawVol=52923 volSMA=26562 buf=0.267 prices=245.97
2025-09-29T13:20:00.000-04:00,[KLB] 13:20 ▼ ◆ ◆¹ Yest L 1.2x v71 vol= pos= vwap=below ema=bear rs=-0.6% adx=29 body=46% ramp=0.9x rangeATR=1.1 O246.02 H246.12 L245.43 C245.7 ATR=5.35 SL=246.23/246.5 rawVol=52923 volSMA=26562 buf=0.267 prices=
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ 🔊 MC ramp=121.1x vol=10.4x pos=v83 vwap=below ema=bear adx=24 body=64% rangeATR=3.8 ⚡ O241.1 H241.53 L239.25 C239.63 ATR=5.57
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK Week L + ORB L vol=10.4x pos=v83 vwap=below ema=bear rs=-1.2% adx=24 body=64% ramp=121.1x rangeATR=3.8 ⚡ 🔊 O241.1 H241.53 L239.25 C239.63 ATR=5.57 SL=240.19/240.46 rawVol=174347 volSMA=16716 buf=0.278 prices=240.74/240.81
