Date,Message
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▲ 🔊 MC ramp=15.7x vol=15.4x pos=^81 vwap=above ema=bull adx=28 body=77% rangeATR=6.4 ⚡ O180.45 H182.82 L180.34 C182.36 ATR=5.36
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▲ BRK PM H vol=15.4x pos=^81 vwap=above ema=bull rs=+1.1% adx=28 body=77% ramp=15.7x rangeATR=6.4 ⚡ 🔊 O180.45 H182.82 L180.34 C182.36 ATR=5.36 SL=181.82/181.55 rawVol=1418381 volSMA=92136 buf=0.268 prices=180.5
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=15.4x pos=^81 vwap=above ema=bull rs=+1.1% adx=28 body=77% ramp=15.7x rangeATR=6.4 ⚡ 🔊 O180.45 H182.82 L180.34 C182.36 ATR=5.36 SL=181.82/181.55 rawVol=1418381 volSMA=92136 buf=0.268 prices=
2025-09-29T09:40:00.000-04:00,[KLB] CONF 9:40 ▲ QBS/MC → ✓★ (auto-promote)
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ BRK ORB H vol=7.1x pos=^92 vwap=above ema=bull rs=+1.8% adx=33 body=77% ramp=37.2x rangeATR=2.8 ⚡ 🔊 O182.52 H183.73 L182.3 C183.62 ATR=5.36 SL=183.08/182.82 rawVol=1720202 volSMA=243084 buf=0.268 prices=182.82
2025-09-29T09:45:00.000-04:00,[KLB] CONF 9:45 ▲ BRK → ✓★ (auto-promote)
2025-09-29T09:50:00.000-04:00,[KLB] 5m CHECK 9:50 ▲ pnl=-0.07 → BAIL
2025-09-29T09:50:00.000-04:00,[KLB] 9:50 ▲ ◆ ◆² ORB H 2x ^77 vol= pos= vwap=above ema=bull rs=+1.5% adx=36 body=51% ramp=2.7x rangeATR=1.5 O183.63 H184 L183.22 C183.24 ATR=5.36 SL=182.7/182.43 rawVol=1007340 volSMA=292715 buf=0.268 prices=
2025-09-29T11:20:00.000-04:00,[KLB] CONF 11:20 ▲ BRK → ✗ (failed)
2025-09-29T11:25:00.000-04:00,[KLB] 11:25 ▼ ~~ ~~ ORB H vol=0.9x pos=v89 vwap=below ema=bull rs=+1.3% adx=29 body=44% ramp=1x rangeATR=0.7 O182.77 H182.93 L182.57 C182.61 ATR=5.36 SL=183.15/183.41 rawVol=203922 volSMA=451964 buf=0.268 prices=182.82
2025-09-29T11:30:00.000-04:00,[KLB] 11:30 ▼ ~~ ~~ ORB H vol=0.6x pos=v69 vwap=below ema=bull rs=+1.2% adx=27 body=57% ramp=1x rangeATR=1 O182.62 H182.68 L182.17 C182.33 ATR=5.36 SL=182.87/183.13 rawVol=248012 volSMA=413997 buf=0.268 prices=182.82
2025-09-29T11:35:00.000-04:00,[KLB] 11:35 ▼ ~ ~ VWAP vol=0.6x pos=v75 vwap=below ema=bull rs=+1.1% adx=27 body=33% ramp=0.7x rangeATR=0.9 O182.32 H182.52 L182.04 C182.16 ATR=5.36 SL=182.7/182.96 rawVol=220075 volSMA=395724 buf=0.268 prices=
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ 🔊 MC ramp=9.7x vol=11.3x pos=v92 vwap=below ema=bull adx=28 body=40% rangeATR=4.1 ⚡ O182.08 H182.73 L181.48 C181.58 ATR=5.39
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ PM H + ~ Yest H vol=11.3x pos=v92 vwap=below ema=bull rs=-0.2% adx=28 body=40% ramp=9.7x rangeATR=4.1 ⚡ 🔊 O182.08 H182.73 L181.48 C181.58 ATR=5.39 SL=182.12/182.39 rawVol=378938 volSMA=33607 buf=0.27 prices=182.85/184
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▲ 🔊 MC ramp=19.7x vol=8x pos=^43 vwap=below ema=bull adx=29 body=38% rangeATR=3.3 ⚡ O181.56 H182.69 L181.5 C182.01 ATR=5.39
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ BRK PM H + ORB H vol=5.8x pos=^97 vwap=above ema=bull rs=+0.5% adx=27 body=91% ramp=24.6x rangeATR=2.8 ⚡ ⚠ 🔊 O182.01 H183.15 L181.94 C183.11 ATR=5.39 SL=182.57/182.3 rawVol=445905 volSMA=76801 buf=0.27 prices=182.85/182.73
