Date,Message
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=13x pos=^69 O252.87 H254.79 L252.38 C254.05 ATR=4.34 rawVol=180079 volSMA=13823 buf=0.217 prices=253.99
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=13x pos=^69 O252.87 H254.79 L252.38 C254.05 ATR=4.34 rawVol=180079 volSMA=13823 buf=0.217 prices=252.38
2026-01-20T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✗ (failed)
2026-01-20T09:40:00.000-05:00,[KLB] 9:40 ▼ ~~ ~~ PM H vol=5.8x pos=v64 O254.06 H254.16 L252.47 C253.07 ATR=4.34 rawVol=113331 volSMA=19430 buf=0.217 prices=253.99
2026-01-20T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK ORB L vol=3.9x pos=v74 O253.06 H253.2 L251.87 C252.22 ATR=4.34 rawVol=108450 volSMA=28022 buf=0.217 prices=252.38
2026-01-20T09:50:00.000-05:00,[KLB] CONF 9:50 ▼ BRK → ✗ (failed)
2026-01-20T10:00:00.000-05:00,[KLB] 10:00 ▲ ~~ ~~ ORB L vol=2.7x pos=^55 O252.34 H253 L252.01 C252.55 ATR=4.34 rawVol=98954 volSMA=36722 buf=0.217 prices=252.38
2026-01-20T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK ORB L vol=1.9x pos=v95 O252.5 H252.76 L251.49 C251.55 ATR=4.34 rawVol=77576 volSMA=40562 buf=0.217 prices=252.38
2026-01-20T11:55:00.000-05:00,[KLB] 11:55 ▼ BRK PM L vol=1.6x pos=v73 O250.84 H251.07 L250.36 C250.55 ATR=4.34 rawVol=62932 volSMA=39024 buf=0.217 prices=251.02
2026-01-20T11:55:00.000-05:00,[KLB] CONF 11:55 ▼ BRK → ✓ (auto-promote)
2026-01-20T11:56:00.000-05:00,[KLB] 11:56 ▼ ◆ ◆⁰ PM L 0.1x v10 vol= pos= O250.84 H251.07 L250.36 C250.55 ATR=4.34 rawVol=62932 volSMA=39024 buf=0.217 prices=
2026-01-20T11:58:00.000-05:00,[KLB] CONF 11:58 ▼ BRK → ✗ (failed)
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ PM H + ~ ORB H vol=15.9x pos=v79 O248.71 H248.71 L246.54 C247 ATR=4.89 rawVol=182605 volSMA=11506 buf=0.245 prices=248.79/248.71
2026-01-21T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ Yest L + ~ ORB L vol=3.1x pos=^79 O246.77 H247.47 L246.33 C247.23 ATR=4.89 rawVol=77747 volSMA=24784 buf=0.245 prices=243.42/246.54
2026-01-21T14:30:00.000-05:00,[KLB] 14:30 ▲ ~ ~ ORB L vol=5.5x pos=^86 O245.84 H247.33 L245.53 C247.08 ATR=4.89 rawVol=119418 volSMA=21720 buf=0.245 prices=246.54
2026-01-21T14:45:00.000-05:00,[KLB] 14:45 ▲ BRK PM H + ORB H vol=3.2x pos=^80 O248.53 H249.33 L248.28 C249.12 ATR=4.89 rawVol=100008 volSMA=31615 buf=0.245 prices=248.79/248.71
2026-01-21T15:20:00.000-05:00,[KLB] 15:20 ▲ ◆ ◆⁷ PM H 0.3x ^5 vol= pos= O250.37 H250.39 L249.24 C249.28 ATR=4.89 rawVol=83630 volSMA=76041 buf=0.245 prices=
2026-01-21T15:23:00.000-05:00,"[KLB] 15:23 ▲ ◆ ◆⁷ PM H 0.3x ^5
◆⁷ ORB H 0.2x ^42 vol= pos= O250.37 H250.39 L249.24 C249.28 ATR=4.89 rawVol=83630 volSMA=76041 buf=0.245 prices="
2026-01-21T15:29:00.000-05:00,[KLB] CONF 15:29 ▲ BRK → ✗ (failed)
2026-01-22T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=13.4x pos=^86 O249.14 H250.2 L248.78 C250 ATR=5 rawVol=113356 volSMA=8434 buf=0.25 prices=248.78/248.78
2026-01-22T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ PM H + ~ ORB H vol=8.2x pos=v67 O250 H250.78 L249.4 C249.85 ATR=5 rawVol=117954 volSMA=14305 buf=0.25 prices=250.6/250.2
2026-01-22T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L + ORB L vol=5x pos=v94 O249.71 H249.9 L248.39 C248.48 ATR=5 rawVol=128247 volSMA=25726 buf=0.25 prices=248.78/248.78
2026-01-22T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ Yest H vol=5x pos=v94 O249.71 H249.9 L248.39 C248.48 ATR=5 rawVol=128247 volSMA=25726 buf=0.25 prices=251.56
2026-01-22T09:50:00.000-05:00,"[KLB] 9:50 ▼ ◆ ◆⁰ PM L 0.7x v13
◆⁰ ORB L 0.7x v13 vol= pos= O249.71 H249.9 L248.39 C248.48 ATR=5 rawVol=128247 volSMA=25726 buf=0.25 prices="
2026-01-22T09:52:00.000-05:00,[KLB] CONF 9:52 ▼ BRK → ✗ (failed)
2026-01-22T10:00:00.000-05:00,[KLB] 10:00 ▲ ~~ ~~ PM L + ~~ ORB L vol=2.9x pos=^90 O248.83 H249.97 L248.61 C249.84 ATR=5 rawVol=78123 volSMA=34270 buf=0.25 prices=248.78/248.78
2026-01-22T13:30:00.000-05:00,[KLB] 13:30 ▲ BRK ORB H vol=1.5x pos=^67 O250.54 H250.8 L250.47 C250.69 ATR=5 rawVol=19363 volSMA=16724 buf=0.25 prices=250.2
2026-01-22T13:35:00.000-05:00,[KLB] 13:35 ▲ ◆ ◆¹ ORB H 0.1x ^73 vol= pos= O250.64 H250.66 L250.36 C250.36 ATR=5 rawVol=27958 volSMA=17561 buf=0.25 prices=
2026-01-22T14:15:00.000-05:00,[KLB] 14:15 ▲ BRK PM H vol=2.1x pos=^52 O250.72 H250.99 L250.66 C250.83 ATR=5 rawVol=43445 volSMA=20712 buf=0.25 prices=250.6
2026-01-22T14:15:00.000-05:00,[KLB] CONF 14:15 ▲ BRK → ✓ (auto-promote)
