Date,Message
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=13.5x pos=^91 O340.65 H342.12 L338.91 C341.83 ATR=9.56 rawVol=107969 volSMA=8018 buf=0.478 prices=338.91
2026-01-20T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK Yest L + ORB L vol=7.1x pos=v97 O341.83 H342 L337.6 C337.73 ATR=9.56 rawVol=85229 volSMA=12071 buf=0.478 prices=341.46/338.91
2026-01-20T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ PM H + ~ ORB H vol=7.1x pos=v97 O341.83 H342 L337.6 C337.73 ATR=9.56 rawVol=85229 volSMA=12071 buf=0.478 prices=341.71/342.12
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=13.4x pos=v99 O333.44 H333.66 L328.3 C328.35 ATR=9.99 rawVol=75542 volSMA=5626 buf=0.499 prices=329.8
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=13.4x pos=v99 O333.44 H333.66 L328.3 C328.35 ATR=9.99 rawVol=75542 volSMA=5626 buf=0.499 prices=333.66
2026-01-21T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=8.9x pos=v64 O328.26 H328.74 L327.42 C327.89 ATR=9.99 rawVol=59112 volSMA=8506 buf=0.499 prices=328.3
2026-01-21T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-promote)
2026-01-21T09:43:00.000-05:00,[KLB] CONF 9:43 ▼ BRK → ✗ (failed)
2026-01-21T09:45:00.000-05:00,[KLB] 9:45 ▲ ~~ ~~ ORB L vol=3.4x pos=^81 O327.9 H329.17 L327.18 C328.8 ATR=9.99 rawVol=34903 volSMA=10142 buf=0.499 prices=328.3
2026-01-21T14:30:00.000-05:00,[KLB] 14:30 ▲ ~~ ~~ ORB L vol=1.6x pos=^84 O327.83 H330.3 L327.7 C329.88 ATR=9.99 rawVol=10941 volSMA=6654 buf=0.499 prices=328.3
2026-01-21T14:35:00.000-05:00,[KLB] 14:35 ▲ ~~ ~~ PM L vol=2x pos=^79 O329.93 H330.6 L329.6 C330.39 ATR=9.99 rawVol=14019 volSMA=7118 buf=0.499 prices=329.8
2026-01-21T15:30:00.000-05:00,[KLB] 15:30 ▼ BRK PM L vol=1.6x pos=v100 O329.6 H329.6 L328.47 C328.47 ATR=9.99 rawVol=21465 volSMA=13806 buf=0.499 prices=329.8
2026-01-21T15:50:00.000-05:00,[KLB] 15:50 ▼ BRK ORB L vol=1.7x pos=v81 O328.2 H328.5 L327.26 C327.5 ATR=9.99 rawVol=27575 volSMA=16665 buf=0.499 prices=328.3
2026-01-21T15:50:00.000-05:00,[KLB] CONF 15:50 ▼ BRK → ✓ (auto-promote)
2026-01-22T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ PM H + ~ Yest H + ~ ORB H vol=15.3x pos=v44 O333.02 H333.56 L331.8 C332.78 ATR=9.84 rawVol=67116 volSMA=4394 buf=0.492 prices=333.46/333.64/333.56
