Date,Message
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=15.4x pos=^94 O226.28 H232.5 L225.41 C232.1 ATR=9.29 rawVol=238526 volSMA=15482 buf=0.465 prices=228.1
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L + ~ ORB L vol=15.4x pos=^94 O226.28 H232.5 L225.41 C232.1 ATR=9.29 rawVol=238526 volSMA=15482 buf=0.465 prices=228.86/225.41
2026-01-20T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Week H + ~ ORB H vol=7.5x pos=v45 O232.06 H232.5 L230.21 C231.48 ATR=9.29 rawVol=182411 volSMA=24462 buf=0.465 prices=238.35/232.5
2026-01-20T09:46:00.000-05:00,[KLB] 9:46 ▲ ◆ ◆² PM H 3.3x ^27 vol= pos= O231.45 H231.56 L228.78 C229.52 ATR=9.29 rawVol=96712 volSMA=29103 buf=0.465 prices=
2026-01-20T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK ORB H vol=2.9x pos=^68 O231.74 H233.88 L231.51 C233.13 ATR=9.29 rawVol=128743 volSMA=44622 buf=0.465 prices=232.5
2026-01-20T10:00:00.000-05:00,[KLB] CONF 10:00 ▲ BRK → ✓ (auto-promote)
2026-01-20T10:10:00.000-05:00,[KLB] 10:10 ▲ BRK Yest H vol=2.2x pos=^58 O234.22 H235.51 L234.14 C234.94 ATR=9.29 rawVol=127691 volSMA=57323 buf=0.465 prices=234.49
2026-01-20T10:10:00.000-05:00,[KLB] CONF 10:10 ▲ BRK → ✓ (auto-promote)
2026-01-20T10:18:00.000-05:00,[KLB] CONF 10:18 ▲ BRK → ✗ (failed)
2026-01-20T10:25:00.000-05:00,[KLB] 10:25 ▲ BRK Yest H vol=1.5x pos=^65 O233.94 H236.47 L233.46 C235.43 ATR=9.29 rawVol=106749 volSMA=69448 buf=0.465 prices=234.49
2026-01-20T12:49:00.000-05:00,[KLB] 12:49 ▲ ◆ ◆²⁸ Yest H 0.7x ^39 vol= pos= O235.72 H235.77 L235.36 C235.52 ATR=9.29 rawVol=27280 volSMA=40230 buf=0.465 prices=
2026-01-20T13:25:00.000-05:00,[KLB] CONF 13:25 ▲ BRK → ✗ (failed)
2026-01-20T15:55:00.000-05:00,[KLB] 15:55 ▼ ~~ ~ Week H + ~~ ORB H vol=3x pos=v68 O232.21 H232.65 L231.21 C231.67 ATR=9.29 rawVol=70830 volSMA=23811 buf=0.465 prices=238.35/232.5
2026-01-21T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ PM H vol=2.3x pos=v100 O237.74 H238.55 L235.91 C235.91 ATR=9.63 rawVol=11750 volSMA=5173 buf=0.482 prices=238.55
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H + Week H vol=15.7x pos=^44 O235.86 H242.12 L235.78 C238.57 ATR=9.63 rawVol=373283 volSMA=23795 buf=0.482 prices=238.55/238.35
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=15.7x pos=^44 O235.86 H242.12 L235.78 C238.57 ATR=9.63 rawVol=373283 volSMA=23795 buf=0.482 prices=235.78
2026-01-21T09:35:00.000-05:00,[KLB] CONF 9:35 ▲ BRK → ✗ (failed)
2026-01-21T09:50:00.000-05:00,[KLB] 9:50 ▲ BRK Yest H vol=2.9x pos=^95 O239.81 H241.38 L239.46 C241.28 ATR=9.63 rawVol=130504 volSMA=44476 buf=0.482 prices=239.5
2026-01-21T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK ORB H vol=3x pos=^98 O241.27 H242.65 L240.64 C242.6 ATR=9.63 rawVol=159399 volSMA=52296 buf=0.482 prices=242.12
2026-01-21T09:55:00.000-05:00,[KLB] CONF 9:55 ▲ BRK → ✓ (auto-promote)
2026-01-22T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=13.6x pos=v91 O251.78 H251.78 L249.56 C249.77 ATR=10.44 rawVol=251337 volSMA=18482 buf=0.522 prices=251.25
2026-01-22T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ Yest H + ~ ORB H vol=13.6x pos=v91 O251.78 H251.78 L249.56 C249.77 ATR=10.44 rawVol=251337 volSMA=18482 buf=0.522 prices=252.9/251.78
2026-01-22T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK ORB L vol=5.1x pos=v60 O249.81 H250.27 L246.68 C248.1 ATR=10.44 rawVol=170617 volSMA=33490 buf=0.522 prices=249.56
2026-01-22T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-promote)
2026-01-22T09:53:00.000-05:00,[KLB] CONF 9:53 ▼ BRK → ✗ (failed)
2026-01-22T09:55:00.000-05:00,[KLB] 9:55 ▲ ~~ ~~ ORB L vol=3.6x pos=^93 O248.8 H251.38 L247.74 C251.13 ATR=10.44 rawVol=159579 volSMA=44720 buf=0.522 prices=249.56
2026-01-22T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK ORB L vol=2.4x pos=v75 O250.84 H252 L248.55 C249.4 ATR=10.44 rawVol=132390 volSMA=56053 buf=0.522 prices=249.56
2026-01-22T10:06:00.000-05:00,[KLB] CONF 10:06 ▼ BRK → ✗ (failed)
2026-01-22T11:50:00.000-05:00,[KLB] 11:50 ▲ BRK Yest H vol=1.9x pos=^88 O254.08 H255.44 L253.96 C255.26 ATR=10.44 rawVol=87523 volSMA=46594 buf=0.522 prices=252.9
2026-01-22T11:55:00.000-05:00,[KLB] 11:55 ▼ ~ ~ PM H vol=1.9x pos=v91 O255.27 H256.08 L255.12 C255.21 ATR=10.44 rawVol=95250 volSMA=48866 buf=0.522 prices=256.34
2026-01-22T13:38:00.000-05:00,[KLB] 13:38 ▲ ◆ ◆²¹ Yest H 0.8x ^43 vol= pos= O253.93 H254.42 L253.91 C254.13 ATR=10.44 rawVol=23957 volSMA=30905 buf=0.522 prices=
2026-01-23T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=15.3x pos=^20 O261.21 H266.96 L261.15 C262.32 ATR=10.37 rawVol=469632 volSMA=30701 buf=0.519 prices=261.15
2026-01-23T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=5.5x pos=v77 O262.24 H263.03 L258.07 C259.2 ATR=10.37 rawVol=227151 volSMA=41632 buf=0.519 prices=261.15
2026-01-23T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ PM H vol=5.5x pos=v77 O262.24 H263.03 L258.07 C259.2 ATR=10.37 rawVol=227151 volSMA=41632 buf=0.519 prices=262.49
2026-01-23T09:42:00.000-05:00,[KLB] CONF 9:42 ▼ BRK → ✗ (failed)
2026-01-23T09:45:00.000-05:00,[KLB] 9:45 ▲ ~~ ~~ ORB L vol=3.3x pos=^97 O258.99 H263 L258.8 C262.89 ATR=10.37 rawVol=161566 volSMA=49507 buf=0.519 prices=261.15
2026-01-23T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK PM H vol=2.8x pos=^21 O262.35 H264.78 L262.35 C262.85 ATR=10.37 rawVol=188358 volSMA=67651 buf=0.519 prices=262.49
2026-01-23T09:56:00.000-05:00,[KLB] CONF 9:56 ▲ BRK → ✗ (failed)
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK Yest L vol=13.5x pos=v78 O256.72 H258.2 L253.35 C254.4 ATR=10.58 rawVol=148582 volSMA=11001 buf=0.529 prices=256.25
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=13.5x pos=v78 O256.72 H258.2 L253.35 C254.4 ATR=10.58 rawVol=148582 volSMA=11001 buf=0.529 prices=258.2
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ PM L + ~ ORB L vol=5.7x pos=^59 O253.51 H254.54 L252.66 C253.77 ATR=10.58 rawVol=113753 volSMA=19986 buf=0.529 prices=253.33/253.35
2026-01-26T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L + ORB L vol=3.4x pos=v89 O253.73 H254.34 L251.9 C252.18 ATR=10.58 rawVol=81447 volSMA=23734 buf=0.529 prices=253.33/253.35
2026-01-26T09:50:00.000-05:00,[KLB] CONF 9:50 ▼ BRK → ✓ (auto-promote)
2026-01-26T09:57:00.000-05:00,[KLB] CONF 9:57 ▼ BRK → ✗ (failed)
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ ~~ ~~ PM L + ~~ ORB L vol=3.3x pos=^90 O252.26 H254.38 L252.26 C254.17 ATR=10.58 rawVol=87892 volSMA=32940 buf=0.529 prices=253.33/253.35
2026-01-26T10:10:00.000-05:00,[KLB] 10:10 ▼ BRK PM L + ORB L vol=2.3x pos=v70 O253.22 H253.66 L252.51 C252.86 ATR=10.58 rawVol=90252 volSMA=39412 buf=0.529 prices=253.33/253.35
2026-01-26T10:52:00.000-05:00,"[KLB] 10:52 ▼ ◆ ◆⁸ PM L 1x v13
◆⁸ ORB L 1x v13 vol= pos= O250.99 H252.61 L250.93 C252.4 ATR=10.58 rawVol=60118 volSMA=63131 buf=0.529 prices="
2026-01-26T10:57:00.000-05:00,[KLB] CONF 10:57 ▼ BRK → ✗ (failed)
2026-01-26T13:35:00.000-05:00,[KLB] 13:35 ▲ ~~ ~~ PM L + ~~ ORB L vol=2.7x pos=^93 O252.97 H254.15 L252.93 C254.07 ATR=10.58 rawVol=54490 volSMA=19906 buf=0.529 prices=253.33/253.35
2026-01-26T13:55:00.000-05:00,[KLB] 13:55 ▼ BRK PM L + ORB L vol=2.3x pos=v91 O253.68 H253.96 L252.58 C252.71 ATR=10.58 rawVol=47654 volSMA=20378 buf=0.529 prices=253.33/253.35
2026-01-26T14:05:00.000-05:00,"[KLB] 14:05 ▼ ◆ ◆² PM L 1x v15
◆² ORB L 1x v15 vol= pos= O253.1 H253.2 L252.93 C253.16 ATR=10.58 rawVol=22087 volSMA=21199 buf=0.529 prices="
2026-01-27T09:30:00.000-05:00,[KLB] 9:30 ▲ ~ ~ PM L vol=1.6x pos=^94 O251.96 H252.19 L251.66 C252.16 ATR=10.49 rawVol=3460 volSMA=2130 buf=0.525 prices=251.5
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=15.4x pos=v98 O252.16 H253.01 L249.81 C249.89 ATR=10.49 rawVol=138627 volSMA=8992 buf=0.525 prices=251.5
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=15.4x pos=v98 O252.16 H253.01 L249.81 C249.89 ATR=10.49 rawVol=138627 volSMA=8992 buf=0.525 prices=253.01
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK Yest L + ORB L vol=8.8x pos=v63 O250 H251.06 L247.98 C249.13 ATR=10.49 rawVol=139609 volSMA=15937 buf=0.525 prices=250.3/249.81
2026-01-27T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-promote)
2026-01-27T09:41:00.000-05:00,[KLB] CONF 9:41 ▼ BRK → ✗ (failed)
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▲ ~~ ~~ ORB L vol=3.8x pos=^58 O249.16 H251.46 L249.07 C250.46 ATR=10.49 rawVol=74270 volSMA=19621 buf=0.525 prices=249.81
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ ~~ ~~ Yest L vol=3.3x pos=^100 O250.49 H251.75 L250.49 C251.75 ATR=10.49 rawVol=52538 volSMA=22181 buf=0.525 prices=250.3
2026-01-27T09:55:00.000-05:00,[KLB] 9:55 ▲ ~~ ~~ PM L vol=3.2x pos=^62 O251.76 H253.42 L251.46 C252.67 ATR=10.49 rawVol=85133 volSMA=26406 buf=0.525 prices=251.5
2026-01-27T10:05:00.000-05:00,[KLB] 10:05 ▲ BRK ORB H vol=1.9x pos=^91 O252.91 H253.91 L251.97 C253.74 ATR=10.49 rawVol=57435 volSMA=31906 buf=0.525 prices=253.01
2026-01-27T10:15:00.000-05:00,[KLB] 10:15 ▼ ~ ~ PM H vol=1.9x pos=v73 O254.99 H255.55 L253.69 C254.2 ATR=10.49 rawVol=77711 volSMA=40450 buf=0.525 prices=254.9
2026-01-27T10:18:00.000-05:00,[KLB] 10:18 ▲ ◆ ◆² ORB H 2.4x ^27 vol= pos= O254.99 H255.55 L253.69 C254.2 ATR=10.49 rawVol=77711 volSMA=40450 buf=0.525 prices=
2026-01-27T10:52:00.000-05:00,[KLB] CONF 10:52 ▲ BRK → ✗ (failed)
2026-01-27T13:15:00.000-05:00,[KLB] 13:15 ▼ BRK PM L vol=2.5x pos=v84 O251.27 H251.49 L250.82 C250.93 ATR=10.49 rawVol=39141 volSMA=15750 buf=0.525 prices=251.5
2026-01-27T13:35:00.000-05:00,[KLB] 13:35 ▼ ◆ ◆⁴ PM L 0.9x v4 vol= pos= O250.7 H251.12 L250.59 C251.1 ATR=10.49 rawVol=14337 volSMA=15429 buf=0.525 prices=
2026-01-27T15:15:00.000-05:00,[KLB] 15:15 ▲ ~~ ~~ Yest L vol=1.9x pos=^53 O251.04 H251.87 L250.83 C251.38 ATR=10.49 rawVol=33525 volSMA=17745 buf=0.525 prices=250.3
2026-01-27T15:19:00.000-05:00,[KLB] CONF 15:19 ▼ BRK → ✗ (failed)
2026-01-27T15:20:00.000-05:00,[KLB] 15:20 ▲ ~~ ~~ PM L vol=1.9x pos=^92 O251.37 H251.91 L251.27 C251.86 ATR=10.49 rawVol=19982 volSMA=17907 buf=0.525 prices=251.5
2026-01-27T15:55:00.000-05:00,[KLB] 15:55 ▼ BRK PM L vol=1.8x pos=v92 O251.74 H251.77 L250.94 C251.01 ATR=10.49 rawVol=38176 volSMA=21015 buf=0.525 prices=251.5
2026-01-27T15:56:00.000-05:00,[KLB] CONF 15:56 ▼ BRK → ✗ (failed)
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=14.1x pos=^32 O254.13 H256.45 L253.84 C254.68 ATR=10.28 rawVol=129694 volSMA=9174 buf=0.514 prices=254.02/253.84
2026-01-28T09:45:00.000-05:00,[KLB] 9:45 ▲ BRK Yest H + ORB H vol=5.7x pos=^80 O255.99 H257.42 L254.9 C256.91 ATR=10.28 rawVol=110910 volSMA=19549 buf=0.514 prices=255.55/256.45
2026-01-28T09:48:00.000-05:00,[KLB] CONF 9:48 ▲ BRK → ✗ (failed)
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ~~ ~~ ORB H vol=3x pos=v55 O256.98 H257.02 L254.82 C255.81 ATR=10.28 rawVol=68589 volSMA=22865 buf=0.514 prices=256.45
2026-01-28T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK ORB H vol=2.2x pos=^71 O255.82 H257.1 L255.7 C256.7 ATR=10.28 rawVol=54675 volSMA=25335 buf=0.514 prices=256.45
2026-01-28T09:55:00.000-05:00,[KLB] CONF 9:55 ▲ BRK → ✗ (failed)
2026-01-28T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK PM L vol=1.6x pos=v66 O253.9 H254.5 L253.5 C253.84 ATR=10.28 rawVol=33060 volSMA=34488 buf=0.514 prices=254.02
2026-01-28T10:16:00.000-05:00,[KLB] CONF 10:16 ▼ BRK → ✗ (failed)
2026-01-28T10:30:00.000-05:00,[KLB] 10:30 ▼ BRK ORB L vol=1.6x pos=v81 O253.58 H253.69 L252.7 C252.89 ATR=10.28 rawVol=66500 volSMA=41402 buf=0.514 prices=253.84
2026-01-28T11:16:00.000-05:00,[KLB] 11:16 ▼ ◆ ◆⁹ ORB L 0.9x v42 vol= pos= O252.97 H253.29 L252.72 C253.05 ATR=10.28 rawVol=40426 volSMA=46369 buf=0.514 prices=
2026-01-28T12:20:00.000-05:00,[KLB] 12:20 ▲ ~ ~ Yest L vol=2x pos=^63 O252.21 H252.38 L252 C252.24 ATR=10.28 rawVol=44210 volSMA=21722 buf=0.514 prices=247.96
2026-01-28T14:40:00.000-05:00,[KLB] 14:40 ▼ ~~ ~~ Yest H vol=2.4x pos=v100 O252.07 H253.32 L251.89 C251.89 ATR=10.28 rawVol=51243 volSMA=21419 buf=0.514 prices=255.55
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H + Yest H vol=17.3x pos=^79 O254.67 H260.5 L254.01 C259.11 ATR=10.06 rawVol=218318 volSMA=12624 buf=0.503 prices=255.71/257.4
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=17.3x pos=^79 O254.67 H260.5 L254.01 C259.11 ATR=10.06 rawVol=218318 volSMA=12624 buf=0.503 prices=254.01
2026-01-29T09:37:00.000-05:00,[KLB] CONF 9:37 ▲ BRK → ✗ (failed)
2026-01-29T09:45:00.000-05:00,[KLB] 9:45 ▼ ~~ ~~ PM H vol=5.4x pos=v67 O256.13 H256.13 L253.49 C254.35 ATR=10.06 rawVol=124014 volSMA=25730 buf=0.503 prices=255.71
2026-01-29T09:50:00.000-05:00,[KLB] 9:50 ▲ BRK PM H vol=3.2x pos=^97 O254.25 H256.7 L253.3 C256.6 ATR=10.06 rawVol=96377 volSMA=30527 buf=0.503 prices=255.71
2026-01-29T09:50:00.000-05:00,[KLB] CONF 9:50 ▲ BRK → ✗ (failed)
2026-01-29T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK ORB L vol=3.1x pos=v87 O256.54 H256.7 L252.46 C253 ATR=10.06 rawVol=110713 volSMA=35925 buf=0.503 prices=254.01
2026-01-29T09:55:00.000-05:00,[KLB] 9:55 ▼ ~~ ~~ PM H + ~~ Yest H vol=3.1x pos=v87 O256.54 H256.7 L252.46 C253 ATR=10.06 rawVol=110713 volSMA=35925 buf=0.503 prices=255.71/257.4
2026-01-29T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L vol=2.1x pos=v62 O252.84 H252.97 L250.61 C251.5 ATR=10.06 rawVol=91087 volSMA=43251 buf=0.503 prices=252.01
2026-01-29T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✓ (auto-promote)
2026-01-29T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK Yest L vol=2x pos=v94 O250.29 H251.03 L248 C248.17 ATR=10.06 rawVol=104489 volSMA=51382 buf=0.503 prices=250.21
2026-01-29T10:15:00.000-05:00,[KLB] CONF 10:15 ▼ BRK → ✓ (auto-promote)
2026-01-29T15:37:00.000-05:00,[KLB] 15:37 ▼ ◆ ◆⁶⁴ Yest L 2.5x v8 vol= pos= O248.61 H249.06 L248.43 C249.01 ATR=10.06 rawVol=44937 volSMA=17680 buf=0.503 prices=
2026-01-29T15:50:00.000-05:00,[KLB] CONF 15:50 ▼ BRK → ✗ (failed)
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=9.3x pos=^84 O236.93 H242.3 L235.75 C241.24 ATR=10.75 rawVol=244810 volSMA=26265 buf=0.537 prices=235.5/235.75
2026-01-30T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=7.4x pos=^94 O241.14 H244.61 L240.71 C244.37 ATR=10.75 rawVol=137917 volSMA=33103 buf=0.537 prices=242.3
2026-01-30T09:59:00.000-05:00,[KLB] CONF 9:59 ▲ BRK → ✗ (failed)
2026-01-30T10:00:00.000-05:00,[KLB] 10:00 ▼ ~~ ~~ ORB H vol=2.2x pos=v94 O243.98 H245.21 L241.3 C241.53 ATR=10.75 rawVol=107577 volSMA=48436 buf=0.537 prices=242.3
2026-01-30T12:10:00.000-05:00,[KLB] 12:10 ▼ BRK Yest L vol=1.6x pos=v74 O240.07 H240.43 L239.3 C239.59 ATR=10.75 rawVol=54807 volSMA=33761 buf=0.537 prices=240.91
2026-01-30T12:22:00.000-05:00,[KLB] 12:22 ▼ ◆ ◆² Yest L 0.6x v44 vol= pos= O239.6 H240 L239.5 C239.78 ATR=10.75 rawVol=19031 volSMA=31060 buf=0.537 prices=
2026-01-30T12:26:00.000-05:00,[KLB] CONF 12:26 ▼ BRK → ✗ (failed)
2026-01-30T15:30:00.000-05:00,[KLB] 15:30 ▼ BRK ORB L vol=3.2x pos=v68 O236.15 H236.41 L235.15 C235.55 ATR=10.75 rawVol=110792 volSMA=34897 buf=0.537 prices=235.75
2026-01-30T15:35:00.000-05:00,[KLB] 15:35 ▼ BRK PM L vol=2.9x pos=v72 O235.53 H236.03 L234.96 C235.26 ATR=10.75 rawVol=87323 volSMA=37735 buf=0.537 prices=235.5
2026-01-30T15:35:00.000-05:00,[KLB] CONF 15:35 ▼ BRK → ✓ (auto-promote)
2026-01-30T15:44:00.000-05:00,[KLB] CONF 15:44 ▼ BRK → ✗ (failed)
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=13.7x pos=^100 O235.62 H241.54 L235 C241.54 ATR=11.24 rawVol=193437 volSMA=14097 buf=0.562 prices=237.67
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L + ~ Week L + ~ ORB L vol=13.7x pos=^100 O235.62 H241.54 L235 C241.54 ATR=11.24 rawVol=193437 volSMA=14097 buf=0.562 prices=234.55/234.55/235
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=8.2x pos=^96 O241.52 H244.09 L239.97 C243.94 ATR=11.24 rawVol=194579 volSMA=23736 buf=0.562 prices=241.54
2026-02-02T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-promote)
2026-02-02T10:05:00.000-05:00,[KLB] 10:05 ▲ BRK Yest H vol=2.7x pos=^100 O244.55 H245.9 L244.5 C245.9 ATR=11.24 rawVol=127668 volSMA=47078 buf=0.562 prices=245.24
2026-02-02T10:05:00.000-05:00,[KLB] CONF 10:05 ▲ BRK → ✓ (auto-promote)
2026-02-02T15:39:00.000-05:00,[KLB] 15:39 ▲ ◆ ◆⁶⁶ Yest H 2.7x ^3 vol= pos= O246.85 H246.85 L245.88 C245.91 ATR=11.24 rawVol=93686 volSMA=34400 buf=0.562 prices=
2026-02-03T09:30:00.000-05:00,[KLB] 9:30 ▲ BRK Yest H vol=1.8x pos=^64 O250.42 H251.94 L250.42 C251.4 ATR=11.5 rawVol=9305 volSMA=5175 buf=0.575 prices=249.97
2026-02-03T09:34:00.000-05:00,[KLB] CONF 9:34 ▲ BRK → ✗ (failed)
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14.7x pos=v85 O251.55 H252.65 L248.8 C249.37 ATR=11.5 rawVol=286486 volSMA=19446 buf=0.575 prices=250
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ PM H + ~ ORB H vol=14.7x pos=v85 O251.55 H252.65 L248.8 C249.37 ATR=11.5 rawVol=286486 volSMA=19446 buf=0.575 prices=252.52/252.65
2026-02-03T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✗ (failed)
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=11x pos=v89 O249.56 H250.77 L247.64 C247.97 ATR=11.5 rawVol=136716 volSMA=26067 buf=0.575 prices=248.8
2026-02-03T09:45:00.000-05:00,[KLB] 9:45 ▼ ~~ ~~ Yest H vol=4.3x pos=v82 O247.89 H248.58 L245.54 C246.08 ATR=11.5 rawVol=119092 volSMA=31736 buf=0.575 prices=249.97
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=11.6x pos=v84 O214.92 H218.54 L210.16 C211.54 ATR=11.8 rawVol=649347 volSMA=55952 buf=0.59 prices=213.94
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=11.6x pos=v84 O214.92 H218.54 L210.16 C211.54 ATR=11.8 rawVol=649347 volSMA=55952 buf=0.59 prices=218.54
2026-02-04T09:38:00.000-05:00,[KLB] CONF 9:38 ▼ BRK → ✗ (failed)
2026-02-04T09:40:00.000-05:00,[KLB] 9:40 ▲ ~~ ~~ PM L + ~ ORB L vol=6.3x pos=^88 O211.64 H216.21 L209.78 C215.42 ATR=11.8 rawVol=509050 volSMA=80918 buf=0.59 prices=213.94/210.16
2026-02-04T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK PM L vol=2.4x pos=v98 O215.39 H215.39 L211.42 C211.5 ATR=11.8 rawVol=218673 volSMA=91392 buf=0.59 prices=213.94
2026-02-04T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK ORB L vol=3.3x pos=v79 O211.42 H211.83 L209.33 C209.85 ATR=11.8 rawVol=351933 volSMA=108202 buf=0.59 prices=210.16
2026-02-04T09:50:00.000-05:00,[KLB] CONF 9:50 ▼ BRK → ✓ (auto-promote)
2026-02-05T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=12.1x pos=v20 O201.71 H201.99 L196.71 C200.91 ATR=14.02 rawVol=310065 volSMA=25526 buf=0.701 prices=201.99
2026-02-05T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=5.8x pos=^80 O200.77 H203.35 L197.86 C202.23 ATR=14.02 rawVol=201652 volSMA=35028 buf=0.701 prices=201.99
2026-02-05T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ Yest L vol=5.8x pos=^80 O200.77 H203.35 L197.86 C202.23 ATR=14.02 rawVol=201652 volSMA=35028 buf=0.701 prices=199.15
2026-02-05T09:41:00.000-05:00,[KLB] CONF 9:41 ▲ BRK → ✗ (failed)
2026-02-05T09:50:00.000-05:00,[KLB] 9:50 ▲ BRK ORB H vol=2.6x pos=^75 O201.11 H203.93 L200.87 C203.18 ATR=14.02 rawVol=123490 volSMA=47172 buf=0.701 prices=201.99
2026-02-05T09:55:00.000-05:00,[KLB] CONF 9:55 ▲ BRK → ✗ (failed)
