Date,Message
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=8.4x pos=^85 vwap=above ema=bull rs=0% adx=23 body=79% ramp=15.6x rangeATR=1.6 🔊 O623.68 H624.35 L623.64 C624.24 ATR=8.29 SL=623.41/623 rawVol=83765 volSMA=17168 buf=0.415 prices=623.83
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ ◆ ◆¹ ORB H 1.6x ^98 vol= pos= vwap=above ema=bull rs=0% adx=23 body=79% ramp=15.6x rangeATR=1.6 🔊 O623.68 H624.35 L623.64 C624.24 ATR=8.29 SL=623.41/623 rawVol=83765 volSMA=17168 buf=0.415 prices=
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ VWAP vol=6.3x pos=^83 vwap=above ema=bull rs=+0% adx=26 body=43% ramp=26.3x rangeATR=2.7 ⚡ 🔊 O624.23 H625.07 L623.68 C624.83 ATR=8.29 SL=624/623.59 rawVol=157354 volSMA=24872 buf=0.415 prices=
2026-01-26T10:20:00.000-05:00,[KLB] 10:20 ▲ BRK Yest H + Week H vol=1.6x pos=^93 vwap=above ema=bull rs=+0.1% adx=40 body=68% ramp=1.2x rangeATR=1.7 O625.37 H626.15 L625.1 C626.08 ATR=8.29 SL=625.25/624.84 rawVol=76936 volSMA=47639 buf=0.415 prices=625.4/625.4
2026-01-26T10:20:00.000-05:00,[KLB] CONF 10:20 ▲ BRK → ✓ (auto-promote)
2026-01-26T10:25:00.000-05:00,[KLB] 5m CHECK 10:25 ▲ pnl=0.03 → BAIL
2026-01-26T10:27:00.000-05:00,"[KLB] 10:27 ▲ ◆ ◆⁸ Yest H 0.3x ^68
◆⁸ Week H 0.3x ^68 vol= pos= vwap=above ema=bull rs=+0.1% adx=41 body=60% ramp=1x rangeATR=0.6 O626.09 H626.44 L626.09 C626.3 ATR=8.29 SL=625.47/625.06 rawVol=46299 volSMA=49642 buf=0.415 prices="
2026-01-28T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ PM L vol=4.3x pos=^87 vwap=above ema=bear rs=+0% adx=21 body=87% ramp=20.2x rangeATR=2.2 ⚡ ⚠ 🔊 O635.26 H636.41 L635.26 C636.26 ATR=7.99 SL=635.46/635.06 rawVol=129581 volSMA=29939 buf=0.399 prices=635.03
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ ORB H vol=2.9x pos=v72 vwap=below ema=bear rs=0% adx=20 body=54% ramp=1.5x rangeATR=2.8 ⚡ O636.29 H636.6 L634.92 C635.39 ATR=7.99 SL=636.19/636.59 rawVol=99622 volSMA=34736 buf=0.399 prices=636.32
2026-01-28T10:45:00.000-05:00,[KLB] 10:45 ▼ ~ ~ VWAP vol=0.5x pos=v94 vwap=below ema=bear rs=-0.1% adx=20 body=91% ramp=0.8x rangeATR=1.4 ⚠ O634.77 H634.8 L633.76 C633.82 ATR=7.99 SL=634.62/635.02 rawVol=37680 volSMA=71935 buf=0.399 prices=
2026-01-28T14:50:00.000-05:00,[KLB] 14:50 ▲ 🔇 QBS ramp=0.5x vol=1.2x pos=^78 vwap=below ema=bear adx=21 body=74% rangeATR=1.7 O632.92 H634.15 L632.86 C633.87 ATR=7.99
2026-01-28T14:55:00.000-05:00,[KLB] CONF 14:55 ▲ QBS/MC → ✓ (auto-promote)
2026-01-28T15:00:00.000-05:00,[KLB] 5m CHECK 15:00 ▲ pnl=-0.13 → BAIL
2026-01-29T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ VWAP vol=1.4x pos=v100 vwap=below ema=bear rs=+0.1% adx=30 body=98% ramp=1x rangeATR=1.4 ⚠ O633.26 H633.27 L632.7 C632.7 ATR=7.81 SL=633.48/633.87 rawVol=9964 volSMA=7309 buf=0.39 prices=
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=13.4x pos=v85 vwap=below ema=bear rs=-0.1% adx=33 body=38% ramp=7.9x rangeATR=4.1 ⚡ 🔊 O632.65 H633.68 L631.48 C631.81 ATR=7.81 SL=632.59/632.98 rawVol=285371 volSMA=21243 buf=0.39 prices=632.7
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK Yest L + ORB L vol=8.9x pos=v73 vwap=below ema=bear rs=-0.2% adx=36 body=72% ramp=15.3x rangeATR=3.5 ⚡ 🔊 O631.82 H631.85 L629.55 C630.17 ATR=7.81 SL=630.95/631.34 rawVol=219677 volSMA=32072 buf=0.39 prices=631.81/631.48
2026-01-29T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-promote)
2026-01-29T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▼ pnl=0.25 → HOLD
2026-01-29T10:05:00.000-05:00,[KLB] 10:05 ▼ ~ ~ Week H vol=3.4x pos=v61 vwap=below ema=bear rs=-0.4% adx=52 body=56% ramp=0.9x rangeATR=2.3 ⚡ O626.11 H626.25 L623.52 C624.58 ATR=7.81 SL=625.36/625.75 rawVol=263634 volSMA=77214 buf=0.39 prices=625.4
2026-01-29T10:15:00.000-05:00,[KLB] 10:15 ▼ ~ ~ Week H vol=1.9x pos=v99 vwap=below ema=bear rs=-0.5% adx=58 body=61% ramp=1.2x rangeATR=2 ⚡ O624.3 H625.27 L622.7 C622.73 ATR=7.81 SL=623.51/623.9 rawVol=180727 volSMA=93444 buf=0.39 prices=625.4
2026-01-29T10:30:00.000-05:00,[KLB] 10:30 ▼ ~ ~ Week H vol=0.9x pos=v90 vwap=below ema=bear rs=-0.4% adx=62 body=60% ramp=0.6x rangeATR=1.6 O624.49 H625.17 L622.88 C623.12 ATR=7.81 SL=623.9/624.29 rawVol=103056 volSMA=111507 buf=0.39 prices=625.4
2026-01-29T12:25:00.000-05:00,[KLB] 12:25 ▲ ~ ~ VWAP vol=0.9x pos=^84 vwap=above ema=bear rs=-0.3% adx=36 body=76% ramp=1.4x rangeATR=0.9 O624.94 H625.93 L624.85 C625.76 ATR=7.81 SL=624.98/624.59 rawVol=97606 volSMA=110026 buf=0.39 prices=
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=13.6x pos=^76 vwap=above ema=bull rs=+0.1% adx=23 body=75% ramp=13.6x rangeATR=4.5 ⚡ 🔊 O618.7 H621.76 L618.66 C621.02 ATR=8.48 SL=620.17/619.75 rawVol=314344 volSMA=23101 buf=0.424 prices=618.8
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=13.6x pos=^76 vwap=above ema=bull rs=+0.1% adx=23 body=75% ramp=13.6x rangeATR=4.5 ⚡ 🔊 O618.7 H621.76 L618.66 C621.02 ATR=8.48 SL=620.17/619.75 rawVol=314344 volSMA=23101 buf=0.424 prices=
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=10.1x pos=^76 vwap=above ema=bull rs=+0.3% adx=26 body=57% ramp=19.9x rangeATR=3 ⚡ 🔊 O621.05 H623.02 L620.6 C622.43 ATR=8.48 SL=621.58/621.16 rawVol=169868 volSMA=31251 buf=0.424 prices=621.76
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ Yest L vol=10.1x pos=^76 vwap=above ema=bull rs=+0.3% adx=26 body=57% ramp=19.9x rangeATR=3 ⚡ 🔊 O621.05 H623.02 L620.6 C622.43 ATR=8.48 SL=621.58/621.16 rawVol=169868 volSMA=31251 buf=0.424 prices=619.3
2026-02-02T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-promote)
2026-02-02T09:45:00.000-05:00,[KLB] 5m CHECK 9:45 ▲ pnl=0.06 → HOLD
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14.3x pos=v69 vwap=below ema=bear rs=-0.2% adx=26 body=53% ramp=15.9x rangeATR=5.4 ⚡ 🔊 O628.25 H628.68 L625.98 C626.83 ATR=8.57 SL=627.69/628.12 rawVol=177778 volSMA=12395 buf=0.429 prices=628.07
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=14.3x pos=v69 vwap=below ema=bear rs=-0.2% adx=26 body=53% ramp=15.9x rangeATR=5.4 ⚡ 🔊 O628.25 H628.68 L625.98 C626.83 ATR=8.57 SL=627.69/628.12 rawVol=177778 volSMA=12395 buf=0.429 prices=
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=9.4x pos=v88 vwap=below ema=bear rs=-0.4% adx=30 body=67% ramp=18.4x rangeATR=3.3 ⚡ 🔊 O626.85 H627.26 L625.27 C625.51 ATR=8.57 SL=626.37/626.8 rawVol=133069 volSMA=18941 buf=0.429 prices=625.98
