Date,Message
2025-09-29T09:30:00.000-04:00,"[KLB] 9:30 ▼ ~ ~ Week H
~ VWAP vol=1.2x pos=v86 vwap=below ema=bull rs=+0.4% adx=43 body=86% ramp=0.7x rangeATR=3.2 ⚡ ⚠ O446.55 H446.55 L444 C444.35 ATR=16.38 SL=445.99/446.81 rawVol=20418 volSMA=16716 buf=0.819 prices=444.98"
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▲ 🔊 MC ramp=10.9x vol=12.6x pos=^78 vwap=above ema=bull adx=42 body=61% rangeATR=6.1 ⚡ O444.36 H450.98 L443 C449.19 ATR=16.38
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▲ BRK PM H + Week H vol=12.6x pos=^78 vwap=above ema=bull rs=+1.1% adx=42 body=61% ramp=10.9x rangeATR=6.1 ⚡ 🔊 O444.36 H450.98 L443 C449.19 ATR=16.38 SL=447.55/446.73 rawVol=560754 volSMA=44591 buf=0.819 prices=447.47/444.98
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▲ ~ ~ VWAP vol=12.6x pos=^78 vwap=above ema=bull rs=+1.1% adx=42 body=61% ramp=10.9x rangeATR=6.1 ⚡ 🔊 O444.36 H450.98 L443 C449.19 ATR=16.38 SL=447.55/446.73 rawVol=560754 volSMA=44591 buf=0.819 prices=
2025-09-29T09:40:00.000-04:00,[KLB] CONF 9:40 ▲ QBS/MC → ✗ (failed)
2025-09-29T09:40:00.000-04:00,"[KLB] 9:40 ▲ ◆ ◆² PM H 4x ^55
◆² Week H 4x ^55 vol= pos= vwap=above ema=bull rs=+1% adx=42 body=28% ramp=17.1x rangeATR=1.4 🔊 O449.22 H450.21 L448.3 C448.69 ATR=16.38 SL=447.05/446.23 rawVol=249096 volSMA=56936 buf=0.819 prices="
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▼ 🔊 MC ramp=22.2x vol=3.7x pos=v45 vwap=above ema=bull adx=39 body=31% rangeATR=2.8 ⚡ O448.76 H449.39 L444.99 C447.4 ATR=16.38
2025-09-29T09:45:00.000-04:00,[KLB] CONF 9:45 ▲ BRK → ✗ (failed)
2025-09-29T09:50:00.000-04:00,[KLB] CONF 9:50 ▼ QBS/MC → ✓ (auto-promote)
2025-09-29T09:55:00.000-04:00,[KLB] 5m CHECK 9:55 ▼ pnl=0.13 → HOLD
2025-09-29T10:05:00.000-04:00,[KLB] 10:05 ▼ ~~ ~~ Week H vol=2.1x pos=v89 vwap=below ema=bull rs=-0.6% adx=33 body=70% ramp=0.9x rangeATR=2.1 ⚡ O444.45 H445.28 L440.97 C441.43 ATR=16.38 SL=443.07/443.89 rawVol=227209 volSMA=107452 buf=0.819 prices=444.98
2025-09-29T10:25:00.000-04:00,[KLB] 10:25 ▼ ~~ ~~ Week H vol=1x pos=v91 vwap=below ema=bull rs=-0.3% adx=29 body=69% ramp=0.6x rangeATR=0.9 O444.81 H445.26 L443.17 C443.36 ATR=16.38 SL=445/445.82 rawVol=108501 volSMA=129021 buf=0.819 prices=444.98
2025-09-29T10:40:00.000-04:00,[KLB] 10:40 ▼ ~~ ~~ Week H vol=0.6x pos=v91 vwap=below ema=bull rs=-0.3% adx=27 body=41% ramp=0.6x rangeATR=0.7 O443.8 H444.49 L443.1 C443.23 ATR=16.38 SL=444.87/445.69 rawVol=82680 volSMA=137297 buf=0.819 prices=444.98
2025-09-29T11:55:00.000-04:00,[KLB] 11:55 ▼ ~ ~ Yest H vol=1x pos=v93 vwap=below ema=bear rs=-0.8% adx=33 body=52% ramp=0.7x rangeATR=0.7 O440.7 H441.26 L439.91 C440 ATR=16.38 SL=441.64/442.46 rawVol=86288 volSMA=85834 buf=0.819 prices=440.47
2025-09-29T13:05:00.000-04:00,[KLB] 13:05 ▼ ~ ~ Yest H vol=1.3x pos=v73 vwap=below ema=bear rs=-0.7% adx=33 body=68% ramp=1.2x rangeATR=1.5 O441.62 H441.72 L439.68 C440.23 ATR=16.38 SL=441.87/442.69 rawVol=80488 volSMA=63904 buf=0.819 prices=440.47
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ 🔊 MC ramp=20.4x vol=8.1x pos=v61 vwap=below ema=bull adx=23 body=50% rangeATR=3.2 ⚡ O440.1 H440.55 L436.71 C438.19 ATR=16.03
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=8.1x pos=v61 vwap=below ema=bull rs=-0.7% adx=23 body=50% ramp=20.4x rangeATR=3.2 ⚡ 🔊 O440.1 H440.55 L436.71 C438.19 ATR=16.03 SL=439.79/440.59 rawVol=190283 volSMA=24036 buf=0.802 prices=
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ 🔊 MC ramp=21.9x vol=4.5x pos=^100 vwap=above ema=bull adx=21 body=89% rangeATR=1.9 O438.13 H440.39 L437.86 C440.39 ATR=16.03
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ ORB L vol=4.5x pos=^100 vwap=above ema=bull rs=-0.3% adx=21 body=89% ramp=21.9x rangeATR=1.9 ⚠ 🔊 O438.13 H440.39 L437.86 C440.39 ATR=16.03 SL=438.79/437.99 rawVol=137743 volSMA=30673 buf=0.802 prices=439.12
2025-09-30T09:50:00.000-04:00,[KLB] CONF 9:50 ▲ QBS/MC → ✗ (failed)
2025-09-30T14:30:00.000-04:00,[KLB] 14:30 ▲ ~ ~ Yest L vol=2.2x pos=^34 vwap=above ema=bull rs=+0.3% adx=24 body=32% ramp=2x rangeATR=1.3 O442.87 H444.41 L442.84 C443.38 ATR=16.03 SL=441.78/440.98 rawVol=144772 volSMA=66516 buf=0.802 prices=439.5
2025-09-30T14:40:00.000-04:00,[KLB] 14:40 ▲ ~ ~ Yest L vol=0.9x pos=^50 vwap=above ema=bull rs=+0.3% adx=28 body=45% ramp=0.9x rangeATR=0.9 O442.9 H443.85 L442.84 C443.35 ATR=16.03 SL=441.75/440.95 rawVol=63143 volSMA=67100 buf=0.802 prices=439.5
