Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=12.3x pos=^76 vwap=above ema=bull rs=+0.3% adx=27 body=64% O187.18 H188.31 L187.02 C188 ATR=5.33 SL=187.47/187.2 rawVol=316409 volSMA=25651 buf=0.267 prices=187.23
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L vol=12.3x pos=^76 vwap=above ema=bull rs=+0.3% adx=27 body=64% O187.18 H188.31 L187.02 C188 ATR=5.33 SL=187.47/187.2 rawVol=316409 volSMA=25651 buf=0.267 prices=186.82
2026-01-26T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ Yest H + ~ ORB H vol=2.8x pos=v98 vwap=below ema=bull rs=0% adx=35 body=92% O188.7 H188.77 L187.53 C187.56 ATR=5.33 SL=188.09/188.36 rawVol=187082 volSMA=67893 buf=0.267 prices=189.6/188.31
2026-01-26T09:50:00.000-05:00,[KLB] 9:50 ▲ ◆ ◆¹⁶ PM H 0.6x ^21 vol= pos= vwap=below ema=bull rs=0% adx=35 body=92% O188.7 H188.77 L187.53 C187.56 ATR=5.33 SL=187.03/186.76 rawVol=187082 volSMA=67893 buf=0.267 prices=
2026-01-26T09:51:00.000-05:00,[KLB] CONF 9:51 ▲ BRK → ✗ (failed)
2026-01-26T10:45:00.000-05:00,[KLB] 10:45 ▼ ~~ ~~ PM H vol=1x pos=v85 vwap=below ema=bull rs=-0.3% adx=26 body=58% O187.4 H187.57 L186.95 C187.04 ATR=5.33 SL=187.57/187.84 rawVol=132248 volSMA=132342 buf=0.267 prices=187.23
2026-01-26T11:20:00.000-05:00,[KLB] 11:20 ▼ ~~ ~~ PM H vol=0.4x pos=v92 vwap=below ema=bull rs=-0.4% adx=23 body=64% O187.14 H187.25 L186.86 C186.89 ATR=5.33 SL=187.42/187.69 rawVol=58364 volSMA=142053 buf=0.267 prices=187.23
2026-01-26T12:10:00.000-05:00,[KLB] 12:10 ▼ ~~ ~~ PM H vol=0.4x pos=v94 vwap=below ema=bull rs=-0.5% adx=21 body=80% O187.17 H187.2 L186.96 C186.97 ATR=5.33 SL=187.5/187.77 rawVol=40889 volSMA=98134 buf=0.267 prices=187.23
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=13.5x pos=v94 vwap=below ema=bear rs=-0.5% adx=25 body=78% O187.24 H187.41 L186.31 C186.38 ATR=5.17 SL=186.9/187.16 rawVol=287547 volSMA=21279 buf=0.259 prices=187.03
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ Yest H vol=13.5x pos=v94 vwap=below ema=bear rs=-0.5% adx=25 body=78% O187.24 H187.41 L186.31 C186.38 ATR=5.17 SL=186.9/187.16 rawVol=287547 volSMA=21279 buf=0.259 prices=189.12
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=8.8x pos=v99 vwap=below ema=bear rs=-0.6% adx=27 body=56% O186.41 H186.7 L186.03 C186.04 ATR=5.17 SL=186.55/186.81 rawVol=233682 volSMA=32723 buf=0.259 prices=186.31
2026-01-27T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓★ (auto-promote)
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ ◆ ◆¹ ORB L 2.7x v87 vol= pos= vwap=below ema=bear rs=-0.6% adx=27 body=56% O186.41 H186.7 L186.03 C186.04 ATR=5.17 SL=186.55/186.81 rawVol=233682 volSMA=32723 buf=0.259 prices=
2026-01-27T09:48:00.000-05:00,[KLB] CONF 9:48 ▼ BRK → ✗ (failed)
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ ~~ ~~ Yest L + ~~ ORB L vol=3.4x pos=^91 vwap=above ema=bear rs=-0.4% adx=30 body=86% O185.96 H186.73 L185.92 C186.66 ATR=5.17 SL=186.14/185.88 rawVol=190305 volSMA=56091 buf=0.259 prices=185.99/186.31
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▲ ~~ ~~ PM L vol=5.2x pos=^86 vwap=above ema=bear rs=+0.1% adx=27 body=84% O186.77 H187.79 L186.75 C187.64 ATR=5.17 SL=187.12/186.86 rawVol=450760 volSMA=86965 buf=0.259 prices=187.03
2026-01-27T10:10:00.000-05:00,[KLB] 10:10 ▲ BRK PM H vol=2.9x pos=^96 vwap=above ema=bull rs=+0.5% adx=28 body=55% O188.07 H188.54 L187.74 C188.51 ATR=5.17 SL=187.99/187.73 rawVol=349548 volSMA=120277 buf=0.259 prices=187.96
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ ORB H vol=3.7x pos=v93 vwap=below ema=bull rs=0% adx=32 body=87% O192.14 H192.2 L191.21 C191.28 ATR=5.11 SL=191.79/192.05 rawVol=372922 volSMA=99776 buf=0.256 prices=191.96
2026-01-28T10:15:00.000-05:00,[KLB] 10:15 ▼ ~ ~ ORB H vol=0.9x pos=v97 vwap=below ema=bull rs=+0.2% adx=32 body=94% O191.96 H191.98 L191.44 C191.46 ATR=5.11 SL=191.97/192.22 rawVol=137783 volSMA=154437 buf=0.256 prices=191.96
2026-01-28T10:30:00.000-05:00,[KLB] 10:30 ▼ ~ ~ ORB H vol=0.8x pos=v98 vwap=below ema=bull rs=+0.2% adx=30 body=76% O191.82 H191.94 L191.4 C191.41 ATR=5.11 SL=191.92/192.18 rawVol=110239 volSMA=178898 buf=0.256 prices=191.96
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H + Yest H vol=14.4x pos=^73 vwap=above ema=bull rs=+0.9% adx=30 body=67% O191.34 H193.48 L191.2 C192.86 ATR=5.02 SL=192.36/192.11 rawVol=506517 volSMA=35222 buf=0.251 prices=191.78/192.35
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L vol=14.4x pos=^73 vwap=above ema=bull rs=+0.9% adx=30 body=67% O191.34 H193.48 L191.2 C192.86 ATR=5.02 SL=192.36/192.11 rawVol=506517 volSMA=35222 buf=0.251 prices=189.84
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ PM H + ~ Yest H vol=7.3x pos=v88 vwap=below ema=bull rs=0% adx=31 body=85% O192.83 H192.89 L190.72 C190.99 ATR=5.02 SL=191.49/191.74 rawVol=398849 volSMA=54431 buf=0.251 prices=191.78/192.35
2026-01-29T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✗ (failed)
2026-01-29T09:50:00.000-05:00,[KLB] 9:50 ▲ ~ ~ Yest L + ~ ORB L vol=3.7x pos=^85 vwap=above ema=bull rs=+0.6% adx=31 body=69% O190.61 H191.94 L190.37 C191.7 ATR=5.02 SL=191.2/190.95 rawVol=329849 volSMA=87993 buf=0.251 prices=189.84/191.2
2026-01-29T09:55:00.000-05:00,[KLB] 9:55 ▼ ~~ ~~ PM H + ~~ Yest H vol=2.1x pos=v87 vwap=below ema=bull rs=+0.4% adx=32 body=51% O191.67 H192.08 L190.93 C191.08 ATR=5.02 SL=191.58/191.83 rawVol=204784 volSMA=98108 buf=0.251 prices=191.78/192.35
2026-01-29T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L + Yest L vol=3.8x pos=v65 vwap=below ema=bear rs=-0.1% adx=31 body=63% O190.8 H190.85 L188.82 C189.53 ATR=5.02 SL=190.03/190.28 rawVol=495535 volSMA=130813 buf=0.251 prices=190.2/189.84
2026-01-29T10:08:00.000-05:00,[KLB] 10:08 ▼ ◆ ◆⁴ Yest L 0.5x v75 vol= pos= vwap=below ema=bear rs=-0.1% adx=31 body=63% O190.8 H190.85 L188.82 C189.53 ATR=5.02 SL=190.03/190.28 rawVol=495535 volSMA=130813 buf=0.251 prices=
