Date,Message
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK PM H + ORB H vol=5.5x pos=^94 vwap=above O251.22 H252.72 L250.62 C252.6 ATR=4.87 rawVol=97709 volSMA=17828 buf=0.244 prices=251.96/251.86
2026-01-26T09:42:00.000-05:00,"[KLB] 9:42 ▲ ◆ ◆³ PM H 1.2x ^90
◆³ ORB H 1.2x ^90 vol= pos= vwap=above O251.22 H252.72 L250.62 C252.6 ATR=4.87 rawVol=97709 volSMA=17828 buf=0.244 prices="
2026-01-26T13:55:00.000-05:00,[KLB] 13:55 ▲ BRK Week H vol=2.1x pos=^98 vwap=above O254.99 H255.2 L254.77 C255.19 ATR=4.87 rawVol=34432 volSMA=16169 buf=0.244 prices=254.79
2026-01-26T13:55:00.000-05:00,[KLB] CONF 13:55 ▲ BRK → ✓★ (auto-promote)
2026-01-26T15:50:00.000-05:00,[KLB] 15:50 ▲ ◆ ◆¹¹⁶ Week H 1.3x ^47 vol= pos= vwap=above O255.51 H255.65 L255.46 C255.58 ATR=4.87 rawVol=42981 volSMA=32898 buf=0.244 prices=
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=15.5x pos=^74 vwap=above O259.13 H260.74 L258.66 C260.2 ATR=5.13 rawVol=395145 volSMA=25549 buf=0.257 prices=259.8
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=15.5x pos=^74 vwap=above O259.13 H260.74 L258.66 C260.2 ATR=5.13 rawVol=395145 volSMA=25549 buf=0.257 prices=258.66
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ ◆ ◆¹ PM H 2.6x ^77 vol= pos= vwap=above O259.13 H260.74 L258.66 C260.2 ATR=5.13 rawVol=395145 volSMA=25549 buf=0.257 prices=
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ BRK ORB H vol=2.9x pos=^68 vwap=above O260.62 H261.15 L260.38 C260.9 ATR=5.13 rawVol=147968 volSMA=50435 buf=0.257 prices=260.74
2026-01-27T09:50:00.000-05:00,[KLB] CONF 9:50 ▲ BRK → ✓ (auto-promote)
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ ◆ ◆¹ ORB H 0.7x ^59 vol= pos= vwap=above O260.62 H261.15 L260.38 C260.9 ATR=5.13 rawVol=147968 volSMA=50435 buf=0.257 prices=
2026-01-27T10:11:00.000-05:00,[KLB] CONF 10:11 ▲ BRK → ✗ (failed)
2026-01-27T13:30:00.000-05:00,[KLB] 13:30 ▼ ~~ ~~ ORB H vol=2.1x pos=v100 vwap=below O260.77 H260.84 L260.24 C260.24 ATR=5.13 rawVol=45661 volSMA=21677 buf=0.257 prices=260.74
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=11.6x pos=v97 vwap=below O257.49 H258.83 L257.34 C257.39 ATR=5.23 rawVol=95693 volSMA=8256 buf=0.262 prices=258.83
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=7.5x pos=v85 vwap=below O257.59 H257.64 L255.89 C256.15 ATR=5.23 rawVol=91375 volSMA=12723 buf=0.262 prices=257.34
2026-01-28T09:46:00.000-05:00,[KLB] 9:46 ▼ ◆ ◆⁷ ORB L 0.8x v100 vol= pos= vwap=below O256.16 H256.89 L255.83 C256.68 ATR=5.23 rawVol=45415 volSMA=14943 buf=0.262 prices=
2026-01-28T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L vol=2.8x pos=v77 vwap=below O256.15 H256.15 L255.22 C255.43 ATR=5.23 rawVol=71492 volSMA=25943 buf=0.262 prices=255.9
2026-01-28T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✓★ (auto-promote)
2026-01-28T10:05:00.000-05:00,[KLB] 10:05 ▼ ◆ ◆¹ PM L 0.6x v23 vol= pos= vwap=below O256.15 H256.15 L255.22 C255.43 ATR=5.23 rawVol=71492 volSMA=25943 buf=0.262 prices=
