Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=15.7x pos=^83 vwap=above O327.8 H330.5 L326.95 C329.9 ATR=7.79 rawVol=78201 volSMA=4987 buf=0.389 prices=328.4
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L + ~ ORB L vol=15.7x pos=^83 vwap=above O327.8 H330.5 L326.95 C329.9 ATR=7.79 rawVol=78201 volSMA=4987 buf=0.389 prices=327.45/326.95
2026-01-26T09:36:00.000-05:00,[KLB] 9:36 ▲ ◆ ◆² PM H 1.6x ^3 vol= pos= vwap=above O327.8 H330.5 L326.95 C329.9 ATR=7.79 rawVol=78201 volSMA=4987 buf=0.389 prices=
2026-01-26T09:43:00.000-05:00,[KLB] CONF 9:43 ▲ BRK → ✗ (failed)
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK ORB H vol=2.7x pos=^95 vwap=above O329.42 H330.92 L329.37 C330.85 ATR=7.79 rawVol=34709 volSMA=12771 buf=0.389 prices=330.5
2026-01-26T10:10:00.000-05:00,[KLB] 10:10 ▲ ◆ ◆¹¹ ORB H 0.5x ^78 vol= pos= vwap=above O331.12 H331.55 L330.8 C330.83 ATR=7.79 rawVol=21058 volSMA=15099 buf=0.389 prices=
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK Yest H + Week H vol=14x pos=^85 vwap=above O335.34 H336.9 L333.49 C336.39 ATR=7.86 rawVol=69867 volSMA=4987 buf=0.393 prices=335.84/335.15
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=14x pos=^85 vwap=above O335.34 H336.9 L333.49 C336.39 ATR=7.86 rawVol=69867 volSMA=4987 buf=0.393 prices=334.8/333.49
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ ◆ ◆¹ Yest H 1.2x ^24 vol= pos= vwap=above O335.34 H336.9 L333.49 C336.39 ATR=7.86 rawVol=69867 volSMA=4987 buf=0.393 prices=
2026-01-27T09:37:00.000-05:00,"[KLB] 9:37 ▲ ◆ ◆¹ Yest H 1.2x ^24
◆³ Week H 1.2x ^35 vol= pos= vwap=above O335.34 H336.9 L333.49 C336.39 ATR=7.86 rawVol=69867 volSMA=4987 buf=0.393 prices="
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=10.6x pos=^100 vwap=above O336.5 H337.34 L335.08 C337.34 ATR=7.86 rawVol=32878 volSMA=6612 buf=0.393 prices=336.9
2026-01-27T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓★ (auto-promote)
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▲ ◆ ◆¹ ORB H 1.9x ^5 vol= pos= vwap=above O336.5 H337.34 L335.08 C337.34 ATR=7.86 rawVol=32878 volSMA=6612 buf=0.393 prices=
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ ORB H vol=4.7x pos=v81 vwap=below O337.33 H337.75 L335.68 C336.07 ATR=7.86 rawVol=40056 volSMA=8602 buf=0.393 prices=336.9
2026-01-27T09:45:00.000-05:00,[KLB] CONF 9:45 ▲ BRK → ✗ (failed)
2026-01-27T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK ORB H vol=1.9x pos=^86 vwap=above O335.92 H337.34 L335.68 C337.11 ATR=7.86 rawVol=20914 volSMA=10948 buf=0.393 prices=336.9
2026-01-27T09:55:00.000-05:00,[KLB] 9:55 ▲ ◆ ◆¹ ORB H 0.4x ^77 vol= pos= vwap=above O335.92 H337.34 L335.68 C337.11 ATR=7.86 rawVol=20914 volSMA=10948 buf=0.393 prices=
2026-01-27T10:06:00.000-05:00,[KLB] CONF 10:06 ▲ BRK → ✗ (failed)
2026-01-27T13:50:00.000-05:00,[KLB] 13:50 ▲ BRK Week H vol=2.1x pos=^69 vwap=below O335.36 H335.84 L335.36 C335.69 ATR=7.86 rawVol=22245 volSMA=10724 buf=0.393 prices=335.15
2026-01-27T13:53:00.000-05:00,[KLB] 13:53 ▲ ◆ ◆⁴ Week H 0.3x ^29 vol= pos= vwap=below O335.36 H335.84 L335.36 C335.69 ATR=7.86 rawVol=22245 volSMA=10724 buf=0.393 prices=
2026-01-27T15:47:00.000-05:00,[KLB] CONF 15:47 ▲ BRK → ✗ (failed)
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Yest H vol=11.3x pos=v88 vwap=below O335.64 H336.01 L334.98 C335.1 ATR=7.63 rawVol=29512 volSMA=7043 buf=0.382 prices=337.91
2026-01-28T09:45:00.000-05:00,[KLB] 9:45 ▲ BRK Week H vol=2.9x pos=^100 vwap=above O335.08 H336.23 L335.05 C336.23 ATR=7.63 rawVol=23626 volSMA=8125 buf=0.382 prices=335.15
2026-01-28T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ PM L vol=2.9x pos=^100 vwap=above O335.08 H336.23 L335.05 C336.23 ATR=7.63 rawVol=23626 volSMA=8125 buf=0.382 prices=335.2
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L vol=3.5x pos=v93 vwap=below O336.23 H336.8 L334.23 C334.4 ATR=7.63 rawVol=34185 volSMA=9810 buf=0.382 prices=335.2
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ PM H + ~ ORB H vol=3.5x pos=v93 vwap=below O336.23 H336.8 L334.23 C334.4 ATR=7.63 rawVol=34185 volSMA=9810 buf=0.382 prices=336.91/336.3
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▲ ◆ ◆⁶ Week H 0.6x ^86 vol= pos= vwap=below O336.23 H336.8 L334.23 C334.4 ATR=7.63 rawVol=34185 volSMA=9810 buf=0.382 prices=
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ◆ ◆¹ PM L 0.6x v14 vol= pos= vwap=below O336.23 H336.8 L334.23 C334.4 ATR=7.63 rawVol=34185 volSMA=9810 buf=0.382 prices=
2026-01-28T09:51:00.000-05:00,[KLB] CONF 9:51 ▲ BRK → ✗ (failed)
2026-01-28T09:55:00.000-05:00,[KLB] CONF 9:55 ▼ BRK → ✗ (failed)
2026-01-28T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK Week H vol=2.2x pos=^61 vwap=above O335.34 H336.1 L335.11 C335.71 ATR=7.63 rawVol=26819 volSMA=12080 buf=0.382 prices=335.15
2026-01-28T10:00:00.000-05:00,[KLB] 10:00 ▲ ~~ ~~ PM L vol=2.2x pos=^61 vwap=above O335.34 H336.1 L335.11 C335.71 ATR=7.63 rawVol=26819 volSMA=12080 buf=0.382 prices=335.2
2026-01-28T10:01:00.000-05:00,[KLB] 10:01 ▲ ◆ ◆² Week H 0.3x ^72 vol= pos= vwap=above O335.34 H336.1 L335.11 C335.71 ATR=7.63 rawVol=26819 volSMA=12080 buf=0.382 prices=
2026-01-28T10:20:00.000-05:00,[KLB] 10:20 ▲ BRK ORB H vol=2.2x pos=^52 vwap=above O336.3 H337.27 L336.09 C336.7 ATR=7.63 rawVol=34032 volSMA=15254 buf=0.382 prices=336.3
2026-01-28T10:20:00.000-05:00,[KLB] CONF 10:20 ▲ BRK → ✓ (auto-promote)
2026-01-28T10:24:00.000-05:00,[KLB] 10:24 ▲ ◆ ◆⁵ ORB H 0.1x ^0 vol= pos= vwap=above O336.3 H337.27 L336.09 C336.7 ATR=7.63 rawVol=34032 volSMA=15254 buf=0.382 prices=
2026-01-28T10:27:00.000-05:00,[KLB] CONF 10:27 ▲ BRK → ✗ (failed)
2026-01-28T10:45:00.000-05:00,[KLB] 10:45 ▼ BRK PM L + Yest L + ORB L vol=1.5x pos=v89 vwap=below O335.05 H335.14 L333.05 C333.28 ATR=7.63 rawVol=28436 volSMA=18664 buf=0.382 prices=335.2/333.48/334.41
2026-01-28T10:49:00.000-05:00,[KLB] 10:49 ▼ ◆ ◆⁵ ORB L 0.1x v76 vol= pos= vwap=below O335.05 H335.14 L333.05 C333.28 ATR=7.63 rawVol=28436 volSMA=18664 buf=0.382 prices=
2026-01-28T11:22:00.000-05:00,"[KLB] 11:22 ▼ ◆ ◆³⁸ Yest L 0.2x v100
◆⁵ ORB L 0.1x v76 vol= pos= vwap=below O334.09 H334.21 L333.83 C334.09 ATR=7.63 rawVol=17983 volSMA=17950 buf=0.382 prices="
2026-01-28T12:30:00.000-05:00,[KLB] 12:30 ▼ BRK Yest L vol=1.6x pos=v28 vwap=below O332.35 H332.43 L331.97 C332.3 ATR=7.63 rawVol=19883 volSMA=12440 buf=0.382 prices=333.48
2026-01-28T12:30:00.000-05:00,[KLB] CONF 12:30 ▼ BRK → ✓ (auto-promote)
2026-01-28T12:42:00.000-05:00,[KLB] 12:42 ▼ ◆ ◆¹³ Yest L 0.1x v34 vol= pos= vwap=below O332.22 H333.2 L332.22 C333.08 ATR=7.63 rawVol=11605 volSMA=11938 buf=0.382 prices=
2026-01-28T13:16:00.000-05:00,[KLB] CONF 13:16 ▼ BRK → ✗ (failed)
2026-01-28T14:55:00.000-05:00,[KLB] 14:55 ▲ BRK Week H vol=2.1x pos=^92 vwap=above O335.64 H336.38 L335.58 C336.32 ATR=7.63 rawVol=20619 volSMA=9849 buf=0.382 prices=335.15
2026-01-28T15:25:00.000-05:00,[KLB] 15:25 ▲ BRK ORB H vol=1.7x pos=^80 vwap=above O336.55 H337.04 L336.53 C336.94 ATR=7.63 rawVol=19713 volSMA=11620 buf=0.382 prices=336.3
2026-01-28T15:25:00.000-05:00,[KLB] CONF 15:25 ▲ BRK → ✓ (auto-promote)
2026-01-28T15:39:00.000-05:00,[KLB] 15:39 ▲ ◆ ◆¹⁵ ORB H 0.2x ^100 vol= pos= vwap=above O337.05 H337.17 L336.83 C336.83 ATR=7.63 rawVol=13000 volSMA=12047 buf=0.382 prices=
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=15.1x pos=v84 vwap=below O340.45 H342.29 L337.89 C338.58 ATR=7.49 rawVol=113032 volSMA=7504 buf=0.374 prices=340.3
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=15.1x pos=v84 vwap=below O340.45 H342.29 L337.89 C338.58 ATR=7.49 rawVol=113032 volSMA=7504 buf=0.374 prices=342.29
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=9.7x pos=v87 vwap=below O338.62 H339.08 L336.87 C337.16 ATR=7.49 rawVol=84974 volSMA=11710 buf=0.374 prices=337.89
2026-01-29T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓★ (auto-promote)
2026-01-29T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ Yest H vol=5.5x pos=v97 vwap=below O337.15 H337.19 L334.3 C334.4 ATR=7.49 rawVol=76911 volSMA=15522 buf=0.374 prices=337.54
2026-01-29T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK Yest L vol=2.9x pos=v95 vwap=below O332.66 H332.93 L330.19 C330.33 ATR=7.49 rawVol=68041 volSMA=23431 buf=0.374 prices=331.94
