Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ PM H + ~ ORB H vol=12.9x pos=v97 vwap=below O240.01 H240.94 L239.16 C239.21 ATR=5.46 rawVol=85396 volSMA=6640 buf=0.273 prices=240.66/240.94
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK ORB L vol=8.6x pos=v85 vwap=below O239.34 H239.4 L237.54 C237.81 ATR=5.46 rawVol=140603 volSMA=16374 buf=0.273 prices=239.16
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ Yest H + ~ Week H vol=8.6x pos=v85 vwap=below O239.34 H239.4 L237.54 C237.81 ATR=5.46 rawVol=140603 volSMA=16374 buf=0.273 prices=240.45/240.45
2026-01-26T10:15:00.000-05:00,[KLB] 10:15 ▼ ◆ ◆³¹ ORB L 0.3x v81 vol= pos= vwap=below O238.64 H238.9 L238.33 C238.8 ATR=5.46 rawVol=22929 volSMA=26264 buf=0.273 prices=
2026-01-26T10:19:00.000-05:00,[KLB] CONF 10:19 ▼ BRK → ✗ (failed)
2026-01-26T15:05:00.000-05:00,[KLB] 15:05 ▲ ~~ ~~ ORB L vol=1.9x pos=^100 vwap=above O239.3 H239.85 L239.22 C239.85 ATR=5.46 rawVol=29552 volSMA=15895 buf=0.273 prices=239.16
2026-01-26T15:55:00.000-05:00,[KLB] 15:55 ▼ BRK ORB L vol=4.1x pos=v100 vwap=below O239.3 H239.3 L238.56 C238.56 ATR=5.46 rawVol=95841 volSMA=23421 buf=0.273 prices=239.16
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ Yest H + ~ ORB H vol=14.5x pos=v63 vwap=below O239.78 H240.23 L238.81 C239.33 ATR=5.31 rawVol=88644 volSMA=6094 buf=0.266 prices=240.95/240.23
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PM L + ORB L vol=9.4x pos=v68 vwap=below O239.34 H239.34 L238.08 C238.48 ATR=5.31 rawVol=68675 volSMA=9469 buf=0.266 prices=239.2/238.81
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Week H vol=9.4x pos=v68 vwap=below O239.34 H239.34 L238.08 C238.48 ATR=5.31 rawVol=68675 volSMA=9469 buf=0.266 prices=240.45
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ ◆ ◆¹ ORB L 0.9x v27 vol= pos= vwap=below O239.34 H239.34 L238.08 C238.48 ATR=5.31 rawVol=68675 volSMA=9469 buf=0.266 prices=
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ PM L + ~ ORB L vol=4.2x pos=^97 vwap=above O238.49 H239.61 L238.49 C239.58 ATR=5.31 rawVol=50332 volSMA=11977 buf=0.266 prices=239.2/238.81
2026-01-27T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✗ (failed)
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK PM L vol=2.3x pos=v96 vwap=below O239.82 H239.82 L238.72 C238.76 ATR=5.31 rawVol=41619 volSMA=17837 buf=0.266 prices=239.2
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▼ ◆ ◆¹ PM L 1.1x v26 vol= pos= vwap=below O239.82 H239.82 L238.72 C238.76 ATR=5.31 rawVol=41619 volSMA=17837 buf=0.266 prices=
2026-01-27T10:06:00.000-05:00,[KLB] CONF 10:06 ▼ BRK → ✗ (failed)
2026-01-27T10:10:00.000-05:00,[KLB] 10:10 ▲ ~~ ~~ PM L vol=2.6x pos=^98 vwap=above O239.3 H239.95 L239.15 C239.93 ATR=5.31 rawVol=37281 volSMA=22499 buf=0.266 prices=239.2
2026-01-27T10:15:00.000-05:00,[KLB] 10:15 ▲ BRK ORB H vol=2.7x pos=^74 vwap=above O239.94 H240.67 L239.93 C240.48 ATR=5.31 rawVol=69171 volSMA=25844 buf=0.266 prices=240.23
2026-01-27T10:20:00.000-05:00,[KLB] 10:20 ▲ BRK PM H + Yest H + Week H vol=3.4x pos=^99 vwap=above O240.48 H241.5 L240.43 C241.49 ATR=5.31 rawVol=105133 volSMA=31081 buf=0.266 prices=240.8/240.95/240.45
2026-01-27T10:20:00.000-05:00,[KLB] CONF 10:20 ▲ BRK → ✓ (auto-promote)
2026-01-27T10:23:00.000-05:00,[KLB] 10:23 ▲ ◆ ◆⁴ Yest H 0.3x ^97 vol= pos= vwap=above O240.48 H241.5 L240.43 C241.49 ATR=5.31 rawVol=105133 volSMA=31081 buf=0.266 prices=
2026-01-27T10:54:00.000-05:00,"[KLB] 10:54 ▲ ◆ ◆³⁵ PM H 0.2x ^12
◆⁴ Yest H 0.3x ^97 vol= pos= vwap=above O241.58 H241.95 L241.47 C241.78 ATR=5.31 rawVol=31927 volSMA=47639 buf=0.266 prices="
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=7.9x pos=v87 vwap=below O246.27 H246.27 L245.08 C245.23 ATR=5.42 rawVol=119542 volSMA=18938 buf=0.271 prices=245.81
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▼ ◆ ◆¹ ORB L 0.7x v9 vol= pos= vwap=below O246.27 H246.27 L245.08 C245.23 ATR=5.42 rawVol=119542 volSMA=18938 buf=0.271 prices=
2026-01-28T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ ORB L vol=2x pos=^99 vwap=above O245.17 H246.19 L245.13 C246.18 ATR=5.42 rawVol=40545 volSMA=20785 buf=0.271 prices=245.81
2026-01-28T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✗ (failed)
2026-01-28T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK PM H vol=3.1x pos=^90 vwap=above O246.43 H247.18 L246.2 C247.08 ATR=5.42 rawVol=87036 volSMA=28023 buf=0.271 prices=246.69
2026-01-28T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK ORB H vol=2.7x pos=^59 vwap=above O247.05 H247.56 L246.93 C247.3 ATR=5.42 rawVol=79559 volSMA=31908 buf=0.271 prices=247.13
2026-01-28T10:00:00.000-05:00,[KLB] CONF 10:00 ▲ BRK → ✓ (auto-promote)
2026-01-28T10:00:00.000-05:00,[KLB] 10:00 ▲ ◆ ◆¹ ORB H 0.2x ^45 vol= pos= vwap=above O247.05 H247.56 L246.93 C247.3 ATR=5.42 rawVol=79559 volSMA=31908 buf=0.271 prices=
2026-01-28T10:07:00.000-05:00,[KLB] CONF 10:07 ▲ BRK → ✗ (failed)
2026-01-28T10:35:00.000-05:00,[KLB] 10:35 ▼ ~ ~ Yest H vol=1.7x pos=v100 vwap=below O244.91 H245.07 L244.33 C244.33 ATR=5.42 rawVol=37793 volSMA=46438 buf=0.271 prices=244.88
2026-01-29T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK Yest L + ORB L vol=5.2x pos=v96 vwap=below O242.16 H242.41 L240.68 C240.75 ATR=5.48 rawVol=76759 volSMA=16433 buf=0.274 prices=241.53/241.99
2026-01-29T09:48:00.000-05:00,[KLB] 9:48 ▼ ◆ ◆⁴ Yest L 0.8x v84 vol= pos= vwap=below O242.16 H242.41 L240.68 C240.75 ATR=5.48 rawVol=76759 volSMA=16433 buf=0.274 prices=
2026-01-29T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L vol=4.6x pos=v72 vwap=below O240.69 H241.39 L240.14 C240.5 ATR=5.48 rawVol=97407 volSMA=21265 buf=0.274 prices=240.84
2026-01-29T09:50:00.000-05:00,[KLB] CONF 9:50 ▼ BRK → ✓★ (auto-promote)
2026-01-29T10:00:00.000-05:00,[KLB] 10:00 ▼ ~ ~ Week H vol=3.9x pos=v43 vwap=below O239.19 H239.5 L238.58 C239.1 ATR=5.48 rawVol=124734 volSMA=32232 buf=0.274 prices=240.45
2026-01-29T15:36:00.000-05:00,[KLB] 15:36 ▼ ◆ ◆³⁴⁷ PM L 0.8x v0 vol= pos= vwap=above O239.98 H240.39 L239.1 C240.3 ATR=5.48 rawVol=105371 volSMA=30775 buf=0.274 prices=
2026-01-29T15:38:00.000-05:00,[KLB] CONF 15:38 ▼ BRK → ✗ (failed)
2026-01-29T15:40:00.000-05:00,[KLB] 15:40 ▲ BRK Week H vol=3.7x pos=^83 vwap=above O240.3 H241.32 L239.97 C241.09 ATR=5.48 rawVol=136447 volSMA=36883 buf=0.274 prices=240.45
2026-01-29T15:40:00.000-05:00,[KLB] 15:40 ▲ ~~ ~~ PM L vol=3.7x pos=^83 vwap=above O240.3 H241.32 L239.97 C241.09 ATR=5.48 rawVol=136447 volSMA=36883 buf=0.274 prices=240.84
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=17.4x pos=^100 vwap=above O239.96 H240.44 L238.62 C240.44 ATR=5.53 rawVol=132106 volSMA=7595 buf=0.277 prices=238.51/238.62
2026-01-30T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK PM H + Week H + ORB H vol=11.3x pos=^82 vwap=above O240.41 H241.69 L240.18 C241.42 ATR=5.53 rawVol=82604 volSMA=11699 buf=0.277 prices=240.7/240.45/240.44
2026-01-30T09:41:00.000-05:00,[KLB] 9:41 ▲ ◆ ◆² PM H 1.7x ^7 vol= pos= vwap=above O240.41 H241.69 L240.18 C241.42 ATR=5.53 rawVol=82604 volSMA=11699 buf=0.277 prices=
2026-01-30T09:42:00.000-05:00,"[KLB] 9:42 ▲ ◆ ◆² PM H 1.7x ^7
◆³ Week H 1.1x ^34
◆³ ORB H 1.1x ^34 vol= pos= vwap=above O240.41 H241.69 L240.18 C241.42 ATR=5.53 rawVol=82604 volSMA=11699 buf=0.277 prices="
2026-01-30T09:50:00.000-05:00,[KLB] 9:50 ▲ BRK PM H vol=4x pos=^85 vwap=above O240.48 H241.81 L240.25 C241.58 ATR=5.53 rawVol=74407 volSMA=18642 buf=0.277 prices=240.7
2026-01-30T09:50:00.000-05:00,[KLB] CONF 9:50 ▲ BRK → ✓★ (auto-promote)
2026-01-30T09:55:00.000-05:00,[KLB] 9:55 ▲ ~ ~ Yest L vol=3.4x pos=^95 vwap=above O241.56 H242.4 L241.37 C242.35 ATR=5.53 rawVol=70996 volSMA=22169 buf=0.277 prices=236.74
2026-01-30T10:15:00.000-05:00,[KLB] 10:15 ▲ BRK Yest H vol=2.2x pos=^75 vwap=above O242.38 H243.31 L242.22 C243.04 ATR=5.53 rawVol=62488 volSMA=35533 buf=0.277 prices=243
2026-01-30T10:15:00.000-05:00,[KLB] CONF 10:15 ▲ BRK → ✓ (auto-promote)
2026-01-30T10:15:00.000-05:00,[KLB] 10:15 ▲ ◆ ◆¹ Yest H 0.4x ^0 vol= pos= vwap=above O242.38 H243.31 L242.22 C243.04 ATR=5.53 rawVol=62488 volSMA=35533 buf=0.277 prices=
