Date,Message
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▼ 🔊 MC ramp=66.4x vol=15.8x pos=v93 vwap=below ema=bull adx=26 body=78% rangeATR=3.7 ⚡ O254.65 H254.84 L253.5 C253.6 ATR=5.06
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK PM L + ORB L vol=9.9x pos=v55 vwap=below ema=bear rs=-0.4% adx=28 body=45% ramp=145.8x rangeATR=1.7 🔊 O253.61 H253.68 L253.01 C253.31 ATR=5.06 SL=253.82/254.07 rawVol=126692 volSMA=16413 buf=0.253 prices=253.66/253.5
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=9.9x pos=v55 vwap=below ema=bear rs=-0.4% adx=28 body=45% ramp=145.8x rangeATR=1.7 🔊 O253.61 H253.68 L253.01 C253.31 ATR=5.06 SL=253.82/254.07 rawVol=126692 volSMA=16413 buf=0.253 prices=
2025-09-29T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ QBS/MC → ✓★ (auto-promote)
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ 🔊 MC ramp=37.2x vol=4.1x pos=^88 vwap=above ema=bear adx=29 body=80% rangeATR=2 O253.32 H254.07 L253.26 C253.97 ATR=5.06
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ PM L + ~ ORB L vol=4.1x pos=^88 vwap=above ema=bear rs=-0.2% adx=29 body=80% ramp=37.2x rangeATR=2 ⚠ 🔊 O253.32 H254.07 L253.26 C253.97 ATR=5.06 SL=253.46/253.21 rawVol=84077 volSMA=20451 buf=0.253 prices=253.66/253.5
2025-09-29T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=-0.13 → BAIL
2025-09-29T09:45:00.000-04:00,[KLB] CONF 9:45 ▼ BRK → ✗ (failed)
2025-09-29T09:50:00.000-04:00,[KLB] CONF 9:50 ▲ QBS/MC → ✓ (auto-promote)
2025-09-29T09:55:00.000-04:00,[KLB] 5m CHECK 9:55 ▲ pnl=-0.06 → BAIL
2025-09-29T10:05:00.000-04:00,[KLB] 10:05 ▼ BRK PM L + Yest L vol=2.1x pos=v59 vwap=below ema=bear rs=-0.4% adx=32 body=34% ramp=0.7x rangeATR=1.4 O253.73 H253.88 L253.27 C253.52 ATR=5.06 SL=254.03/254.28 rawVol=74060 volSMA=35837 buf=0.253 prices=253.66/253.78
2025-09-29T10:10:00.000-04:00,[KLB] 10:10 ▲ ~ ~ PM L + ~ Yest L + ~ ORB L vol=1.5x pos=^91 vwap=above ema=bear rs=-0.3% adx=32 body=85% ramp=0.7x rangeATR=1.6 ⚠ O253.53 H254.24 L253.49 C254.17 ATR=5.06 SL=253.66/253.41 rawVol=56411 volSMA=38574 buf=0.253 prices=253.66/253.78/253.5
2025-09-29T10:10:00.000-04:00,[KLB] CONF 10:10 ▼ BRK → ✗ (failed)
2025-09-29T10:15:00.000-04:00,[KLB] 10:15 ▲ ~~ ~~ Yest L vol=1.4x pos=^97 vwap=above ema=bear rs=-0.1% adx=31 body=46% ramp=0.8x rangeATR=1.2 O254.16 H254.45 L253.86 C254.43 ATR=5.06 SL=253.92/253.67 rawVol=59974 volSMA=41527 buf=0.253 prices=253.78
2025-09-29T10:25:00.000-04:00,[KLB] 10:25 ▲ ~~ ~~ Yest L vol=0.7x pos=^86 vwap=above ema=bear rs=-0.2% adx=30 body=55% ramp=0.7x rangeATR=0.9 O253.97 H254.27 L253.83 C254.21 ATR=5.06 SL=253.7/253.45 rawVol=33481 volSMA=44978 buf=0.253 prices=253.78
2025-09-29T10:45:00.000-04:00,[KLB] 10:45 ▲ ~~ ~~ PM L + ~~ Yest L vol=1x pos=^96 vwap=above ema=bear rs=-0.3% adx=30 body=44% ramp=1.6x rangeATR=1 O253.93 H254.15 L253.7 C254.13 ATR=5.06 SL=253.62/253.37 rawVol=50478 volSMA=53008 buf=0.253 prices=253.66/253.78
2025-09-29T11:10:00.000-04:00,[KLB] 11:10 ▲ ~~ ~~ Yest L vol=0.5x pos=^73 vwap=above ema=bear rs=-0.2% adx=30 body=67% ramp=0.7x rangeATR=0.4 O254.03 H254.17 L254.02 C254.13 ATR=5.06 SL=253.62/253.37 rawVol=24099 volSMA=60176 buf=0.253 prices=253.78
2025-09-29T12:15:00.000-04:00,[KLB] 12:15 ▲ ~~ ~~ PM L vol=1.2x pos=^77 vwap=above ema=bear rs=-0.1% adx=34 body=77% ramp=1x rangeATR=0.9 O253.79 H254.07 L253.79 C254.01 ATR=5.06 SL=253.5/253.25 rawVol=41750 volSMA=34970 buf=0.253 prices=253.66
2025-09-29T12:50:00.000-04:00,[KLB] 12:50 ▼ BRK PM L + Yest L vol=1.5x pos=v68 vwap=below ema=bear rs=-0.3% adx=27 body=53% ramp=1.4x rangeATR=0.7 O253.54 H253.57 L253.38 C253.44 ATR=5.06 SL=253.95/254.2 rawVol=45515 volSMA=29506 buf=0.253 prices=253.66/253.78
2025-09-29T14:00:00.000-04:00,"[KLB] 14:00 ▼ ◆ ◆¹⁵ PM L 1x v3
◆¹⁵ Yest L 1x v3 vol= pos= vwap=below ema=bear rs=-0.3% adx=25 body=6% ramp=0.8x rangeATR=0.7 O253.32 H253.41 L253.25 C253.33 ATR=5.06 SL=253.84/254.09 rawVol=19543 volSMA=25934 buf=0.253 prices="
2025-09-29T14:05:00.000-04:00,[KLB] CONF 14:05 ▼ BRK → ✗ (failed)
