Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=7.8x pos=^94 vwap=above O466.78 H467.5 L466.44 C467.44 ATR=7.52 rawVol=116683 volSMA=15023 buf=0.376 prices=466.44
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=6.2x pos=^76 vwap=above O467.46 H468.02 L467.1 C467.8 ATR=7.52 rawVol=130157 volSMA=20862 buf=0.376 prices=467.5
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▲ ◆ ◆⁶ ORB H 0.5x ^80 vol= pos= vwap=above O467.83 H467.98 L466.92 C467.13 ATR=7.52 rawVol=62904 volSMA=23050 buf=0.376 prices=
2026-01-26T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK ORB H vol=3.2x pos=^70 vwap=above O467.86 H468.38 L467.39 C468.08 ATR=7.52 rawVol=90953 volSMA=28486 buf=0.376 prices=467.5
2026-01-26T09:55:00.000-05:00,[KLB] CONF 9:55 ▲ BRK → ✓ (auto-promote)
2026-01-26T10:01:00.000-05:00,[KLB] 10:01 ▲ ◆ ◆⁷ ORB H 0.4x ^52 vol= pos= vwap=above O468.09 H468.58 L467.89 C468.44 ATR=7.52 rawVol=72833 volSMA=31807 buf=0.376 prices=
2026-01-26T10:34:00.000-05:00,[KLB] CONF 10:34 ▲ BRK → ✗ (failed)
2026-01-26T11:30:00.000-05:00,[KLB] 11:30 ▼ ~~ ~~ ORB H vol=1.9x pos=v81 vwap=below O468.26 H468.49 L466.06 C466.52 ATR=7.52 rawVol=118252 volSMA=62771 buf=0.376 prices=467.5
2026-01-26T11:40:00.000-05:00,[KLB] 11:40 ▼ BRK ORB L vol=1.8x pos=v74 vwap=below O466.52 H467 L465.56 C465.93 ATR=7.52 rawVol=111129 volSMA=65952 buf=0.376 prices=466.44
2026-01-26T11:45:00.000-05:00,[KLB] CONF 11:45 ▼ BRK → ✗ (failed)
2026-01-26T13:15:00.000-05:00,[KLB] 13:15 ▼ ~~ ~~ ORB H vol=2x pos=v82 vwap=below O467.52 H467.66 L466.63 C466.82 ATR=7.52 rawVol=68569 volSMA=35009 buf=0.376 prices=467.5
2026-01-26T13:40:00.000-05:00,[KLB] 13:40 ▼ BRK ORB L vol=1.9x pos=v89 vwap=below O466.36 H466.77 L465.71 C465.83 ATR=7.52 rawVol=59263 volSMA=31765 buf=0.376 prices=466.44
2026-01-26T13:46:00.000-05:00,[KLB] 13:46 ▼ ◆ ◆⁷ ORB L 0.5x v44 vol= pos= vwap=below O465.83 H465.92 L464.89 C465.47 ATR=7.52 rawVol=75169 volSMA=34591 buf=0.376 prices=
2026-01-26T13:49:00.000-05:00,[KLB] CONF 13:49 ▼ BRK → ✗ (failed)
2026-01-26T14:05:00.000-05:00,[KLB] 14:05 ▼ BRK PM L + ORB L vol=3.8x pos=v72 vwap=below O465.9 H466 L462.91 C463.79 ATR=7.52 rawVol=171684 volSMA=44756 buf=0.376 prices=464.63/466.44
2026-01-26T14:06:00.000-05:00,[KLB] 14:06 ▼ ◆ ◆² PM L 0.2x v5 vol= pos= vwap=below O465.9 H466 L462.91 C463.79 ATR=7.52 rawVol=171684 volSMA=44756 buf=0.376 prices=
2026-01-26T14:25:00.000-05:00,[KLB] 14:25 ▼ BRK PM L vol=3.2x pos=v93 vwap=below O463.29 H463.67 L461.49 C461.64 ATR=7.52 rawVol=194114 volSMA=60427 buf=0.376 prices=464.63
2026-01-26T14:25:00.000-05:00,[KLB] CONF 14:25 ▼ BRK → ✓ (auto-promote)
2026-01-26T15:12:00.000-05:00,[KLB] 15:12 ▼ ◆ ◆⁴⁸ PM L 0.1x v100 vol= pos= vwap=below O463.35 H463.74 L462.89 C463.44 ATR=7.52 rawVol=15910 volSMA=69022 buf=0.376 prices=
2026-01-26T15:32:00.000-05:00,[KLB] CONF 15:32 ▼ BRK → ✗ (failed)
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▲ BRK ORB H vol=4.1x pos=^81 vwap=above O465.89 H467.17 L465.78 C466.91 ATR=7.79 rawVol=70696 volSMA=23233 buf=0.39 prices=466.33
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▲ ◆ ◆¹ ORB H 0.6x ^3 vol= pos= vwap=above O465.89 H467.17 L465.78 C466.91 ATR=7.79 rawVol=70696 volSMA=23233 buf=0.39 prices=
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ Yest H + ~ ORB H vol=1.7x pos=v85 vwap=below O466.9 H466.94 L465.33 C465.57 ATR=7.79 rawVol=42906 volSMA=25293 buf=0.39 prices=469.28/466.33
2026-01-27T09:50:00.000-05:00,[KLB] CONF 9:50 ▲ BRK → ✗ (failed)
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK ORB L vol=2.3x pos=v79 vwap=below O465.41 H465.42 L464.25 C464.5 ATR=7.79 rawVol=51644 volSMA=27864 buf=0.39 prices=465.01
2026-01-27T10:00:00.000-05:00,[KLB] 10:00 ▼ ◆ ◆¹ ORB L 0.9x v48 vol= pos= vwap=below O465.41 H465.42 L464.25 C464.5 ATR=7.79 rawVol=51644 volSMA=27864 buf=0.39 prices=
2026-01-27T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✗ (failed)
2026-01-27T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK ORB L vol=2.4x pos=v68 vwap=below O465.48 H466.06 L464.27 C464.84 ATR=7.79 rawVol=89035 volSMA=37351 buf=0.39 prices=465.01
2026-01-27T10:20:00.000-05:00,[KLB] 10:20 ▲ ~ ~ ORB L vol=1.6x pos=^84 vwap=above O464.88 H466.43 L464.77 C466.17 ATR=7.79 rawVol=66885 volSMA=40537 buf=0.39 prices=465.01
2026-01-27T10:20:00.000-05:00,[KLB] CONF 10:20 ▼ BRK → ✗ (failed)
2026-01-27T15:05:00.000-05:00,[KLB] 15:05 ▲ BRK PM H + Yest H vol=5.7x pos=^96 vwap=above O468.66 H470.63 L468.62 C470.55 ATR=7.79 rawVol=113111 volSMA=19824 buf=0.39 prices=468.7/469.28
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=5.3x pos=^98 vwap=above O483.86 H485.53 L483.76 C485.49 ATR=8.13 rawVol=104391 volSMA=19760 buf=0.407 prices=483.99
2026-01-28T10:07:00.000-05:00,[KLB] CONF 10:07 ▲ BRK → ✗ (failed)
2026-01-28T10:10:00.000-05:00,[KLB] 10:10 ▼ BRK ORB L vol=7.5x pos=v89 vwap=below O486.58 H486.98 L481.29 C481.89 ATR=8.13 rawVol=424868 volSMA=56931 buf=0.407 prices=482.57
2026-01-28T10:10:00.000-05:00,[KLB] 10:10 ▼ ~~ ~ PM H + ~~ ORB H vol=7.5x pos=v89 vwap=below O486.58 H486.98 L481.29 C481.89 ATR=8.13 rawVol=424868 volSMA=56931 buf=0.407 prices=487/483.99
2026-01-28T10:10:00.000-05:00,[KLB] 10:10 ▼ ◆ ◆¹ ORB L 1.1x v67 vol= pos= vwap=below O486.58 H486.98 L481.29 C481.89 ATR=8.13 rawVol=424868 volSMA=56931 buf=0.407 prices=
2026-01-28T10:15:00.000-05:00,[KLB] CONF 10:15 ▼ BRK → ✗ (failed)
2026-01-28T10:25:00.000-05:00,[KLB] 10:25 ▲ BRK ORB H vol=2.2x pos=^74 vwap=above O483.28 H484.88 L483.05 C484.4 ATR=8.13 rawVol=99807 volSMA=79474 buf=0.407 prices=483.99
2026-01-28T10:25:00.000-05:00,[KLB] 10:25 ▲ ◆ ◆¹ ORB H 0.3x ^62 vol= pos= vwap=above O483.28 H484.88 L483.05 C484.4 ATR=8.13 rawVol=99807 volSMA=79474 buf=0.407 prices=
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=6.7x pos=v99 vwap=below O509.51 H509.69 L507.25 C507.28 ATR=8.96 rawVol=201808 volSMA=30037 buf=0.448 prices=509.69
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ ORB L vol=7.1x pos=^80 vwap=above O507.29 H509.13 L505.56 C508.41 ATR=8.96 rawVol=328185 volSMA=46155 buf=0.448 prices=507.25
