Date,Message
2026-01-26T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Yest H + ~ Week H vol=3.6x pos=v94 O467.15 H467.4 L465 C465.15 ATR=9.77 rawVol=3582 volSMA=987 buf=0.488 prices=471.1/471.1
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=17.3x pos=v43 O465.3 H466.03 L462 C464.29 ATR=9.77 rawVol=125811 volSMA=7271 buf=0.488 prices=466.03
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ PM L vol=8x pos=^95 O464.37 H466.45 L463.9 C466.33 ATR=9.77 rawVol=96338 volSMA=12067 buf=0.488 prices=463.88
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▲ BRK ORB H vol=6.4x pos=^73 O466.41 H467.63 L465.34 C467 ATR=9.77 rawVol=61851 volSMA=15144 buf=0.488 prices=466.03
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▲ ◆ ◆⁰ ORB H 0.7x ^10 vol= pos= O466.41 H467.63 L465.34 C467 ATR=9.77 rawVol=61851 volSMA=15144 buf=0.488 prices=
2026-01-26T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK PM H vol=3x pos=^65 O467.68 H469.47 L467.59 C468.82 ATR=9.77 rawVol=62888 volSMA=20966 buf=0.488 prices=468.29
2026-01-26T09:55:00.000-05:00,[KLB] CONF 9:55 ▲ BRK → ✓ (auto-promote)
2026-01-26T10:07:00.000-05:00,[KLB] 10:07 ▲ ◆ ◆² PM H 0.2x ^16 vol= pos= O468.95 H469.98 L468.82 C469.48 ATR=9.77 rawVol=39764 volSMA=25220 buf=0.488 prices=
2026-01-26T11:05:00.000-05:00,[KLB] 11:05 ▲ BRK Yest H + Week H vol=1.7x pos=^60 O469.84 H472.41 L469.84 C471.39 ATR=9.77 rawVol=67179 volSMA=40479 buf=0.488 prices=471.1/471.1
2026-01-26T11:05:00.000-05:00,[KLB] CONF 11:05 ▲ BRK → ✓ (auto-promote)
2026-01-26T11:05:00.000-05:00,"[KLB] 11:05 ▲ ◆ ◆⁰ Yest H 0.2x ^42
◆⁰ Week H 0.2x ^42 vol= pos= O469.84 H472.41 L469.84 C471.39 ATR=9.77 rawVol=67179 volSMA=40479 buf=0.488 prices="
2026-01-26T15:54:00.000-05:00,[KLB] CONF 15:54 ▲ BRK → ✗ (failed)
