Date,Message
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▼ 🔊 MC ramp=35x vol=17.6x pos=v76 vwap=below ema=bear adx=22 body=36% rangeATR=5.6 ⚡ O748.98 H750.85 L746.12 C747.26 ATR=16.14
2025-09-29T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ Yest H vol=17.6x pos=v76 vwap=below ema=bear rs=-0.2% adx=22 body=36% ramp=35x rangeATR=5.6 ⚡ 🔊 O748.98 H750.85 L746.12 C747.26 ATR=16.14 SL=748.87/749.68 rawVol=56408 volSMA=3197 buf=0.807 prices=751.93
2025-09-29T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ QBS/MC → ✗ (failed)
2025-09-29T10:20:00.000-04:00,[KLB] 10:20 ▼ ~ ~ VWAP vol=1.2x pos=v97 vwap=below ema=bear rs=-0.3% adx=30 body=87% ramp=0.8x rangeATR=1.7 ⚠ O748.25 H748.5 L746.09 C746.16 ATR=16.14 SL=747.77/748.58 rawVol=16267 volSMA=13112 buf=0.807 prices=
2025-09-29T13:30:00.000-04:00,[KLB] 13:30 ▼ BRK PM L vol=2.5x pos=v72 vwap=below ema=bear rs=-0.3% adx=21 body=46% ramp=1x rangeATR=1 O744.65 H744.91 L743.89 C744.18 ATR=16.14 SL=745.79/746.6 rawVol=15675 volSMA=6264 buf=0.807 prices=745.35
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ 🔊 MC ramp=97.8x vol=17.3x pos=v79 vwap=below ema=bear adx=33 body=66% rangeATR=7 ⚡ O741.7 H742.98 L733.67 C735.6 ATR=15.82
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + Yest L + Week L vol=17.3x pos=v79 vwap=below ema=bear rs=-0.8% adx=33 body=66% ramp=97.8x rangeATR=7 ⚡ 🔊 O741.7 H742.98 L733.67 C735.6 ATR=15.82 SL=737.18/737.97 rawVol=57672 volSMA=3337 buf=0.791 prices=741.12/739.15/737.35
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK ORB L vol=9.9x pos=v75 vwap=below ema=bear rs=-1.4% adx=35 body=66% ramp=199.4x rangeATR=3.9 ⚡ 🔊 O735.75 H736.32 L729.75 C731.4 ATR=15.82 SL=732.98/733.77 rawVol=65737 volSMA=6623 buf=0.791 prices=733.67
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=9.9x pos=v75 vwap=below ema=bear rs=-1.4% adx=35 body=66% ramp=199.4x rangeATR=3.9 ⚡ 🔊 O735.75 H736.32 L729.75 C731.4 ATR=15.82 SL=732.98/733.77 rawVol=65737 volSMA=6623 buf=0.791 prices=
2025-09-30T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-promote)
2025-09-30T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ QBS/MC → ✓ (auto-promote)
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ ◆ ◆¹ ORB L 6.7x v28 vol= pos= vwap=below ema=bear rs=-1.4% adx=35 body=66% ramp=199.4x rangeATR=3.9 ⚡ 🔊 O735.75 H736.32 L729.75 C731.4 ATR=15.82 SL=732.98/733.77 rawVol=65737 volSMA=6623 buf=0.791 prices=
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ 🔊 MC ramp=162.6x vol=5x pos=^72 vwap=below ema=bear adx=38 body=57% rangeATR=1.7 O731.21 H733.77 L730.74 C732.93 ATR=15.82
2025-09-30T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=-0.1 → BAIL
2025-09-30T09:50:00.000-04:00,[KLB] CONF 9:50 ▲ QBS/MC → ✗ (failed)
2025-09-30T10:55:00.000-04:00,[KLB] CONF 10:55 ▼ BRK → ✗ (failed)
2025-09-30T11:00:00.000-04:00,"[KLB] 11:00 ▲ ~~ ~~ ORB L
~ VWAP vol=1.3x pos=^82 vwap=above ema=bear rs=-1.1% adx=37 body=57% ramp=0.9x rangeATR=1.3 O732.88 H734.73 L732.26 C734.28 ATR=15.82 SL=732.7/731.91 rawVol=42670 volSMA=32094 buf=0.791 prices=733.67"
2025-09-30T11:50:00.000-04:00,[KLB] 11:50 ▲ ~~ ~~ ORB L vol=0.7x pos=^99 vwap=above ema=bear rs=-0.9% adx=22 body=89% ramp=1.1x rangeATR=1.3 ⚠ O733.66 H735.56 L733.45 C735.54 ATR=15.82 SL=733.96/733.17 rawVol=13796 volSMA=21027 buf=0.791 prices=733.67
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▼ 🔊 MC ramp=34.9x vol=15.6x pos=v83 vwap=below ema=bear adx=44 body=80% rangeATR=3.7 ⚡ O721.55 H721.77 L715.47 C716.53 ATR=15.91
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L vol=15.6x pos=v83 vwap=below ema=bear rs=-0.9% adx=44 body=80% ramp=34.9x rangeATR=3.7 ⚡ 🔊 O721.55 H721.77 L715.47 C716.53 ATR=15.91 SL=718.12/718.92 rawVol=141896 volSMA=9117 buf=0.796 prices=721.56
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=15.6x pos=v83 vwap=below ema=bear rs=-0.9% adx=44 body=80% ramp=34.9x rangeATR=3.7 ⚡ 🔊 O721.55 H721.77 L715.47 C716.53 ATR=15.91 SL=718.12/718.92 rawVol=141896 volSMA=9117 buf=0.796 prices=
2025-10-01T09:40:00.000-04:00,[KLB] 9:40 ▲ 🔊 MC ramp=36.3x vol=6.5x pos=^64 vwap=below ema=bear adx=45 body=38% rangeATR=2.4 ⚡ O716.71 H720 L715.54 C718.41 ATR=15.91
2025-10-01T09:45:00.000-04:00,[KLB] CONF 9:45 ▲ QBS/MC → ✓ (auto-promote)
2025-10-01T09:50:00.000-04:00,[KLB] 9:50 ▼ BRK ORB L vol=4.3x pos=v98 vwap=below ema=bear rs=-1% adx=47 body=98% ramp=1.6x rangeATR=2.3 ⚡ ⚠ O719.32 H719.32 L714.37 C714.48 ATR=15.91 SL=716.07/716.87 rawVol=90033 volSMA=20940 buf=0.796 prices=715.47
2025-10-01T09:50:00.000-04:00,[KLB] CONF 9:50 ▼ BRK → ✓★ (auto-promote)
2025-10-01T09:50:00.000-04:00,[KLB] 9:50 ▼ ◆ ◆¹ ORB L 4.5x v100 vol= pos= vwap=below ema=bear rs=-1% adx=47 body=98% ramp=1.6x rangeATR=2.3 ⚡ ⚠ O719.32 H719.32 L714.37 C714.48 ATR=15.91 SL=716.07/716.87 rawVol=90033 volSMA=20940 buf=0.796 prices=
2025-10-01T09:55:00.000-04:00,[KLB] 5m CHECK 9:55 ▼ pnl=0.04 → BAIL
2025-10-01T10:00:00.000-04:00,[KLB] CONF 10:00 ▼ BRK → ✗ (failed)
2025-10-01T11:35:00.000-04:00,[KLB] 11:35 ▲ ~~ ~~ ORB L vol=1x pos=^81 vwap=above ema=bear rs=-1.1% adx=35 body=79% ramp=1.6x rangeATR=1.1 O715.48 H717.4 L715.44 C717.03 ATR=15.91 SL=715.44/714.64 rawVol=39161 volSMA=37918 buf=0.796 prices=715.47
2025-10-01T11:50:00.000-04:00,[KLB] 11:50 ▲ ~~ ~~ ORB L vol=1x pos=^96 vwap=above ema=bear rs=-1.3% adx=31 body=39% ramp=0.7x rangeATR=0.7 O716 H716.5 L715.34 C716.45 ATR=15.91 SL=714.86/714.06 rawVol=30182 volSMA=31617 buf=0.796 prices=715.47
2025-10-01T12:10:00.000-04:00,[KLB] 12:10 ▲ ~~ ~~ ORB L vol=1x pos=^91 vwap=above ema=bear rs=-1.1% adx=26 body=90% ramp=1.7x rangeATR=1.6 ⚠ O714.86 H717.69 L714.82 C717.44 ATR=15.91 SL=715.85/715.05 rawVol=27181 volSMA=27403 buf=0.796 prices=715.47
2025-10-02T12:05:00.000-04:00,[KLB] 12:05 ▼ ~ ~ VWAP vol=1x pos=v70 vwap=below ema=bear rs=+0% adx=22 body=65% ramp=0.8x rangeATR=0.6 O720.82 H720.86 L720 C720.26 ATR=16.5 SL=721.91/722.74 rawVol=14768 volSMA=15011 buf=0.825 prices=
2025-10-02T13:25:00.000-04:00,[KLB] 13:25 ▲ ~ ~ VWAP vol=0.6x pos=^78 vwap=above ema=bull rs=+0.5% adx=21 body=65% ramp=0.9x rangeATR=0.8 O723.51 H724.27 L723.39 C724.08 ATR=16.5 SL=722.43/721.6 rawVol=6214 volSMA=10970 buf=0.825 prices=
2025-10-02T13:40:00.000-04:00,[KLB] 13:40 ▲ BRK ORB H vol=2.1x pos=^67 vwap=above ema=bull rs=+0.6% adx=25 body=45% ramp=1.7x rangeATR=0.7 O724.41 H725 L724.25 C724.75 ATR=16.5 SL=723.1/722.27 rawVol=24112 volSMA=11736 buf=0.825 prices=723.64
2025-10-02T13:45:00.000-04:00,[KLB] 13:45 ▲ BRK PM H vol=2x pos=^87 vwap=above ema=bull rs=+0.7% adx=26 body=87% ramp=2.1x rangeATR=1.5 ⚠ O724.71 H726.28 L724.71 C726.08 ATR=16.5 SL=724.43/723.6 rawVol=24782 volSMA=12237 buf=0.825 prices=725
2025-10-02T13:45:00.000-04:00,[KLB] CONF 13:45 ▲ BRK → ✓ (auto-promote)
2025-10-02T13:50:00.000-04:00,[KLB] 5m CHECK 13:50 ▲ pnl=0.03 → BAIL
2025-10-02T14:00:00.000-04:00,[KLB] 14:00 ▲ ◆ ◆⁴ PM H 0.9x ^27 vol= pos= vwap=above ema=bull rs=+0.8% adx=32 body=20% ramp=0.9x rangeATR=0.7 O726.59 H726.74 L726 C726.44 ATR=16.5 SL=724.79/723.96 rawVol=24094 volSMA=13133 buf=0.825 prices=
2025-10-03T09:35:00.000-04:00,[KLB] 9:35 ▼ 🔊 MC ramp=140.9x vol=16.4x pos=v94 vwap=below ema=bear adx=36 body=84% rangeATR=8.6 ⚡ O729.89 H731 L720.01 C720.69 ATR=16.07
2025-10-03T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L vol=16.4x pos=v94 vwap=below ema=bear rs=-1.3% adx=36 body=84% ramp=140.9x rangeATR=8.6 ⚡ ⚠ 🔊 O729.89 H731 L720.01 C720.69 ATR=16.07 SL=722.3/723.1 rawVol=74459 volSMA=4539 buf=0.803 prices=727.54
2025-10-03T09:35:00.000-04:00,"[KLB] 9:35 ▼ ~ ~ Yest H
~ VWAP vol=16.4x pos=v94 vwap=below ema=bear rs=-1.3% adx=36 body=84% ramp=140.9x rangeATR=8.6 ⚡ ⚠ 🔊 O729.89 H731 L720.01 C720.69 ATR=16.07 SL=722.3/723.1 rawVol=74459 volSMA=4539 buf=0.803 prices=727.77"
2025-10-03T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ QBS/MC → ✗ (failed)
2025-10-03T09:45:00.000-04:00,[KLB] 9:45 ▼ BRK Yest L + ORB L vol=6.5x pos=v71 vwap=below ema=bear rs=-1.8% adx=42 body=64% ramp=317.3x rangeATR=2.9 ⚡ 🔊 O720.4 H720.74 L715.85 C717.25 ATR=16.07 SL=718.86/719.66 rawVol=82044 volSMA=12651 buf=0.803 prices=718.14/720.01
2025-10-03T09:45:00.000-04:00,[KLB] CONF 9:45 ▼ BRK → ✓★ (auto-promote)
2025-10-03T09:45:00.000-04:00,[KLB] 9:45 ▼ ◆ ◆¹ ORB L 5.5x v29 vol= pos= vwap=below ema=bear rs=-1.8% adx=42 body=64% ramp=317.3x rangeATR=2.9 ⚡ 🔊 O720.4 H720.74 L715.85 C717.25 ATR=16.07 SL=718.86/719.66 rawVol=82044 volSMA=12651 buf=0.803 prices=
2025-10-03T09:50:00.000-04:00,[KLB] 5m CHECK 9:50 ▼ pnl=-0.09 → BAIL
2025-10-03T09:50:00.000-04:00,[KLB] CONF 9:50 ▼ BRK → ✗ (failed)
2025-10-03T11:45:00.000-04:00,[KLB] 11:45 ▼ BRK Yest L vol=3.7x pos=v61 vwap=below ema=bear rs=-2.1% adx=38 body=58% ramp=3.8x rangeATR=2 ⚡ O718.16 H718.25 L715.04 C716.3 ATR=16.07 SL=717.91/718.71 rawVol=100754 volSMA=27534 buf=0.803 prices=718.14
2025-10-03T11:50:00.000-04:00,[KLB] 11:50 ▼ ◆ ◆² Yest L 1.4x v0 vol= pos= vwap=below ema=bear rs=-2.2% adx=39 body=27% ramp=3.8x rangeATR=0.8 O716.28 H716.73 L715.42 C715.92 ATR=16.07 SL=717.53/718.33 rawVol=52854 volSMA=27599 buf=0.803 prices=
2025-10-03T11:55:00.000-04:00,[KLB] CONF 11:55 ▼ BRK → ✗ (failed)
2025-10-03T13:55:00.000-04:00,[KLB] 13:55 ▼ 🔇 QBS ramp=0.4x vol=1.6x pos=v80 vwap=below ema=bear adx=39 body=75% rangeATR=1.7 O714.87 H715 L712.5 C713 ATR=16.07
2025-10-03T14:00:00.000-04:00,[KLB] CONF 14:00 ▼ QBS/MC → ✗ (failed)
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ 🔊 MC ramp=14.6x vol=14.5x pos=v90 vwap=below ema=bear adx=62 body=89% rangeATR=5.4 ⚡ O705.04 H705.19 L695.8 C696.71 ATR=16.41
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L vol=14.5x pos=v90 vwap=below ema=bear rs=-1.1% adx=62 body=89% ramp=14.6x rangeATR=5.4 ⚡ ⚠ 🔊 O705.04 H705.19 L695.8 C696.71 ATR=16.41 SL=698.35/699.17 rawVol=145395 volSMA=10027 buf=0.82 prices=703.72
2025-10-06T09:35:00.000-04:00,[KLB] 9:35 ▼ ~ ~ VWAP vol=14.5x pos=v90 vwap=below ema=bear rs=-1.1% adx=62 body=89% ramp=14.6x rangeATR=5.4 ⚡ ⚠ 🔊 O705.04 H705.19 L695.8 C696.71 ATR=16.41 SL=698.35/699.17 rawVol=145395 volSMA=10027 buf=0.82 prices=
2025-10-06T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK ORB L vol=8.6x pos=v87 vwap=below ema=bear rs=-1.4% adx=64 body=80% ramp=28.7x rangeATR=1.8 🔊 O696.84 H697.08 L693.7 C694.14 ATR=16.41 SL=695.78/696.6 rawVol=137260 volSMA=16883 buf=0.82 prices=695.8
2025-10-06T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ BRK → ✓★ (auto-promote)
2025-10-06T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ QBS/MC → ✓★ (auto-promote)
2025-10-06T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=0.14 → HOLD
2025-10-06T09:45:00.000-04:00,[KLB] 9:45 ▼ ◆ ◆² ORB L 4.7x v26 vol= pos= vwap=below ema=bear rs=-1.7% adx=66 body=64% ramp=27.5x rangeATR=1.8 🔊 O694.2 H694.2 L690.55 C691.87 ATR=16.41 SL=693.51/694.33 rawVol=114361 volSMA=22556 buf=0.82 prices=
2025-10-06T09:55:00.000-04:00,[KLB] CONF 9:55 ▼ BRK → ✗ (failed)
2025-10-06T10:00:00.000-04:00,"[KLB] 10:00 ▲ ~~ ~~ ORB L
~ VWAP vol=2.1x pos=^77 vwap=above ema=bear rs=-0.5% adx=63 body=73% ramp=0.6x rangeATR=2.2 ⚡ O695.99 H701.26 L695.76 C700 ATR=16.41 SL=698.36/697.54 rawVol=70979 volSMA=34172 buf=0.82 prices=695.8"
2025-10-06T10:05:00.000-04:00,[KLB] 10:05 ▲ ~~ ~~ PM L vol=1.9x pos=^100 vwap=above ema=bear rs=+0.3% adx=59 body=93% ramp=0.5x rangeATR=2.1 ⚡ ⚠ O699.89 H705.35 L699.49 C705.33 ATR=16.41 SL=703.69/702.87 rawVol=58509 volSMA=37053 buf=0.82 prices=703.72
2025-10-06T10:50:00.000-04:00,[KLB] 10:50 ▲ ~~ ~~ PM L vol=0.9x pos=^99 vwap=above ema=bear rs=+0% adx=35 body=87% ramp=1.7x rangeATR=1.4 ⚠ O701.07 H704.58 L700.59 C704.54 ATR=16.41 SL=702.9/702.08 rawVol=45830 volSMA=52382 buf=0.82 prices=703.72
2025-10-06T11:00:00.000-04:00,[KLB] 11:00 ▲ ~~ ~~ PM L vol=0.4x pos=^71 vwap=above ema=bear rs=+0.1% adx=31 body=64% ramp=0.9x rangeATR=1 O703.56 H705.98 L703.37 C705.23 ATR=16.41 SL=703.59/702.77 rawVol=23770 volSMA=54393 buf=0.82 prices=703.72
2025-10-07T09:50:00.000-04:00,[KLB] 9:50 ▼ ~ ~ VWAP vol=4.3x pos=v69 vwap=below ema=bear rs=-0.8% adx=21 body=48% ramp=1.6x rangeATR=1.4 O713.01 H713.41 L711.5 C712.1 ATR=17.12 SL=713.81/714.67 rawVol=36193 volSMA=8392 buf=0.856 prices=
2025-10-07T10:00:00.000-04:00,[KLB] 10:00 ▼ BRK PM L + ORB L vol=3.6x pos=v97 vwap=below ema=bear rs=-1% adx=25 body=75% ramp=0.9x rangeATR=2.3 ⚡ O712.5 H713.29 L709.81 C709.9 ATR=17.12 SL=711.61/712.47 rawVol=41933 volSMA=11701 buf=0.856 prices=711.33/712.3
2025-10-07T10:00:00.000-04:00,[KLB] 10:00 ▼ ◆ ◆¹ PM L 4.9x v24 vol= pos= vwap=below ema=bear rs=-1% adx=25 body=75% ramp=0.9x rangeATR=2.3 ⚡ O712.5 H713.29 L709.81 C709.9 ATR=17.12 SL=711.61/712.47 rawVol=41933 volSMA=11701 buf=0.856 prices=
2025-10-07T10:05:00.000-04:00,"[KLB] 10:05 ▼ ◆ ◆¹ PM L 4.9x v24
◆² ORB L 2.1x v35 vol= pos= vwap=below ema=bear rs=-0.9% adx=27 body=19% ramp=1.3x rangeATR=1.9 O710.03 H711.31 L708.35 C710.6 ATR=17.12 SL=712.31/713.17 rawVol=57226 volSMA=14501 buf=0.856 prices="
2025-10-07T10:20:00.000-04:00,[KLB] CONF 10:20 ▼ BRK → ✗ (failed)
2025-10-07T10:45:00.000-04:00,[KLB] 10:45 ▲ ~~ ~~ PM L + ~~ ORB L vol=1.8x pos=^93 vwap=above ema=bear rs=-0.3% adx=30 body=93% ramp=1.9x rangeATR=1.3 ⚠ O711.8 H713.79 L711.8 C713.65 ATR=17.12 SL=711.94/711.08 rawVol=41380 volSMA=23364 buf=0.856 prices=711.33/712.3
2025-10-07T10:50:00.000-04:00,[KLB] 10:50 ▲ ~ ~ VWAP vol=1.6x pos=^64 vwap=above ema=bear rs=-0.2% adx=29 body=64% ramp=2.7x rangeATR=1.3 O713.52 H715.64 L713.52 C714.88 ATR=17.12 SL=713.17/712.31 rawVol=41481 volSMA=25398 buf=0.856 prices=
2025-10-07T15:55:00.000-04:00,[KLB] 15:55 ▲ ~~ ~~ PM L + ~~ ORB L vol=3x pos=^100 vwap=above ema=bull rs=-0.2% adx=22 body=55% ramp=1.7x rangeATR=1.3 O712.3 H712.96 L711.76 C712.96 ATR=17.12 SL=711.25/710.39 rawVol=29374 volSMA=9870 buf=0.856 prices=711.33/712.3
2025-10-08T09:30:00.000-04:00,[KLB] 9:30 ▲ ~ ~ Yest L vol=6.1x pos=^55 vwap=above ema=bear rs=+0.2% adx=22 body=35% ramp=3.1x rangeATR=3.7 ⚡ O713.24 H714.95 L712.8 C713.99 ATR=16.81 SL=712.31/711.47 rawVol=4082 volSMA=665 buf=0.84 prices=705.75
2025-10-08T09:40:00.000-04:00,[KLB] 9:40 ▼ 🔊 MC ramp=34.2x vol=8.3x pos=v69 vwap=below ema=bear adx=22 body=65% rangeATR=2.8 ⚡ O712.47 H712.56 L710.17 C710.92 ATR=16.81
2025-10-08T09:40:00.000-04:00,[KLB] 9:40 ▼ BRK PM L + ORB L vol=8.3x pos=v69 vwap=below ema=bear rs=-0.3% adx=22 body=65% ramp=34.2x rangeATR=2.8 ⚡ 🔊 O712.47 H712.56 L710.17 C710.92 ATR=16.81 SL=712.6/713.44 rawVol=29810 volSMA=3642 buf=0.84 prices=711.22/712.27
2025-10-08T09:40:00.000-04:00,[KLB] 9:40 ▼ ◆ ◆¹ PM L 10.3x v77 vol= pos= vwap=below ema=bear rs=-0.3% adx=22 body=65% ramp=34.2x rangeATR=2.8 ⚡ 🔊 O712.47 H712.56 L710.17 C710.92 ATR=16.81 SL=712.6/713.44 rawVol=29810 volSMA=3642 buf=0.84 prices=
2025-10-08T09:45:00.000-04:00,[KLB] 9:45 ▼ BRK Week L vol=6.8x pos=v77 vwap=below ema=bear rs=-0.6% adx=23 body=76% ramp=18.1x rangeATR=2.9 ⚡ 🔊 O710.8 H710.84 L707.84 C708.53 ATR=16.81 SL=710.21/711.05 rawVol=37437 volSMA=5504 buf=0.84 prices=710.18
2025-10-08T09:45:00.000-04:00,[KLB] 9:45 ▼ ~ ~ VWAP vol=6.8x pos=v77 vwap=below ema=bear rs=-0.6% adx=23 body=76% ramp=18.1x rangeATR=2.9 ⚡ 🔊 O710.8 H710.84 L707.84 C708.53 ATR=16.81 SL=710.21/711.05 rawVol=37437 volSMA=5504 buf=0.84 prices=
2025-10-08T09:45:00.000-04:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-promote)
2025-10-08T09:45:00.000-04:00,[KLB] CONF 9:45 ▼ QBS/MC → ✓ (auto-promote)
2025-10-08T09:50:00.000-04:00,[KLB] 5m CHECK 9:50 ▼ pnl=-0.13 → BAIL
2025-10-08T09:50:00.000-04:00,[KLB] CONF 9:50 ▼ BRK → ✗ (failed)
2025-10-08T09:55:00.000-04:00,[KLB] 9:55 ▲ ~~ ~~ PM L vol=3.3x pos=^78 vwap=above ema=bear rs=-0.1% adx=22 body=77% ramp=1.3x rangeATR=1.8 O710.83 H712.99 L710.8 C712.51 ATR=16.81 SL=710.83/709.99 rawVol=26059 volSMA=7792 buf=0.84 prices=711.22
2025-10-08T10:00:00.000-04:00,[KLB] 10:00 ▲ ~~ ~ Yest L + ~~ ORB L vol=3.9x pos=^58 vwap=above ema=bear rs=0% adx=21 body=57% ramp=0.9x rangeATR=1.1 O712.45 H713.75 L712.44 C713.2 ATR=16.81 SL=711.52/710.68 rawVol=36954 volSMA=9596 buf=0.84 prices=705.75/712.27
2025-10-08T10:10:00.000-04:00,[KLB] 10:10 ▲ ~ ~ VWAP vol=3.5x pos=^90 vwap=above ema=bear rs=+0% adx=20 body=90% ramp=1.3x rangeATR=0.9 ⚠ O713.75 H715 L713.75 C714.88 ATR=16.81 SL=713.2/712.36 rawVol=24955 volSMA=13092 buf=0.84 prices=
2025-10-08T10:15:00.000-04:00,[KLB] 10:15 ▲ BRK PM H vol=2.2x pos=^76 vwap=above ema=bull rs=+0.1% adx=20 body=56% ramp=1.2x rangeATR=0.9 O714.91 H715.82 L714.68 C715.55 ATR=16.81 SL=713.87/713.03 rawVol=32793 volSMA=14723 buf=0.84 prices=714.95
2025-10-08T10:15:00.000-04:00,[KLB] 10:15 ▲ ◆ ◆¹ PM H 1.5x ^4 vol= pos= vwap=above ema=bull rs=+0.1% adx=20 body=56% ramp=1.2x rangeATR=0.9 O714.91 H715.82 L714.68 C715.55 ATR=16.81 SL=713.87/713.03 rawVol=32793 volSMA=14723 buf=0.84 prices=
2025-10-08T10:25:00.000-04:00,[KLB] CONF 10:25 ▲ BRK → ✗ (failed)
2025-10-09T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ PM H vol=2.3x pos=v83 vwap=below ema=bull rs=+0.1% adx=29 body=49% ramp=3.2x rangeATR=3.4 ⚡ O719.18 H719.92 L717.8 C718.15 ATR=16.45 SL=719.8/720.62 rawVol=1611 volSMA=698 buf=0.823 prices=719.92
2025-10-09T09:35:00.000-04:00,[KLB] 9:35 ▲ 🔊 MC ramp=51x vol=16x pos=^88 vwap=above ema=bull adx=32 body=57% rangeATR=4.8 ⚡ O718.32 H721.29 L716.98 C720.77 ATR=16.45
