Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=15.7x pos=^83 O327.8 H330.5 L326.95 C329.9 ATR=7.79 rawVol=78201 volSMA=4987 buf=0.389 prices=328.4
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ Yest L + ~ ORB L vol=15.7x pos=^83 O327.8 H330.5 L326.95 C329.9 ATR=7.79 rawVol=78201 volSMA=4987 buf=0.389 prices=327.45/326.95
2026-01-26T09:43:00.000-05:00,[KLB] CONF 9:43 ▲ BRK → ✗ (failed)
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK ORB H vol=2.7x pos=^95 O329.42 H330.92 L329.37 C330.85 ATR=7.79 rawVol=34709 volSMA=12771 buf=0.389 prices=330.5
2026-01-26T10:10:00.000-05:00,[KLB] 10:10 ▲ ◆ ◆² ORB H 1.8x ^4 vol= pos= O331.12 H331.55 L330.8 C330.83 ATR=7.79 rawVol=21058 volSMA=15099 buf=0.389 prices=
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK Yest H + Week H vol=14x pos=^85 O335.34 H336.9 L333.49 C336.39 ATR=7.86 rawVol=69867 volSMA=4987 buf=0.393 prices=335.84/335.15
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=14x pos=^85 O335.34 H336.9 L333.49 C336.39 ATR=7.86 rawVol=69867 volSMA=4987 buf=0.393 prices=334.8/333.49
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=10.6x pos=^100 O336.5 H337.34 L335.08 C337.34 ATR=7.86 rawVol=32878 volSMA=6612 buf=0.393 prices=336.9
2026-01-27T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-promote)
2026-01-27T09:43:00.000-05:00,[KLB] CONF 9:43 ▲ BRK → ✗ (failed)
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▼ ~~ ~~ ORB H vol=4.7x pos=v81 O337.33 H337.75 L335.68 C336.07 ATR=7.86 rawVol=40056 volSMA=8602 buf=0.393 prices=336.9
2026-01-27T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK ORB H vol=1.9x pos=^86 O335.92 H337.34 L335.68 C337.11 ATR=7.86 rawVol=20914 volSMA=10948 buf=0.393 prices=336.9
2026-01-27T10:06:00.000-05:00,[KLB] CONF 10:06 ▲ BRK → ✗ (failed)
2026-01-27T13:50:00.000-05:00,[KLB] 13:50 ▲ BRK Week H vol=2.1x pos=^69 O335.36 H335.84 L335.36 C335.69 ATR=7.86 rawVol=22245 volSMA=10724 buf=0.393 prices=335.15
2026-01-27T14:00:00.000-05:00,[KLB] 14:00 ▲ ◆ ◆² Week H 0.9x ^94 vol= pos= O335.36 H335.63 L335.16 C335.6 ATR=7.86 rawVol=9708 volSMA=10790 buf=0.393 prices=
2026-01-27T15:47:00.000-05:00,[KLB] CONF 15:47 ▲ BRK → ✗ (failed)
