Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H + Yest H vol=12.7x pos=^96 O690.49 H691.32 L689.93 C691.27 ATR=6.35 rawVol=249161 volSMA=19565 buf=0.318 prices=690.48/690.96
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=12.7x pos=^96 O690.49 H691.32 L689.93 C691.27 ATR=6.35 rawVol=249161 volSMA=19565 buf=0.318 prices=689.93
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK Week H + ORB H vol=8.1x pos=^60 O691.28 H691.99 L691.27 C691.7 ATR=6.35 rawVol=264145 volSMA=32655 buf=0.318 prices=691.13/691.32
2026-01-26T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-promote)
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ ◆ ◆¹ ORB H 1.8x ^100 vol= pos= O691.28 H691.99 L691.27 C691.7 ATR=6.35 rawVol=264145 volSMA=32655 buf=0.318 prices=
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PM L vol=7.6x pos=v99 O694.23 H694.36 L693.58 C693.59 ATR=6.25 rawVol=188331 volSMA=24794 buf=0.312 prices=693.95
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ ORB H vol=7.6x pos=v99 O694.23 H694.36 L693.58 C693.59 ATR=6.25 rawVol=188331 volSMA=24794 buf=0.312 prices=694.34
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ ◆ ◆¹ PM L 1.6x v13 vol= pos= O694.23 H694.36 L693.58 C693.59 ATR=6.25 rawVol=188331 volSMA=24794 buf=0.312 prices=
2026-01-27T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✗ (failed)
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ BRK Yest H vol=3.9x pos=^84 O694.1 H694.55 L694.1 C694.48 ATR=6.25 rawVol=117942 volSMA=37760 buf=0.312 prices=694.13
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ ~~ ~~ PM L vol=3.9x pos=^84 O694.1 H694.55 L694.1 C694.48 ATR=6.25 rawVol=117942 volSMA=37760 buf=0.312 prices=693.95
2026-01-27T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK ORB H vol=4.1x pos=^90 O694.48 H695.35 L694.48 C695.26 ATR=6.25 rawVol=194313 volSMA=47167 buf=0.312 prices=694.34
